#BioGRID Interaction ID	Entrez Gene Interactor A	Entrez Gene Interactor B	BioGRID ID Interactor A	BioGRID ID Interactor B	Systematic Name Interactor A	Systematic Name Interactor B	Official Symbol Interactor A	Official Symbol Interactor B	Synonyms Interactor A	Synonyms Interactor B	Experimental System	Experimental System Type	Author	Pubmed ID	Organism Interactor A	Organism Interactor B	Throughput	Score	Modification	Phenotypes	Qualifications	Tags	Source Database
259961	8874	85358	114393	124487	RP11-494P5.1	-	ARHGEF7	SHANK3	BETA-PIX|COOL-1|COOL1|Nbla10314|P50|P50BP|P85|P85COOL1|P85SPR|PAK3|PIXB	DEL22q13.3|PROSAP2|PSAP2|SCZD15|SPANK-2	Two-hybrid	physical	Park E (2003)	12626503	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
259966	85358	8874	124487	114393	-	RP11-494P5.1	SHANK3	ARHGEF7	DEL22q13.3|PROSAP2|PSAP2|SCZD15|SPANK-2	BETA-PIX|COOL-1|COOL1|Nbla10314|P50|P50BP|P85|P85COOL1|P85SPR|PAK3|PIXB	Affinity Capture-Western	physical	Park E (2003)	12626503	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
297927	85358	9229	124487	114660	-	-	SHANK3	DLGAP1	DEL22q13.3|PROSAP2|PSAP2|SCZD15|SPANK-2	DAP-1|DAP-1-ALPHA|DAP-1-BETA|DAP1|DLGAP1A|DLGAP1B|GKAP|SAPAP1|hGKAP	Two-hybrid	physical	Boeckers TM (1999)	10527873	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
297928	85358	9228	124487	114659	-	-	SHANK3	DLGAP2	DEL22q13.3|PROSAP2|PSAP2|SCZD15|SPANK-2	DAP2|SAPAP2	Two-hybrid	physical	Boeckers TM (1999)	10527873	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
297929	85358	58512	124487	121839	-	-	SHANK3	DLGAP3	DEL22q13.3|PROSAP2|PSAP2|SCZD15|SPANK-2	DAP3|SAPAP3	Two-hybrid	physical	Boeckers TM (1999)	10527873	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
297930	85358	22839	124487	116513	-	RP5-977B1.6	SHANK3	DLGAP4	DEL22q13.3|PROSAP2|PSAP2|SCZD15|SPANK-2	DAP-4|DAP4|DLP4|SAPAP-4|SAPAP4	Two-hybrid	physical	Boeckers TM (1999)	10527873	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
298182	85358	6709	124487	112587	-	-	SHANK3	SPTAN1	DEL22q13.3|PROSAP2|PSAP2|SCZD15|SPANK-2	EIEE5|NEAS|SPTA2	Two-hybrid	physical	Boeckers TM (2001)	11509555	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
811251	5501	85358	111495	124487	-	-	PPP1CC	SHANK3	PP-1G|PP1C|PPP1G	DEL22q13.3|PROSAP2|PSAP2|SCZD15|SPANK-2	Two-hybrid	physical	Esteves SL (2012)	23080069	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
892364	1244	85358	107647	124487	RP11-114F7.2	-	ABCC2	SHANK3	ABC30|CMOAT|DJS|MRP2|cMRP	DEL22q13.3|PROSAP2|PSAP2|SCZD15|SPANK-2	Two-hybrid	physical	Wang J (2011)	21988832	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
892622	1460	85358	107843	124487	DADB-127H9.2	-	CSNK2B	SHANK3	CK2B|CK2N|CSK2B|G5A	DEL22q13.3|PROSAP2|PSAP2|SCZD15|SPANK-2	Two-hybrid	physical	Wang J (2011)	21988832	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
894510	1399	85358	107789	124487	-	-	CRKL	SHANK3	-	DEL22q13.3|PROSAP2|PSAP2|SCZD15|SPANK-2	Two-hybrid	physical	Wang J (2011)	21988832	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
894696	2885	85358	109142	124487	-	-	GRB2	SHANK3	ASH|EGFRBP-GRB2|Grb3-3|MST084|MSTP084|NCKAP2	DEL22q13.3|PROSAP2|PSAP2|SCZD15|SPANK-2	Two-hybrid	physical	Wang J (2011)	21988832	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
894948	4690	85358	110770	124487	-	-	NCK1	SHANK3	NCK|NCKalpha|nck-1	DEL22q13.3|PROSAP2|PSAP2|SCZD15|SPANK-2	Two-hybrid	physical	Wang J (2011)	21988832	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
