#BioGRID Interaction ID	Entrez Gene Interactor A	Entrez Gene Interactor B	BioGRID ID Interactor A	BioGRID ID Interactor B	Systematic Name Interactor A	Systematic Name Interactor B	Official Symbol Interactor A	Official Symbol Interactor B	Synonyms Interactor A	Synonyms Interactor B	Experimental System	Experimental System Type	Author	Pubmed ID	Organism Interactor A	Organism Interactor B	Throughput	Score	Modification	Phenotypes	Qualifications	Tags	Source Database
675096	14810	224997	200067	230347	RP23-132N23.20-010	-	Grin1	Dlgap1	GluN1|GluRdelta1|GluRzeta1|M100174|NMD-R1|NMDAR1|NR1|Nmdar|Rgsc174	4933422O14Rik|9630002F18|AI845682|AI848168|BB075781|D17Bwg0511e|GKAP/SAPAP|GKPA/SAPAP|Gkap|Sapap1|mKIAA4162	Affinity Capture-Western	physical	Husi H (2000)	10862698	10090	10090	Low Throughput	-	-	-	-	-	BIOGRID
675100	14812	224997	200069	230347	-	-	Grin2b	Dlgap1	AW490526|GluN2B|NR2B|Nmdar2b	4933422O14Rik|9630002F18|AI845682|AI848168|BB075781|D17Bwg0511e|GKAP/SAPAP|GKPA/SAPAP|Gkap|Sapap1|mKIAA4162	Affinity Capture-Western	physical	Husi H (2000)	10862698	10090	10090	Low Throughput	-	-	-	-	-	BIOGRID
675258	14810	224997	200067	230347	RP23-132N23.20-010	-	Grin1	Dlgap1	GluN1|GluRdelta1|GluRzeta1|M100174|NMD-R1|NMDAR1|NR1|Nmdar|Rgsc174	4933422O14Rik|9630002F18|AI845682|AI848168|BB075781|D17Bwg0511e|GKAP/SAPAP|GKPA/SAPAP|Gkap|Sapap1|mKIAA4162	Affinity Capture-MS	physical	Husi H (2000)	10862698	10090	10090	Low Throughput	-	-	-	-	-	BIOGRID
1526974	58234	224997	208407	230347	-	-	Shank3	Dlgap1	AI841104|SHANK3c-3|SHANK3c-4|Shank3b	4933422O14Rik|9630002F18|AI845682|AI848168|BB075781|D17Bwg0511e|GKAP/SAPAP|GKPA/SAPAP|Gkap|Sapap1|mKIAA4162	Affinity Capture-MS	physical	Li J (2016)	27507650	10090	10090	High Throughput	-	-	-	-	-	BIOGRID
1527065	13385	224997	199230	230347	RP23-172M21.9	-	Dlg4	Dlgap1	Dlgh4|PSD-95|PSD95|SAP90|SAP90A	4933422O14Rik|9630002F18|AI845682|AI848168|BB075781|D17Bwg0511e|GKAP/SAPAP|GKPA/SAPAP|Gkap|Sapap1|mKIAA4162	Affinity Capture-MS	physical	Li J (2016)	27507650	10090	10090	High Throughput	-	-	-	-	-	BIOGRID
1527159	224997	12323	230347	198462	-	RP23-340E18.5	Dlgap1	Camk2b	4933422O14Rik|9630002F18|AI845682|AI848168|BB075781|D17Bwg0511e|GKAP/SAPAP|GKPA/SAPAP|Gkap|Sapap1|mKIAA4162	-	Affinity Capture-MS	physical	Li J (2016)	27507650	10090	10090	High Throughput	-	-	-	-	-	BIOGRID
1527160	224997	13385	230347	199230	-	RP23-172M21.9	Dlgap1	Dlg4	4933422O14Rik|9630002F18|AI845682|AI848168|BB075781|D17Bwg0511e|GKAP/SAPAP|GKPA/SAPAP|Gkap|Sapap1|mKIAA4162	Dlgh4|PSD-95|PSD95|SAP90|SAP90A	Affinity Capture-MS	physical	Li J (2016)	27507650	10090	10090	High Throughput	-	-	-	-	-	BIOGRID
1527161	224997	23859	230347	204763	-	mCG_22690	Dlgap1	Dlg2	4933422O14Rik|9630002F18|AI845682|AI848168|BB075781|D17Bwg0511e|GKAP/SAPAP|GKPA/SAPAP|Gkap|Sapap1|mKIAA4162	A330103J02Rik|B230218P12Rik|B330007M19Rik|Dlgh2|Gm1197|PSD93	Affinity Capture-MS	physical	Li J (2016)	27507650	10090	10090	High Throughput	-	-	-	-	-	BIOGRID
1527162	224997	12325	230347	198463	-	-	Dlgap1	Camk2g	4933422O14Rik|9630002F18|AI845682|AI848168|BB075781|D17Bwg0511e|GKAP/SAPAP|GKPA/SAPAP|Gkap|Sapap1|mKIAA4162	Camkg	Affinity Capture-MS	physical	Li J (2016)	27507650	10090	10090	High Throughput	-	-	-	-	-	BIOGRID
1527163	224997	108058	230347	223798	-	-	Dlgap1	Camk2d	4933422O14Rik|9630002F18|AI845682|AI848168|BB075781|D17Bwg0511e|GKAP/SAPAP|GKPA/SAPAP|Gkap|Sapap1|mKIAA4162	2810011D23Rik|8030469K03Rik|CaMK II|[d]-CaMKII	Affinity Capture-MS	physical	Li J (2016)	27507650	10090	10090	High Throughput	-	-	-	-	-	BIOGRID
