#BioGRID Interaction ID	Entrez Gene Interactor A	Entrez Gene Interactor B	BioGRID ID Interactor A	BioGRID ID Interactor B	Systematic Name Interactor A	Systematic Name Interactor B	Official Symbol Interactor A	Official Symbol Interactor B	Synonyms Interactor A	Synonyms Interactor B	Experimental System	Experimental System Type	Author	Pubmed ID	Organism Interactor A	Organism Interactor B	Throughput	Score	Modification	Phenotypes	Qualifications	Tags	Source Database
119473	79036	81631	122501	123565	-	-	KXD1	MAP1LC3B	C19orf50|KXDL|MST096|MSTP096	ATG8F|LC3B|MAP1A/1BLC3|MAP1LC3B-a	Two-hybrid	physical	Rual JF (2005)	16189514	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
270503	81631	51631	123565	119646	-	CGI-59	MAP1LC3B	LUC7L2	ATG8F|LC3B|MAP1A/1BLC3|MAP1LC3B-a	CGI-74|LUC7B2	Two-hybrid	physical	Stelzl U (2005)	16169070	9606	9606	High Throughput	2.0	-	-	-	-	BIOGRID
271197	81631	23192	123565	116801	-	-	MAP1LC3B	ATG4B	ATG8F|LC3B|MAP1A/1BLC3|MAP1LC3B-a	APG4B|AUTL1	Two-hybrid	physical	Stelzl U (2005)	16169070	9606	9606	High Throughput	3.0	-	-	-	-	BIOGRID
271198	81631	84078	123565	123873	-	-	MAP1LC3B	KBTBD7	ATG8F|LC3B|MAP1A/1BLC3|MAP1LC3B-a	-	Two-hybrid	physical	Stelzl U (2005)	16169070	9606	9606	High Throughput	3.0	-	-	-	-	BIOGRID
271199	81631	8878	123565	114397	-	-	MAP1LC3B	SQSTM1	ATG8F|LC3B|MAP1A/1BLC3|MAP1LC3B-a	A170|OSIL|PDB3|ZIP3|p60|p62|p62B	Two-hybrid	physical	Stelzl U (2005)	16169070	9606	9606	High Throughput	3.0	-	-	-	-	BIOGRID
446315	81631	4131	123565	110304	-	-	MAP1LC3B	MAP1B	ATG8F|LC3B|MAP1A/1BLC3|MAP1LC3B-a	FUTSCH|MAP5|PPP1R102	Affinity Capture-MS	physical	Behrends C (2010)	20562859	9606	9606	High Throughput	-	-	-	Exogenous expression of bait	-	BIOGRID
446316	81631	79443	123565	122669	-	-	MAP1LC3B	FYCO1	ATG8F|LC3B|MAP1A/1BLC3|MAP1LC3B-a	CATC2|CTRCT18|RUFY3|ZFYVE7	Affinity Capture-MS	physical	Behrends C (2010)	20562859	9606	9606	High Throughput	-	-	-	Exogenous expression of bait	-	BIOGRID
446317	81631	4130	123565	110303	-	-	MAP1LC3B	MAP1A	ATG8F|LC3B|MAP1A/1BLC3|MAP1LC3B-a	MAP1L|MTAP1A	Affinity Capture-MS	physical	Behrends C (2010)	20562859	9606	9606	High Throughput	-	-	-	Exogenous expression of bait	-	BIOGRID
446318	81631	1793	123565	108128	-	RP11-82L9.1	MAP1LC3B	DOCK1	ATG8F|LC3B|MAP1A/1BLC3|MAP1LC3B-a	DOCK180|ced5	Affinity Capture-MS	physical	Behrends C (2010)	20562859	9606	9606	High Throughput	-	-	-	Exogenous expression of bait	-	BIOGRID
446319	81631	6789	123565	112665	-	-	MAP1LC3B	STK4	ATG8F|LC3B|MAP1A/1BLC3|MAP1LC3B-a	KRS2|MST1|TIIAC|YSK3	Affinity Capture-MS	physical	Behrends C (2010)	20562859	9606	9606	High Throughput	-	-	-	Exogenous expression of bait	-	BIOGRID
446320	81631	83593	123565	123689	-	RP11-343H5.1	MAP1LC3B	RASSF5	ATG8F|LC3B|MAP1A/1BLC3|MAP1LC3B-a	Maxp1|NORE1|NORE1A|NORE1B|RAPL|RASSF3	Affinity Capture-MS	physical	Behrends C (2010)	20562859	9606	9606	High Throughput	-	-	-	Exogenous expression of bait	-	BIOGRID
446321	81631	8878	123565	114397	-	-	MAP1LC3B	SQSTM1	ATG8F|LC3B|MAP1A/1BLC3|MAP1LC3B-a	A170|OSIL|PDB3|ZIP3|p60|p62|p62B	Affinity Capture-MS	physical	Behrends C (2010)	20562859	9606	9606	High Throughput	-	-	-	Exogenous expression of bait	-	BIOGRID
446322	81631	10533	123565	115787	-	-	MAP1LC3B	ATG7	ATG8F|LC3B|MAP1A/1BLC3|MAP1LC3B-a	APG7-LIKE|APG7L|GSA7	Affinity Capture-MS	physical	Behrends C (2010)	20562859	9606	9606	High Throughput	-	-	-	Exogenous expression of bait	-	BIOGRID
446323	81631	23192	123565	116801	-	-	MAP1LC3B	ATG4B	ATG8F|LC3B|MAP1A/1BLC3|MAP1LC3B-a	APG4B|AUTL1	Affinity Capture-MS	physical	Behrends C (2010)	20562859	9606	9606	High Throughput	-	-	-	Exogenous expression of bait	-	BIOGRID
446324	81631	6788	123565	112664	-	-	MAP1LC3B	STK3	ATG8F|LC3B|MAP1A/1BLC3|MAP1LC3B-a	KRS1|MST2	Affinity Capture-MS	physical	Behrends C (2010)	20562859	9606	9606	High Throughput	-	-	-	Exogenous expression of bait	-	BIOGRID
446325	81631	2631	123565	108901	-	-	MAP1LC3B	GBAS	ATG8F|LC3B|MAP1A/1BLC3|MAP1LC3B-a	NIPSNAP2	Affinity Capture-MS	physical	Behrends C (2010)	20562859	9606	9606	High Throughput	-	-	-	Exogenous expression of bait	-	BIOGRID
446326	81631	55054	123565	120375	-	hCG_1817841	MAP1LC3B	ATG16L1	ATG8F|LC3B|MAP1A/1BLC3|MAP1LC3B-a	APG16L|ATG16A|ATG16L|IBD10|WDR30	Affinity Capture-MS	physical	Behrends C (2010)	20562859	9606	9606	High Throughput	-	-	-	Exogenous expression of bait	-	BIOGRID
446327	81631	84557	123565	124137	-	RP11-346K17.1	MAP1LC3B	MAP1LC3A	ATG8F|LC3B|MAP1A/1BLC3|MAP1LC3B-a	ATG8E|LC3|LC3A|MAP1ALC3|MAP1BLC3	Affinity Capture-MS	physical	Behrends C (2010)	20562859	9606	9606	High Throughput	-	-	-	Exogenous expression of bait	-	BIOGRID
446328	81631	8508	123565	114080	-	-	MAP1LC3B	NIPSNAP1	ATG8F|LC3B|MAP1A/1BLC3|MAP1LC3B-a	-	Affinity Capture-MS	physical	Behrends C (2010)	20562859	9606	9606	High Throughput	-	-	-	Exogenous expression of bait	-	BIOGRID
446329	81631	9685	123565	115038	-	-	MAP1LC3B	CLINT1	ATG8F|LC3B|MAP1A/1BLC3|MAP1LC3B-a	CLINT|ENTH|EPN4|EPNR	Affinity Capture-MS	physical	Behrends C (2010)	20562859	9606	9606	High Throughput	-	-	-	Exogenous expression of bait	-	BIOGRID
446330	81631	54958	123565	120296	-	-	MAP1LC3B	TMEM160	ATG8F|LC3B|MAP1A/1BLC3|MAP1LC3B-a	-	Affinity Capture-MS	physical	Behrends C (2010)	20562859	9606	9606	High Throughput	-	-	-	Exogenous expression of bait	-	BIOGRID
446331	81631	3032	123565	109282	-	MSTP029	MAP1LC3B	HADHB	ATG8F|LC3B|MAP1A/1BLC3|MAP1LC3B-a	ECHB|MTPB|TP-BETA	Affinity Capture-MS	physical	Behrends C (2010)	20562859	9606	9606	High Throughput	-	-	-	Exogenous expression of bait	-	BIOGRID
446332	81631	3030	123565	109280	-	-	MAP1LC3B	HADHA	ATG8F|LC3B|MAP1A/1BLC3|MAP1LC3B-a	ECHA|GBP|HADH|LCEH|LCHAD|MTPA|TP-ALPHA	Affinity Capture-MS	physical	Behrends C (2010)	20562859	9606	9606	High Throughput	-	-	-	Exogenous expression of bait	-	BIOGRID
446333	81631	64422	123565	122171	-	-	MAP1LC3B	ATG3	ATG8F|LC3B|MAP1A/1BLC3|MAP1LC3B-a	APG3|APG3-LIKE|APG3L|PC3-96	Affinity Capture-MS	physical	Behrends C (2010)	20562859	9606	9606	High Throughput	-	-	-	Exogenous expression of bait	-	BIOGRID
446334	81631	5584	123565	111570	-	-	MAP1LC3B	PRKCI	ATG8F|LC3B|MAP1A/1BLC3|MAP1LC3B-a	DXS1179E|PKCI|nPKC-iota	Affinity Capture-MS	physical	Behrends C (2010)	20562859	9606	9606	High Throughput	-	-	-	Exogenous expression of bait	-	BIOGRID
446335	81631	9474	123565	114859	-	-	MAP1LC3B	ATG5	ATG8F|LC3B|MAP1A/1BLC3|MAP1LC3B-a	APG5|APG5-LIKE|APG5L|ASP|hAPG5	Affinity Capture-MS	physical	Behrends C (2010)	20562859	9606	9606	High Throughput	-	-	-	Exogenous expression of bait	-	BIOGRID
446336	81631	9817	123565	115156	-	-	MAP1LC3B	KEAP1	ATG8F|LC3B|MAP1A/1BLC3|MAP1LC3B-a	INrf2|KLHL19	Affinity Capture-MS	physical	Behrends C (2010)	20562859	9606	9606	High Throughput	-	-	-	Exogenous expression of bait	-	BIOGRID
446337	81631	11337	123565	116465	-	HT004	MAP1LC3B	GABARAP	ATG8F|LC3B|MAP1A/1BLC3|MAP1LC3B-a	ATG8A|GABARAP-a|MM46	Affinity Capture-MS	physical	Behrends C (2010)	20562859	9606	9606	High Throughput	-	-	-	Exogenous expression of bait	-	BIOGRID
602519	81631	93621	123565	125039	-	-	MAP1LC3B	MRFAP1	ATG8F|LC3B|MAP1A/1BLC3|MAP1LC3B-a	PAM14|PGR1	Two-hybrid	physical	Vinayagam A (2011)	21900206	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
602520	81631	118	123565	106631	-	RP11-520M5.1	MAP1LC3B	ADD1	ATG8F|LC3B|MAP1A/1BLC3|MAP1LC3B-a	ADDA	Two-hybrid	physical	Vinayagam A (2011)	21900206	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
