#BioGRID Interaction ID	Entrez Gene Interactor A	Entrez Gene Interactor B	BioGRID ID Interactor A	BioGRID ID Interactor B	Systematic Name Interactor A	Systematic Name Interactor B	Official Symbol Interactor A	Official Symbol Interactor B	Synonyms Interactor A	Synonyms Interactor B	Experimental System	Experimental System Type	Author	Pubmed ID	Organism Interactor A	Organism Interactor B	Throughput	Score	Modification	Phenotypes	Qualifications	Tags	Source Database
663873	1994	80011	108309	123067	-	CDA10	ELAVL1	FAM192A	ELAV1|HUR|Hua|MelG	C16orf94|CDA018|NIP30	Affinity Capture-RNA	physical	Abdelmohsen K (2009)	19322201	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
727114	23400	80011	116973	123067	RP1-37C10.4	CDA10	ATP13A2	FAM192A	CLN12|HSA9947|KRPPD|PARK9	C16orf94|CDA018|NIP30	Two-hybrid	physical	Usenovic M (2012)	22645275	9606	9606	High Throughput	-	-	-	table S1. split-ubiquitin (Ub) membrane yeast two-hybrid (MYTH) system	-	BIOGRID
871783	4000	80011	110186	123067	RP11-54H19.1	CDA10	LMNA	FAM192A	CDCD1|CDDC|CMD1A|CMT2B1|EMD2|FPL|FPLD|FPLD2|HGPS|IDC|LDP1|LFP|LGMD1B|LMN1|LMNC|LMNL1|PRO1	C16orf94|CDA018|NIP30	Proximity Label-MS	physical	Roux KJ (2012)	22412018	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
907176	1198	80011	107609	123067	-	CDA10	CLK3	FAM192A	PHCLK3|PHCLK3/152	C16orf94|CDA018|NIP30	Affinity Capture-MS	physical	Varjosalo M (2013)	23602568	9606	9606	High Throughput	-	-	-	Exogenous expresssion of bait	-	BIOGRID
949297	100506164	80011	325062	123067	hCG_27154	CDA10	HSFX1	FAM192A	LW-1	C16orf94|CDA018|NIP30	Affinity Capture-Luminescence	physical	Taipale M (2014)	25036637	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
950126	100506164	80011	325062	123067	hCG_27154	CDA10	HSFX1	FAM192A	LW-1	C16orf94|CDA018|NIP30	Affinity Capture-MS	physical	Taipale M (2014)	25036637	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
1042981	7186	80011	113038	123067	-	CDA10	TRAF2	FAM192A	MGC:45012|TRAP|TRAP3	C16orf94|CDA018|NIP30	Two-hybrid	physical	Rolland T (2014)	25416956	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
1052621	4343	80011	110484	123067	RP11-426L16.2	CDA10	MOV10	FAM192A	fSAP113|gb110	C16orf94|CDA018|NIP30	Affinity Capture-RNA	physical	Castello A (2012)	22658674	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
1053631	10482	80011	115745	123067	-	CDA10	NXF1	FAM192A	MEX67|TAP	C16orf94|CDA018|NIP30	Affinity Capture-RNA	physical	Castello A (2012)	22658674	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
1176139	23125	80011	116744	123067	-	CDA10	CAMTA2	FAM192A	-	C16orf94|CDA018|NIP30	Affinity Capture-MS	physical	Huttlin EL (2015)	26186194	9606	9606	High Throughput	0.982164954	-	-	BioPlex 1.0 HEK 293T cells CompPASS score = 0.982164954, threshold = 0.75. Quantitative scores calculated by CompPASS-Plus (Huttlin et al. Cell, 2015, PMID: 26186194).|See BioPlex Interactome for details (https://bioplex.hms.harvard.edu/index.php).|This data has also been reanalyzed as part of BioPlex 2.0 (PMID: 28514442) and BioPlex 3.0 (PMID: 33961781). Only scores from within BioPlex 1.0 (PMID: 26186194) should be compared directly.	-	BIOGRID
1176437	79005	80011	122476	123067	RP11-68I18.6	CDA10	SCNM1	FAM192A	-	C16orf94|CDA018|NIP30	Affinity Capture-MS	physical	Huttlin EL (2015)	26186194	9606	9606	High Throughput	0.775191399	-	-	BioPlex 1.0 HEK 293T cells CompPASS score = 0.775191399, threshold = 0.75. Quantitative scores calculated by CompPASS-Plus (Huttlin et al. Cell, 2015, PMID: 26186194).|See BioPlex Interactome for details (https://bioplex.hms.harvard.edu/index.php).|This data has also been reanalyzed as part of BioPlex 2.0 (PMID: 28514442) and BioPlex 3.0 (PMID: 33961781). Only scores from within BioPlex 1.0 (PMID: 26186194) should be compared directly.	-	BIOGRID
1176815	10197	80011	115492	123067	-	CDA10	PSME3	FAM192A	HEL-S-283|Ki|PA28-gamma|PA28G|PA28gamma|REG-GAMMA	C16orf94|CDA018|NIP30	Affinity Capture-MS	physical	Huttlin EL (2015)	26186194	9606	9606	High Throughput	0.999564094	-	-	BioPlex 1.0 HEK 293T cells CompPASS score = 0.999564094, threshold = 0.75. Quantitative scores calculated by CompPASS-Plus (Huttlin et al. Cell, 2015, PMID: 26186194).|See BioPlex Interactome for details (https://bioplex.hms.harvard.edu/index.php).|This data has also been reanalyzed as part of BioPlex 2.0 (PMID: 28514442) and BioPlex 3.0 (PMID: 33961781). Only scores from within BioPlex 1.0 (PMID: 26186194) should be compared directly.	-	BIOGRID
1177310	80011	5682	123067	111655	CDA10	-	FAM192A	PSMA1	C16orf94|CDA018|NIP30	HC2|HEL-S-275|NU|PROS30	Affinity Capture-MS	physical	Huttlin EL (2015)	26186194	9606	9606	High Throughput	0.882219437	-	-	BioPlex 1.0 HEK 293T cells CompPASS score = 0.882219437, threshold = 0.75. Quantitative scores calculated by CompPASS-Plus (Huttlin et al. Cell, 2015, PMID: 26186194).|See BioPlex Interactome for details (https://bioplex.hms.harvard.edu/index.php).|This data has also been reanalyzed as part of BioPlex 2.0 (PMID: 28514442) and BioPlex 3.0 (PMID: 33961781). Only scores from within BioPlex 1.0 (PMID: 26186194) should be compared directly.	-	BIOGRID
1177311	80011	79869	123067	122957	CDA10	-	FAM192A	CPSF7	C16orf94|CDA018|NIP30	CFIm59	Affinity Capture-MS	physical	Huttlin EL (2015)	26186194	9606	9606	High Throughput	0.927836518	-	-	BioPlex 1.0 HEK 293T cells CompPASS score = 0.927836518, threshold = 0.75. Quantitative scores calculated by CompPASS-Plus (Huttlin et al. Cell, 2015, PMID: 26186194).|See BioPlex Interactome for details (https://bioplex.hms.harvard.edu/index.php).|This data has also been reanalyzed as part of BioPlex 2.0 (PMID: 28514442) and BioPlex 3.0 (PMID: 33961781). Only scores from within BioPlex 1.0 (PMID: 26186194) should be compared directly.	-	BIOGRID
1179748	142684	80011	126773	123067	LL0XNC01-250H12.1	CDA10	RAB40A	FAM192A	RAR2|RAR2A	C16orf94|CDA018|NIP30	Affinity Capture-MS	physical	Huttlin EL (2015)	26186194	9606	9606	High Throughput	0.911531515	-	-	BioPlex 1.0 HEK 293T cells CompPASS score = 0.911531515, threshold = 0.75. Quantitative scores calculated by CompPASS-Plus (Huttlin et al. Cell, 2015, PMID: 26186194).|See BioPlex Interactome for details (https://bioplex.hms.harvard.edu/index.php).|This data has also been reanalyzed as part of BioPlex 2.0 (PMID: 28514442) and BioPlex 3.0 (PMID: 33961781). Only scores from within BioPlex 1.0 (PMID: 26186194) should be compared directly.	-	BIOGRID
1181065	57035	80011	121332	123067	HT033	CDA10	RSRP1	FAM192A	C1orf63|DJ465N24.2.1|NPD014	C16orf94|CDA018|NIP30	Affinity Capture-MS	physical	Huttlin EL (2015)	26186194	9606	9606	High Throughput	0.950065113	-	-	BioPlex 1.0 HEK 293T cells CompPASS score = 0.950065113, threshold = 0.75. Quantitative scores calculated by CompPASS-Plus (Huttlin et al. Cell, 2015, PMID: 26186194).|See BioPlex Interactome for details (https://bioplex.hms.harvard.edu/index.php).|This data has also been reanalyzed as part of BioPlex 2.0 (PMID: 28514442) and BioPlex 3.0 (PMID: 33961781). Only scores from within BioPlex 1.0 (PMID: 26186194) should be compared directly.	-	BIOGRID
1183505	282808	80011	129420	123067	LL0XNC01-237H1.1	CDA10	RAB40AL	FAM192A	MRXSMP|RAR2|RLGP	C16orf94|CDA018|NIP30	Affinity Capture-MS	physical	Huttlin EL (2015)	26186194	9606	9606	High Throughput	0.998936291	-	-	BioPlex 1.0 HEK 293T cells CompPASS score = 0.998936291, threshold = 0.75. Quantitative scores calculated by CompPASS-Plus (Huttlin et al. Cell, 2015, PMID: 26186194).|See BioPlex Interactome for details (https://bioplex.hms.harvard.edu/index.php).|This data has also been reanalyzed as part of BioPlex 2.0 (PMID: 28514442) and BioPlex 3.0 (PMID: 33961781). Only scores from within BioPlex 1.0 (PMID: 26186194) should be compared directly.	-	BIOGRID
1194124	653404	80011	575756	123067	-	CDA10	FOXD4L6	FAM192A	-	C16orf94|CDA018|NIP30	Affinity Capture-MS	physical	Huttlin EL (2015)	26186194	9606	9606	High Throughput	0.828097304	-	-	BioPlex 1.0 HEK 293T cells CompPASS score = 0.828097304, threshold = 0.75. Quantitative scores calculated by CompPASS-Plus (Huttlin et al. Cell, 2015, PMID: 26186194).|See BioPlex Interactome for details (https://bioplex.hms.harvard.edu/index.php).|This data has also been reanalyzed as part of BioPlex 2.0 (PMID: 28514442) and BioPlex 3.0 (PMID: 33961781). Only scores from within BioPlex 1.0 (PMID: 26186194) should be compared directly.	-	BIOGRID
