#BioGRID Interaction ID	Entrez Gene Interactor A	Entrez Gene Interactor B	BioGRID ID Interactor A	BioGRID ID Interactor B	Systematic Name Interactor A	Systematic Name Interactor B	Official Symbol Interactor A	Official Symbol Interactor B	Synonyms Interactor A	Synonyms Interactor B	Experimental System	Experimental System Type	Author	Pubmed ID	Organism Interactor A	Organism Interactor B	Throughput	Score	Modification	Phenotypes	Qualifications	Tags	Source Database
120646	7004	25937	112863	117434	-	-	TEAD4	WWTR1	EFTR-2|RTEF1|TCF13L1|TEF-3|TEF3|TEFR-1|hRTEF-1B	TAZ	Two-hybrid	physical	Rual JF (2005)	16189514	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
121612	7005	25937	112864	117434	RP1-109F14.4	-	TEAD3	WWTR1	DTEF-1|ETFR-1|TEAD-3|TEAD5|TEF-5|TEF5	TAZ	Two-hybrid	physical	Rual JF (2005)	16189514	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
282819	25937	9351	117434	114754	-	-	WWTR1	SLC9A3R2	TAZ	E3KARP|NHE3RF2|NHERF-2|NHERF2|OCTS2|SIP-1|SIP1|TKA-1	Affinity Capture-Western	physical	Kanai F (2000)	11118213	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
464848	7531	25937	113363	117434	-	-	YWHAE	WWTR1	14-3-3E|HEL2|KCIP-1|MDCR|MDS	TAZ	Two-hybrid	physical	Bandyopadhyay S (2010)	20936779	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
464849	7534	25937	113366	117434	-	-	YWHAZ	WWTR1	14-3-3-zeta|HEL-S-3|HEL4|KCIP-1|YWHAD	TAZ	Two-hybrid	physical	Bandyopadhyay S (2010)	20936779	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
464850	7532	25937	113364	117434	-	-	YWHAG	WWTR1	14-3-3GAMMA|PPP1R170	TAZ	Two-hybrid	physical	Bandyopadhyay S (2010)	20936779	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
594726	25937	688	117434	107153	-	RP11-505F3.5	WWTR1	KLF5	TAZ	BTEB2|CKLF|IKLF	Affinity Capture-Western	physical	Zhao D (2011)	22045023	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
594727	688	25937	107153	117434	RP11-505F3.5	-	KLF5	WWTR1	BTEB2|CKLF|IKLF	TAZ	Affinity Capture-Western	physical	Zhao D (2011)	22045023	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
684623	25937	5499	117434	111493	-	-	WWTR1	PPP1CA	TAZ	PP-1A|PP1A|PP1alpha|PPP1A	Affinity Capture-MS	physical	Liu CY (2011)	21189257	9606	9606	Low Throughput	-	-	-	figure 1A.	-	BIOGRID
684624	25937	7159	117434	113012	-	-	WWTR1	TP53BP2	TAZ	53BP2|ASPP2|BBP|P53BP2|PPP1R13A	Affinity Capture-MS	physical	Liu CY (2011)	21189257	9606	9606	Low Throughput	-	-	-	figure S2.	-	BIOGRID
