#BioGRID Interaction ID	Entrez Gene Interactor A	Entrez Gene Interactor B	BioGRID ID Interactor A	BioGRID ID Interactor B	Systematic Name Interactor A	Systematic Name Interactor B	Official Symbol Interactor A	Official Symbol Interactor B	Synonyms Interactor A	Synonyms Interactor B	Experimental System	Experimental System Type	Author	Pubmed ID	Organism Interactor A	Organism Interactor B	Throughput	Score	Modification	Phenotypes	Qualifications	Tags	Source Database
252707	28996	1616	118815	107985	-	DADB-159G18.9	HIPK2	DAXX	PRO0593	BING2|DAP6|EAP1	Reconstituted Complex	physical	Hofmann TG (2003)	14678985	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
252708	28996	1616	118815	107985	-	DADB-159G18.9	HIPK2	DAXX	PRO0593	BING2|DAP6|EAP1	Affinity Capture-Western	physical	Hofmann TG (2003)	14678985	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
252827	28996	6672	118815	112555	-	-	HIPK2	SP100	PRO0593	lysp100b	Affinity Capture-Western	physical	Moeller A (2003)	14647468	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
253164	7329	28996	113177	118815	LA16c-358B7.1	-	UBE2I	HIPK2	C358B7.1|P18|UBC9	PRO0593	Two-hybrid	physical	Lee BH (2003)	14609633	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
253168	7341	28996	113188	118815	OK/SW-cl.43	-	SUMO1	HIPK2	DAP1|GMP1|OFC10|PIC1|SENP2|SMT3|SMT3C|SMT3H3|UBL1	PRO0593	Two-hybrid	physical	Lee BH (2003)	14609633	9606	9606	Low Throughput	-	-	-	#LPPI|Likely protein-protein interaction	-	BIOGRID
256014	6497	28996	112388	118815	-	-	SKI	HIPK2	SGS|SKV	PRO0593	Reconstituted Complex	physical	Harada J (2003)	12874272	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
256015	28996	6497	118815	112388	-	-	HIPK2	SKI	PRO0593	SGS|SKV	Reconstituted Complex	physical	Harada J (2003)	12874272	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
256016	28996	6497	118815	112388	-	-	HIPK2	SKI	PRO0593	SGS|SKV	Affinity Capture-Western	physical	Harada J (2003)	12874272	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
256017	4086	28996	110261	118815	-	-	SMAD1	HIPK2	BSP-1|BSP1|JV4-1|JV41|MADH1|MADR1	PRO0593	Reconstituted Complex	physical	Harada J (2003)	12874272	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
256019	4087	28996	110262	118815	-	-	SMAD2	HIPK2	JV18|JV18-1|MADH2|MADR2|hMAD-2|hSMAD2	PRO0593	Reconstituted Complex	physical	Harada J (2003)	12874272	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
256022	4088	28996	110263	118815	-	-	SMAD3	HIPK2	HSPC193|HsT17436|JV15-2|LDS1C|LDS3|MADH3	PRO0593	Reconstituted Complex	physical	Harada J (2003)	12874272	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
256025	4086	28996	110261	118815	-	-	SMAD1	HIPK2	BSP-1|BSP1|JV4-1|JV41|MADH1|MADR1	PRO0593	Affinity Capture-Western	physical	Harada J (2003)	12874272	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
256026	28996	4086	118815	110261	-	-	HIPK2	SMAD1	PRO0593	BSP-1|BSP1|JV4-1|JV41|MADH1|MADR1	Affinity Capture-Western	physical	Harada J (2003)	12874272	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
256265	94241	28996	125152	118815	-	-	TP53INP1	HIPK2	SIP|TP53DINP1|TP53INP1A|TP53INP1B|Teap|p53DINP1	PRO0593	Reconstituted Complex	physical	Tomasini R (2003)	12851404	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
256267	28996	94241	118815	125152	-	-	HIPK2	TP53INP1	PRO0593	SIP|TP53DINP1|TP53INP1A|TP53INP1B|Teap|p53DINP1	Reconstituted Complex	physical	Tomasini R (2003)	12851404	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
256270	94241	28996	125152	118815	-	-	TP53INP1	HIPK2	SIP|TP53DINP1|TP53INP1A|TP53INP1B|Teap|p53DINP1	PRO0593	Affinity Capture-Western	physical	Tomasini R (2003)	12851404	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
263551	7157	28996	113010	118815	-	-	TP53	HIPK2	BCC7|LFS1|P53|TRP53	PRO0593	Reconstituted Complex	physical	Hofmann TG (2002)	11740489	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
263552	28996	7157	118815	113010	-	-	HIPK2	TP53	PRO0593	BCC7|LFS1|P53|TRP53	Affinity Capture-Western	physical	Hofmann TG (2002)	11740489	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
263553	28996	7157	118815	113010	-	-	HIPK2	TP53	PRO0593	BCC7|LFS1|P53|TRP53	Biochemical Activity	physical	Hofmann TG (2002)	11740489	9606	9606	Low Throughput	-	Phosphorylation	-	-	-	BIOGRID
263554	28996	1387	118815	107777	-	-	HIPK2	CREBBP	PRO0593	CBP|KAT3A|RSTS	Affinity Capture-Western	physical	Hofmann TG (2002)	11740489	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
263555	1387	28996	107777	118815	-	-	CREBBP	HIPK2	CBP|KAT3A|RSTS	PRO0593	Affinity Capture-Western	physical	Hofmann TG (2002)	11740489	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
263556	7157	28996	113010	118815	-	-	TP53	HIPK2	BCC7|LFS1|P53|TRP53	PRO0593	Affinity Capture-Western	physical	Hofmann TG (2002)	11740489	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
281377	28996	10048	118815	115359	-	-	HIPK2	RANBP9	PRO0593	BPM-L|BPM90|RANBPM|RanBP7	Two-hybrid	physical	Wang Y (2002)	12220523	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
281378	28996	10048	118815	115359	-	-	HIPK2	RANBP9	PRO0593	BPM-L|BPM90|RANBPM|RanBP7	Affinity Capture-Western	physical	Wang Y (2002)	12220523	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
282083	7080	28996	112936	118815	-	-	NKX2-1	HIPK2	BCH|BHC|NK-2|NKX2.1|NKX2A|T/EBP|TEBP|TITF1|TTF-1|TTF1	PRO0593	Two-hybrid	physical	Missero C (2001)	11438542	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
288021	22196	28996	204408	118815	-	-	Ube2i	HIPK2	5830467E05Rik|F830028O17Rik|UBC9|Ubce2i|Ubce9	PRO0593	Reconstituted Complex	physical	Kim YH (1999)	10535925	10090	9606	Low Throughput	-	-	-	-	-	BIOGRID
288025	28996	22196	118815	204408	-	-	HIPK2	Ube2i	PRO0593	5830467E05Rik|F830028O17Rik|UBC9|Ubce2i|Ubce9	Two-hybrid	physical	Kim YH (1999)	10535925	9606	10090	Low Throughput	-	-	-	-	-	BIOGRID
300357	28996	8717	118815	114257	-	-	HIPK2	TRADD	PRO0593	Hs.89862	Affinity Capture-Western	physical	Li X (2000)	11032752	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
314470	7161	28996	113014	118815	-	-	TP73	HIPK2	P73	PRO0593	Two-hybrid	physical	Kim EJ (2002)	11925430	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
314471	7157	28996	113010	118815	-	-	TP53	HIPK2	BCC7|LFS1|P53|TRP53	PRO0593	Two-hybrid	physical	Kim EJ (2002)	11925430	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
314472	8626	28996	114181	118815	-	-	TP63	HIPK2	AIS|B(p51A)|B(p51B)|EEC3|KET|LMS|NBP|OFC8|RHS|SHFM4|TP53CP|TP53L|TP73L|p40|p51|p53CP|p63|p73H|p73L	PRO0593	Two-hybrid	physical	Kim EJ (2002)	11925430	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
321922	28996	55294	118815	120581	-	-	HIPK2	FBXW7	PRO0593	AGO|CDC4|FBW6|FBW7|FBX30|FBXO30|FBXW6|SEL-10|SEL10|hAgo|hCdc4	Affinity Capture-Western	physical	Kanei-Ishii C (2008)	18765672	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
321923	28996	8945	118815	114457	-	RP11-529I10.2	HIPK2	BTRC	PRO0593	BETA-TRCP|FBW1A|FBXW1|FBXW1A|FWD1|bTrCP|bTrCP1|betaTrCP	Affinity Capture-Western	physical	Kanei-Ishii C (2008)	18765672	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
321928	28996	8454	118815	114032	-	-	HIPK2	CUL1	PRO0593	-	Affinity Capture-Western	physical	Kanei-Ishii C (2008)	18765672	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
