#BioGRID Interaction ID	Entrez Gene Interactor A	Entrez Gene Interactor B	BioGRID ID Interactor A	BioGRID ID Interactor B	Systematic Name Interactor A	Systematic Name Interactor B	Official Symbol Interactor A	Official Symbol Interactor B	Synonyms Interactor A	Synonyms Interactor B	Experimental System	Experimental System Type	Author	Pubmed ID	Organism Interactor A	Organism Interactor B	Throughput	Score	Modification	Phenotypes	Qualifications	Tags	Source Database
122120	79760	79833	122869	122925	-	-	GEMIN7	GEMIN6	SIP3	-	Two-hybrid	physical	Rual JF (2005)	16189514	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
269589	51280	79760	119432	122869	RP11-379P1.3	-	GOLM1	GEMIN7	C9orf155|GOLPH2|GP73|HEL46|PSEC0257|bA379P1.3	SIP3	Two-hybrid	physical	Stelzl U (2005)	16169070	9606	9606	High Throughput	1.0	-	-	-	-	BIOGRID
270365	79760	10524	122869	115779	-	-	GEMIN7	KAT5	SIP3	ESA1|HTATIP|HTATIP1|PLIP|TIP|TIP60|ZC2HC5|cPLA2	Two-hybrid	physical	Stelzl U (2005)	16169070	9606	9606	High Throughput	2.0	-	-	-	-	BIOGRID
287156	79760	79833	122869	122925	-	-	GEMIN7	GEMIN6	SIP3	-	Reconstituted Complex	physical	Baccon J (2002)	12065586	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
287157	79760	6606	122869	112490	-	-	GEMIN7	SMN1	SIP3	BCD541|GEMIN1|SMA|SMA1|SMA2|SMA3|SMA4|SMA@|SMN|SMNT|T-BCD541|TDRD16A	Reconstituted Complex	physical	Baccon J (2002)	12065586	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
287158	79760	79833	122869	122925	-	-	GEMIN7	GEMIN6	SIP3	-	Affinity Capture-Western	physical	Baccon J (2002)	12065586	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
287159	79760	6606	122869	112490	-	-	GEMIN7	SMN1	SIP3	BCD541|GEMIN1|SMA|SMA1|SMA2|SMA3|SMA4|SMA@|SMN|SMNT|T-BCD541|TDRD16A	Affinity Capture-Western	physical	Baccon J (2002)	12065586	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
289126	6606	79760	112490	122869	-	-	SMN1	GEMIN7	BCD541|GEMIN1|SMA|SMA1|SMA2|SMA3|SMA4|SMA@|SMN|SMNT|T-BCD541|TDRD16A	SIP3	Reconstituted Complex	physical	Pellizzoni L (2002)	11748230	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
566533	6606	79760	112490	122869	-	-	SMN1	GEMIN7	BCD541|GEMIN1|SMA|SMA1|SMA2|SMA3|SMA4|SMA@|SMN|SMNT|T-BCD541|TDRD16A	SIP3	Affinity Capture-MS	physical	Fuller HR (2010)	19928837	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
602692	79760	9638	122869	114997	-	-	GEMIN7	FEZ1	SIP3	-	Two-hybrid	physical	Vinayagam A (2011)	21900206	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
