#BioGRID Interaction ID	Entrez Gene Interactor A	Entrez Gene Interactor B	BioGRID ID Interactor A	BioGRID ID Interactor B	Systematic Name Interactor A	Systematic Name Interactor B	Official Symbol Interactor A	Official Symbol Interactor B	Synonyms Interactor A	Synonyms Interactor B	Experimental System	Experimental System Type	Author	Pubmed ID	Organism Interactor A	Organism Interactor B	Throughput	Score	Modification	Phenotypes	Qualifications	Tags	Source Database
255756	23405	192669	116978	128177	-	RP4-789D17.2	DICER1	AGO3	DCR1|Dicer|Dicer1e|HERNA|K12H4.8-LIKE|MNG1|RMSE2	EIF2C3	Affinity Capture-Western	physical	Sasaki T (2003)	12906857	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
561174	7316	192669	113164	128177	-	RP4-789D17.2	UBC	AGO3	HMG20	EIF2C3	Affinity Capture-MS	physical	Matsumoto M (2005)	16196087	9606	9606	High Throughput	-	-	-	#LPPI|Likely protein-protein interaction|native only	-	BIOGRID
566857	192669	2316	128177	108605	RP4-789D17.2	XX-FW83128A1.1	AGO3	FLNA	EIF2C3	ABP-280|ABPX|CSBS|CVD1|FLN|FLN-A|FLN1|FMD|MNS|NHBP|OPD|OPD1|OPD2|XLVD|XMVD	Affinity Capture-MS	physical	Weinmann L (2009)	19167051	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
566858	192669	10419	128177	115688	RP4-789D17.2	-	AGO3	PRMT5	EIF2C3	HRMT1L5|IBP72|JBP1|SKB1|SKB1Hs	Affinity Capture-MS	physical	Weinmann L (2009)	19167051	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
566859	192669	51639	128177	119651	RP4-789D17.2	CGI-110	AGO3	SF3B6	EIF2C3	HSPC175|Ht006|P14|SAP14|SAP14a|SF3B14|SF3B14a	Affinity Capture-MS	physical	Weinmann L (2009)	19167051	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
566860	192669	6711	128177	112589	RP4-789D17.2	-	AGO3	SPTBN1	EIF2C3	ELF|HEL102|SPTB2|betaSpII	Affinity Capture-MS	physical	Weinmann L (2009)	19167051	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
566861	192669	6709	128177	112587	RP4-789D17.2	-	AGO3	SPTAN1	EIF2C3	EIEE5|NEAS|SPTA2	Affinity Capture-MS	physical	Weinmann L (2009)	19167051	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
566862	192669	54726	128177	120112	RP4-789D17.2	-	AGO3	OTUD4	EIF2C3	DUBA6|HIN1|HSHIN1	Affinity Capture-MS	physical	Weinmann L (2009)	19167051	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
566863	192669	4627	128177	110712	RP4-789D17.2	RP1-68O2.1	AGO3	MYH9	EIF2C3	BDPLT6|DFNA17|EPSTS|FTNS|MHA|NMHC-II-A|NMMHC-IIA|NMMHCA	Affinity Capture-MS	physical	Weinmann L (2009)	19167051	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
566864	192669	23112	128177	116735	RP4-789D17.2	RP5-1042K10.7	AGO3	TNRC6B	EIF2C3	-	Affinity Capture-MS	physical	Weinmann L (2009)	19167051	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
566865	192669	1975	128177	108291	RP4-789D17.2	-	AGO3	EIF4B	EIF2C3	EIF-4B|PRO1843	Affinity Capture-MS	physical	Weinmann L (2009)	19167051	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
566866	192669	10526	128177	115781	RP4-789D17.2	-	AGO3	IPO8	EIF2C3	RANBP8	Affinity Capture-MS	physical	Weinmann L (2009)	19167051	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
566868	192669	27161	128177	118041	RP4-789D17.2	-	AGO3	AGO2	EIF2C3	EIF2C2|Q10	Affinity Capture-MS	physical	Weinmann L (2009)	19167051	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
566869	192669	3326	128177	109558	RP4-789D17.2	RP1-302G2.1	AGO3	HSP90AB1	EIF2C3	D6S182|HSP84|HSP90B|HSPC2|HSPCB	Affinity Capture-MS	physical	Weinmann L (2009)	19167051	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
566870	192669	3313	128177	109545	RP4-789D17.2	-	AGO3	HSPA9	EIF2C3	CRP40|CSA|GRP-75|GRP75|HEL-S-124m|HSPA9B|MOT|MOT2|MTHSP75|PBP74	Affinity Capture-MS	physical	Weinmann L (2009)	19167051	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
566871	192669	25777	128177	117312	RP4-789D17.2	RP3-508I15.15-002	AGO3	SUN2	EIF2C3	UNC84B	Affinity Capture-MS	physical	Weinmann L (2009)	19167051	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
566872	192669	55269	128177	120558	RP4-789D17.2	RP11-523H24.2	AGO3	PSPC1	EIF2C3	PSP1	Affinity Capture-MS	physical	Weinmann L (2009)	19167051	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
566873	192669	7203	128177	113054	RP4-789D17.2	RP11-443G18.6	AGO3	CCT3	EIF2C3	CCT-gamma|CCTG|PIG48|TCP-1-gamma|TRIC5	Affinity Capture-MS	physical	Weinmann L (2009)	19167051	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
566874	192669	51386	128177	119516	RP4-789D17.2	AL022311.1	AGO3	EIF3L	EIF2C3	EIF3EIP|EIF3S11|EIF3S6IP|HSPC021|HSPC025|MSTP005	Affinity Capture-MS	physical	Weinmann L (2009)	19167051	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
566875	192669	83858	128177	123774	RP4-789D17.2	RP4-628J24.3	AGO3	ATAD3B	EIF2C3	AAA-TOB3|TOB3	Affinity Capture-MS	physical	Weinmann L (2009)	19167051	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
566876	192669	10454	128177	115717	RP4-789D17.2	RP3-407F17.2	AGO3	TAB1	EIF2C3	3-Tab1|MAP3K7IP1	Affinity Capture-MS	physical	Weinmann L (2009)	19167051	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
566877	192669	26121	128177	117563	RP4-789D17.2	-	AGO3	PRPF31	EIF2C3	NY-BR-99|PRP31|RP11|SNRNP61	Affinity Capture-MS	physical	Weinmann L (2009)	19167051	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
566878	192669	7846	128177	113603	RP4-789D17.2	-	AGO3	TUBA1A	EIF2C3	B-ALPHA-1|LIS3|TUBA3	Affinity Capture-MS	physical	Weinmann L (2009)	19167051	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
566879	192669	11329	128177	116457	RP4-789D17.2	-	AGO3	STK38	EIF2C3	NDR|NDR1	Affinity Capture-MS	physical	Weinmann L (2009)	19167051	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
566880	192669	10382	128177	115655	RP4-789D17.2	-	AGO3	TUBB4A	EIF2C3	DYT4|TUBB4|beta-5	Affinity Capture-MS	physical	Weinmann L (2009)	19167051	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
566881	192669	10383	128177	115656	RP4-789D17.2	RP13-122B23.2	AGO3	TUBB4B	EIF2C3	Beta2|TUBB2|TUBB2C	Affinity Capture-MS	physical	Weinmann L (2009)	19167051	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
566882	192669	7280	128177	113131	RP4-789D17.2	-	AGO3	TUBB2A	EIF2C3	CDCBM5|TUBB|TUBB2|dJ40E16.7	Affinity Capture-MS	physical	Weinmann L (2009)	19167051	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
566883	192669	203068	128177	128444	RP4-789D17.2	DAAP-285E11.4	AGO3	TUBB	EIF2C3	CDCBM6|M40|OK/SW-cl.56|TUBB1|TUBB5	Affinity Capture-MS	physical	Weinmann L (2009)	19167051	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
566884	192669	6737	128177	112615	RP4-789D17.2	-	AGO3	TRIM21	EIF2C3	RNF81|RO52|Ro/SSA|SSA|SSA1	Affinity Capture-MS	physical	Weinmann L (2009)	19167051	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
566885	192669	1915	128177	108237	RP4-789D17.2	RP11-505P4.2	AGO3	EEF1A1	EIF2C3	CCS-3|CCS3|EE1A1|EEF-1|EEF1A|EF-Tu|EF1A|GRAF-1EF|HNGC:16303|LENG7|PTI1|eEF1A-1	Affinity Capture-MS	physical	Weinmann L (2009)	19167051	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
566886	192669	1629	128177	107997	RP4-789D17.2	RP11-305E17.3	AGO3	DBT	EIF2C3	BCATE2|BCKAD-E2|BCKADE2|E2|E2B	Affinity Capture-MS	physical	Weinmann L (2009)	19167051	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
566887	192669	10856	128177	116067	RP4-789D17.2	CGI-46	AGO3	RUVBL2	EIF2C3	ECP51|INO80J|REPTIN|RVB2|TIH2|TIP48|TIP49B	Affinity Capture-MS	physical	Weinmann L (2009)	19167051	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
566888	192669	79084	128177	122532	RP4-789D17.2	HKMT1069	AGO3	WDR77	EIF2C3	MEP-50|MEP50|Nbla10071|p44|p44/Mep50	Affinity Capture-MS	physical	Weinmann L (2009)	19167051	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
566889	192669	3301	128177	109534	RP4-789D17.2	RP11-54K16.1	AGO3	DNAJA1	EIF2C3	DJ-2|DjA1|HDJ2|HSDJ|HSJ2|HSPF4|NEDD7|hDJ-2	Affinity Capture-MS	physical	Weinmann L (2009)	19167051	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
