#BioGRID Interaction ID	Entrez Gene Interactor A	Entrez Gene Interactor B	BioGRID ID Interactor A	BioGRID ID Interactor B	Systematic Name Interactor A	Systematic Name Interactor B	Official Symbol Interactor A	Official Symbol Interactor B	Synonyms Interactor A	Synonyms Interactor B	Experimental System	Experimental System Type	Author	Pubmed ID	Organism Interactor A	Organism Interactor B	Throughput	Score	Modification	Phenotypes	Qualifications	Tags	Source Database
422947	84132	760	123904	107215	tcag7.880	-	USP42	CA2	-	CA-II|CAC|CAII|Car2|HEL-76	Affinity Capture-MS	physical	Sowa ME (2009)	19615732	9606	9606	High Throughput	1.71	-	-	exogenous expression of bait	-	BIOGRID
423050	84132	2235	123904	108526	tcag7.880	-	USP42	FECH	-	EPP|FCE	Affinity Capture-MS	physical	Sowa ME (2009)	19615732	9606	9606	High Throughput	1.81	-	-	exogenous expression of bait	-	BIOGRID
423115	84132	3839	123904	110037	tcag7.880	RP11-432M24.3	USP42	KPNA3	-	IPOA4|SRP1|SRP1gamma|SRP4|hSRP1	Affinity Capture-MS	physical	Sowa ME (2009)	19615732	9606	9606	High Throughput	1.21	-	-	exogenous expression of bait	-	BIOGRID
423237	84132	5356	123904	111370	tcag7.880	-	USP42	PLRG1	-	Cwc1|PRL1|PRP46|PRPF46|TANGO4	Affinity Capture-MS	physical	Sowa ME (2009)	19615732	9606	9606	High Throughput	8.09	-	-	exogenous expression of bait	-	BIOGRID
423563	84132	8895	123904	114412	tcag7.880	-	USP42	CPNE3	-	CPN3|PRO1071	Affinity Capture-MS	physical	Sowa ME (2009)	19615732	9606	9606	High Throughput	1.25	-	-	exogenous expression of bait	-	BIOGRID
423571	84132	8924	123904	114438	tcag7.880	-	USP42	HERC2	-	D15F37S1|MRT38|SHEP1|jdf2|p528	Affinity Capture-MS	physical	Sowa ME (2009)	19615732	9606	9606	High Throughput	1.03	-	-	exogenous expression of bait	-	BIOGRID
423673	84132	9790	123904	115134	tcag7.880	AL022344.1	USP42	BMS1	-	ACC|BMS1L	Affinity Capture-MS	physical	Sowa ME (2009)	19615732	9606	9606	High Throughput	1.04	-	-	exogenous expression of bait	-	BIOGRID
423694	84132	10048	123904	115359	tcag7.880	-	USP42	RANBP9	-	BPM-L|BPM90|RANBPM|RanBP7	Affinity Capture-MS	physical	Sowa ME (2009)	19615732	9606	9606	High Throughput	1.28	-	-	exogenous expression of bait	-	BIOGRID
423703	84132	10111	123904	115417	tcag7.880	-	USP42	RAD50	-	NBSLD|RAD502|hRad50	Affinity Capture-MS	physical	Sowa ME (2009)	19615732	9606	9606	High Throughput	1.02	-	-	exogenous expression of bait	-	BIOGRID
423724	84132	10240	123904	115534	tcag7.880	-	USP42	MRPS31	-	IMOGN38|MRP-S31|S31mt	Affinity Capture-MS	physical	Sowa ME (2009)	19615732	9606	9606	High Throughput	1.63	-	-	exogenous expression of bait	-	BIOGRID
423776	84132	10768	123904	115987	tcag7.880	-	USP42	AHCYL1	-	DCAL|IRBIT|PPP1R78|PRO0233|XPVKONA	Affinity Capture-MS	physical	Sowa ME (2009)	19615732	9606	9606	High Throughput	3.13	-	-	exogenous expression of bait	-	BIOGRID
423906	84132	23524	123904	117071	tcag7.880	HSPC075	USP42	SRRM2	-	300-KD|CWF21|Cwc21|SRL300|SRm300	Affinity Capture-MS	physical	Sowa ME (2009)	19615732	9606	9606	High Throughput	1.08	-	-	exogenous expression of bait	-	BIOGRID
