#BioGRID Interaction ID	Entrez Gene Interactor A	Entrez Gene Interactor B	BioGRID ID Interactor A	BioGRID ID Interactor B	Systematic Name Interactor A	Systematic Name Interactor B	Official Symbol Interactor A	Official Symbol Interactor B	Synonyms Interactor A	Synonyms Interactor B	Experimental System	Experimental System Type	Author	Pubmed ID	Organism Interactor A	Organism Interactor B	Throughput	Score	Modification	Phenotypes	Qualifications	Tags	Source Database
467576	57167	79923	121420	123000	-	-	SALL4	NANOG	DRRS|HSAL4|ZNF797|dJ1112F19.1	-	Affinity Capture-Western	physical	Yang J (2008)	19060217	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
467858	79923	9968	123000	115293	-	-	NANOG	MED12	-	ARC240|CAGH45|FGS1|HOPA|MED12S|OHDOX|OKS|OPA1|TNRC11|TRAP230	Two-hybrid	physical	Tutter AV (2009)	19036726	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
467859	9968	79923	115293	123000	-	-	MED12	NANOG	ARC240|CAGH45|FGS1|HOPA|MED12S|OHDOX|OKS|OPA1|TNRC11|TRAP230	-	Affinity Capture-Western	physical	Tutter AV (2009)	19036726	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
469297	79923	84528	123000	124119	-	-	NANOG	RHOXF2	-	CT107|PEPP-2|PEPP2|THG1	Two-hybrid	physical	Ravasi T (2010)	20211142	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
561286	23528	79923	117074	123000	-	-	ZNF281	NANOG	ZBP-99|ZNP-99	-	Affinity Capture-Western	physical	Wang ZX (2008)	18757296	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
669867	79923	84444	123000	124082	-	-	NANOG	DOT1L	-	DOT1|KMT4	Phenotypic Suppression	genetic	Onder TT (2012)	22388813	9606	9606	Low Throughput	-	-	-	figure 3. NANOG and LIN28 are required for enhancement of reprogramming by DOT1L inhibition	-	BIOGRID
1054424	5581	79923	111567	123000	-	-	PRKCE	NANOG	PKCE|nPKC-epsilon	-	Biochemical Activity	physical	Xie X (2014)	23708658	9606	9606	Low Throughput	-	Phosphorylation	-	Figure 1	-	BIOGRID
1054425	79923	79923	123000	123000	-	-	NANOG	NANOG	-	-	Affinity Capture-Western	physical	Xie X (2014)	23708658	9606	9606	Low Throughput	-	-	-	Figure 4|dimerization	-	BIOGRID
1054426	2033	79923	108347	123000	RP1-85F18.1	-	EP300	NANOG	KAT3B|RSTS2|p300	-	Affinity Capture-Western	physical	Xie X (2014)	23708658	9606	9606	Low Throughput	-	-	-	Figure 4	-	BIOGRID
1519760	84759	79923	124243	123000	-	-	PCGF1	NANOG	2010002K04Rik|NSPC1|RNF3A-2|RNF68	-	Co-purification	physical	Oliviero G (2015)	26687479	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
