#BioGRID Interaction ID	Entrez Gene Interactor A	Entrez Gene Interactor B	BioGRID ID Interactor A	BioGRID ID Interactor B	Systematic Name Interactor A	Systematic Name Interactor B	Official Symbol Interactor A	Official Symbol Interactor B	Synonyms Interactor A	Synonyms Interactor B	Experimental System	Experimental System Type	Author	Pubmed ID	Organism Interactor A	Organism Interactor B	Throughput	Score	Modification	Phenotypes	Qualifications	Tags	Source Database
269764	4729	3431	110807	109657	-	-	NDUFV2	SP110	CI-24k	IFI41|IFI75|IPR1|VODI	Two-hybrid	physical	Stelzl U (2005)	16169070	9606	9606	High Throughput	1.0	-	-	-	-	BIOGRID
468671	864	3431	107312	109657	RP3-398I9.1	-	RUNX3	SP110	AML2|CBFA3|PEBP2aC	IFI41|IFI75|IPR1|VODI	Two-hybrid	physical	Ravasi T (2010)	20211142	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
468881	3431	4674	109657	110755	-	-	SP110	NAP1L2	IFI41|IFI75|IPR1|VODI	BPX	Two-hybrid	physical	Ravasi T (2010)	20211142	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
468882	3431	7746	109657	113530	-	PIG12	SP110	ZSCAN9	IFI41|IFI75|IPR1|VODI	PRD51|ZNF193	Two-hybrid	physical	Ravasi T (2010)	20211142	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
601030	55644	3431	120779	109657	-	-	OSGEP	SP110	GCPL1|KAE1|OSGEP1|PRSMG1	IFI41|IFI75|IPR1|VODI	Two-hybrid	physical	Vinayagam A (2011)	21900206	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
602060	7083	3431	112938	109657	-	-	TK1	SP110	TK2	IFI41|IFI75|IPR1|VODI	Two-hybrid	physical	Vinayagam A (2011)	21900206	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
602471	1026	3431	107460	109657	-	-	CDKN1A	SP110	CAP20|CDKN1|CIP1|MDA-6|P21|SDI1|WAF1|p21CIP1	IFI41|IFI75|IPR1|VODI	Two-hybrid	physical	Vinayagam A (2011)	21900206	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
602867	6606	3431	112490	109657	-	-	SMN1	SP110	BCD541|GEMIN1|SMA|SMA1|SMA2|SMA3|SMA4|SMA@|SMN|SMNT|T-BCD541|TDRD16A	IFI41|IFI75|IPR1|VODI	Two-hybrid	physical	Vinayagam A (2011)	21900206	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
603110	7276	3431	113127	109657	-	-	TTR	SP110	CTS|CTS1|HEL111|HsT2651|PALB|TBPA	IFI41|IFI75|IPR1|VODI	Two-hybrid	physical	Vinayagam A (2011)	21900206	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
603221	310	3431	106807	109657	RP11-537A6.8	-	ANXA7	SP110	ANX7|SNX|SYNEXIN	IFI41|IFI75|IPR1|VODI	Two-hybrid	physical	Vinayagam A (2011)	21900206	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
603275	8848	3431	114374	109657	RP11-269C23.2	-	TSC22D1	SP110	Ptg-2|TGFB1I4|TSC22	IFI41|IFI75|IPR1|VODI	Two-hybrid	physical	Vinayagam A (2011)	21900206	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
658017	1050	3431	107479	109657	-	-	CEBPA	SP110	C/EBP-alpha|CEBP	IFI41|IFI75|IPR1|VODI	Affinity Capture-MS	physical	Bararia D (2008)	18239623	9606	9606	High Throughput	-	-	-	figure 1 and supplementary table 1.	-	BIOGRID
1240006	7874	3431	113622	109657	-	-	USP7	SP110	HAUSP|TEF1	IFI41|IFI75|IPR1|VODI	Affinity Capture-MS	physical	Bhattacharya S (2015)	25925205	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
1445033	3835	3431	110033	109657	-	-	KIF22	SP110	A-328A3.2|KID|KNSL4|OBP|OBP-1|OBP-2|SEMDJL2	IFI41|IFI75|IPR1|VODI	Affinity Capture-MS	physical	Hein MY (2015)	26496610	9606	9606	High Throughput	-	-	-	interaction detected by quantitative BAC-GFP interactomics (QUBIC)	-	BIOGRID
1445034	3837	3431	110035	109657	-	-	KPNB1	SP110	IMB1|IPO1|IPOB|Impnb|NTF97	IFI41|IFI75|IPR1|VODI	Affinity Capture-MS	physical	Hein MY (2015)	26496610	9606	9606	High Throughput	-	-	-	interaction detected by quantitative BAC-GFP interactomics (QUBIC)	-	BIOGRID
1445035	9984	3431	115305	109657	-	-	THOC1	SP110	HPR1|P84|P84N5	IFI41|IFI75|IPR1|VODI	Affinity Capture-MS	physical	Hein MY (2015)	26496610	9606	9606	High Throughput	-	-	-	interaction detected by quantitative BAC-GFP interactomics (QUBIC)	-	BIOGRID
1445036	11116	3431	116291	109657	-	-	FGFR1OP	SP110	FOP	IFI41|IFI75|IPR1|VODI	Affinity Capture-MS	physical	Hein MY (2015)	26496610	9606	9606	High Throughput	-	-	-	interaction detected by quantitative BAC-GFP interactomics (QUBIC)	-	BIOGRID
1445037	7741	3431	113526	109657	-	-	ZSCAN26	SP110	SRE-ZBP|ZNF187	IFI41|IFI75|IPR1|VODI	Affinity Capture-MS	physical	Hein MY (2015)	26496610	9606	9606	High Throughput	-	-	-	interaction detected by quantitative BAC-GFP interactomics (QUBIC)	-	BIOGRID
1460218	12235	3431	198404	109657	RP23-189N15.7	-	Bub1	SP110	AL022991|Bub1a|C80208|D2Xrf87	IFI41|IFI75|IPR1|VODI	Affinity Capture-MS	physical	Hein MY (2015)	26496610	10090	9606	High Throughput	-	-	-	interaction detected by quantitative BAC-GFP interactomics (QUBIC)	-	BIOGRID
1460219	16554	3431	200931	109657	-	-	Kif13b	SP110	5330429L19Rik|6030414C01|AI429803|C130021D12Rik|GAKIN	IFI41|IFI75|IPR1|VODI	Affinity Capture-MS	physical	Hein MY (2015)	26496610	10090	9606	High Throughput	-	-	-	interaction detected by quantitative BAC-GFP interactomics (QUBIC)	-	BIOGRID
1460220	21853	3431	204198	109657	-	-	Timeless	SP110	C77407|Debt69|tim	IFI41|IFI75|IPR1|VODI	Affinity Capture-MS	physical	Hein MY (2015)	26496610	10090	9606	High Throughput	-	-	-	interaction detected by quantitative BAC-GFP interactomics (QUBIC)	-	BIOGRID
1460221	72083	3431	215139	109657	-	-	Mzt2	SP110	2410018G20Rik|2610001E06Rik|Fam128|Fam128b	IFI41|IFI75|IPR1|VODI	Affinity Capture-MS	physical	Hein MY (2015)	26496610	10090	9606	High Throughput	-	-	-	interaction detected by quantitative BAC-GFP interactomics (QUBIC)	-	BIOGRID
2520149	2100	3431	108404	109657	-	-	ESR2	SP110	ER-BETA|ESR-BETA|ESRB|ESTRB|Erb|NR3A2	IFI41|IFI75|IPR1|VODI	Affinity Capture-MS	physical	Giurato G (2018)	29509190	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
2562438	7158	3431	113011	109657	-	-	TP53BP1	SP110	53BP1|p202	IFI41|IFI75|IPR1|VODI	Proximity Label-MS	physical	Gupta R (2018)	29656893	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
2565878	25962	3431	117452	109657	MSTP054	-	KIAA1429	SP110	fSAP121	IFI41|IFI75|IPR1|VODI	Affinity Capture-RNA	physical	Yue Y (2018)	29507755	9606	9606	High Throughput	-	-	-	The RNA of the 'hit' genes was identified in an RIP-seq (RNA immunoprecipitation sequencing) experiment using the 'bait' protein, VIRMA.	-	BIOGRID
2631514	8359	3431	113955	109657	-	-	HIST1H4A	SP110	H4FA	IFI41|IFI75|IPR1|VODI	Affinity Capture-MS	physical	Nakamura K (2019)	30804502	9606	9606	High Throughput	-	-	-	assayed using SILAC IP (stable isotope labeling by amino acids in cell culture-based quantitative immunoprecipitation)	-	BIOGRID
2840669	23476	3431	117036	109657	-	-	BRD4	SP110	CAP|HUNK1|HUNKI|MCAP	IFI41|IFI75|IPR1|VODI	Affinity Capture-MS	physical	Kim JJ (2019)	31753913	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
2841272	3431	27154	109657	118036	-	RP3-524E15.1	SP110	BRPF3	IFI41|IFI75|IPR1|VODI	-	Affinity Capture-MS	physical	Kim JJ (2019)	31753913	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
2841273	3431	4869	109657	110929	-	-	SP110	NPM1	IFI41|IFI75|IPR1|VODI	B23|NPM	Affinity Capture-MS	physical	Kim JJ (2019)	31753913	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
2841274	3431	55037	109657	120366	-	TRG15	SP110	PTCD3	IFI41|IFI75|IPR1|VODI	MRP-S39	Affinity Capture-MS	physical	Kim JJ (2019)	31753913	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
2841275	3431	7818	109657	113587	-	-	SP110	DAP3	IFI41|IFI75|IPR1|VODI	DAP-3|MRP-S29|MRPS29|bMRP-10	Affinity Capture-MS	physical	Kim JJ (2019)	31753913	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
2841276	3431	10273	109657	115563	-	LA16c-313D11.6	SP110	STUB1	IFI41|IFI75|IPR1|VODI	CHIP|HSPABP2|NY-CO-7|SCAR16|SDCCAG7|UBOX1	Affinity Capture-MS	physical	Kim JJ (2019)	31753913	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
2841277	3431	9730	109657	115079	-	-	SP110	VPRBP	IFI41|IFI75|IPR1|VODI	DCAF1	Affinity Capture-MS	physical	Kim JJ (2019)	31753913	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
2841278	3431	57337	109657	121491	-	-	SP110	SENP7	IFI41|IFI75|IPR1|VODI	-	Affinity Capture-MS	physical	Kim JJ (2019)	31753913	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
2841279	3431	6418	109657	112316	-	RP11-216B9.3	SP110	SET	IFI41|IFI75|IPR1|VODI	2PP2A|I2PP2A|IGAAD|IPP2A2|PHAPII|TAF-I|TAF-IBETA	Affinity Capture-MS	physical	Kim JJ (2019)	31753913	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
2841280	3431	56852	109657	121212	-	-	SP110	RAD18	IFI41|IFI75|IPR1|VODI	RNF73	Affinity Capture-MS	physical	Kim JJ (2019)	31753913	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
2841281	3431	23411	109657	116983	-	RP11-57G10.3	SP110	SIRT1	IFI41|IFI75|IPR1|VODI	SIR2L1	Affinity Capture-MS	physical	Kim JJ (2019)	31753913	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
2841282	3431	4659	109657	110742	-	-	SP110	PPP1R12A	IFI41|IFI75|IPR1|VODI	M130|MBS|MYPT1	Affinity Capture-MS	physical	Kim JJ (2019)	31753913	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
2841283	3431	646817	109657	571638	-	-	SP110	SETSIP	IFI41|IFI75|IPR1|VODI	SETP18	Affinity Capture-MS	physical	Kim JJ (2019)	31753913	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
2841284	3431	7157	109657	113010	-	-	SP110	TP53	IFI41|IFI75|IPR1|VODI	BCC7|LFS1|P53|TRP53	Affinity Capture-MS	physical	Kim JJ (2019)	31753913	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
2841285	3431	10687	109657	115926	-	-	SP110	PNMA2	IFI41|IFI75|IPR1|VODI	MA2|MM2|RGAG2	Affinity Capture-MS	physical	Kim JJ (2019)	31753913	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
2841286	3431	1725	109657	108070	-	-	SP110	DHPS	IFI41|IFI75|IPR1|VODI	DHS|DS|MIG13	Affinity Capture-MS	physical	Kim JJ (2019)	31753913	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
2841287	3431	26354	109657	117690	-	-	SP110	GNL3	IFI41|IFI75|IPR1|VODI	C77032|E2IG3|NNP47|NS	Affinity Capture-MS	physical	Kim JJ (2019)	31753913	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
2841288	3431	10360	109657	115640	-	-	SP110	NPM3	IFI41|IFI75|IPR1|VODI	PORMIN|TMEM123	Affinity Capture-MS	physical	Kim JJ (2019)	31753913	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
2841289	3431	11335	109657	116463	-	-	SP110	CBX3	IFI41|IFI75|IPR1|VODI	HECH|HP1-GAMMA|HP1Hs-gamma	Affinity Capture-MS	physical	Kim JJ (2019)	31753913	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
2841290	3431	23468	109657	117030	-	-	SP110	CBX5	IFI41|IFI75|IPR1|VODI	HEL25|HP1|HP1A	Affinity Capture-MS	physical	Kim JJ (2019)	31753913	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
2841291	3431	10902	109657	116108	-	-	SP110	BRD8	IFI41|IFI75|IPR1|VODI	SMAP|SMAP2|p120	Affinity Capture-MS	physical	Kim JJ (2019)	31753913	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
2841292	3431	147339	109657	127053	-	-	SP110	C18orf25	IFI41|IFI75|IPR1|VODI	ARKL1|RNF111L1	Affinity Capture-MS	physical	Kim JJ (2019)	31753913	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
2841293	3431	321	109657	106818	-	-	SP110	APBA2	IFI41|IFI75|IPR1|VODI	D15S1518E|HsT16821|LIN-10|MGC:14091|MINT2|X11-BETA|X11L	Affinity Capture-MS	physical	Kim JJ (2019)	31753913	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
2841294	3431	1176	109657	107590	-	-	SP110	AP3S1	IFI41|IFI75|IPR1|VODI	CLAPS3|Sigma3A	Affinity Capture-MS	physical	Kim JJ (2019)	31753913	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
2841295	3431	613	109657	107083	-	-	SP110	BCR	IFI41|IFI75|IPR1|VODI	ALL|BCR1|CML|D22S11|D22S662|PHL	Affinity Capture-MS	physical	Kim JJ (2019)	31753913	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
2841296	3431	4038	109657	110218	-	-	SP110	LRP4	IFI41|IFI75|IPR1|VODI	CLSS|LRP-4|LRP10|MEGF7|SOST2	Affinity Capture-MS	physical	Kim JJ (2019)	31753913	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
2841297	3431	55177	109657	120476	-	hucep-10	SP110	RMDN3	IFI41|IFI75|IPR1|VODI	FAM82A2|FAM82C|RMD-3|RMD3|ptpip51	Affinity Capture-MS	physical	Kim JJ (2019)	31753913	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
2841298	3431	1059	109657	107488	-	-	SP110	CENPB	IFI41|IFI75|IPR1|VODI	-	Affinity Capture-MS	physical	Kim JJ (2019)	31753913	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
