#BioGRID Interaction ID	Entrez Gene Interactor A	Entrez Gene Interactor B	BioGRID ID Interactor A	BioGRID ID Interactor B	Systematic Name Interactor A	Systematic Name Interactor B	Official Symbol Interactor A	Official Symbol Interactor B	Synonyms Interactor A	Synonyms Interactor B	Experimental System	Experimental System Type	Author	Pubmed ID	Organism Interactor A	Organism Interactor B	Throughput	Score	Modification	Phenotypes	Qualifications	Tags	Source Database
269323	60489	5764	121920	111731	MDS019	-	APOBEC3G	PTN	A3G|ARCD|ARP-9|ARP9|CEM-15|CEM15|bK150C2.7|dJ494G10.1	HARP|HBGF8|HBNF|NEGF1	Two-hybrid	physical	Stelzl U (2005)	16169070	9606	9606	High Throughput	1.0	-	-	-	-	BIOGRID
321845	60489	5566	121920	111553	MDS019	-	APOBEC3G	PRKACA	A3G|ARCD|ARP-9|ARP9|CEM-15|CEM15|bK150C2.7|dJ494G10.1	PKACA	Affinity Capture-Western	physical	Shirakawa K (2008)	18836454	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
321846	5566	60489	111553	121920	-	MDS019	PRKACA	APOBEC3G	PKACA	A3G|ARCD|ARP-9|ARP9|CEM-15|CEM15|bK150C2.7|dJ494G10.1	Biochemical Activity	physical	Shirakawa K (2008)	18836454	9606	9606	Low Throughput	-	Phosphorylation	-	-	-	BIOGRID
503960	60489	155030	121920	1205537	MDS019	HIV1gp2	APOBEC3G	gag	A3G|ARCD|ARP-9|ARP9|CEM-15|CEM15|bK150C2.7|dJ494G10.1	-	Protein-RNA	physical	Nathans R (2009)	19560422	9606	11676	Low Throughput	-	-	-	-	-	BIOGRID
557246	155459	60489	1205539	121920	HIV1gp3	MDS019	vif	APOBEC3G	-	A3G|ARCD|ARP-9|ARP9|CEM-15|CEM15|bK150C2.7|dJ494G10.1	PCA	physical	Cadima-Couto I (2011)	21279453	11676	9606	Low Throughput	-	-	-	-	-	BIOGRID
567904	3308	60489	109540	121920	-	MDS019	HSPA4	APOBEC3G	APG-2|HEL-S-5a|HS24/P52|HSPH2|RY|hsp70|hsp70RY	A3G|ARCD|ARP-9|ARP9|CEM-15|CEM15|bK150C2.7|dJ494G10.1	Affinity Capture-Western	physical	Sugiyama R (2011)	21228271	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
567906	155459	60489	1205539	121920	HIV1gp3	MDS019	vif	APOBEC3G	-	A3G|ARCD|ARP-9|ARP9|CEM-15|CEM15|bK150C2.7|dJ494G10.1	Affinity Capture-Western	physical	Sugiyama R (2011)	21228271	11676	9606	Low Throughput	-	-	-	-	-	BIOGRID
568681	155459	60489	1205539	121920	HIV1gp3	MDS019	vif	APOBEC3G	-	A3G|ARCD|ARP-9|ARP9|CEM-15|CEM15|bK150C2.7|dJ494G10.1	Reconstituted Complex	physical	Izumi T (2010)	21071676	11676	9606	Low Throughput	-	-	-	-	-	BIOGRID
590729	60489	155459	121920	1205539	MDS019	HIV1gp3	APOBEC3G	vif	A3G|ARCD|ARP-9|ARP9|CEM-15|CEM15|bK150C2.7|dJ494G10.1	-	Affinity Capture-Western	physical	Iwatani Y (2009)	19887642	9606	11676	Low Throughput	-	-	-	-	-	BIOGRID
615424	155459	60489	1205539	121920	HIV1gp3	MDS019	vif	APOBEC3G	-	A3G|ARCD|ARP-9|ARP9|CEM-15|CEM15|bK150C2.7|dJ494G10.1	Affinity Capture-Western	physical	Li L (2008)	18680593	11676	9606	Low Throughput	-	-	-	-	-	BIOGRID
