#BioGRID Interaction ID	Entrez Gene Interactor A	Entrez Gene Interactor B	BioGRID ID Interactor A	BioGRID ID Interactor B	Systematic Name Interactor A	Systematic Name Interactor B	Official Symbol Interactor A	Official Symbol Interactor B	Synonyms Interactor A	Synonyms Interactor B	Experimental System	Experimental System Type	Author	Pubmed ID	Organism Interactor A	Organism Interactor B	Throughput	Score	Modification	Phenotypes	Qualifications	Tags	Source Database
2666315	13191	22680	199072	204648	-	RP23-252E4.3	Dctn1	Zfp207	AL022633|Glued|p150|p150[glued]	8430401D15Rik|BuGZ|Zep|Znf207	Co-fractionation	physical	Pourhaghighi R (2020)	32325033	10090	10090	High Throughput	0.704	-	-	High confidence interactions had an EPIC Score >= 0.683	-	BIOGRID
2666316	69654	22680	213590	204648	-	RP23-252E4.3	Dctn2	Zfp207	2310042E05Rik|C130077D06Rik|C87049|DCTN-50|GMP23-48K|RBP50|p50	8430401D15Rik|BuGZ|Zep|Znf207	Co-fractionation	physical	Pourhaghighi R (2020)	32325033	10090	10090	High Throughput	0.699	-	-	High confidence interactions had an EPIC Score >= 0.683	-	BIOGRID
2666317	235661	22680	231702	204648	-	RP23-252E4.3	Dync1li1	Zfp207	1110053F02Rik|Dnclic1|LIC-1	8430401D15Rik|BuGZ|Zep|Znf207	Co-fractionation	physical	Pourhaghighi R (2020)	32325033	10090	10090	High Throughput	0.696	-	-	High confidence interactions had an EPIC Score >= 0.683	-	BIOGRID
2666318	108989	22680	224509	204648	-	RP23-252E4.3	Tpr	Zfp207	2610029M07Rik|C77892	8430401D15Rik|BuGZ|Zep|Znf207	Co-fractionation	physical	Pourhaghighi R (2020)	32325033	10090	10090	High Throughput	0.742	-	-	High confidence interactions had an EPIC Score >= 0.683	-	BIOGRID
2666319	70465	22680	214072	204648	-	RP23-252E4.3	Wdr77	Zfp207	2610003I18Rik|2610312E17Rik|C79984|p44/MEP50	8430401D15Rik|BuGZ|Zep|Znf207	Co-fractionation	physical	Pourhaghighi R (2020)	32325033	10090	10090	High Throughput	0.817	-	-	High confidence interactions had an EPIC Score >= 0.683	-	BIOGRID
2667456	22680	12237	204648	198406	RP23-252E4.3	-	Zfp207	Bub3	8430401D15Rik|BuGZ|Zep|Znf207	AU019800|AU021329|AU043350|AW146323|C78067	Co-fractionation	physical	Pourhaghighi R (2020)	32325033	10090	10090	High Throughput	0.939	-	-	High confidence interactions had an EPIC Score >= 0.683	-	BIOGRID
2677213	76707	22680	218270	204648	-	RP23-252E4.3	Clasp1	Zfp207	1700030C23Rik|5730583A19Rik|B130045P17Rik|CLASP1alpha	8430401D15Rik|BuGZ|Zep|Znf207	Co-fractionation	physical	Pourhaghighi R (2020)	32325033	10090	10090	High Throughput	0.7005	-	-	High confidence interactions had an EPIC Score >= 0.683	-	BIOGRID
2677214	227700	22680	230668	204648	RP23-395P6.5	RP23-252E4.3	Sh3glb2	Zfp207	SPAS-1	8430401D15Rik|BuGZ|Zep|Znf207	Co-fractionation	physical	Pourhaghighi R (2020)	32325033	10090	10090	High Throughput	0.717	-	-	High confidence interactions had an EPIC Score >= 0.683	-	BIOGRID
2688523	11789	22680	198143	204648	-	RP23-252E4.3	Apc	Zfp207	AI047805|AU020952|AW124434|CC1|Min|mAPC	8430401D15Rik|BuGZ|Zep|Znf207	Co-fractionation	physical	Pourhaghighi R (2020)	32325033	10090	10090	High Throughput	0.685	-	-	High confidence interactions had an EPIC Score >= 0.683	-	BIOGRID
2688524	56455	22680	207994	204648	-	RP23-252E4.3	Dynll1	Zfp207	Dlc8|Dnclc1|Pin	8430401D15Rik|BuGZ|Zep|Znf207	Co-fractionation	physical	Pourhaghighi R (2020)	32325033	10090	10090	High Throughput	0.693	-	-	High confidence interactions had an EPIC Score >= 0.683	-	BIOGRID
2688525	19387	22680	202583	204648	-	RP23-252E4.3	Rangap1	Zfp207	C79654|Fug1|mKIAA1835	8430401D15Rik|BuGZ|Zep|Znf207	Co-fractionation	physical	Pourhaghighi R (2020)	32325033	10090	10090	High Throughput	0.691	-	-	High confidence interactions had an EPIC Score >= 0.683	-	BIOGRID
2688526	110379	22680	225548	204648	-	RP23-252E4.3	Sec13	Zfp207	1110003H02Rik|Sec13l1|Sec13r	8430401D15Rik|BuGZ|Zep|Znf207	Co-fractionation	physical	Pourhaghighi R (2020)	32325033	10090	10090	High Throughput	0.685	-	-	High confidence interactions had an EPIC Score >= 0.683	-	BIOGRID
2903679	11537	22680	197991	204648	-	RP23-252E4.3	Cfd	Zfp207	Adn|DF	8430401D15Rik|BuGZ|Zep|Znf207	Affinity Capture-MS	physical	Kim H (2018)	30550785	10090	10090	High Throughput	-	-	-	-	-	BIOGRID
2904111	384061	22680	239035	204648	RP23-284L6.4	RP23-252E4.3	Fndc5	Zfp207	1500001L03Rik|AI836596|C87088|PeP|Pxp	8430401D15Rik|BuGZ|Zep|Znf207	Affinity Capture-MS	physical	Kim H (2018)	30550785	10090	10090	High Throughput	-	-	-	-	-	BIOGRID

