#BioGRID Interaction ID	Entrez Gene Interactor A	Entrez Gene Interactor B	BioGRID ID Interactor A	BioGRID ID Interactor B	Systematic Name Interactor A	Systematic Name Interactor B	Official Symbol Interactor A	Official Symbol Interactor B	Synonyms Interactor A	Synonyms Interactor B	Experimental System	Experimental System Type	Author	Pubmed ID	Organism Interactor A	Organism Interactor B	Throughput	Score	Modification	Phenotypes	Qualifications	Tags	Source Database
679107	80176	54514	123158	120009	RP3-324M8.1	-	SPSB1	DDX4	SSB-1|SSB1	VASA	Protein-peptide	physical	Filippakopoulos P (2010)	20561531	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
679108	84727	54514	124227	120009	-	-	SPSB2	DDX4	GRCC9|SSB2	VASA	Protein-peptide	physical	Filippakopoulos P (2010)	20561531	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
679110	92369	54514	124941	120009	-	-	SPSB4	DDX4	SSB-4|SSB4	VASA	Protein-peptide	physical	Filippakopoulos P (2010)	20561531	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
686996	8452	54514	114030	120009	-	-	CUL3	DDX4	CUL-3|PHA2E	VASA	Affinity Capture-MS	physical	Bennett EJ (2010)	21145461	9606	9606	High Throughput	-	-	-	All data was filtered to a 1% false discovery rate (peptide level) prior to analysis using CompPASS to identify high confidence candidate interacting proteins|TAP-tagged Cul3|exogenous expression of bait	-	BIOGRID
690220	54165	54514	119920	120009	-	-	DCUN1D1	DDX4	DCNL1|DCUN1L1|RP42|SCCRO|SCRO|Tes3	VASA	Affinity Capture-MS	physical	Bennett EJ (2010)	21145461	9606	9606	High Throughput	-	-	-	All data was filtered to a 1% false discovery rate (peptide level) prior to analysis using CompPASS to identify high confidence candidate interacting proteins|TAP-tagged DCUN1D1|exogenous expression of bait	-	BIOGRID
690621	55832	54514	120937	120009	-	-	CAND1	DDX4	TIP120|TIP120A	VASA	Affinity Capture-MS	physical	Bennett EJ (2010)	21145461	9606	9606	High Throughput	-	-	-	All data was filtered to a 1% false discovery rate (peptide level) prior to analysis using CompPASS to identify high confidence candidate interacting proteins|TAP-tagged CAND1|exogenous expression of bait	-	BIOGRID
725010	4088	54514	110263	120009	-	-	SMAD3	DDX4	HSPC193|HsT17436|JV15-2|LDS1C|LDS3|MADH3	VASA	Affinity Capture-MS	physical	Brown KA (2008)	18729074	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
827368	6714	54514	112592	120009	RP5-823N20.1	-	SRC	DDX4	ASV|SRC1|c-SRC|p60-Src	VASA	Affinity Capture-MS	physical	Jeong DG (2007)	17868192	9606	9606	Low Throughput	-	-	-	table 1.	-	BIOGRID
1240004	7874	54514	113622	120009	-	-	USP7	DDX4	HAUSP|TEF1	VASA	Affinity Capture-MS	physical	Bhattacharya S (2015)	25925205	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
2484918	10048	54514	115359	120009	-	-	RANBP9	DDX4	BPM-L|BPM90|RANBPM|RanBP7	VASA	Reconstituted Complex	physical	Hong SK (2016)	27622290	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
2522499	10614	54514	115860	120009	-	-	HEXIM1	DDX4	CLP1|EDG1|HIS1|MAQ1	VASA	Affinity Capture-MS	physical	Faust TB (2018)	29845934	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
2522942	56257	54514	121122	120009	-	-	MEPCE	DDX4	BCDIN3	VASA	Affinity Capture-MS	physical	Faust TB (2018)	29845934	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
2750325	57664	54514	121697	120009	-	-	PLEKHA4	DDX4	PEPP1	VASA	Affinity Capture-MS	physical	Shami Shah A (2019)	31091453	9606	9606	High Throughput	-	-	-	assayed using SILAC IP (stable isotope labeling by amino acids in cell culture-based quantitative immunoprecipitation)|only hits identified in both pull-downs have been included	-	BIOGRID
2752223	57534	54514	121593	120009	-	-	MIB1	DDX4	DIP-1|DIP1|LVNC7|MIB|ZZANK2|ZZZ6	VASA	Proximity Label-MS	physical	Dho SE (2019)	31462741	9606	9606	High Throughput	-	-	-	assayed using BioID (proximity-dependent biotin identification)	-	BIOGRID
2823636	11113	54514	116290	120009	-	-	CIT	DDX4	CRIK|STK21	VASA	Affinity Capture-MS	physical	Capalbo L (2019)	31586073	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
2826560	92421	54514	124946	120009	-	-	CHMP4C	DDX4	SNF7-3|Shax3|VPS32C	VASA	Affinity Capture-MS	physical	Capalbo L (2019)	31586073	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
2829414	9928	54514	115256	120009	-	-	KIF14	DDX4	-	VASA	Affinity Capture-MS	physical	Capalbo L (2019)	31586073	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
2831493	10112	54514	115418	120009	-	-	KIF20A	DDX4	MKLP2|RAB6KIFL	VASA	Affinity Capture-MS	physical	Capalbo L (2019)	31586073	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
2852786	54708	54514	120105	120009	RP11-543N17.3	-	MARCH5	DDX4	MARCH-V|MITOL|RNF153	VASA	Proximity Label-MS	physical	Antonicka H (2020)	32877691	9606	9606	High Throughput	0.99	-	-	interaction assayed using BioID|interactions were considered high confidence if they had a Bayesian False Discovery Rate of 1% or less|the Saint Score for the interaction (or the maximum of any bait-prey combinations that had multiple scores) is shown	-	BIOGRID
3330674	390	54514	106883	120009	-	-	RND3	DDX4	ARHE|Rho8|RhoE|memB	VASA	Affinity Capture-MS	physical	Bagci H (2019)	31871319	9606	9606	High Throughput	-	-	-	AvgP greater or equal to 0.95 assessed by SAINT express|BioID|RND3 wild type bait, interaction in HEK293 cells	-	BIOGRID
3398083	4613	54514	110698	120009	-	-	MYCN	DDX4	MODED|N-myc|NMYC|ODED|bHLHe37	VASA	Affinity Capture-MS	physical	Wang L (2022)	35013218	9606	9606	High Throughput	-	-	-	Affinity Capture-MS was carried out to identify high confidence protein interactors with a p value<0.05 and a fold change >2 over control.	-	BIOGRID
3571502	163590	54514	127870	120009	RP11-12M5.5	-	TOR1AIP2	DDX4	IFRG15|LULL1|NET9	VASA	Proximity Label-MS	physical	Raisch J (2023)	37689310	9606	9606	High Throughput	-	-	-	BioID	-	BIOGRID

