#BioGRID Interaction ID	Entrez Gene Interactor A	Entrez Gene Interactor B	BioGRID ID Interactor A	BioGRID ID Interactor B	Systematic Name Interactor A	Systematic Name Interactor B	Official Symbol Interactor A	Official Symbol Interactor B	Synonyms Interactor A	Synonyms Interactor B	Experimental System	Experimental System Type	Author	Pubmed ID	Organism Interactor A	Organism Interactor B	Throughput	Score	Modification	Phenotypes	Qualifications	Tags	Source Database
20886	871	56893	107318	121223	PIG14	RP11-336K24.8	SERPINH1	UBQLN4	AsTP3|CBP1|CBP2|HSP47|OI10|PPROM|RA-A47|SERPINH2|gp46	A1U|A1Up|C1orf6|CIP75|UBIN	Two-hybrid	physical	Matsuda M (2001)	11162551	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
22579	6310	56893	112217	121223	-	RP11-336K24.8	ATXN1	UBQLN4	ATX1|D6S504E|SCA1	A1U|A1Up|C1orf6|CIP75|UBIN	Two-hybrid	physical	Davidson JD (2000)	11001934	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
269392	56893	8883	121223	114402	RP11-336K24.8	HPP1	UBQLN4	NAE1	A1U|A1Up|C1orf6|CIP75|UBIN	A-116A10.1|APPBP1|ula-1	Two-hybrid	physical	Stelzl U (2005)	16169070	9606	9606	High Throughput	1.0	-	-	-	-	BIOGRID
269946	6447	56893	112345	121223	-	RP11-336K24.8	SCG5	UBQLN4	7B2|P7B2|SGNE1|SgV	A1U|A1Up|C1orf6|CIP75|UBIN	Two-hybrid	physical	Stelzl U (2005)	16169070	9606	9606	High Throughput	1.0	-	-	-	-	BIOGRID
270086	9278	56893	114695	121223	DADB-159G18.8	RP11-336K24.8	ZBTB22	UBQLN4	BING1|ZBTB22A|ZNF297|ZNF297A|fru|fruitless	A1U|A1Up|C1orf6|CIP75|UBIN	Two-hybrid	physical	Stelzl U (2005)	16169070	9606	9606	High Throughput	1.0	-	-	-	-	BIOGRID
270194	56893	6598	121223	112482	RP11-336K24.8	-	UBQLN4	SMARCB1	A1U|A1Up|C1orf6|CIP75|UBIN	BAF47|INI1|MRD15|PPP1R144|RDT|RTPS1|SNF5|SNF5L1|SWNTS1|Sfh1p|Snr1|hSNFS	Two-hybrid	physical	Stelzl U (2005)	16169070	9606	9606	High Throughput	2.0	-	-	-	-	BIOGRID
270984	56893	6256	121223	112168	RP11-336K24.8	-	UBQLN4	RXRA	A1U|A1Up|C1orf6|CIP75|UBIN	NR2B1	Two-hybrid	physical	Stelzl U (2005)	16169070	9606	9606	High Throughput	3.0	-	-	-	-	BIOGRID
271506	56893	1915	121223	108237	RP11-336K24.8	RP11-505P4.2	UBQLN4	EEF1A1	A1U|A1Up|C1orf6|CIP75|UBIN	CCS-3|CCS3|EE1A1|EEF-1|EEF1A|EF-Tu|EF1A|GRAF-1EF|HNGC:16303|LENG7|PTI1|eEF1A-1	Two-hybrid	physical	Stelzl U (2005)	16169070	9606	9606	High Throughput	4.0	-	-	-	-	BIOGRID
271507	56893	9094	121223	114548	RP11-336K24.8	-	UBQLN4	UNC119	A1U|A1Up|C1orf6|CIP75|UBIN	HRG4|IMD13|POC7|POC7A	Two-hybrid	physical	Stelzl U (2005)	16169070	9606	9606	High Throughput	4.0	-	-	-	-	BIOGRID
271735	56893	5764	121223	111731	RP11-336K24.8	-	UBQLN4	PTN	A1U|A1Up|C1orf6|CIP75|UBIN	HARP|HBGF8|HBNF|NEGF1	Two-hybrid	physical	Stelzl U (2005)	16169070	9606	9606	High Throughput	5.0	-	-	-	-	BIOGRID
