#BioGRID Interaction ID	Entrez Gene Interactor A	Entrez Gene Interactor B	BioGRID ID Interactor A	BioGRID ID Interactor B	Systematic Name Interactor A	Systematic Name Interactor B	Official Symbol Interactor A	Official Symbol Interactor B	Synonyms Interactor A	Synonyms Interactor B	Experimental System	Experimental System Type	Author	Pubmed ID	Organism Interactor A	Organism Interactor B	Throughput	Score	Modification	Phenotypes	Qualifications	Tags	Source Database
29410	10210	7329	115505	113177	RP11-205M20.5	LA16c-358B7.1	TOPORS	UBE2I	LUN|P53BP3|RP31|TP53BPL	C358B7.1|P18|UBC9	Two-hybrid	physical	Weger S (2003)	14516784	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
253781	10210	7341	115505	113188	RP11-205M20.5	OK/SW-cl.43	TOPORS	SUMO1	LUN|P53BP3|RP31|TP53BPL	DAP1|GMP1|OFC10|PIC1|SENP2|SMT3|SMT3C|SMT3H3|UBL1	Two-hybrid	physical	Weger S (2003)	14516784	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
282914	22059	10210	204323	115505	RP23-56I20.1	RP11-205M20.5	Trp53	TOPORS	Tp53|bbl|bfy|bhy|p44|p53	LUN|P53BP3|RP31|TP53BPL	Two-hybrid	physical	Zhou R (1999)	10415337	10090	9606	Low Throughput	-	-	-	-	-	BIOGRID
306119	10210	7150	115505	113003	RP11-205M20.5	RP3-511B24.1	TOPORS	TOP1	LUN|P53BP3|RP31|TP53BPL	TOPI	Affinity Capture-Western	physical	Haluska P (1999)	10352183	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
306120	10210	7150	115505	113003	RP11-205M20.5	RP3-511B24.1	TOPORS	TOP1	LUN|P53BP3|RP31|TP53BPL	TOPI	Two-hybrid	physical	Haluska P (1999)	10352183	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
315027	10210	7157	115505	113010	RP11-205M20.5	-	TOPORS	TP53	LUN|P53BP3|RP31|TP53BPL	BCC7|LFS1|P53|TRP53	Two-hybrid	physical	Weger S (2002)	11842245	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
320324	10210	7321	115505	113169	RP11-205M20.5	-	TOPORS	UBE2D1	LUN|P53BP3|RP31|TP53BPL	E2(17)KB1|SFT|UBC4/5|UBCH5|UBCH5A	Reconstituted Complex	physical	Park HJ (2008)	19053840	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
320325	10210	7321	115505	113169	RP11-205M20.5	-	TOPORS	UBE2D1	LUN|P53BP3|RP31|TP53BPL	E2(17)KB1|SFT|UBC4/5|UBCH5|UBCH5A	Affinity Capture-Western	physical	Park HJ (2008)	19053840	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
437722	7321	10210	113169	115505	-	RP11-205M20.5	UBE2D1	TOPORS	E2(17)KB1|SFT|UBC4/5|UBCH5|UBCH5A	LUN|P53BP3|RP31|TP53BPL	Two-hybrid	physical	van Wijk SJ (2009)	19690564	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
437754	7322	10210	113170	115505	-	RP11-205M20.5	UBE2D2	TOPORS	E2(17)KB2|PUBC1|UBC4|UBC4/5|UBCH4|UBCH5B	LUN|P53BP3|RP31|TP53BPL	Two-hybrid	physical	van Wijk SJ (2009)	19690564	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
437787	7323	10210	113171	115505	-	RP11-205M20.5	UBE2D3	TOPORS	E2(17)KB3|UBC4/5|UBCH5C	LUN|P53BP3|RP31|TP53BPL	Two-hybrid	physical	van Wijk SJ (2009)	19690564	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
437819	51619	10210	119641	115505	-	RP11-205M20.5	UBE2D4	TOPORS	HBUCE1	LUN|P53BP3|RP31|TP53BPL	Two-hybrid	physical	van Wijk SJ (2009)	19690564	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
437883	51465	10210	119555	115505	CGI-76	RP11-205M20.5	UBE2J1	TOPORS	HSPC153|HSPC205|HSU93243|NCUBE-1|NCUBE1|UBC6|Ubc6p	LUN|P53BP3|RP31|TP53BPL	Two-hybrid	physical	van Wijk SJ (2009)	19690564	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
437893	9246	10210	114672	115505	-	RP11-205M20.5	UBE2L6	TOPORS	RIG-B|UBCH8	LUN|P53BP3|RP31|TP53BPL	Two-hybrid	physical	van Wijk SJ (2009)	19690564	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
437915	7334	10210	113182	115505	-	RP11-205M20.5	UBE2N	TOPORS	HEL-S-71|UBC13|UBCHBEN; UBC13|UbcH-ben|UbcH13	LUN|P53BP3|RP31|TP53BPL	Two-hybrid	physical	van Wijk SJ (2009)	19690564	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
437996	55284	10210	120572	115505	-	RP11-205M20.5	UBE2W	TOPORS	UBC-16|UBC16	LUN|P53BP3|RP31|TP53BPL	Two-hybrid	physical	van Wijk SJ (2009)	19690564	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
478837	10210	7157	115505	113010	RP11-205M20.5	-	TOPORS	TP53	LUN|P53BP3|RP31|TP53BPL	BCC7|LFS1|P53|TRP53	Biochemical Activity	physical	Rajendra R (2004)	15247280	9606	9606	Low Throughput	-	Ubiquitination	-	-	-	BIOGRID
480305	22927	10210	116587	115505	RP11-172F4.4	RP11-205M20.5	HABP4	TOPORS	IHABP-4|IHABP4|Ki-1/57|SERBP1L	LUN|P53BP3|RP31|TP53BPL	Two-hybrid	physical	Nery FC (2006)	16455055	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
521914	10210	7157	115505	113010	RP11-205M20.5	-	TOPORS	TP53	LUN|P53BP3|RP31|TP53BPL	BCC7|LFS1|P53|TRP53	Reconstituted Complex	physical	Pungaliya P (2007)	17803295	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
521935	10210	2969	115505	109224	RP11-205M20.5	-	TOPORS	GTF2I	LUN|P53BP3|RP31|TP53BPL	BAP135|BTKAP1|DIWS|GTFII-I|IB291|SPIN|TFII-I|WBS|WBSCR6	Affinity Capture-MS	physical	Pungaliya P (2007)	17803295	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
521936	10210	4841	115505	110904	RP11-205M20.5	-	TOPORS	NONO	LUN|P53BP3|RP31|TP53BPL	NMT55|NRB54|P54|P54NRB|PPP1R114	Affinity Capture-MS	physical	Pungaliya P (2007)	17803295	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
521937	10210	6421	115505	112319	RP11-205M20.5	-	TOPORS	SFPQ	LUN|P53BP3|RP31|TP53BPL	POMP100|PPP1R140|PSF	Affinity Capture-MS	physical	Pungaliya P (2007)	17803295	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
521938	10210	25942	115505	117439	RP11-205M20.5	-	TOPORS	SIN3A	LUN|P53BP3|RP31|TP53BPL	-	Affinity Capture-MS	physical	Pungaliya P (2007)	17803295	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
521939	10210	142	115505	106652	RP11-205M20.5	RP11-125A15.2	TOPORS	PARP1	LUN|P53BP3|RP31|TP53BPL	ADPRT|ADPRT 1|ADPRT1|ARTD1|PARP|PARP-1|PPOL|pADPRT-1	Affinity Capture-MS	physical	Pungaliya P (2007)	17803295	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
521940	10210	9667	115505	115022	RP11-205M20.5	-	TOPORS	SAFB2	LUN|P53BP3|RP31|TP53BPL	-	Affinity Capture-MS	physical	Pungaliya P (2007)	17803295	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
521941	10210	1643	115505	108010	RP11-205M20.5	-	TOPORS	DDB2	LUN|P53BP3|RP31|TP53BPL	DDBB|UV-DDB2	Affinity Capture-MS	physical	Pungaliya P (2007)	17803295	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
521942	10210	5931	115505	111866	RP11-205M20.5	RP11-716A19.5	TOPORS	RBBP7	LUN|P53BP3|RP31|TP53BPL	RbAp46	Affinity Capture-MS	physical	Pungaliya P (2007)	17803295	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
521943	10210	10155	115505	115457	RP11-205M20.5	-	TOPORS	TRIM28	LUN|P53BP3|RP31|TP53BPL	KAP1|PPP1R157|RNF96|TF1B|TIF1B	Affinity Capture-MS	physical	Pungaliya P (2007)	17803295	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
521944	10210	5928	115505	111863	RP11-205M20.5	-	TOPORS	RBBP4	LUN|P53BP3|RP31|TP53BPL	NURF55|RBAP48|lin-53	Affinity Capture-MS	physical	Pungaliya P (2007)	17803295	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
