#BioGRID Interaction ID	Entrez Gene Interactor A	Entrez Gene Interactor B	BioGRID ID Interactor A	BioGRID ID Interactor B	Systematic Name Interactor A	Systematic Name Interactor B	Official Symbol Interactor A	Official Symbol Interactor B	Synonyms Interactor A	Synonyms Interactor B	Experimental System	Experimental System Type	Author	Pubmed ID	Organism Interactor A	Organism Interactor B	Throughput	Score	Modification	Phenotypes	Qualifications	Tags	Source Database
720454	54715	9491	120107	114872	-	RP4-545L17.1	RBFOX1	PSMF1	2BP1|A2BP1|FOX-1|FOX1|HRNBP1	PI31	Two-hybrid	physical	Lim J (2006)	16713569	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
720455	54715	63948	120107	122012	-	-	RBFOX1	DMRTB1	2BP1|A2BP1|FOX-1|FOX1|HRNBP1	-	Two-hybrid	physical	Lim J (2006)	16713569	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
720457	54715	1856	120107	108189	-	-	RBFOX1	DVL2	2BP1|A2BP1|FOX-1|FOX1|HRNBP1	-	Two-hybrid	physical	Lim J (2006)	16713569	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
720458	54715	3185	120107	109426	-	-	RBFOX1	HNRNPF	2BP1|A2BP1|FOX-1|FOX1|HRNBP1	HNRPF|OK/SW-cl.23|mcs94-1	Two-hybrid	physical	Lim J (2006)	16713569	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
720459	54715	22920	120107	116582	-	RP1-190I16.1	RBFOX1	KIFAP3	2BP1|A2BP1|FOX-1|FOX1|HRNBP1	FLA3|KAP-1|KAP-3|KAP3|SMAP|Smg-GDS|dJ190I16.1	Two-hybrid	physical	Lim J (2006)	16713569	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
720460	54715	84445	120107	124083	-	RP11-108L7.8	RBFOX1	LZTS2	2BP1|A2BP1|FOX-1|FOX1|HRNBP1	LAPSER1	Two-hybrid	physical	Lim J (2006)	16713569	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
720461	54715	9253	120107	114677	-	-	RBFOX1	NUMBL	2BP1|A2BP1|FOX-1|FOX1|HRNBP1	CAG3A|CTG3a|NBL|NUMB-R|NUMBLIKE|NUMBR|TNRC23	Two-hybrid	physical	Lim J (2006)	16713569	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
720462	54715	84528	120107	124119	-	-	RBFOX1	RHOXF2	2BP1|A2BP1|FOX-1|FOX1|HRNBP1	CT107|PEPP-2|PEPP2|THG1	Two-hybrid	physical	Lim J (2006)	16713569	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
720693	54715	1822	120107	108156	-	-	RBFOX1	ATN1	2BP1|A2BP1|FOX-1|FOX1|HRNBP1	B37|D12S755E|DRPLA|HRS|NOD	Two-hybrid	physical	Lim J (2006)	16713569	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
720694	54715	6310	120107	112217	-	-	RBFOX1	ATXN1	2BP1|A2BP1|FOX-1|FOX1|HRNBP1	ATX1|D6S504E|SCA1	Two-hybrid	physical	Lim J (2006)	16713569	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
720695	54715	6311	120107	112218	-	-	RBFOX1	ATXN2	2BP1|A2BP1|FOX-1|FOX1|HRNBP1	ASL13|ATX2|SCA2|TNRC13	Two-hybrid	physical	Lim J (2006)	16713569	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
720696	54715	7916	120107	113646	-	DADB-70P7.5	RBFOX1	PRRC2A	2BP1|A2BP1|FOX-1|FOX1|HRNBP1	BAT2|D6S51|D6S51E|G2	Two-hybrid	physical	Lim J (2006)	16713569	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
