#BioGRID Interaction ID	Entrez Gene Interactor A	Entrez Gene Interactor B	BioGRID ID Interactor A	BioGRID ID Interactor B	Systematic Name Interactor A	Systematic Name Interactor B	Official Symbol Interactor A	Official Symbol Interactor B	Synonyms Interactor A	Synonyms Interactor B	Experimental System	Experimental System Type	Author	Pubmed ID	Organism Interactor A	Organism Interactor B	Throughput	Score	Modification	Phenotypes	Qualifications	Tags	Source Database
270258	54541	55791	120028	120905	RP11-442H21.1	RP11-96K19.1	DDIT4	LRIF1	Dig2|REDD-1|REDD1	C1orf103|RIF1	Two-hybrid	physical	Stelzl U (2005)	16169070	9606	9606	High Throughput	2.0	-	-	-	-	BIOGRID
602003	5170	54541	111196	120028	-	RP11-442H21.1	PDPK1	DDIT4	PDK1|PDPK2|PDPK2P|PRO0461	Dig2|REDD-1|REDD1	Two-hybrid	physical	Vinayagam A (2011)	21900206	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
720578	3308	54541	109540	120028	-	RP11-442H21.1	HSPA4	DDIT4	APG-2|HEL-S-5a|HS24/P52|HSPH2|RY|hsp70|hsp70RY	Dig2|REDD-1|REDD1	Two-hybrid	physical	Lim J (2006)	16713569	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
828729	2932	54541	109187	120028	-	RP11-442H21.1	GSK3B	DDIT4	-	Dig2|REDD-1|REDD1	Biochemical Activity	physical	Katiyar S (2009)	19557001	9606	9606	Low Throughput	-	Phosphorylation	-	-	-	BIOGRID
828730	2932	54541	109187	120028	-	RP11-442H21.1	GSK3B	DDIT4	-	Dig2|REDD-1|REDD1	Affinity Capture-Western	physical	Katiyar S (2009)	19557001	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
828731	54541	8451	120028	114029	RP11-442H21.1	RP11-391H12.1	DDIT4	CUL4A	Dig2|REDD-1|REDD1	-	Affinity Capture-Western	physical	Katiyar S (2009)	19557001	9606	9606	Low Throughput	-	-	-	cUL4A, DDB1, bTRCP pulled down only when coexpressed	-	BIOGRID
828732	54541	1642	120028	108009	RP11-442H21.1	-	DDIT4	DDB1	Dig2|REDD-1|REDD1	DDBA|UV-DDB1|XAP1|XPCE|XPE|XPE-BF	Affinity Capture-Western	physical	Katiyar S (2009)	19557001	9606	9606	Low Throughput	-	-	-	cUL4A, DDB1, bTRCP pulled down only when coexpressed	-	BIOGRID
828733	54541	8945	120028	114457	RP11-442H21.1	RP11-529I10.2	DDIT4	BTRC	Dig2|REDD-1|REDD1	BETA-TRCP|FBW1A|FBXW1|FBXW1A|FWD1|bTrCP|bTrCP1|betaTrCP	Affinity Capture-Western	physical	Katiyar S (2009)	19557001	9606	9606	Low Throughput	-	-	-	cUL4A, DDB1, bTRCP pulled down only when coexpressed	-	BIOGRID
957394	5071	54541	111105	120028	KB-152G3.1	RP11-442H21.1	PARK2	DDIT4	AR-JP|LPRS2|PDJ|PRKN	Dig2|REDD-1|REDD1	Biochemical Activity	physical	Romani-Aumedes J (2014)	25101677	9606	9606	Low Throughput	-	Ubiquitination	-	-	-	BIOGRID
957396	54541	5071	120028	111105	RP11-442H21.1	KB-152G3.1	DDIT4	PARK2	Dig2|REDD-1|REDD1	AR-JP|LPRS2|PDJ|PRKN	Affinity Capture-Western	physical	Romani-Aumedes J (2014)	25101677	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
957397	5071	54541	111105	120028	KB-152G3.1	RP11-442H21.1	PARK2	DDIT4	AR-JP|LPRS2|PDJ|PRKN	Dig2|REDD-1|REDD1	Affinity Capture-Western	physical	Romani-Aumedes J (2014)	25101677	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
1022798	7534	54541	113366	120028	-	RP11-442H21.1	YWHAZ	DDIT4	14-3-3-zeta|HEL-S-3|HEL4|KCIP-1|YWHAD	Dig2|REDD-1|REDD1	Affinity Capture-Western	physical	Hernandez G (2011)	22001647	9606	9606	Low Throughput	-	-	-	unclear which 14-3-3 protein used as bait	-	BIOGRID
1022801	10628	54541	115872	120028	RP11-315I20.4	RP11-442H21.1	TXNIP	DDIT4	EST01027|HHCPA78|THIF|VDUP1	Dig2|REDD-1|REDD1	Reconstituted Complex	physical	Jin HO (2011)	21460850	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
1022802	10628	54541	115872	120028	RP11-315I20.4	RP11-442H21.1	TXNIP	DDIT4	EST01027|HHCPA78|THIF|VDUP1	Dig2|REDD-1|REDD1	Affinity Capture-Western	physical	Jin HO (2011)	21460850	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
1022803	10628	54541	115872	120028	RP11-315I20.4	RP11-442H21.1	TXNIP	DDIT4	EST01027|HHCPA78|THIF|VDUP1	Dig2|REDD-1|REDD1	Co-localization	physical	Jin HO (2011)	21460850	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
1028287	7529	54541	113361	120028	RP1-148E22.1	RP11-442H21.1	YWHAB	DDIT4	GW128|HEL-S-1|HS1|KCIP-1|YWHAA	Dig2|REDD-1|REDD1	Affinity Capture-Western	physical	DeYoung MP (2008)	18198340	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
1029631	54541	10075	120028	115385	RP11-442H21.1	RP3-339A18.4	DDIT4	HUWE1	Dig2|REDD-1|REDD1	ARF-BP1|HECTH9|HSPC272|Ib772|LASU1|MULE|URE-B1|UREB1	Affinity Capture-Western	physical	Thompson JW (2014)	25147182	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
1029632	10075	54541	115385	120028	RP3-339A18.4	RP11-442H21.1	HUWE1	DDIT4	ARF-BP1|HECTH9|HSPC272|Ib772|LASU1|MULE|URE-B1|UREB1	Dig2|REDD-1|REDD1	Affinity Capture-Western	physical	Thompson JW (2014)	25147182	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
1279742	3316	54541	109548	120028	-	RP11-442H21.1	HSPB2	DDIT4	HSP27|Hs.78846|LOH11CR1K|MKBP	Dig2|REDD-1|REDD1	Two-hybrid	physical	Grose JH (2015)	26465331	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
2207072	54541	4734	120028	110811	RP11-442H21.1	PIG53	DDIT4	NEDD4	Dig2|REDD-1|REDD1	NEDD4-1|RPF1	Affinity Capture-Western	physical	Canal M (2016)	27494837	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
2518693	120892	54541	125700	120028	-	RP11-442H21.1	LRRK2	DDIT4	AURA17|DARDARIN|PARK8|RIPK7|ROCO2	Dig2|REDD-1|REDD1	Reconstituted Complex	physical	Tomkins JE (2018)	29513927	9606	9606	High Throughput	-	-	-	Significant hits in the protein microarray had a Z-score threshold of Z > 3.	-	BIOGRID
2617946	90379	54541	124705	120028	-	RP11-442H21.1	DCAF15	DDIT4	C19orf72	Dig2|REDD-1|REDD1	Proximity Label-MS	physical	Pech MF (2019)	31452512	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
2872866	3187	54541	109428	120028	-	RP11-442H21.1	HNRNPH1	DDIT4	HNRPH|HNRPH1|hnRNPH	Dig2|REDD-1|REDD1	Affinity Capture-RNA	physical	Uren PJ (2016)	26760575	9606	9606	High Throughput	-	-	-	RIP-Seq|iCLIP	-	BIOGRID
2881289	1956	54541	108276	120028	-	RP11-442H21.1	EGFR	DDIT4	ERBB|ERBB1|HER1|NISBD2|PIG61|mENA	Dig2|REDD-1|REDD1	Positive Genetic	genetic	Zeng H (2019)	31741433	9606	9606	High Throughput	-	-	Growth abnormality|viability	CRISPR GI screen|Cell Line: HCC-827|Experimental Setup: Positive selection in response to EGFR TKI: erlotinib 1um|GIST: A-phenotypic positive genetic interaction|Library: CRISPRn (Cong, 2019)|Significance Threshold: RSA<= -3 and Q3 z-score >=1	-	BIOGRID
2955656	23586	54541	117121	120028	RP11-334P12.2	RP11-442H21.1	DDX58	DDIT4	RIG-I|RIGI|RLR-1	Dig2|REDD-1|REDD1	Affinity Capture-RNA	physical	Wu SF (2020)	32513696	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
3062276	54541	283458	120028	129568	RP11-442H21.1	-	DDIT4	NME2P1	Dig2|REDD-1|REDD1	-	Affinity Capture-MS	physical	Huttlin EL (2021)	33961781	9606	9606	High Throughput	0.772464333	-	-	BioPlex 3.0 HEK 293T cells CompPASS score = 0.772464333, threshold = 0.75. Quantitative scores are calculated by CompPASS-Plus (Huttlin et al. Cell 2015, PMID: 26186194). The 0.75 threshold represents the top 2% of scores in HEK293T.|This data may be re-scored from BioPlex 1.0 (PMID: 26186194) and BioPlex 2.0 (PMID: 28514442). Only scores from within the same cell line in BioPlex 3.0 (PMID: 33961781) should be compared directly. For comparison of HEK293T and HCT116 interaction networks with relaxed threshold = 0.1, see BioPlex Interactome (https://bioplex.hms.harvard.edu/index.php).	-	BIOGRID
3198446	10075	54541	115385	120028	RP3-339A18.4	RP11-442H21.1	HUWE1	DDIT4	ARF-BP1|HECTH9|HSPC272|Ib772|LASU1|MULE|URE-B1|UREB1	Dig2|REDD-1|REDD1	Biochemical Activity	physical	Hunkeler M (2021)	34314700	9606	9606	Low Throughput	-	Ubiquitination	-	-	-	BIOGRID
3198449	10075	54541	115385	120028	RP3-339A18.4	RP11-442H21.1	HUWE1	DDIT4	ARF-BP1|HECTH9|HSPC272|Ib772|LASU1|MULE|URE-B1|UREB1	Dig2|REDD-1|REDD1	Reconstituted Complex	physical	Hunkeler M (2021)	34314700	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
3337261	43740575	54541	4383847	120028	GU280_gp10	RP11-442H21.1	N	DDIT4	nuc|nucleocapsid|SARS-CoV2 N|N protein|ncap|SARS-CoV-2 N|Nucleoprotein|NCAP_SARS2|PRO_0000449656	Dig2|REDD-1|REDD1	Protein-RNA	physical	Banerjee AK (2020)	33080218	2697049	9606	High Throughput	-	-	-	-	-	BIOGRID
3585279	8451	54541	114029	120028	RP11-391H12.1	RP11-442H21.1	CUL4A	DDIT4	-	Dig2|REDD-1|REDD1	Affinity Capture-MS	physical	Tseng C (2023)	36688959	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
