#BioGRID Interaction ID	Entrez Gene Interactor A	Entrez Gene Interactor B	BioGRID ID Interactor A	BioGRID ID Interactor B	Systematic Name Interactor A	Systematic Name Interactor B	Official Symbol Interactor A	Official Symbol Interactor B	Synonyms Interactor A	Synonyms Interactor B	Experimental System	Experimental System Type	Author	Pubmed ID	Organism Interactor A	Organism Interactor B	Throughput	Score	Modification	Phenotypes	Qualifications	Tags	Source Database
341101	831889	842951	17165	28172	AT5G03280	AT1G66340	EIN2	ETR1	ATEIN2|CKR1|CYTOKININ RESISTANT 1|ENHANCED RESPONSE TO ABA3|ERA3|ETHYLENE INSENSITIVE 2|F12E4.10|F12E4_10|ORE2|ORE3|ORESARA 2|ORESARA 3|PIR2	AtETR1|EIN1|ETHYLENE INSENSITIVE 1|ETHYLENE RESPONSE|ETHYLENE RESPONSE 1|ETR|HISTIDINE KINASE ETR1|T27F4.9|T27F4_9	FRET	physical	Bisson MM (2009)	19769567	3702	3702	Low Throughput	-	-	-	-	-	BIOGRID
341102	831889	842951	17165	28172	AT5G03280	AT1G66340	EIN2	ETR1	ATEIN2|CKR1|CYTOKININ RESISTANT 1|ENHANCED RESPONSE TO ABA3|ERA3|ETHYLENE INSENSITIVE 2|F12E4.10|F12E4_10|ORE2|ORE3|ORESARA 2|ORESARA 3|PIR2	AtETR1|EIN1|ETHYLENE INSENSITIVE 1|ETHYLENE RESPONSE|ETHYLENE RESPONSE 1|ETR|HISTIDINE KINASE ETR1|T27F4.9|T27F4_9	Reconstituted Complex	physical	Bisson MM (2009)	19769567	3702	3702	Low Throughput	-	-	-	-	-	BIOGRID
534349	836440	831889	21683	17165	AT5G63190	AT5G03280	AT5G63190	EIN2	MDC12.16|MDC12_16	ATEIN2|CKR1|CYTOKININ RESISTANT 1|ENHANCED RESPONSE TO ABA3|ERA3|ETHYLENE INSENSITIVE 2|F12E4.10|F12E4_10|ORE2|ORE3|ORESARA 2|ORESARA 3|PIR2	Reconstituted Complex	physical	Lei G (2011)	21631530	3702	3702	Low Throughput	-	-	-	-	-	BIOGRID
734547	831748	831889	17024	17165	AT5G03730	AT5G03280	CTR1	EIN2	AtCTR1|CONSTITUTIVE TRIPLE RESPONSE 1|F17C15.150|F17C15_150|SERINE/THREONINE-PROTEIN KINASE CTR1|SIS1|SUGAR-INSENSITIVE 1	ATEIN2|CKR1|CYTOKININ RESISTANT 1|ENHANCED RESPONSE TO ABA3|ERA3|ETHYLENE INSENSITIVE 2|F12E4.10|F12E4_10|ORE2|ORE3|ORESARA 2|ORESARA 3|PIR2	Two-hybrid	physical	Ju C (2012)	23132950	3702	3702	Low Throughput	-	-	-	-	-	BIOGRID
734548	831889	831748	17165	17024	AT5G03280	AT5G03730	EIN2	CTR1	ATEIN2|CKR1|CYTOKININ RESISTANT 1|ENHANCED RESPONSE TO ABA3|ERA3|ETHYLENE INSENSITIVE 2|F12E4.10|F12E4_10|ORE2|ORE3|ORESARA 2|ORESARA 3|PIR2	AtCTR1|CONSTITUTIVE TRIPLE RESPONSE 1|F17C15.150|F17C15_150|SERINE/THREONINE-PROTEIN KINASE CTR1|SIS1|SUGAR-INSENSITIVE 1	PCA	physical	Ju C (2012)	23132950	3702	3702	Low Throughput	-	-	-	-	-	BIOGRID
734549	831748	831889	17024	17165	AT5G03730	AT5G03280	CTR1	EIN2	AtCTR1|CONSTITUTIVE TRIPLE RESPONSE 1|F17C15.150|F17C15_150|SERINE/THREONINE-PROTEIN KINASE CTR1|SIS1|SUGAR-INSENSITIVE 1	ATEIN2|CKR1|CYTOKININ RESISTANT 1|ENHANCED RESPONSE TO ABA3|ERA3|ETHYLENE INSENSITIVE 2|F12E4.10|F12E4_10|ORE2|ORE3|ORESARA 2|ORESARA 3|PIR2	Biochemical Activity	physical	Ju C (2012)	23132950	3702	3702	Low Throughput	-	Phosphorylation	-	-	-	BIOGRID
1113086	831889	842951	17165	28172	AT5G03280	AT1G66340	EIN2	ETR1	ATEIN2|CKR1|CYTOKININ RESISTANT 1|ENHANCED RESPONSE TO ABA3|ERA3|ETHYLENE INSENSITIVE 2|F12E4.10|F12E4_10|ORE2|ORE3|ORESARA 2|ORESARA 3|PIR2	AtETR1|EIN1|ETHYLENE INSENSITIVE 1|ETHYLENE RESPONSE|ETHYLENE RESPONSE 1|ETR|HISTIDINE KINASE ETR1|T27F4.9|T27F4_9	FRET	physical	Bisson MM (2010)	20591837	3702	3702	Low Throughput	-	-	-	-	-	BIOGRID
1113087	831889	818693	17165	4030	AT5G03280	AT2G40940	EIN2	ERS1	ATEIN2|CKR1|CYTOKININ RESISTANT 1|ENHANCED RESPONSE TO ABA3|ERA3|ETHYLENE INSENSITIVE 2|F12E4.10|F12E4_10|ORE2|ORE3|ORESARA 2|ORESARA 3|PIR2	ERS|ETHYLENE RESPONSE SENSOR|T20B5.14|T20B5_14|ethylene response sensor 1	FRET	physical	Bisson MM (2010)	20591837	3702	3702	Low Throughput	-	-	-	-	-	BIOGRID
1113088	831889	821891	17165	7223	AT5G03280	AT3G23150	EIN2	ETR2	ATEIN2|CKR1|CYTOKININ RESISTANT 1|ENHANCED RESPONSE TO ABA3|ERA3|ETHYLENE INSENSITIVE 2|F12E4.10|F12E4_10|ORE2|ORE3|ORESARA 2|ORESARA 3|PIR2	ethylene response 2	FRET	physical	Bisson MM (2010)	20591837	3702	3702	Low Throughput	-	-	-	-	-	BIOGRID
1113089	831889	839549	17165	24784	AT5G03280	AT1G04310	EIN2	ERS2	ATEIN2|CKR1|CYTOKININ RESISTANT 1|ENHANCED RESPONSE TO ABA3|ERA3|ETHYLENE INSENSITIVE 2|F12E4.10|F12E4_10|ORE2|ORE3|ORESARA 2|ORESARA 3|PIR2	ERS2 PROTEIN|F19P19.25|F19P19_25|ethylene response sensor 2	FRET	physical	Bisson MM (2010)	20591837	3702	3702	Low Throughput	-	-	-	-	-	BIOGRID
