#BioGRID Interaction ID	Entrez Gene Interactor A	Entrez Gene Interactor B	BioGRID ID Interactor A	BioGRID ID Interactor B	Systematic Name Interactor A	Systematic Name Interactor B	Official Symbol Interactor A	Official Symbol Interactor B	Synonyms Interactor A	Synonyms Interactor B	Experimental System	Experimental System Type	Author	Pubmed ID	Organism Interactor A	Organism Interactor B	Throughput	Score	Modification	Phenotypes	Qualifications	Tags	Source Database
2503379	820732	823813	6066	9133	AT3G15030	AT3G46600	TCP4	AT3G46600	MEE35|TCP family transcription factor 4|maternal effect embryo arrest 35	-	Two-hybrid	physical	Trigg SA (2017)	28650476	3702	3702	High Throughput	-	-	-	CrY2H-seq (Cre reporter-mediated yeast two-hybrid coupled with next-generation sequencing)	-	BAR
2503482	823813	831284	9133	16561	AT3G46600	AT5G14340	AT3G46600	MYB40	-	AtMYB40|F18O22.130|F18O22_130|myb domain protein 40	Two-hybrid	physical	Trigg SA (2017)	28650476	3702	3702	High Throughput	-	-	-	CrY2H-seq (Cre reporter-mediated yeast two-hybrid coupled with next-generation sequencing)	-	BAR
2503709	823813	829335	9133	14621	AT3G46600	AT4G32040	AT3G46600	KNAT5	-	F10N7.150|F10N7_150|KNOTTED1-like homeobox gene 5|TRANSCRIPTION FACTOR	Two-hybrid	physical	Trigg SA (2017)	28650476	3702	3702	High Throughput	-	-	-	CrY2H-seq (Cre reporter-mediated yeast two-hybrid coupled with next-generation sequencing)	-	BAR
2503747	823813	836076	9133	21320	AT3G46600	AT5G59570	AT3G46600	AT5G59570	-	F2O15.24|F2O15_24	Two-hybrid	physical	Trigg SA (2017)	28650476	3702	3702	High Throughput	-	-	-	CrY2H-seq (Cre reporter-mediated yeast two-hybrid coupled with next-generation sequencing)	-	BAR
2503755	823813	833520	9133	18773	AT3G46600	AT5G35550	AT3G46600	TT2	-	ATMYB123|ATTT2|MOK9.18|MOK9_18|MYB DOMAIN PROTEIN 123|MYB123|TRANSPARENT TESTA 2	Two-hybrid	physical	Trigg SA (2017)	28650476	3702	3702	High Throughput	-	-	-	CrY2H-seq (Cre reporter-mediated yeast two-hybrid coupled with next-generation sequencing)	-	BAR
2503867	821902	823813	7234	9133	AT3G23240	AT3G46600	ERF1	AT3G46600	ATERF1|ETHYLENE RESPONSE FACTOR 1	-	Two-hybrid	physical	Trigg SA (2017)	28650476	3702	3702	High Throughput	-	-	-	CrY2H-seq (Cre reporter-mediated yeast two-hybrid coupled with next-generation sequencing)	-	BAR
2503949	837847	823813	23087	9133	AT1G12890	AT3G46600	AT1G12890	AT3G46600	F13K23.25	-	Two-hybrid	physical	Trigg SA (2017)	28650476	3702	3702	High Throughput	-	-	-	CrY2H-seq (Cre reporter-mediated yeast two-hybrid coupled with next-generation sequencing)	-	BAR
2504074	823813	828364	9133	13653	AT3G46600	AT4G22680	AT3G46600	MYB85	-	AtMYB85|T12H17.70|T12H17_70|myb domain protein 85	Two-hybrid	physical	Trigg SA (2017)	28650476	3702	3702	High Throughput	-	-	-	CrY2H-seq (Cre reporter-mediated yeast two-hybrid coupled with next-generation sequencing)	-	BAR
2504091	819965	823813	5300	9133	AT3G07740	AT3G46600	ADA2A	AT3G46600	ATADA2A|HAC10|HXA02|HXA2|homolog of yeast ADA2 2A	-	Two-hybrid	physical	Trigg SA (2017)	28650476	3702	3702	High Throughput	-	-	-	CrY2H-seq (Cre reporter-mediated yeast two-hybrid coupled with next-generation sequencing)	-	BAR
2504149	818199	823813	3543	9133	AT2G36270	AT3G46600	ABI5	AT3G46600	ABA INSENSITIVE 5|F2H17.12|F2H17_12|GIA1|GROWTH-INSENSITIVITY TO ABA 1	-	Two-hybrid	physical	Trigg SA (2017)	28650476	3702	3702	High Throughput	-	-	-	CrY2H-seq (Cre reporter-mediated yeast two-hybrid coupled with next-generation sequencing)	-	BAR
