#BioGRID Interaction ID	Entrez Gene Interactor A	Entrez Gene Interactor B	BioGRID ID Interactor A	BioGRID ID Interactor B	Systematic Name Interactor A	Systematic Name Interactor B	Official Symbol Interactor A	Official Symbol Interactor B	Synonyms Interactor A	Synonyms Interactor B	Experimental System	Experimental System Type	Author	Pubmed ID	Organism Interactor A	Organism Interactor B	Throughput	Score	Modification	Phenotypes	Qualifications	Tags	Source Database
281038	817252	839574	2604	24809	AT2G27100	AT1G01040	SE	DCL1	SERRATE|T20P8.15|T20P8_15	ABNORMAL SUSPENSOR 1|ASU1|ATDCL1|CAF|CARPEL FACTORY|DICER-LIKE 1|EMB60|EMB76|EMBRYO DEFECTIVE 60|EMBRYO DEFECTIVE 76|SHORT INTEGUMENTS 1|SIN1|SUS1|SUSPENSOR 1|T25K16.4|T25K16_4	PCA	physical	Fang Y (2007)	17442570	3702	3702	Low Throughput	-	-	-	BiFC	-	BIOGRID
281040	839574	837498	24809	22739	AT1G01040	AT1G09700	DCL1	HYL1	ABNORMAL SUSPENSOR 1|ASU1|ATDCL1|CAF|CARPEL FACTORY|DICER-LIKE 1|EMB60|EMB76|EMBRYO DEFECTIVE 60|EMBRYO DEFECTIVE 76|SHORT INTEGUMENTS 1|SIN1|SUS1|SUSPENSOR 1|T25K16.4|T25K16_4	DRB1|DSRNA-BINDING PROTEIN 1|F21M12.9|F21M12_9|HYPONASTIC LEAVES 1	PCA	physical	Fang Y (2007)	17442570	3702	3702	Low Throughput	-	-	-	BiFC	-	BIOGRID
281042	839574	839574	24809	24809	AT1G01040	AT1G01040	DCL1	DCL1	ABNORMAL SUSPENSOR 1|ASU1|ATDCL1|CAF|CARPEL FACTORY|DICER-LIKE 1|EMB60|EMB76|EMBRYO DEFECTIVE 60|EMBRYO DEFECTIVE 76|SHORT INTEGUMENTS 1|SIN1|SUS1|SUSPENSOR 1|T25K16.4|T25K16_4	ABNORMAL SUSPENSOR 1|ASU1|ATDCL1|CAF|CARPEL FACTORY|DICER-LIKE 1|EMB60|EMB76|EMBRYO DEFECTIVE 60|EMBRYO DEFECTIVE 76|SHORT INTEGUMENTS 1|SIN1|SUS1|SUSPENSOR 1|T25K16.4|T25K16_4	PCA	physical	Fang Y (2007)	17442570	3702	3702	Low Throughput	-	-	-	BiFC	-	BIOGRID
336621	837498	839574	22739	24809	AT1G09700	AT1G01040	HYL1	DCL1	DRB1|DSRNA-BINDING PROTEIN 1|F21M12.9|F21M12_9|HYPONASTIC LEAVES 1	ABNORMAL SUSPENSOR 1|ASU1|ATDCL1|CAF|CARPEL FACTORY|DICER-LIKE 1|EMB60|EMB76|EMBRYO DEFECTIVE 60|EMBRYO DEFECTIVE 76|SHORT INTEGUMENTS 1|SIN1|SUS1|SUSPENSOR 1|T25K16.4|T25K16_4	Far Western	physical	Hiraguri A (2005)	15821876	3702	3702	Low Throughput	-	-	-	-	-	BIOGRID
336626	834109	839574	19360	24809	AT5G41070	AT1G01040	DRB5	DCL1	MEE6.14|MEE6_14|dsRNA-binding protein 5	ABNORMAL SUSPENSOR 1|ASU1|ATDCL1|CAF|CARPEL FACTORY|DICER-LIKE 1|EMB60|EMB76|EMBRYO DEFECTIVE 60|EMBRYO DEFECTIVE 76|SHORT INTEGUMENTS 1|SIN1|SUS1|SUSPENSOR 1|T25K16.4|T25K16_4	Far Western	physical	Hiraguri A (2005)	15821876	3702	3702	Low Throughput	-	-	-	-	-	BIOGRID
336633	817386	839574	2736	24809	AT2G28380	AT1G01040	DRB2	DCL1	T1B3.10|T1B3_10|dsRNA-binding protein 2	ABNORMAL SUSPENSOR 1|ASU1|ATDCL1|CAF|CARPEL FACTORY|DICER-LIKE 1|EMB60|EMB76|EMBRYO DEFECTIVE 60|EMBRYO DEFECTIVE 76|SHORT INTEGUMENTS 1|SIN1|SUS1|SUSPENSOR 1|T25K16.4|T25K16_4	Far Western	physical	Hiraguri A (2005)	15821876	3702	3702	Low Throughput	-	-	-	-	-	BIOGRID
337572	839574	837498	24809	22739	AT1G01040	AT1G09700	DCL1	HYL1	ABNORMAL SUSPENSOR 1|ASU1|ATDCL1|CAF|CARPEL FACTORY|DICER-LIKE 1|EMB60|EMB76|EMBRYO DEFECTIVE 60|EMBRYO DEFECTIVE 76|SHORT INTEGUMENTS 1|SIN1|SUS1|SUSPENSOR 1|T25K16.4|T25K16_4	DRB1|DSRNA-BINDING PROTEIN 1|F21M12.9|F21M12_9|HYPONASTIC LEAVES 1	Affinity Capture-Western	physical	Kurihara Y (2006)	16428603	3702	3702	Low Throughput	-	-	-	-	-	BIOGRID
425770	839574	837498	24809	22739	AT1G01040	AT1G09700	DCL1	HYL1	ABNORMAL SUSPENSOR 1|ASU1|ATDCL1|CAF|CARPEL FACTORY|DICER-LIKE 1|EMB60|EMB76|EMBRYO DEFECTIVE 60|EMBRYO DEFECTIVE 76|SHORT INTEGUMENTS 1|SIN1|SUS1|SUSPENSOR 1|T25K16.4|T25K16_4	DRB1|DSRNA-BINDING PROTEIN 1|F21M12.9|F21M12_9|HYPONASTIC LEAVES 1	Reconstituted Complex	physical	Qin H (2010)	20106953	3702	3702	Low Throughput	-	-	-	-	-	BIOGRID
802370	821601	839574	6933	24809	AT3G20550	AT1G01040	DDL	DCL1	DAWDLE	ABNORMAL SUSPENSOR 1|ASU1|ATDCL1|CAF|CARPEL FACTORY|DICER-LIKE 1|EMB60|EMB76|EMBRYO DEFECTIVE 60|EMBRYO DEFECTIVE 76|SHORT INTEGUMENTS 1|SIN1|SUS1|SUSPENSOR 1|T25K16.4|T25K16_4	Affinity Capture-Western	physical	Machida S (2013)	23313986	3702	3702	Low Throughput	-	-	-	-	-	BIOGRID
802371	839574	821601	24809	6933	AT1G01040	AT3G20550	DCL1	DDL	ABNORMAL SUSPENSOR 1|ASU1|ATDCL1|CAF|CARPEL FACTORY|DICER-LIKE 1|EMB60|EMB76|EMBRYO DEFECTIVE 60|EMBRYO DEFECTIVE 76|SHORT INTEGUMENTS 1|SIN1|SUS1|SUSPENSOR 1|T25K16.4|T25K16_4	DAWDLE	Reconstituted Complex	physical	Machida S (2013)	23313986	3702	3702	Low Throughput	-	-	-	-	-	BIOGRID
