#BioGRID Interaction ID	Entrez Gene Interactor A	Entrez Gene Interactor B	BioGRID ID Interactor A	BioGRID ID Interactor B	Systematic Name Interactor A	Systematic Name Interactor B	Official Symbol Interactor A	Official Symbol Interactor B	Synonyms Interactor A	Synonyms Interactor B	Experimental System	Experimental System Type	Author	Pubmed ID	Organism Interactor A	Organism Interactor B	Throughput	Score	Modification	Phenotypes	Qualifications	Tags	Source Database
2612771	180510	181721	45456	46604	F52D2.4	CELE_C06G1.5	meg-3	C06G1.5	gei-12|CELE_F52D2.4	-	Two-hybrid	physical	Simonis N (2009)	19123269	6239	6239	High Throughput	-	-	-	-	-	BIOGRID
2612843	180510	179526	45456	44554	F52D2.4	CELE_C13G3.3	meg-3	pptr-2	gei-12|CELE_F52D2.4	-	Two-hybrid	physical	Simonis N (2009)	19123269	6239	6239	High Throughput	-	-	-	-	-	BIOGRID
2613072	180510	183366	45456	48195	F52D2.4	CELE_C40H1.3	meg-3	C40H1.3	gei-12|CELE_F52D2.4	-	Two-hybrid	physical	Simonis N (2009)	19123269	6239	6239	High Throughput	-	-	-	-	-	BIOGRID
2613653	178311	180510	43398	45456	CELE_K09B11.9	F52D2.4	uso-1	meg-3	-	gei-12|CELE_F52D2.4	Two-hybrid	physical	Simonis N (2009)	19123269	6239	6239	High Throughput	-	-	-	-	-	BIOGRID
2613654	174878	180510	40179	45456	CELE_Y57A10B.6	F52D2.4	Y57A10B.6	meg-3	-	gei-12|CELE_F52D2.4	Two-hybrid	physical	Simonis N (2009)	19123269	6239	6239	High Throughput	-	-	-	-	-	BIOGRID
2613655	173987	180510	39328	45456	CELE_ZK1248.11	F52D2.4	ZK1248.11	meg-3	-	gei-12|CELE_F52D2.4	Two-hybrid	physical	Simonis N (2009)	19123269	6239	6239	High Throughput	-	-	-	-	-	BIOGRID
2835826	179033	180510	44079	45456	CELE_W01A11.3	F52D2.4	unc-83	meg-3	-	gei-12|CELE_F52D2.4	Two-hybrid	physical	Fridolfsson HN (2010)	20005871	6239	6239	High Throughput	-	-	-	-	-	WORMBASE
2836194	178191	180510	43284	45456	F28D1.10	F52D2.4	gex-3	meg-3	CELE_F28D1.10	gei-12|CELE_F52D2.4	Two-hybrid	physical	Tsuboi D (2002)	11922622	6239	6239	High Throughput	-	-	-	-	-	WORMBASE
2836963	180510	177461	45456	42581	F52D2.4	CELE_ZK381.4	meg-3	pgl-1	gei-12|CELE_F52D2.4	-	Affinity Capture-Western	physical	Wang JT (2014)	25535836	6239	6239	Low Throughput	-	-	-	-	-	WORMBASE
2836964	180510	180100	45456	45089	F52D2.4	W08G11.4	meg-3	pptr-1	gei-12|CELE_F52D2.4	CELE_W08G11.4	Affinity Capture-Western	physical	Wang JT (2014)	25535836	6239	6239	Low Throughput	-	-	-	-	-	WORMBASE
2836965	180510	179526	45456	44554	F52D2.4	CELE_C13G3.3	meg-3	pptr-2	gei-12|CELE_F52D2.4	-	Affinity Capture-Western	physical	Wang JT (2014)	25535836	6239	6239	Low Throughput	-	-	-	-	-	WORMBASE
2836970	178250	180510	43342	45456	CELE_F49E11.1	F52D2.4	mbk-2	meg-3	-	gei-12|CELE_F52D2.4	Biochemical Activity	physical	Wang JT (2014)	25535836	6239	6239	Low Throughput	-	-	-	-	-	WORMBASE
2838434	180510	178867	45456	43917	F52D2.4	CELE_C18G1.4	meg-3	pgl-3	gei-12|CELE_F52D2.4	-	Co-localization	physical	Putnam A (2019)	30833787	6239	6239	Low Throughput	-	-	-	-	-	WORMBASE
2838435	180510	178867	45456	43917	F52D2.4	CELE_C18G1.4	meg-3	pgl-3	gei-12|CELE_F52D2.4	-	Reconstituted Complex	physical	Putnam A (2019)	30833787	6239	6239	Low Throughput	-	-	-	-	-	WORMBASE
2867502	181578	180510	46475	45456	T04C10.1	F52D2.4	mbk-1	meg-3	CELE_T04C10.1	gei-12|CELE_F52D2.4	Affinity Capture-MS	physical	Chen JX (2016)	26912668	6239	6239	High Throughput	-	-	-	an interaction was considered high confidence using a measure that combined fold-change of prey abundance as well as p-value of a Student's t-test for experimental versus control purifications|the bait protein was affinity purified and the prey protein was identified as an interactor by mass spectrometry (MS)|the p-value is reported here	-	BIOGRID
2867639	178250	180510	43342	45456	CELE_F49E11.1	F52D2.4	mbk-2	meg-3	-	gei-12|CELE_F52D2.4	Affinity Capture-MS	physical	Chen JX (2016)	26912668	6239	6239	High Throughput	-	-	-	an interaction was considered high confidence using a measure that combined fold-change of prey abundance as well as p-value of a Student's t-test for experimental versus control purifications|the bait protein was affinity purified and the prey protein was identified as an interactor by mass spectrometry (MS)|the p-value is reported here	-	BIOGRID
3384422	180510	180497	45456	45446	F52D2.4	CELE_C36C9.1	meg-3	meg-4	gei-12|CELE_F52D2.4	C36C9.1	Affinity Capture-Western	physical	Cipriani PG (2021)	34223818	6239	6239	Low Throughput	-	-	-	-	-	BIOGRID
3384423	180510	178250	45456	43342	F52D2.4	CELE_F49E11.1	meg-3	mbk-2	gei-12|CELE_F52D2.4	-	Affinity Capture-Western	physical	Cipriani PG (2021)	34223818	6239	6239	Low Throughput	-	-	-	-	-	BIOGRID
3384424	175635	180510	40869	45456	C38D4.4	F52D2.4	C38D4.4	meg-3	CELE_C38D4.4	gei-12|CELE_F52D2.4	Affinity Capture-Western	physical	Cipriani PG (2021)	34223818	6239	6239	Low Throughput	-	-	-	-	-	BIOGRID
3384425	179856	180510	44872	45456	CELE_F58G11.3	F52D2.4	F58G11.3	meg-3	-	gei-12|CELE_F52D2.4	Affinity Capture-Western	physical	Cipriani PG (2021)	34223818	6239	6239	Low Throughput	-	-	-	-	-	BIOGRID
3385086	180510	179856	45456	44872	F52D2.4	CELE_F58G11.3	meg-3	F58G11.3	gei-12|CELE_F52D2.4	-	Affinity Capture-MS	physical	Cipriani PG (2021)	34223818	6239	6239	High Throughput	5.041024466	-	-	High confidence interactions were identified using a measure that combined fold-change of prey abundance as well as the p-value of a Student's t-test for experimental versus control purifications. Hit proteins were identified according to their p-value from the t SAM statistic as previously described (Chen et al., 2016). The t SAM statistic of the enrichment is provided in the score column.	-	BIOGRID
3385087	180510	175635	45456	40869	F52D2.4	C38D4.4	meg-3	C38D4.4	gei-12|CELE_F52D2.4	CELE_C38D4.4	Affinity Capture-MS	physical	Cipriani PG (2021)	34223818	6239	6239	High Throughput	4.843049715	-	-	High confidence interactions were identified using a measure that combined fold-change of prey abundance as well as the p-value of a Student's t-test for experimental versus control purifications. Hit proteins were identified according to their p-value from the t SAM statistic as previously described (Chen et al., 2016). The t SAM statistic of the enrichment is provided in the score column.	-	BIOGRID
3385088	180510	191540	45456	56070	F52D2.4	ZK1240.5	meg-3	ZK1240.5	gei-12|CELE_F52D2.4	CELE_ZK1240.5	Affinity Capture-MS	physical	Cipriani PG (2021)	34223818	6239	6239	High Throughput	4.763501293	-	-	High confidence interactions were identified using a measure that combined fold-change of prey abundance as well as the p-value of a Student's t-test for experimental versus control purifications. Hit proteins were identified according to their p-value from the t SAM statistic as previously described (Chen et al., 2016). The t SAM statistic of the enrichment is provided in the score column.	-	BIOGRID
3385089	180510	180497	45456	45446	F52D2.4	CELE_C36C9.1	meg-3	meg-4	gei-12|CELE_F52D2.4	C36C9.1	Affinity Capture-MS	physical	Cipriani PG (2021)	34223818	6239	6239	High Throughput	4.324844374	-	-	High confidence interactions were identified using a measure that combined fold-change of prey abundance as well as the p-value of a Student's t-test for experimental versus control purifications. Hit proteins were identified according to their p-value from the t SAM statistic as previously described (Chen et al., 2016). The t SAM statistic of the enrichment is provided in the score column.	-	BIOGRID
3385090	180510	180510	45456	45456	F52D2.4	F52D2.4	meg-3	meg-3	gei-12|CELE_F52D2.4	gei-12|CELE_F52D2.4	Affinity Capture-MS	physical	Cipriani PG (2021)	34223818	6239	6239	High Throughput	3.700199222	-	-	High confidence interactions were identified using a measure that combined fold-change of prey abundance as well as the p-value of a Student's t-test for experimental versus control purifications. Hit proteins were identified according to their p-value from the t SAM statistic as previously described (Chen et al., 2016). The t SAM statistic of the enrichment is provided in the score column.	-	BIOGRID
3385091	180510	181408	45456	46312	F52D2.4	CELE_H20J18.1	meg-3	scd-1	gei-12|CELE_F52D2.4	-	Affinity Capture-MS	physical	Cipriani PG (2021)	34223818	6239	6239	High Throughput	3.497638057	-	-	High confidence interactions were identified using a measure that combined fold-change of prey abundance as well as the p-value of a Student's t-test for experimental versus control purifications. Hit proteins were identified according to their p-value from the t SAM statistic as previously described (Chen et al., 2016). The t SAM statistic of the enrichment is provided in the score column.	-	BIOGRID
3385092	180510	172515	45456	37957	F52D2.4	D2030.6	meg-3	prg-1	gei-12|CELE_F52D2.4	CELE_D2030.6	Affinity Capture-MS	physical	Cipriani PG (2021)	34223818	6239	6239	High Throughput	3.213929787	-	-	High confidence interactions were identified using a measure that combined fold-change of prey abundance as well as the p-value of a Student's t-test for experimental versus control purifications. Hit proteins were identified according to their p-value from the t SAM statistic as previously described (Chen et al., 2016). The t SAM statistic of the enrichment is provided in the score column.	-	BIOGRID
3385093	180510	174174	45456	39510	F52D2.4	CELE_T07F8.3	meg-3	gld-3	gei-12|CELE_F52D2.4	-	Affinity Capture-MS	physical	Cipriani PG (2021)	34223818	6239	6239	High Throughput	2.942206567	-	-	High confidence interactions were identified using a measure that combined fold-change of prey abundance as well as the p-value of a Student's t-test for experimental versus control purifications. Hit proteins were identified according to their p-value from the t SAM statistic as previously described (Chen et al., 2016). The t SAM statistic of the enrichment is provided in the score column.	-	BIOGRID
3385094	180510	180987	45456	45912	F52D2.4	CELE_F46H5.7	meg-3	F46H5.7	gei-12|CELE_F52D2.4	-	Affinity Capture-MS	physical	Cipriani PG (2021)	34223818	6239	6239	High Throughput	2.925213248	-	-	High confidence interactions were identified using a measure that combined fold-change of prey abundance as well as the p-value of a Student's t-test for experimental versus control purifications. Hit proteins were identified according to their p-value from the t SAM statistic as previously described (Chen et al., 2016). The t SAM statistic of the enrichment is provided in the score column.	-	BIOGRID
3385095	180510	173188	45456	38584	F52D2.4	CELE_ZK1053.4	meg-3	ZK1053.4	gei-12|CELE_F52D2.4	-	Affinity Capture-MS	physical	Cipriani PG (2021)	34223818	6239	6239	High Throughput	2.714883854	-	-	High confidence interactions were identified using a measure that combined fold-change of prey abundance as well as the p-value of a Student's t-test for experimental versus control purifications. Hit proteins were identified according to their p-value from the t SAM statistic as previously described (Chen et al., 2016). The t SAM statistic of the enrichment is provided in the score column.	-	BIOGRID
3385096	180510	177572	45456	42689	F52D2.4	CELE_C06A6.5	meg-3	C06A6.5	gei-12|CELE_F52D2.4	-	Affinity Capture-MS	physical	Cipriani PG (2021)	34223818	6239	6239	High Throughput	2.502681834	-	-	High confidence interactions were identified using a measure that combined fold-change of prey abundance as well as the p-value of a Student's t-test for experimental versus control purifications. Hit proteins were identified according to their p-value from the t SAM statistic as previously described (Chen et al., 2016). The t SAM statistic of the enrichment is provided in the score column.	-	BIOGRID
3385097	180510	172989	45456	38399	F52D2.4	CELE_C35E7.5	meg-3	C35E7.5	gei-12|CELE_F52D2.4	-	Affinity Capture-MS	physical	Cipriani PG (2021)	34223818	6239	6239	High Throughput	2.428590823	-	-	High confidence interactions were identified using a measure that combined fold-change of prey abundance as well as the p-value of a Student's t-test for experimental versus control purifications. Hit proteins were identified according to their p-value from the t SAM statistic as previously described (Chen et al., 2016). The t SAM statistic of the enrichment is provided in the score column.	-	BIOGRID
3385098	180510	176061	45456	41269	F52D2.4	C07H6.5	meg-3	cgh-1	gei-12|CELE_F52D2.4	CELE_C07H6.5	Affinity Capture-MS	physical	Cipriani PG (2021)	34223818	6239	6239	High Throughput	2.42729061	-	-	High confidence interactions were identified using a measure that combined fold-change of prey abundance as well as the p-value of a Student's t-test for experimental versus control purifications. Hit proteins were identified according to their p-value from the t SAM statistic as previously described (Chen et al., 2016). The t SAM statistic of the enrichment is provided in the score column.	-	BIOGRID
3385099	180510	174850	45456	40153	F52D2.4	CELE_Y17G7B.18	meg-3	Y17G7B.18	gei-12|CELE_F52D2.4	-	Affinity Capture-MS	physical	Cipriani PG (2021)	34223818	6239	6239	High Throughput	2.395723291	-	-	High confidence interactions were identified using a measure that combined fold-change of prey abundance as well as the p-value of a Student's t-test for experimental versus control purifications. Hit proteins were identified according to their p-value from the t SAM statistic as previously described (Chen et al., 2016). The t SAM statistic of the enrichment is provided in the score column.	-	BIOGRID
3385100	180510	173189	45456	38585	F52D2.4	CELE_F44F1.6	meg-3	CELE_F44F1.6	gei-12|CELE_F52D2.4	-	Affinity Capture-MS	physical	Cipriani PG (2021)	34223818	6239	6239	High Throughput	2.29540408	-	-	High confidence interactions were identified using a measure that combined fold-change of prey abundance as well as the p-value of a Student's t-test for experimental versus control purifications. Hit proteins were identified according to their p-value from the t SAM statistic as previously described (Chen et al., 2016). The t SAM statistic of the enrichment is provided in the score column.	-	BIOGRID
3385101	180510	176398	45456	41592	F52D2.4	CELE_K11H3.3	meg-3	K11H3.3	gei-12|CELE_F52D2.4	-	Affinity Capture-MS	physical	Cipriani PG (2021)	34223818	6239	6239	High Throughput	2.269891445	-	-	High confidence interactions were identified using a measure that combined fold-change of prey abundance as well as the p-value of a Student's t-test for experimental versus control purifications. Hit proteins were identified according to their p-value from the t SAM statistic as previously described (Chen et al., 2016). The t SAM statistic of the enrichment is provided in the score column.	-	BIOGRID
3385102	180510	174700	45456	40010	F52D2.4	F40F8.9	meg-3	lsm-1	gei-12|CELE_F52D2.4	CELE_F40F8.9	Affinity Capture-MS	physical	Cipriani PG (2021)	34223818	6239	6239	High Throughput	2.254549833	-	-	High confidence interactions were identified using a measure that combined fold-change of prey abundance as well as the p-value of a Student's t-test for experimental versus control purifications. Hit proteins were identified according to their p-value from the t SAM statistic as previously described (Chen et al., 2016). The t SAM statistic of the enrichment is provided in the score column.	-	BIOGRID
3385103	180510	13193758	45456	2551078	F52D2.4	CELE_Y59E9AL.36	meg-3	Y59E9AL.36	gei-12|CELE_F52D2.4	-	Affinity Capture-MS	physical	Cipriani PG (2021)	34223818	6239	6239	High Throughput	2.191075782	-	-	High confidence interactions were identified using a measure that combined fold-change of prey abundance as well as the p-value of a Student's t-test for experimental versus control purifications. Hit proteins were identified according to their p-value from the t SAM statistic as previously described (Chen et al., 2016). The t SAM statistic of the enrichment is provided in the score column.	-	BIOGRID
