#BioGRID Interaction ID	Entrez Gene Interactor A	Entrez Gene Interactor B	BioGRID ID Interactor A	BioGRID ID Interactor B	Systematic Name Interactor A	Systematic Name Interactor B	Official Symbol Interactor A	Official Symbol Interactor B	Synonyms Interactor A	Synonyms Interactor B	Experimental System	Experimental System Type	Author	Pubmed ID	Organism Interactor A	Organism Interactor B	Throughput	Score	Modification	Phenotypes	Qualifications	Tags	Source Database
2577667	174189	176870	39525	42031	CELE_F32A5.3	CELE_Y66H1A.4	F32A5.3	Y66H1A.4	-	-	Co-fractionation	physical	Hu LZ (2019)	31308550	6239	6239	High Throughput	0.533	-	-	High confidence protein interactions have an EPIC PPI score >= 0.5	-	BIOGRID
2578660	173968	176870	39310	42031	CELE_C18A3.3	CELE_Y66H1A.4	C18A3.3	Y66H1A.4	-	-	Co-fractionation	physical	Hu LZ (2019)	31308550	6239	6239	High Throughput	0.505	-	-	High confidence protein interactions have an EPIC PPI score >= 0.5	-	BIOGRID
2579111	189112	176870	53762	42031	W02D3.6	CELE_Y66H1A.4	ant-1.2	Y66H1A.4	CELE_W02D3.6|tag-194|wan-2	-	Co-fractionation	physical	Hu LZ (2019)	31308550	6239	6239	High Throughput	0.876	-	-	High confidence protein interactions have an EPIC PPI score >= 0.5	-	BIOGRID
2579688	178346	176870	43430	42031	CELE_Y45F10D.7	CELE_Y66H1A.4	Y45F10D.7	Y66H1A.4	-	-	Co-fractionation	physical	Hu LZ (2019)	31308550	6239	6239	High Throughput	0.505	-	-	High confidence protein interactions have an EPIC PPI score >= 0.5	-	BIOGRID
2579734	176870	175069	42031	40351	CELE_Y66H1A.4	Y48B6A.1	Y66H1A.4	Y48B6A.1	-	CELE_Y48B6A.1	Co-fractionation	physical	Hu LZ (2019)	31308550	6239	6239	High Throughput	0.664	-	-	High confidence protein interactions have an EPIC PPI score >= 0.5	-	BIOGRID
2580081	171901	176870	37378	42031	W01B11.3	CELE_Y66H1A.4	nol-5	Y66H1A.4	CELE_W01B11.3	-	Co-fractionation	physical	Hu LZ (2019)	31308550	6239	6239	High Throughput	0.599	-	-	High confidence protein interactions have an EPIC PPI score >= 0.5	-	BIOGRID
2581445	179442	176870	44472	42031	CELE_K07C5.4	CELE_Y66H1A.4	K07C5.4	Y66H1A.4	-	-	Co-fractionation	physical	Hu LZ (2019)	31308550	6239	6239	High Throughput	0.697	-	-	High confidence protein interactions have an EPIC PPI score >= 0.5	-	BIOGRID
2582941	176870	172883	42031	38302	CELE_Y66H1A.4	C25A1.6	Y66H1A.4	nola-3	-	CELE_C25A1.6	Co-fractionation	physical	Hu LZ (2019)	31308550	6239	6239	High Throughput	0.89	-	-	High confidence protein interactions have an EPIC PPI score >= 0.5	-	BIOGRID
2583373	175367	176870	40615	42031	CELE_Y54F10AL.2	CELE_Y66H1A.4	smg-6	Y66H1A.4	-	-	Co-fractionation	physical	Hu LZ (2019)	31308550	6239	6239	High Throughput	0.676	-	-	High confidence protein interactions have an EPIC PPI score >= 0.5	-	BIOGRID
2584979	178728	176870	43785	42031	CELE_F53E10.6	CELE_Y66H1A.4	F53E10.6	Y66H1A.4	-	-	Co-fractionation	physical	Hu LZ (2019)	31308550	6239	6239	High Throughput	0.545	-	-	High confidence protein interactions have an EPIC PPI score >= 0.5	-	BIOGRID
