#BioGRID Interaction ID	Entrez Gene Interactor A	Entrez Gene Interactor B	BioGRID ID Interactor A	BioGRID ID Interactor B	Systematic Name Interactor A	Systematic Name Interactor B	Official Symbol Interactor A	Official Symbol Interactor B	Synonyms Interactor A	Synonyms Interactor B	Experimental System	Experimental System Type	Author	Pubmed ID	Organism Interactor A	Organism Interactor B	Throughput	Score	Modification	Phenotypes	Qualifications	Tags	Source Database
2578753	178381	180583	43464	45527	CELE_F55B11.1	CELE_Y71H10A.1	F55B11.1	Y71H10A.1	-	-	Co-fractionation	physical	Hu LZ (2019)	31308550	6239	6239	High Throughput	0.567	-	-	High confidence protein interactions have an EPIC PPI score >= 0.5	-	BIOGRID
2579798	180583	173277	45527	38666	CELE_Y71H10A.1	Y63D3A.5	Y71H10A.1	tfg-1	-	CELE_Y63D3A.5	Co-fractionation	physical	Hu LZ (2019)	31308550	6239	6239	High Throughput	0.502	-	-	High confidence protein interactions have an EPIC PPI score >= 0.5	-	BIOGRID
2580115	182780	180583	47625	45527	C18C4.9	CELE_Y71H10A.1	glb-6	Y71H10A.1	CELE_C18C4.9	-	Co-fractionation	physical	Hu LZ (2019)	31308550	6239	6239	High Throughput	0.52	-	-	High confidence protein interactions have an EPIC PPI score >= 0.5	-	BIOGRID
2583285	180583	178365	45527	43449	CELE_Y71H10A.1	F52B11.3	Y71H10A.1	noah-2	-	CELE_F52B11.3|phi-55	Co-fractionation	physical	Hu LZ (2019)	31308550	6239	6239	High Throughput	0.513	-	-	High confidence protein interactions have an EPIC PPI score >= 0.5	-	BIOGRID
2583684	174792	180583	40097	45527	VF13D12L.1	CELE_Y71H10A.1	inos-1	Y71H10A.1	CELE_VF13D12L.1	-	Co-fractionation	physical	Hu LZ (2019)	31308550	6239	6239	High Throughput	0.509	-	-	High confidence protein interactions have an EPIC PPI score >= 0.5	-	BIOGRID
2583695	180583	180290	45527	45252	CELE_Y71H10A.1	Y43F8C.13	Y71H10A.1	Y43F8C.13	-	CELE_Y43F8C.13	Co-fractionation	physical	Hu LZ (2019)	31308550	6239	6239	High Throughput	0.615	-	-	High confidence protein interactions have an EPIC PPI score >= 0.5	-	BIOGRID
2586348	180583	180326	45527	45286	CELE_Y71H10A.1	Y113G7B.17	Y71H10A.1	prmt-1	-	CELE_Y113G7B.17|epg-11	Co-fractionation	physical	Hu LZ (2019)	31308550	6239	6239	High Throughput	0.525	-	-	High confidence protein interactions have an EPIC PPI score >= 0.5	-	BIOGRID
2586884	172491	180583	37933	45527	CELE_F07A5.7	CELE_Y71H10A.1	unc-15	Y71H10A.1	-	-	Co-fractionation	physical	Hu LZ (2019)	31308550	6239	6239	High Throughput	0.544	-	-	High confidence protein interactions have an EPIC PPI score >= 0.5	-	BIOGRID
2587518	180583	176622	45527	41802	CELE_Y71H10A.1	CELE_Y56A3A.19	Y71H10A.1	Y56A3A.19	-	-	Co-fractionation	physical	Hu LZ (2019)	31308550	6239	6239	High Throughput	0.531	-	-	High confidence protein interactions have an EPIC PPI score >= 0.5	-	BIOGRID
2588495	176023	180583	41235	45527	CELE_T20H4.5	CELE_Y71H10A.1	T20H4.5	Y71H10A.1	-	-	Co-fractionation	physical	Hu LZ (2019)	31308550	6239	6239	High Throughput	0.792	-	-	High confidence protein interactions have an EPIC PPI score >= 0.5	-	BIOGRID
2589396	171877	180583	37354	45527	Y54E10BR.6	CELE_Y71H10A.1	rpb-7	Y71H10A.1	CELE_Y54E10BR.6	-	Co-fractionation	physical	Hu LZ (2019)	31308550	6239	6239	High Throughput	0.544	-	-	High confidence protein interactions have an EPIC PPI score >= 0.5	-	BIOGRID
2589432	176195	180583	41399	45527	CELE_C30C11.4	CELE_Y71H10A.1	hsp-110	Y71H10A.1	C30C11.4	-	Co-fractionation	physical	Hu LZ (2019)	31308550	6239	6239	High Throughput	0.725	-	-	High confidence protein interactions have an EPIC PPI score >= 0.5	-	BIOGRID
2864465	172802	180583	38227	45527	K07A1.12	CELE_Y71H10A.1	lin-53	Y71H10A.1	CELE_K07A1.12|rba-2	-	Affinity Capture-MS	physical	Muethel S (2019)	31397537	6239	6239	High Throughput	-	-	-	-	-	WORMBASE
3705709	4363100	180583	607011	45527	Y108G3AL.7	CELE_Y71H10A.1	arid-1	Y71H10A.1	CELE_Y108G3AL.7	-	Affinity Capture-MS	physical	Robert VJ (2023)	37818613	6239	6239	High Throughput	-	-	-	-	-	BIOGRID

