#BioGRID Interaction ID	Entrez Gene Interactor A	Entrez Gene Interactor B	BioGRID ID Interactor A	BioGRID ID Interactor B	Systematic Name Interactor A	Systematic Name Interactor B	Official Symbol Interactor A	Official Symbol Interactor B	Synonyms Interactor A	Synonyms Interactor B	Experimental System	Experimental System Type	Author	Pubmed ID	Organism Interactor A	Organism Interactor B	Throughput	Score	Modification	Phenotypes	Qualifications	Tags	Source Database
67868	177461	182022	42581	46885	CELE_ZK381.4	B0523.3	pgl-1	pgl-2	-	CELE_B0523.3	Two-hybrid	physical	Li S (2004)	14704431	6239	6239	High Throughput	-	-	-	-	-	BIOGRID
67869	177461	184218	42581	49017	CELE_ZK381.4	F08H9.9	pgl-1	clec-55	-	CELE_F08H9.9	Two-hybrid	physical	Li S (2004)	14704431	6239	6239	High Throughput	-	-	-	-	-	BIOGRID
67870	177461	176755	42581	41924	CELE_ZK381.4	CELE_F53A2.6	pgl-1	ife-1	-	-	Two-hybrid	physical	Li S (2004)	14704431	6239	6239	High Throughput	-	-	-	-	-	BIOGRID
67871	177461	177461	42581	42581	CELE_ZK381.4	CELE_ZK381.4	pgl-1	pgl-1	-	-	Two-hybrid	physical	Li S (2004)	14704431	6239	6239	High Throughput	-	-	-	-	-	BIOGRID
2611408	172859	177461	38281	42581	CELE_T23D8.9	CELE_ZK381.4	sys-1	pgl-1	-	-	Two-hybrid	physical	Koorman T (2016)	26780296	6239	6239	High Throughput	-	-	-	Fragment bait constructs	-	BIOGRID
2834492	177461	177461	42581	42581	CELE_ZK381.4	CELE_ZK381.4	pgl-1	pgl-1	-	-	Two-hybrid	physical	Kawasaki I (2004)	15238518	6239	6239	Low Throughput	-	-	-	-	-	WORMBASE
2834555	177461	182022	42581	46885	CELE_ZK381.4	B0523.3	pgl-1	pgl-2	-	CELE_B0523.3	Two-hybrid	physical	Kawasaki I (2004)	15238518	6239	6239	Low Throughput	-	-	-	-	-	WORMBASE
2834556	177461	178867	42581	43917	CELE_ZK381.4	CELE_C18G1.4	pgl-1	pgl-3	-	-	Two-hybrid	physical	Kawasaki I (2004)	15238518	6239	6239	Low Throughput	-	-	-	-	-	WORMBASE
2834557	177461	176755	42581	41924	CELE_ZK381.4	CELE_F53A2.6	pgl-1	ife-1	-	-	Two-hybrid	physical	Kawasaki I (2004)	15238518	6239	6239	Low Throughput	-	-	-	-	-	WORMBASE
2834881	172414	177461	37860	42581	T21G5.3	CELE_ZK381.4	glh-1	pgl-1	CELE_T21G5.3|rhl-2	-	Affinity Capture-Western	physical	Beshore EL (2011)	21146518	6239	6239	Low Throughput	-	-	-	-	-	WORMBASE
2835004	180326	177461	45286	42581	Y113G7B.17	CELE_ZK381.4	prmt-1	pgl-1	CELE_Y113G7B.17|epg-11	-	Affinity Capture-Western	physical	Li S (2013)	24140420	6239	6239	Low Throughput	-	-	-	-	-	WORMBASE
2835137	177461	176755	42581	41924	CELE_ZK381.4	CELE_F53A2.6	pgl-1	ife-1	-	-	Two-hybrid	physical	Amiri A (2001)	11641215	6239	6239	Low Throughput	-	-	-	-	-	WORMBASE
2836960	181502	177461	46402	42581	K02B9.1	CELE_ZK381.4	meg-1	pgl-1	CELE_K02B9.1	-	Affinity Capture-Western	physical	Wang JT (2014)	25535836	6239	6239	Low Throughput	-	-	-	-	-	WORMBASE
2836963	180510	177461	45456	42581	F52D2.4	CELE_ZK381.4	meg-3	pgl-1	gei-12|CELE_F52D2.4	-	Affinity Capture-Western	physical	Wang JT (2014)	25535836	6239	6239	Low Throughput	-	-	-	-	-	WORMBASE
2836966	180497	177461	45446	42581	CELE_C36C9.1	CELE_ZK381.4	meg-4	pgl-1	C36C9.1	-	Affinity Capture-Western	physical	Wang JT (2014)	25535836	6239	6239	Low Throughput	-	-	-	-	-	WORMBASE
2837418	177461	178867	42581	43917	CELE_ZK381.4	CELE_C18G1.4	pgl-1	pgl-3	-	-	Co-localization	physical	Kawasaki I (2004)	15238518	6239	6239	Low Throughput	-	-	-	-	-	WORMBASE
2837419	177461	178867	42581	43917	CELE_ZK381.4	CELE_C18G1.4	pgl-1	pgl-3	-	-	Affinity Capture-Western	physical	Kawasaki I (2004)	15238518	6239	6239	Low Throughput	-	-	-	-	-	WORMBASE
2837503	180326	177461	45286	42581	Y113G7B.17	CELE_ZK381.4	prmt-1	pgl-1	CELE_Y113G7B.17|epg-11	-	Biochemical Activity	physical	Li S (2013)	24140420	6239	6239	Low Throughput	-	-	-	-	-	WORMBASE
2837525	177461	176755	42581	41924	CELE_ZK381.4	CELE_F53A2.6	pgl-1	ife-1	-	-	Affinity Capture-Western	physical	Amiri A (2001)	11641215	6239	6239	Low Throughput	-	-	-	-	-	WORMBASE
2837889	172167	177461	37625	42581	CELE_B0261.2	CELE_ZK381.4	let-363	pgl-1	-	-	Affinity Capture-MS	physical	Zhang G (2018)	30173914	6239	6239	Low Throughput	-	-	-	-	-	WORMBASE
2837893	172167	177461	37625	42581	CELE_B0261.2	CELE_ZK381.4	let-363	pgl-1	-	-	Biochemical Activity	physical	Zhang G (2018)	30173914	6239	6239	Low Throughput	-	-	-	-	-	WORMBASE
2837894	177461	178867	42581	43917	CELE_ZK381.4	CELE_C18G1.4	pgl-1	pgl-3	-	-	Co-localization	physical	Zhang G (2018)	30173914	6239	6239	Low Throughput	-	-	-	-	-	WORMBASE
2837897	173196	177461	38591	42581	M01E5.6	CELE_ZK381.4	sepa-1	pgl-1	CELE_M01E5.6	-	Co-localization	physical	Zhang G (2018)	30173914	6239	6239	Low Throughput	-	-	-	-	-	WORMBASE
2837899	173196	177461	38591	42581	M01E5.6	CELE_ZK381.4	sepa-1	pgl-1	CELE_M01E5.6	-	Co-fractionation	physical	Zhang G (2018)	30173914	6239	6239	Low Throughput	-	-	-	-	-	WORMBASE
2839379	174437	177461	39764	42581	CELE_F44G4.8	CELE_ZK381.4	dep-1	pgl-1	-	-	Affinity Capture-MS	physical	Walser M (2017)	28135265	6239	6239	High Throughput	-	-	-	-	-	WORMBASE
2839582	177461	177461	42581	42581	CELE_ZK381.4	CELE_ZK381.4	pgl-1	pgl-1	-	-	Co-fractionation	physical	Aoki ST (2016)	26787882	6239	6239	Low Throughput	-	-	-	-	-	WORMBASE
2862945	172414	177461	37860	42581	T21G5.3	CELE_ZK381.4	glh-1	pgl-1	CELE_T21G5.3|rhl-2	-	Co-localization	physical	Marnik EA (2019)	31506335	6239	6239	Low Throughput	-	-	-	-	-	BIOGRID
2867349	172414	177461	37860	42581	T21G5.3	CELE_ZK381.4	glh-1	pgl-1	CELE_T21G5.3|rhl-2	-	Affinity Capture-MS	physical	Marnik EA (2019)	31506335	6239	6239	High Throughput	-	-	-	one or more such IPs yielded a p-value of less than or equal to 0.05 and a simultaneous normalized prey-protein-amount fold-change of greater than or equal to 2.5|the lowest of possibly multiple p-values is shown here as the score|wild type and several mutant alleles of GLH-1 were tagged and immunoprecipitated (IPd) and associated proteins were identified by mass spectrometry (MS)	-	BIOGRID
2867853	178867	177461	43917	42581	CELE_C18G1.4	CELE_ZK381.4	pgl-3	pgl-1	-	-	Affinity Capture-MS	physical	Chen JX (2016)	26912668	6239	6239	High Throughput	-	-	-	an interaction was considered high confidence using a measure that combined fold-change of prey abundance as well as p-value of a Student's t-test for experimental versus control purifications|the bait protein was affinity purified and the prey protein was identified as an interactor by mass spectrometry (MS)|the p-value is reported here	-	BIOGRID
3346666	177102	177461	42242	42581	F42A6.9	CELE_ZK381.4	elks-1	pgl-1	CELE_F42A6.9	-	Proximity Label-MS	physical	Artan M (2021)	34416233	6239	6239	High Throughput	-	-	-	TurboID	-	BIOGRID
3386009	180510	177461	45456	42581	F52D2.4	CELE_ZK381.4	meg-3	pgl-1	gei-12|CELE_F52D2.4	-	Affinity Capture-MS	physical	Cipriani PG (2021)	34223818	6239	6239	High Throughput	0.246977875	-	-	High confidence interactions were identified using a measure that combined fold-change of prey abundance as well as the p-value of a Student's t-test for experimental versus control purifications. Hit proteins were identified according to their p-value from the t SAM statistic as previously described (Chen et al., 2016). The t SAM statistic of the enrichment is provided in the score column.	-	BIOGRID
3698072	172155	177461	37615	42581	F56A3.4	CELE_ZK381.4	spd-5	pgl-1	CELE_F56A3.4	-	Proximity Label-MS	physical	Holzer E (2022)	35442950	6239	6239	High Throughput	-	-	-	-	-	BIOGRID
3703270	177102	177461	42242	42581	F42A6.9	CELE_ZK381.4	elks-1	pgl-1	CELE_F42A6.9	-	Proximity Label-MS	physical	Artan M (2022)	35933017	6239	6239	High Throughput	-	-	-	-	-	BIOGRID

