#BioGRID Interaction ID	Entrez Gene Interactor A	Entrez Gene Interactor B	BioGRID ID Interactor A	BioGRID ID Interactor B	Systematic Name Interactor A	Systematic Name Interactor B	Official Symbol Interactor A	Official Symbol Interactor B	Synonyms Interactor A	Synonyms Interactor B	Experimental System	Experimental System Type	Author	Pubmed ID	Organism Interactor A	Organism Interactor B	Throughput	Score	Modification	Phenotypes	Qualifications	Tags	Source Database
283419	51701	51176	119685	119354	-	-	NLK	LEF1	-	LEF-1|TCF10|TCF1ALPHA|TCF7L3	Affinity Capture-Western	physical	Ishitani T (2003)	12556497	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
283420	51701	1499	119685	107880	-	OK/SW-cl.35	NLK	CTNNB1	-	CTNNB|MRD19|armadillo	Affinity Capture-Western	physical	Ishitani T (2003)	12556497	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
283421	51701	6934	119685	112795	-	RP11-357H24.1	NLK	TCF7L2	-	TCF-4|TCF4	Affinity Capture-Western	physical	Ishitani T (2003)	12556497	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
321924	51701	6468	119685	112364	-	RP11-529I10.3	NLK	FBXW4	-	DAC|FBW4|FBWD4|SHFM3|SHSF3	Affinity Capture-Western	physical	Kanei-Ishii C (2008)	18765672	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
321925	51701	54461	119685	119967	-	PP3971	NLK	FBXW5	-	Fbw5	Affinity Capture-Western	physical	Kanei-Ishii C (2008)	18765672	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
321926	51701	6502	119685	112393	-	-	NLK	SKP2	-	FBL1|FBXL1|FLB1|p45	Affinity Capture-Western	physical	Kanei-Ishii C (2008)	18765672	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
321927	51701	8454	119685	114032	-	-	NLK	CUL1	-	-	Affinity Capture-Western	physical	Kanei-Ishii C (2008)	18765672	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
464263	51701	4602	119685	110687	-	RP1-32B1.1	NLK	MYB	-	Cmyb|c-myb|c-myb_CDS|efg	Affinity Capture-Western	physical	Kurahashi T (2005)	16055500	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
464264	51701	4602	119685	110687	-	RP1-32B1.1	NLK	MYB	-	Cmyb|c-myb|c-myb_CDS|efg	Reconstituted Complex	physical	Kurahashi T (2005)	16055500	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
464266	51701	4602	119685	110687	-	RP1-32B1.1	NLK	MYB	-	Cmyb|c-myb|c-myb_CDS|efg	Biochemical Activity	physical	Kurahashi T (2005)	16055500	9606	9606	Low Throughput	-	Phosphorylation	-	-	-	BIOGRID
480177	51701	28996	119685	118815	-	-	NLK	HIPK2	-	PRO0593	Two-hybrid	physical	Kanei-Ishii C (2004)	15082531	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
480178	28996	51701	118815	119685	-	-	HIPK2	NLK	PRO0593	-	Reconstituted Complex	physical	Kanei-Ishii C (2004)	15082531	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
480180	51701	4602	119685	110687	-	RP1-32B1.1	NLK	MYB	-	Cmyb|c-myb|c-myb_CDS|efg	Affinity Capture-Western	physical	Kanei-Ishii C (2004)	15082531	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
480183	51701	4602	119685	110687	-	RP1-32B1.1	NLK	MYB	-	Cmyb|c-myb|c-myb_CDS|efg	Biochemical Activity	physical	Kanei-Ishii C (2004)	15082531	9606	9606	Low Throughput	-	Phosphorylation	-	-	-	BIOGRID
486222	51701	4603	119685	110688	-	-	NLK	MYBL1	-	A-MYB|AMYB	Reconstituted Complex	physical	Kurahashi T (2005)	16055500	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
486224	51701	4603	119685	110688	-	-	NLK	MYBL1	-	A-MYB|AMYB	Affinity Capture-Western	physical	Kurahashi T (2005)	16055500	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
486225	51701	4605	119685	110690	-	-	NLK	MYBL2	-	B-MYB|BMYB	Affinity Capture-Western	physical	Kurahashi T (2005)	16055500	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
486227	51701	4603	119685	110688	-	-	NLK	MYBL1	-	A-MYB|AMYB	Biochemical Activity	physical	Kurahashi T (2005)	16055500	9606	9606	Low Throughput	-	Phosphorylation	-	-	-	BIOGRID
486229	1387	51701	107777	119685	-	-	CREBBP	NLK	CBP|KAT3A|RSTS	-	Affinity Capture-Western	physical	Kurahashi T (2005)	16055500	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
568987	51701	4303	119685	110449	-	-	NLK	FOXO4	-	AFX|AFX1|MLLT7	Affinity Capture-Western	physical	Szypowska AA (2011)	20874444	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
