#BioGRID Interaction ID	Entrez Gene Interactor A	Entrez Gene Interactor B	BioGRID ID Interactor A	BioGRID ID Interactor B	Systematic Name Interactor A	Systematic Name Interactor B	Official Symbol Interactor A	Official Symbol Interactor B	Synonyms Interactor A	Synonyms Interactor B	Experimental System	Experimental System Type	Author	Pubmed ID	Organism Interactor A	Organism Interactor B	Throughput	Score	Modification	Phenotypes	Qualifications	Tags	Source Database
122155	10482	29107	115745	118875	-	-	NXF1	NXT1	MEX67|TAP	MTR2|P15	Two-hybrid	physical	Rual JF (2005)	16189514	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
250940	1996	10482	108311	115745	-	-	ELAVL4	NXF1	HUD|PNEM	MEX67|TAP	Affinity Capture-Western	physical	Saito K (2004)	15358174	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
250941	1996	10482	108311	115745	-	-	ELAVL4	NXF1	HUD|PNEM	MEX67|TAP	Reconstituted Complex	physical	Saito K (2004)	15358174	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
281160	9939	10482	115265	115745	HSPC114	-	RBM8A	NXF1	BOV-1A|BOV-1B|BOV-1C|C1DELq21.1|DEL1q21.1|MDS014|RBM8|RBM8B|TAR|Y14|ZNRP|ZRNP1	MEX67|TAP	Reconstituted Complex	physical	Kataoka N (2001)	11707413	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
281161	4116	10482	110290	115745	RP5-1024G6.4	-	MAGOH	NXF1	MAGOH1|MAGOHA	MEX67|TAP	Reconstituted Complex	physical	Kataoka N (2001)	11707413	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
281163	4116	10482	110290	115745	RP5-1024G6.4	-	MAGOH	NXF1	MAGOH1|MAGOHA	MEX67|TAP	Affinity Capture-Western	physical	Kataoka N (2001)	11707413	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
286640	10482	1660	115745	108025	-	-	NXF1	DHX9	MEX67|TAP	DDX9|LKP|NDH2|NDHII|RHA	Reconstituted Complex	physical	Tang H (2000)	10924507	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
286641	1660	10482	108025	115745	-	-	DHX9	NXF1	DDX9|LKP|NDH2|NDHII|RHA	MEX67|TAP	Affinity Capture-Western	physical	Tang H (2000)	10924507	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
287416	8021	10482	113717	115745	RP11-544A12.7	-	NUP214	NXF1	CAIN|CAN|D9S46E|N214|p250	MEX67|TAP	Reconstituted Complex	physical	Herold A (2000)	11073998	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
314314	10482	4928	115745	110982	-	-	NXF1	NUP98	MEX67|TAP	ADIR2|NUP196|NUP96	Reconstituted Complex	physical	Schmitt I (2001)	11551912	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
314316	10482	8021	115745	113717	-	RP11-544A12.7	NXF1	NUP214	MEX67|TAP	CAIN|CAN|D9S46E|N214|p250	Reconstituted Complex	physical	Schmitt I (2001)	11551912	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
315125	10482	7307	115745	113157	-	-	NXF1	U2AF1	MEX67|TAP	FP793|RN|RNU2AF1|U2AF35|U2AFBP	Two-hybrid	physical	Zolotukhin AS (2002)	11724776	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
315126	10482	7307	115745	113157	-	-	NXF1	U2AF1	MEX67|TAP	FP793|RN|RNU2AF1|U2AF35|U2AFBP	Reconstituted Complex	physical	Zolotukhin AS (2002)	11724776	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
317934	30000	10482	119024	115745	-	-	TNPO2	NXF1	IPO3|KPNB2B|TRN2	MEX67|TAP	Reconstituted Complex	physical	Shamsher MK (2002)	12384575	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
317935	30000	10482	119024	115745	-	-	TNPO2	NXF1	IPO3|KPNB2B|TRN2	MEX67|TAP	Affinity Capture-Western	physical	Shamsher MK (2002)	12384575	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
