#BioGRID Interaction ID	Entrez Gene Interactor A	Entrez Gene Interactor B	BioGRID ID Interactor A	BioGRID ID Interactor B	Systematic Name Interactor A	Systematic Name Interactor B	Official Symbol Interactor A	Official Symbol Interactor B	Synonyms Interactor A	Synonyms Interactor B	Experimental System	Experimental System Type	Author	Pubmed ID	Organism Interactor A	Organism Interactor B	Throughput	Score	Modification	Phenotypes	Qualifications	Tags	Source Database
6786	6517	1616	112408	107985	-	DADB-159G18.9	SLC2A4	DAXX	GLUT4	BING2|DAP6|EAP1	Two-hybrid	physical	Lalioti VS (2002)	11842083	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
10836	2113	1616	108414	107985	-	DADB-159G18.9	ETS1	DAXX	ETS-1|EWSR2|p54	BING2|DAP6|EAP1	Two-hybrid	physical	Li R (2000)	10698492	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
26130	1616	10445	107985	115710	DADB-159G18.9	-	DAXX	MCRS1	BING2|DAP6|EAP1	ICP22BP|INO80Q|MCRS2|MSP58|P78	Two-hybrid	physical	Lin DY (2002)	11948183	9606	9606	Low Throughput	-	-	-	#LPPI|Likely protein-protein interaction	-	BIOGRID
244162	1616	367	107985	106862	DADB-159G18.9	RP11-383C12.1	DAXX	AR	BING2|DAP6|EAP1	AIS|DHTR|HUMARA|HYSP1|KD|NR3C4|SBMA|SMAX1|TFM	Two-hybrid	physical	Lin DY (2004)	15572661	9606	9606	Low Throughput	-	-	-	Daxx binds to both the amino-terminal and the DNA-binding domain of the AR. Daxx proteins interfere with the AR DNA-binding activity both in vitro and in vivo. Moreover, sumoylation of AR at its amino-terminal domain is involved in Daxx interaction and tr	-	BIOGRID
244163	1616	367	107985	106862	DADB-159G18.9	RP11-383C12.1	DAXX	AR	BING2|DAP6|EAP1	AIS|DHTR|HUMARA|HYSP1|KD|NR3C4|SBMA|SMAX1|TFM	Reconstituted Complex	physical	Lin DY (2004)	15572661	9606	9606	Low Throughput	-	-	-	Daxx binds to both the amino-terminal and the DNA-binding domain of the AR. Daxx proteins interfere with the AR DNA-binding activity both in vitro and in vivo. Moreover, sumoylation of AR at its amino-terminal domain is involved in Daxx interaction and tr	-	BIOGRID
244164	1616	367	107985	106862	DADB-159G18.9	RP11-383C12.1	DAXX	AR	BING2|DAP6|EAP1	AIS|DHTR|HUMARA|HYSP1|KD|NR3C4|SBMA|SMAX1|TFM	Affinity Capture-Western	physical	Lin DY (2004)	15572661	9606	9606	Low Throughput	-	-	-	Daxx binds to both the amino-terminal and the DNA-binding domain of the AR. Daxx proteins interfere with the AR DNA-binding activity both in vitro and in vivo. Moreover, sumoylation of AR at its amino-terminal domain is involved in Daxx interaction and tr	-	BIOGRID
244816	5371	1616	111384	107985	-	DADB-159G18.9	PML	DAXX	MYL|PP8675|RNF71|TRIM19	BING2|DAP6|EAP1	Two-hybrid	physical	Ishov AM (1999)	10525530	9606	9606	Low Throughput	-	-	-	Recruitment to ND10 (Nuclear domain 10 or nuclear bodies) from condensed chromatin requires a small ubiquitin-related modifier (SUMO-1) modification of PML and reflects the interaction between the COOH-terminal domain of Daxx and PML	-	BIOGRID
245526	2175	1616	108472	107985	-	DADB-159G18.9	FANCA	DAXX	FA|FA-H|FA1|FAA|FACA|FAH|FANCH	BING2|DAP6|EAP1	Two-hybrid	physical	Reuter TY (2003)	14499622	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
252707	28996	1616	118815	107985	-	DADB-159G18.9	HIPK2	DAXX	PRO0593	BING2|DAP6|EAP1	Reconstituted Complex	physical	Hofmann TG (2003)	14678985	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
252708	28996	1616	118815	107985	-	DADB-159G18.9	HIPK2	DAXX	PRO0593	BING2|DAP6|EAP1	Affinity Capture-Western	physical	Hofmann TG (2003)	14678985	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
255707	1613	1616	107983	107985	-	DADB-159G18.9	DAPK3	DAXX	DLK|ZIP|ZIPK	BING2|DAP6|EAP1	Affinity Capture-Western	physical	Kawai T (2003)	12917339	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
255708	1616	1613	107985	107983	DADB-159G18.9	-	DAXX	DAPK3	BING2|DAP6|EAP1	DLK|ZIP|ZIPK	Affinity Capture-Western	physical	Kawai T (2003)	12917339	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
260418	2908	1616	109165	107985	-	DADB-159G18.9	NR3C1	DAXX	GCCR|GCR|GCRST|GR|GRL	BING2|DAP6|EAP1	Affinity Capture-Western	physical	Lin DY (2003)	12595526	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
260419	1616	2908	107985	109165	DADB-159G18.9	-	DAXX	NR3C1	BING2|DAP6|EAP1	GCCR|GCR|GCRST|GR|GRL	Reconstituted Complex	physical	Lin DY (2003)	12595526	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
260420	1616	2908	107985	109165	DADB-159G18.9	-	DAXX	NR3C1	BING2|DAP6|EAP1	GCCR|GCR|GCRST|GR|GRL	Two-hybrid	physical	Lin DY (2003)	12595526	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
260970	1616	7341	107985	113188	DADB-159G18.9	OK/SW-cl.43	DAXX	SUMO1	BING2|DAP6|EAP1	DAP1|GMP1|OFC10|PIC1|SENP2|SMT3|SMT3C|SMT3H3|UBL1	Two-hybrid	physical	Lin DY (2002)	11948183	9606	9606	Low Throughput	-	-	-	#LPPI|Likely protein-protein interaction	-	BIOGRID
260972	10445	1616	115710	107985	-	DADB-159G18.9	MCRS1	DAXX	ICP22BP|INO80Q|MCRS2|MSP58|P78	BING2|DAP6|EAP1	Reconstituted Complex	physical	Lin DY (2002)	11948183	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
