#BioGRID Interaction ID	Entrez Gene Interactor A	Entrez Gene Interactor B	BioGRID ID Interactor A	BioGRID ID Interactor B	Systematic Name Interactor A	Systematic Name Interactor B	Official Symbol Interactor A	Official Symbol Interactor B	Synonyms Interactor A	Synonyms Interactor B	Experimental System	Experimental System Type	Author	Pubmed ID	Organism Interactor A	Organism Interactor B	Throughput	Score	Modification	Phenotypes	Qualifications	Tags	Source Database
258787	1879	1387	108211	107777	-	-	EBF1	CREBBP	COE1|EBF|O/E-1|OLF1	CBP|KAT3A|RSTS	Reconstituted Complex	physical	Zhao F (2003)	12748286	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
258788	1879	1387	108211	107777	-	-	EBF1	CREBBP	COE1|EBF|O/E-1|OLF1	CBP|KAT3A|RSTS	Affinity Capture-Western	physical	Zhao F (2003)	12748286	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
280204	1879	1879	108211	108211	-	-	EBF1	EBF1	COE1|EBF|O/E-1|OLF1	COE1|EBF|O/E-1|OLF1	Co-purification	physical	Travis A (1993)	8497258	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
301546	1879	23090	108211	116718	-	-	EBF1	ZNF423	COE1|EBF|O/E-1|OLF1	Ebfaz|JBTS19|NPHP14|OAZ|Roaz|ZFP423|Zfp104	Co-purification	physical	Tsai RY (1997)	9151733	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
301547	23090	1879	116718	108211	-	-	ZNF423	EBF1	Ebfaz|JBTS19|NPHP14|OAZ|Roaz|ZFP423|Zfp104	COE1|EBF|O/E-1|OLF1	Co-purification	physical	Tsai RY (1997)	9151733	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
301550	1879	23090	108211	116718	-	-	EBF1	ZNF423	COE1|EBF|O/E-1|OLF1	Ebfaz|JBTS19|NPHP14|OAZ|Roaz|ZFP423|Zfp104	Affinity Capture-Western	physical	Tsai RY (1997)	9151733	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
567925	604	1879	107076	108211	-	-	BCL6	EBF1	BCL5|BCL6A|LAZ3|ZBTB27|ZNF51	COE1|EBF|O/E-1|OLF1	Affinity Capture-MS	physical	Miles RR (2005)	16147992	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
1038049	1879	57594	108211	121645	-	-	EBF1	HOMEZ	COE1|EBF|O/E-1|OLF1	KIAA1443	Two-hybrid	physical	Rolland T (2014)	25416956	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
1038050	1879	91647	108211	124858	-	LP3663	EBF1	ATPAF2	COE1|EBF|O/E-1|OLF1	ATP12|ATP12p|MC5DN1	Two-hybrid	physical	Rolland T (2014)	25416956	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
1519725	84759	1879	124243	108211	-	-	PCGF1	EBF1	2010002K04Rik|NSPC1|RNF3A-2|RNF68	COE1|EBF|O/E-1|OLF1	Affinity Capture-MS	physical	Oliviero G (2015)	26687479	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
1520149	5460	1879	111456	108211	DADB-104B20.2	-	POU5F1	EBF1	OCT3|OCT4|OTF-3|OTF3|OTF4|Oct-3|Oct-4	COE1|EBF|O/E-1|OLF1	Affinity Capture-MS	physical	Oliviero G (2015)	26687479	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
2204558	54790	1879	120151	108211	Nbla00191	-	TET2	EBF1	KIAA1546|MDS	COE1|EBF|O/E-1|OLF1	Affinity Capture-Western	physical	Guilhamon P (2013)	23863747	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
2207231	91647	1879	124858	108211	LP3663	-	ATPAF2	EBF1	ATP12|ATP12p|MC5DN1	COE1|EBF|O/E-1|OLF1	Two-hybrid	physical	Sahni N (2015)	25910212	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
2345817	4544	1879	110640	108211	-	-	MTNR1B	EBF1	FGQTL2|MEL-1B-R|MT2	COE1|EBF|O/E-1|OLF1	Two-hybrid	physical	Benleulmi-Chaachoua A (2016)	26514267	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
2495890	1879	30001	108211	119025	-	UNQ434/PRO865	EBF1	ERO1L	COE1|EBF|O/E-1|OLF1	ERO1-alpha|ERO1A|ERO1LA	Two-hybrid	physical	Yachie N (2016)	27107012	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
2711683	11281	1879	116437	108211	-	-	POU6F2	EBF1	RPF-1|WT5|WTSL	COE1|EBF|O/E-1|OLF1	Two-hybrid	physical	Luck K (2020)	32296183	9606	9606	High Throughput	-	-	-	This human reference interactome (HuRI) was generated by performing nine two-hybrid screens with the high confidence interactions determined by pairwise verification by quadruplicate retesting and sequence confirmation. This HI-III-20 dataset contains over 52,000 PPIs involving more than 8,000 proteins.	-	BIOGRID
2736087	1879	91647	108211	124858	-	LP3663	EBF1	ATPAF2	COE1|EBF|O/E-1|OLF1	ATP12|ATP12p|MC5DN1	Two-hybrid	physical	Luck K (2020)	32296183	9606	9606	High Throughput	-	-	-	This human reference interactome (HuRI) was generated by performing nine two-hybrid screens with the high confidence interactions determined by pairwise verification by quadruplicate retesting and sequence confirmation. This HI-III-20 dataset contains over 52,000 PPIs involving more than 8,000 proteins.	-	BIOGRID
2736088	1879	57594	108211	121645	-	-	EBF1	HOMEZ	COE1|EBF|O/E-1|OLF1	KIAA1443	Two-hybrid	physical	Luck K (2020)	32296183	9606	9606	High Throughput	-	-	-	This human reference interactome (HuRI) was generated by performing nine two-hybrid screens with the high confidence interactions determined by pairwise verification by quadruplicate retesting and sequence confirmation. This HI-III-20 dataset contains over 52,000 PPIs involving more than 8,000 proteins.	-	BIOGRID
2872350	3187	1879	109428	108211	-	-	HNRNPH1	EBF1	HNRPH|HNRPH1|hnRNPH	COE1|EBF|O/E-1|OLF1	Affinity Capture-RNA	physical	Uren PJ (2016)	26760575	9606	9606	High Throughput	-	-	-	RIP-Seq|iCLIP	-	BIOGRID

