#BioGRID Interaction ID	Entrez Gene Interactor A	Entrez Gene Interactor B	BioGRID ID Interactor A	BioGRID ID Interactor B	Systematic Name Interactor A	Systematic Name Interactor B	Official Symbol Interactor A	Official Symbol Interactor B	Synonyms Interactor A	Synonyms Interactor B	Experimental System	Experimental System Type	Author	Pubmed ID	Organism Interactor A	Organism Interactor B	Throughput	Score	Modification	Phenotypes	Qualifications	Tags	Source Database
120133	7186	27125	113038	118016	-	HSPC092	TRAF2	AFF4	MGC:45012|TRAP|TRAP3	AF5Q31|MCEF	Two-hybrid	physical	Rual JF (2005)	16189514	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
120504	6477	27125	112372	118016	-	HSPC092	SIAH1	AFF4	SIAH1A	AF5Q31|MCEF	Two-hybrid	physical	Rual JF (2005)	16189514	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
282009	27125	1025	118016	107459	HSPC092	RP11-228B15.5	AFF4	CDK9	AF5Q31|MCEF	C-2k|CDC2L4|CTK1|PITALRE|TAK	Affinity Capture-Western	physical	Estable MC (2002)	12065898	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
282010	27125	904	118016	107343	HSPC092	-	AFF4	CCNT1	AF5Q31|MCEF	CCNT|CYCT1|HIVE1	Affinity Capture-Western	physical	Estable MC (2002)	12065898	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
425248	1025	27125	107459	118016	RP11-228B15.5	HSPC092	CDK9	AFF4	C-2k|CDC2L4|CTK1|PITALRE|TAK	AF5Q31|MCEF	Affinity Capture-MS	physical	Jeronimo C (2007)	17643375	9606	9606	High Throughput	0.691006	-	-	-	-	BIOGRID
532032	4300	27125	110446	118016	-	HSPC092	MLLT3	AFF4	AF9|YEATS3	AF5Q31|MCEF	Affinity Capture-MS	physical	Park G (2010)	20431927	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
532050	4298	27125	110444	118016	-	HSPC092	MLLT1	AFF4	ENL|LTG19|YEATS1	AF5Q31|MCEF	Affinity Capture-MS	physical	Park G (2010)	20431927	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
553636	4299	27125	110445	118016	-	HSPC092	AFF1	AFF4	AF4|MLLT2|PBM1	AF5Q31|MCEF	Affinity Capture-Western	physical	Yokoyama A (2010)	20153263	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
553637	27125	4298	118016	110444	HSPC092	-	AFF4	MLLT1	AF5Q31|MCEF	ENL|LTG19|YEATS1	Affinity Capture-Western	physical	Yokoyama A (2010)	20153263	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
553638	27125	904	118016	107343	HSPC092	-	AFF4	CCNT1	AF5Q31|MCEF	CCNT|CYCT1|HIVE1	Affinity Capture-Western	physical	Yokoyama A (2010)	20153263	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
553639	27125	1025	118016	107459	HSPC092	RP11-228B15.5	AFF4	CDK9	AF5Q31|MCEF	C-2k|CDC2L4|CTK1|PITALRE|TAK	Affinity Capture-Western	physical	Yokoyama A (2010)	20153263	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
553640	4298	27125	110444	118016	-	HSPC092	MLLT1	AFF4	ENL|LTG19|YEATS1	AF5Q31|MCEF	Affinity Capture-Western	physical	Yokoyama A (2010)	20153263	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
553645	1025	27125	107459	118016	RP11-228B15.5	HSPC092	CDK9	AFF4	C-2k|CDC2L4|CTK1|PITALRE|TAK	AF5Q31|MCEF	Affinity Capture-Western	physical	Yokoyama A (2010)	20153263	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
553655	4297	27125	110443	118016	hCG_1732268	HSPC092	KMT2A	AFF4	ALL-1|CXXC7|HRX|HTRX1|MLL|MLL/GAS7|MLL1|MLL1A|TET1-MLL|TRX1|WDSTS	AF5Q31|MCEF	Affinity Capture-Western	physical	Yokoyama A (2010)	20153263	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
558841	4300	27125	110446	118016	-	HSPC092	MLLT3	AFF4	AF9|YEATS3	AF5Q31|MCEF	Affinity Capture-MS	physical	Monroe SC (2011)	20854876	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
558850	4300	27125	110446	118016	-	HSPC092	MLLT3	AFF4	AF9|YEATS3	AF5Q31|MCEF	Affinity Capture-Western	physical	Monroe SC (2011)	20854876	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
611532	4299	27125	110445	118016	-	HSPC092	AFF1	AFF4	AF4|MLLT2|PBM1	AF5Q31|MCEF	Affinity Capture-MS	physical	Yokoyama A (2010)	20153263	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
611533	27125	4299	118016	110445	HSPC092	-	AFF4	AFF1	AF5Q31|MCEF	AF4|MLLT2|PBM1	Affinity Capture-MS	physical	Yokoyama A (2010)	20153263	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
611534	27125	904	118016	107343	HSPC092	-	AFF4	CCNT1	AF5Q31|MCEF	CCNT|CYCT1|HIVE1	Affinity Capture-MS	physical	Yokoyama A (2010)	20153263	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
611535	27125	1025	118016	107459	HSPC092	RP11-228B15.5	AFF4	CDK9	AF5Q31|MCEF	C-2k|CDC2L4|CTK1|PITALRE|TAK	Affinity Capture-MS	physical	Yokoyama A (2010)	20153263	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
