#BioGRID Interaction ID	Entrez Gene Interactor A	Entrez Gene Interactor B	BioGRID ID Interactor A	BioGRID ID Interactor B	Systematic Name Interactor A	Systematic Name Interactor B	Official Symbol Interactor A	Official Symbol Interactor B	Synonyms Interactor A	Synonyms Interactor B	Experimental System	Experimental System Type	Author	Pubmed ID	Organism Interactor A	Organism Interactor B	Throughput	Score	Modification	Phenotypes	Qualifications	Tags	Source Database
17603	7337	29978	113185	119006	-	HRIHFB2157	UBE3A	UBQLN2	ANCR|AS|E6-AP|EPVE6AP|HPVE6A	ALS15|CHAP1|DSK2|N4BP4|PLIC2	Two-hybrid	physical	Kleijnen MF (2000)	10983987	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
276885	6782	29978	112659	119006	-	HRIHFB2157	HSPA13	UBQLN2	STCH	ALS15|CHAP1|DSK2|N4BP4|PLIC2	Two-hybrid	physical	Kaye FJ (2000)	10675567	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
316087	7337	29978	113185	119006	-	HRIHFB2157	UBE3A	UBQLN2	ANCR|AS|E6-AP|EPVE6AP|HPVE6A	ALS15|CHAP1|DSK2|N4BP4|PLIC2	Co-fractionation	physical	Kleijnen MF (2000)	10983987	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
316088	29978	5687	119006	111660	HRIHFB2157	-	UBQLN2	PSMA6	ALS15|CHAP1|DSK2|N4BP4|PLIC2	IOTA|PROS27|p27K	Affinity Capture-Western	physical	Kleijnen MF (2000)	10983987	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
316090	7337	29978	113185	119006	-	HRIHFB2157	UBE3A	UBQLN2	ANCR|AS|E6-AP|EPVE6AP|HPVE6A	ALS15|CHAP1|DSK2|N4BP4|PLIC2	Affinity Capture-Western	physical	Kleijnen MF (2000)	10983987	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
329871	55008	29978	120340	119006	RP11-10L7.1	HRIHFB2157	HERC6	UBQLN2	-	ALS15|CHAP1|DSK2|N4BP4|PLIC2	Affinity Capture-Western	physical	Hochrainer K (2008)	18535780	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
329872	8916	29978	114430	119006	-	HRIHFB2157	HERC3	UBQLN2	-	ALS15|CHAP1|DSK2|N4BP4|PLIC2	Affinity Capture-Western	physical	Hochrainer K (2008)	18535780	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
329873	8916	29978	114430	119006	-	HRIHFB2157	HERC3	UBQLN2	-	ALS15|CHAP1|DSK2|N4BP4|PLIC2	Two-hybrid	physical	Hochrainer K (2008)	18535780	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
329875	29978	8916	119006	114430	HRIHFB2157	-	UBQLN2	HERC3	ALS15|CHAP1|DSK2|N4BP4|PLIC2	-	Affinity Capture-Western	physical	Hochrainer K (2008)	18535780	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
330021	9709	29978	115060	119006	-	HRIHFB2157	HERPUD1	UBQLN2	HERP|Mif1|SUP	ALS15|CHAP1|DSK2|N4BP4|PLIC2	Affinity Capture-Western	physical	Kim TY (2008)	18307982	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
330024	29978	9709	119006	115060	HRIHFB2157	-	UBQLN2	HERPUD1	ALS15|CHAP1|DSK2|N4BP4|PLIC2	HERP|Mif1|SUP	Affinity Capture-Western	physical	Kim TY (2008)	18307982	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
503569	29978	5683	119006	111656	HRIHFB2157	-	UBQLN2	PSMA2	ALS15|CHAP1|DSK2|N4BP4|PLIC2	HC3|MU|PMSA2|PSC2	Reconstituted Complex	physical	Kleijnen MF (2003)	12972570	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
559853	91445	29978	124834	119006	-	HRIHFB2157	RNF185	UBQLN2	-	ALS15|CHAP1|DSK2|N4BP4|PLIC2	Affinity Capture-MS	physical	Iioka H (2007)	17558393	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
569937	6314	29978	112221	119006	-	HRIHFB2157	ATXN7	UBQLN2	ADCAII|OPCA3|SCA7	ALS15|CHAP1|DSK2|N4BP4|PLIC2	Two-hybrid	physical	Kahle JJ (2011)	21078624	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
589816	51141	29978	119325	119006	-	HRIHFB2157	INSIG2	UBQLN2	-	ALS15|CHAP1|DSK2|N4BP4|PLIC2	Affinity Capture-MS	physical	Ikeda Y (2009)	19815544	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
664143	1994	29978	108309	119006	-	HRIHFB2157	ELAVL1	UBQLN2	ELAV1|HUR|Hua|MelG	ALS15|CHAP1|DSK2|N4BP4|PLIC2	Affinity Capture-RNA	physical	Abdelmohsen K (2009)	19322201	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
665515	29978	10018	119006	115335	HRIHFB2157	-	UBQLN2	BCL2L11	ALS15|CHAP1|DSK2|N4BP4|PLIC2	BAM|BIM|BOD	Affinity Capture-Western	physical	Wiggins CM (2011)	21378313	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
668677	29978	29979	119006	119007	HRIHFB2157	-	UBQLN2	UBQLN1	ALS15|CHAP1|DSK2|N4BP4|PLIC2	DA41|DSK2|PLIC-1|UBQN|XDRP1	Two-hybrid	physical	Ford DL (2006)	16813565	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
674986	29978	29978	119006	119006	HRIHFB2157	HRIHFB2157	UBQLN2	UBQLN2	ALS15|CHAP1|DSK2|N4BP4|PLIC2	ALS15|CHAP1|DSK2|N4BP4|PLIC2	Two-hybrid	physical	Ford DL (2006)	16813565	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
674987	29979	29978	119007	119006	-	HRIHFB2157	UBQLN1	UBQLN2	DA41|DSK2|PLIC-1|UBQN|XDRP1	ALS15|CHAP1|DSK2|N4BP4|PLIC2	Affinity Capture-Western	physical	Ford DL (2006)	16813565	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
674988	29978	29978	119006	119006	HRIHFB2157	HRIHFB2157	UBQLN2	UBQLN2	ALS15|CHAP1|DSK2|N4BP4|PLIC2	ALS15|CHAP1|DSK2|N4BP4|PLIC2	Affinity Capture-Western	physical	Ford DL (2006)	16813565	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
678880	29978	2060	119006	108374	HRIHFB2157	-	UBQLN2	EPS15	ALS15|CHAP1|DSK2|N4BP4|PLIC2	AF-1P|AF1P|MLLT5	Affinity Capture-Western	physical	N'Diaye EN (2008)	18199683	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
678881	29978	29924	119006	118965	HRIHFB2157	-	UBQLN2	EPN1	ALS15|CHAP1|DSK2|N4BP4|PLIC2	-	Affinity Capture-Western	physical	N'Diaye EN (2008)	18199683	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
678882	29978	22905	119006	116569	HRIHFB2157	-	UBQLN2	EPN2	ALS15|CHAP1|DSK2|N4BP4|PLIC2	EHB21	Affinity Capture-Western	physical	N'Diaye EN (2008)	18199683	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
720685	56893	29978	121223	119006	RP11-336K24.8	HRIHFB2157	UBQLN4	UBQLN2	A1U|A1Up|C1orf6|CIP75|UBIN	ALS15|CHAP1|DSK2|N4BP4|PLIC2	Two-hybrid	physical	Lim J (2006)	16713569	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
746160	10054	29978	115365	119006	HRIHFB2115	HRIHFB2157	UBA2	UBQLN2	ARX|SAE2	ALS15|CHAP1|DSK2|N4BP4|PLIC2	Co-fractionation	physical	Havugimana PC (2012)	22939629	9606	9606	High Throughput	0.932	-	-	Denoised score >= 0.75	-	BIOGRID
746680	10534	29978	115788	119006	-	HRIHFB2157	SSSCA1	UBQLN2	p27	ALS15|CHAP1|DSK2|N4BP4|PLIC2	Co-fractionation	physical	Havugimana PC (2012)	22939629	9606	9606	High Throughput	1.0	-	-	Denoised score >= 0.75	-	BIOGRID
747190	29978	10413	119006	115684	HRIHFB2157	-	UBQLN2	YAP1	ALS15|CHAP1|DSK2|N4BP4|PLIC2	COB1|YAP|YAP2|YAP65|YKI	Co-fractionation	physical	Havugimana PC (2012)	22939629	9606	9606	High Throughput	0.938	-	-	Denoised score >= 0.75	-	BIOGRID
748371	29978	9406	119006	114802	HRIHFB2157	-	UBQLN2	ZRANB2	ALS15|CHAP1|DSK2|N4BP4|PLIC2	ZIS|ZIS1|ZIS2|ZNF265	Co-fractionation	physical	Havugimana PC (2012)	22939629	9606	9606	High Throughput	0.875	-	-	Denoised score >= 0.75	-	BIOGRID
748591	9736	29978	115085	119006	-	HRIHFB2157	USP34	UBQLN2	-	ALS15|CHAP1|DSK2|N4BP4|PLIC2	Co-fractionation	physical	Havugimana PC (2012)	22939629	9606	9606	High Throughput	0.866	-	-	Denoised score >= 0.75	-	BIOGRID
748791	29978	8239	119006	113867	HRIHFB2157	RP5-1172N10.4	UBQLN2	USP9X	ALS15|CHAP1|DSK2|N4BP4|PLIC2	DFFRX|FAF|FAM|MRX99	Co-fractionation	physical	Havugimana PC (2012)	22939629	9606	9606	High Throughput	0.859	-	-	Denoised score >= 0.75	-	BIOGRID
748872	3476	29978	109698	119006	RP13-46G5.1	HRIHFB2157	IGBP1	UBQLN2	ALPHA-4|IBP1	ALS15|CHAP1|DSK2|N4BP4|PLIC2	Co-fractionation	physical	Havugimana PC (2012)	22939629	9606	9606	High Throughput	0.858	-	-	Denoised score >= 0.75	-	BIOGRID
749090	8773	29978	114303	119006	-	HRIHFB2157	SNAP23	UBQLN2	HsT17016|SNAP-23|SNAP23A|SNAP23B	ALS15|CHAP1|DSK2|N4BP4|PLIC2	Co-fractionation	physical	Havugimana PC (2012)	22939629	9606	9606	High Throughput	0.85	-	-	Denoised score >= 0.75	-	BIOGRID
749147	29978	84936	119006	124370	HRIHFB2157	-	UBQLN2	ZFYVE19	ALS15|CHAP1|DSK2|N4BP4|PLIC2	ANCHR|MPFYVE	Co-fractionation	physical	Havugimana PC (2012)	22939629	9606	9606	High Throughput	0.848	-	-	Denoised score >= 0.75	-	BIOGRID
749537	7319	29978	113167	119006	-	HRIHFB2157	UBE2A	UBQLN2	HHR6A|MRXS30|MRXSN|RAD6A|UBC2	ALS15|CHAP1|DSK2|N4BP4|PLIC2	Co-fractionation	physical	Havugimana PC (2012)	22939629	9606	9606	High Throughput	0.837	-	-	Denoised score >= 0.75	-	BIOGRID
750082	6050	29978	111977	119006	-	HRIHFB2157	RNH1	UBQLN2	RAI|RNH	ALS15|CHAP1|DSK2|N4BP4|PLIC2	Co-fractionation	physical	Havugimana PC (2012)	22939629	9606	9606	High Throughput	0.824	-	-	Denoised score >= 0.75	-	BIOGRID
750845	8027	29978	113722	119006	-	HRIHFB2157	STAM	UBQLN2	STAM-1|STAM1	ALS15|CHAP1|DSK2|N4BP4|PLIC2	Co-fractionation	physical	Havugimana PC (2012)	22939629	9606	9606	High Throughput	0.809	-	-	Denoised score >= 0.75	-	BIOGRID
751155	84993	29978	124418	119006	SB132	HRIHFB2157	UBL7	UBQLN2	BMSC-UbP|TCBA1	ALS15|CHAP1|DSK2|N4BP4|PLIC2	Co-fractionation	physical	Havugimana PC (2012)	22939629	9606	9606	High Throughput	0.803	-	-	Denoised score >= 0.75	-	BIOGRID
752233	29978	5329	119006	111345	HRIHFB2157	-	UBQLN2	PLAUR	ALS15|CHAP1|DSK2|N4BP4|PLIC2	CD87|U-PAR|UPAR|URKR	Co-fractionation	physical	Havugimana PC (2012)	22939629	9606	9606	High Throughput	0.783	-	-	Denoised score >= 0.75	-	BIOGRID
752472	7265	29978	113116	119006	-	HRIHFB2157	TTC1	UBQLN2	TPR1	ALS15|CHAP1|DSK2|N4BP4|PLIC2	Co-fractionation	physical	Havugimana PC (2012)	22939629	9606	9606	High Throughput	0.78	-	-	Denoised score >= 0.75	-	BIOGRID
753571	10484	29978	115747	119006	-	HRIHFB2157	SEC23A	UBQLN2	CLSD	ALS15|CHAP1|DSK2|N4BP4|PLIC2	Co-fractionation	physical	Havugimana PC (2012)	22939629	9606	9606	High Throughput	0.763	-	-	Denoised score >= 0.75	-	BIOGRID
753974	637	29978	107106	119006	-	HRIHFB2157	BID	UBQLN2	FP497	ALS15|CHAP1|DSK2|N4BP4|PLIC2	Co-fractionation	physical	Havugimana PC (2012)	22939629	9606	9606	High Throughput	0.757	-	-	Denoised score >= 0.75	-	BIOGRID
