#BioGRID Interaction ID	Entrez Gene Interactor A	Entrez Gene Interactor B	BioGRID ID Interactor A	BioGRID ID Interactor B	Systematic Name Interactor A	Systematic Name Interactor B	Official Symbol Interactor A	Official Symbol Interactor B	Synonyms Interactor A	Synonyms Interactor B	Experimental System	Experimental System Type	Author	Pubmed ID	Organism Interactor A	Organism Interactor B	Throughput	Score	Modification	Phenotypes	Qualifications	Tags	Source Database
251273	84246	9969	123974	115294	L6	-	MED10	MED13	NUT2|TRG20	ARC250|DRIP250|HSPC221|THRAP1|TRAP240	Affinity Capture-MS	physical	Sato S (2004)	15175163	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
251306	55090	9969	120403	115294	-	-	MED9	MED13	MED25	ARC250|DRIP250|HSPC221|THRAP1|TRAP240	Affinity Capture-MS	physical	Sato S (2004)	15175163	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
251337	55588	9969	120734	115294	-	-	MED29	MED13	IXL	ARC250|DRIP250|HSPC221|THRAP1|TRAP240	Affinity Capture-MS	physical	Sato S (2004)	15175163	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
251369	219541	9969	128553	115294	-	-	MED19	MED13	DT2P1G7|LCMR1	ARC250|DRIP250|HSPC221|THRAP1|TRAP240	Affinity Capture-MS	physical	Sato S (2004)	15175163	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
251401	80306	9969	123219	115294	FKSG20	-	MED28	MED13	1500003D12Rik|EG1|magicin	ARC250|DRIP250|HSPC221|THRAP1|TRAP240	Affinity Capture-MS	physical	Sato S (2004)	15175163	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
251433	9441	9969	114831	115294	-	-	MED26	MED13	CRSP7|CRSP70	ARC250|DRIP250|HSPC221|THRAP1|TRAP240	Affinity Capture-MS	physical	Sato S (2004)	15175163	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
288093	1024	9969	107458	115294	-	-	CDK8	MED13	K35	ARC250|DRIP250|HSPC221|THRAP1|TRAP240	Affinity Capture-MS	physical	Ito M (1999)	10198638	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
288114	7421	9969	113264	115294	-	-	VDR	MED13	NR1I1|PPP1R163	ARC250|DRIP250|HSPC221|THRAP1|TRAP240	Affinity Capture-MS	physical	Ito M (1999)	10198638	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
316838	2099	9969	108403	115294	RP1-130E4.1	-	ESR1	MED13	ER|ESR|ESRA|ESTRR|Era|NR3A1	ARC250|DRIP250|HSPC221|THRAP1|TRAP240	Reconstituted Complex	physical	Kang YK (2002)	11867769	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
316846	1024	9969	107458	115294	-	-	CDK8	MED13	K35	ARC250|DRIP250|HSPC221|THRAP1|TRAP240	Affinity Capture-Western	physical	Kang YK (2002)	11867769	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
