#BioGRID Interaction ID	Entrez Gene Interactor A	Entrez Gene Interactor B	BioGRID ID Interactor A	BioGRID ID Interactor B	Systematic Name Interactor A	Systematic Name Interactor B	Official Symbol Interactor A	Official Symbol Interactor B	Synonyms Interactor A	Synonyms Interactor B	Experimental System	Experimental System Type	Author	Pubmed ID	Organism Interactor A	Organism Interactor B	Throughput	Score	Modification	Phenotypes	Qualifications	Tags	Source Database
21004	4646	1601	110730	107971	RP3-472A9.1	-	MYO6	DAB2	DFNA22|DFNB37	DOC-2|DOC2	Two-hybrid	physical	Morris SM (2002)	11967127	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
21005	4646	1601	110730	107971	RP3-472A9.1	-	MYO6	DAB2	DFNA22|DFNB37	DOC-2|DOC2	Two-hybrid	physical	Inoue A (2002)	11906161	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
241422	10755	4646	115978	110730	-	RP3-472A9.1	GIPC1	MYO6	C19orf3|GIPC|GLUT1CBP|Hs.6454|IIP-1|NIP|RGS19IP1|SEMCAP|SYNECTIIN|SYNECTIN|TIP-2	DFNA22|DFNB37	Affinity Capture-MS	physical	Ewing RM (2007)	17353931	9606	9606	High Throughput	0.952	-	-	Exogenous expression of bait	-	BIOGRID
256205	4646	10755	110730	115978	RP3-472A9.1	-	MYO6	GIPC1	DFNA22|DFNB37	C19orf3|GIPC|GLUT1CBP|Hs.6454|IIP-1|NIP|RGS19IP1|SEMCAP|SYNECTIIN|SYNECTIN|TIP-2	Affinity Capture-Western	physical	Aschenbrenner L (2003)	12857860	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
269407	805	4646	107256	110730	-	RP3-472A9.1	CALM2	MYO6	CAMII|PHKD|PHKD2	DFNA22|DFNB37	Two-hybrid	physical	Stelzl U (2005)	16169070	9606	9606	High Throughput	1.0	-	-	-	-	BIOGRID
278910	4646	1601	110730	107971	RP3-472A9.1	-	MYO6	DAB2	DFNA22|DFNB37	DOC-2|DOC2	Affinity Capture-Western	physical	Morris SM (2002)	11967127	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
278911	1601	4646	107971	110730	-	RP3-472A9.1	DAB2	MYO6	DOC-2|DOC2	DFNA22|DFNB37	Affinity Capture-Western	physical	Morris SM (2002)	11967127	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
278912	4646	1600	110730	107970	RP3-472A9.1	RP6-239D12.2	MYO6	DAB1	DFNA22|DFNB37	-	Reconstituted Complex	physical	Morris SM (2002)	11967127	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
278913	4646	1601	110730	107971	RP3-472A9.1	-	MYO6	DAB2	DFNA22|DFNB37	DOC-2|DOC2	Reconstituted Complex	physical	Morris SM (2002)	11967127	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
278914	4646	1601	110730	107971	RP3-472A9.1	-	MYO6	DAB2	DFNA22|DFNB37	DOC-2|DOC2	Co-localization	physical	Morris SM (2002)	11967127	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
297489	1601	4646	107971	110730	-	RP3-472A9.1	DAB2	MYO6	DOC-2|DOC2	DFNA22|DFNB37	Affinity Capture-Western	physical	Inoue A (2002)	11906161	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
297490	1601	4646	107971	110730	-	RP3-472A9.1	DAB2	MYO6	DOC-2|DOC2	DFNA22|DFNB37	Reconstituted Complex	physical	Inoue A (2002)	11906161	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
423180	1540	4646	107920	110730	HSPC057	RP3-472A9.1	CYLD	MYO6	BRSS|CDMT|CYLD1|CYLDI|EAC|MFT|MFT1|SBS|TEM|USPL2	DFNA22|DFNB37	Affinity Capture-MS	physical	Sowa ME (2009)	19615732	9606	9606	High Throughput	2.41	-	-	exogenous expression of bait	-	BIOGRID
423181	8237	4646	113866	110730	RP4-659F15.2	RP3-472A9.1	USP11	MYO6	UHX1	DFNA22|DFNB37	Affinity Capture-MS	physical	Sowa ME (2009)	19615732	9606	9606	High Throughput	3.41	-	-	exogenous expression of bait	-	BIOGRID
423182	29761	4646	118895	110730	-	RP3-472A9.1	USP25	MYO6	USP21	DFNA22|DFNB37	Affinity Capture-MS	physical	Sowa ME (2009)	19615732	9606	9606	High Throughput	1.71	-	-	exogenous expression of bait	-	BIOGRID
464527	998	4646	107433	110730	RP1-224A6.5	RP3-472A9.1	CDC42	MYO6	CDC42Hs|G25K	DFNA22|DFNB37	Two-hybrid	physical	Bandyopadhyay S (2010)	20936779	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
464528	324	4646	106821	110730	-	RP3-472A9.1	APC	MYO6	BTPS2|DP2|DP2.5|DP3|GS|PPP1R46	DFNA22|DFNB37	Two-hybrid	physical	Bandyopadhyay S (2010)	20936779	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
560913	7316	4646	113164	110730	-	RP3-472A9.1	UBC	MYO6	HMG20	DFNA22|DFNB37	Affinity Capture-MS	physical	Matsumoto M (2005)	16196087	9606	9606	High Throughput	-	-	-	#LPPI|Likely protein-protein interaction|native only	-	BIOGRID
672488	6667	4646	112550	110730	-	RP3-472A9.1	SP1	MYO6	-	DFNA22|DFNB37	Affinity Capture-MS	physical	Chuang JY (2012)	22266860	9606	9606	High Throughput	-	-	-	table S1.	-	BIOGRID
676836	4646	8887	110730	114405	RP3-472A9.1	PRO0105	MYO6	TAX1BP1	DFNA22|DFNB37	CALCOCO3|T6BP|TXBP151	Two-hybrid	physical	Morriswood B (2007)	17635994	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
676837	4646	10241	110730	115535	RP3-472A9.1	-	MYO6	CALCOCO2	DFNA22|DFNB37	NDP52	Two-hybrid	physical	Morriswood B (2007)	17635994	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
676838	4646	8887	110730	114405	RP3-472A9.1	PRO0105	MYO6	TAX1BP1	DFNA22|DFNB37	CALCOCO3|T6BP|TXBP151	Reconstituted Complex	physical	Morriswood B (2007)	17635994	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
676839	4646	10241	110730	115535	RP3-472A9.1	-	MYO6	CALCOCO2	DFNA22|DFNB37	NDP52	Reconstituted Complex	physical	Morriswood B (2007)	17635994	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
676840	4646	8887	110730	114405	RP3-472A9.1	PRO0105	MYO6	TAX1BP1	DFNA22|DFNB37	CALCOCO3|T6BP|TXBP151	Affinity Capture-Western	physical	Morriswood B (2007)	17635994	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
676841	4646	10241	110730	115535	RP3-472A9.1	-	MYO6	CALCOCO2	DFNA22|DFNB37	NDP52	Affinity Capture-Western	physical	Morriswood B (2007)	17635994	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
678651	26260	4646	117646	110730	-	RP3-472A9.1	FBXO25	MYO6	FBX25	DFNA22|DFNB37	Affinity Capture-MS	physical	Teixeira FR (2010)	20473970	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
721504	10133	4646	115436	110730	RP11-730A19.1	RP3-472A9.1	OPTN	MYO6	ALS12|FIP2|GLC1E|HIP7|HYPL|NRP|TFIIIA-INTP	DFNA22|DFNB37	Affinity Capture-Western	physical	Ying H (2010)	20161783	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
721506	10133	4646	115436	110730	RP11-730A19.1	RP3-472A9.1	OPTN	MYO6	ALS12|FIP2|GLC1E|HIP7|HYPL|NRP|TFIIIA-INTP	DFNA22|DFNB37	Two-hybrid	physical	Sahlender DA (2005)	15837803	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
721507	4646	10133	110730	115436	RP3-472A9.1	RP11-730A19.1	MYO6	OPTN	DFNA22|DFNB37	ALS12|FIP2|GLC1E|HIP7|HYPL|NRP|TFIIIA-INTP	Affinity Capture-Western	physical	Sahlender DA (2005)	15837803	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
