#BioGRID Interaction ID	Entrez Gene Interactor A	Entrez Gene Interactor B	BioGRID ID Interactor A	BioGRID ID Interactor B	Systematic Name Interactor A	Systematic Name Interactor B	Official Symbol Interactor A	Official Symbol Interactor B	Synonyms Interactor A	Synonyms Interactor B	Experimental System	Experimental System Type	Author	Pubmed ID	Organism Interactor A	Organism Interactor B	Throughput	Score	Modification	Phenotypes	Qualifications	Tags	Source Database
122079	23265	27339	116867	118151	-	-	EXOC7	PRPF19	2-5-3p|EX070|EXO70|EXOC1|Exo70p|YJL085W	NMP200|PRP19|PSO4|SNEV|UBOX4|hPSO4	Two-hybrid	physical	Rual JF (2005)	16189514	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
241524	5356	27339	111370	118151	-	-	PLRG1	PRPF19	Cwc1|PRL1|PRP46|PRPF46|TANGO4	NMP200|PRP19|PSO4|SNEV|UBOX4|hPSO4	Affinity Capture-MS	physical	Ewing RM (2007)	17353931	9606	9606	High Throughput	0.583	-	-	Exogenous expression of bait	-	BIOGRID
255204	1791	27339	108127	118151	-	-	DNTT	PRPF19	TDT	NMP200|PRP19|PSO4|SNEV|UBOX4|hPSO4	Affinity Capture-MS	physical	Mahajan KN (2003)	12960389	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
255205	27339	1791	118151	108127	-	-	PRPF19	DNTT	NMP200|PRP19|PSO4|SNEV|UBOX4|hPSO4	TDT	Affinity Capture-Western	physical	Mahajan KN (2003)	12960389	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
317967	988	27339	107424	118151	RP1-319D22.1	-	CDC5L	PRPF19	CDC5|CDC5-LIKE|CEF1|PCDC5RP|dJ319D22.1	NMP200|PRP19|PSO4|SNEV|UBOX4|hPSO4	Affinity Capture-MS	physical	Ajuh P (2000)	11101529	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
318001	988	27339	107424	118151	RP1-319D22.1	-	CDC5L	PRPF19	CDC5|CDC5-LIKE|CEF1|PCDC5RP|dJ319D22.1	NMP200|PRP19|PSO4|SNEV|UBOX4|hPSO4	Co-purification	physical	Ajuh P (2000)	11101529	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
483036	23524	27339	117071	118151	HSPC075	-	SRRM2	PRPF19	300-KD|CWF21|Cwc21|SRL300|SRm300	NMP200|PRP19|PSO4|SNEV|UBOX4|hPSO4	Affinity Capture-MS	physical	McCracken S (2005)	16159877	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
483038	10250	27339	115544	118151	-	-	SRRM1	PRPF19	160-KD|POP101|SRM160	NMP200|PRP19|PSO4|SNEV|UBOX4|hPSO4	Affinity Capture-MS	physical	McCracken S (2005)	16159877	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
517558	56259	27339	121123	118151	RP5-1118M15.1	-	CTNNBL1	PRPF19	C20orf33|NAP|P14L|PP8304|dJ633O20.1	NMP200|PRP19|PSO4|SNEV|UBOX4|hPSO4	Affinity Capture-Western	physical	Ganesh K (2011)	21385873	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
517562	56259	27339	121123	118151	RP5-1118M15.1	-	CTNNBL1	PRPF19	C20orf33|NAP|P14L|PP8304|dJ633O20.1	NMP200|PRP19|PSO4|SNEV|UBOX4|hPSO4	Affinity Capture-MS	physical	Ganesh K (2011)	21385873	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
