#BioGRID Interaction ID	Entrez Gene Interactor A	Entrez Gene Interactor B	BioGRID ID Interactor A	BioGRID ID Interactor B	Systematic Name Interactor A	Systematic Name Interactor B	Official Symbol Interactor A	Official Symbol Interactor B	Synonyms Interactor A	Synonyms Interactor B	Experimental System	Experimental System Type	Author	Pubmed ID	Organism Interactor A	Organism Interactor B	Throughput	Score	Modification	Phenotypes	Qualifications	Tags	Source Database
21729	29979	2475	119007	108757	-	-	UBQLN1	MTOR	DA41|DSK2|PLIC-1|UBQN|XDRP1	FRAP|FRAP1|FRAP2|RAFT1|RAPT1	Two-hybrid	physical	Wu S (2002)	11853878	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
27736	4681	29979	110761	119007	RP5-1056L3.4	-	NBL1	UBQLN1	D1S1733E|DAN|DAND1|NB|NO3	DA41|DSK2|PLIC-1|UBQN|XDRP1	Two-hybrid	physical	Ozaki T (1997)	9303440	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
27739	29979	5034	119007	111073	-	-	UBQLN1	P4HB	DA41|DSK2|PLIC-1|UBQN|XDRP1	DSI|ERBA2L|GIT|P4Hbeta|PDI|PDIA1|PHDB|PO4DB|PO4HB|PROHB	Two-hybrid	physical	Ko HS (2002)	12095988	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
119585	3099	29979	109346	119007	-	-	HK2	UBQLN1	HKII|HXK2	DA41|DSK2|PLIC-1|UBQN|XDRP1	Two-hybrid	physical	Rual JF (2005)	16189514	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
119605	26071	29979	117530	119007	-	-	FAM127B	UBQLN1	CXX1b|MAR8A	DA41|DSK2|PLIC-1|UBQN|XDRP1	Two-hybrid	physical	Rual JF (2005)	16189514	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
119814	22954	29979	116608	119007	RP11-67K19.1	-	TRIM32	UBQLN1	BBS11|HT2A|LGMD2H|TATIP	DA41|DSK2|PLIC-1|UBQN|XDRP1	Two-hybrid	physical	Rual JF (2005)	16189514	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
119835	7031	29979	112889	119007	-	-	TFF1	UBQLN1	BCEI|D21S21|HP1.A|HPS2|pNR-2|pS2	DA41|DSK2|PLIC-1|UBQN|XDRP1	Two-hybrid	physical	Rual JF (2005)	16189514	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
119935	2563	29979	108837	119007	-	-	GABRD	UBQLN1	EIG10|EJM7|GEFSP5	DA41|DSK2|PLIC-1|UBQN|XDRP1	Two-hybrid	physical	Rual JF (2005)	16189514	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
120276	29979	55374	119007	120647	-	PRO1580	UBQLN1	TMCO6	DA41|DSK2|PLIC-1|UBQN|XDRP1	-	Two-hybrid	physical	Rual JF (2005)	16189514	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
120315	11145	29979	116317	119007	-	-	PLA2G16	UBQLN1	AdPLA|H-REV107-1|HRASLS3|HREV107|HREV107-1|HREV107-3|HRSL3	DA41|DSK2|PLIC-1|UBQN|XDRP1	Two-hybrid	physical	Rual JF (2005)	16189514	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
120448	8324	29979	113920	119007	-	-	FZD7	UBQLN1	FzE3	DA41|DSK2|PLIC-1|UBQN|XDRP1	Two-hybrid	physical	Rual JF (2005)	16189514	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
120484	23283	29979	116881	119007	-	-	CSTF2T	UBQLN1	CstF-64T	DA41|DSK2|PLIC-1|UBQN|XDRP1	Two-hybrid	physical	Rual JF (2005)	16189514	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
120733	29979	29979	119007	119007	-	-	UBQLN1	UBQLN1	DA41|DSK2|PLIC-1|UBQN|XDRP1	DA41|DSK2|PLIC-1|UBQN|XDRP1	Two-hybrid	physical	Rual JF (2005)	16189514	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
120859	4267	29979	110420	119007	-	-	CD99	UBQLN1	HBA71|MIC2|MIC2X|MIC2Y|MSK5X	DA41|DSK2|PLIC-1|UBQN|XDRP1	Two-hybrid	physical	Rual JF (2005)	16189514	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
120892	3537	29979	109753	119007	-	-	IGLC1	UBQLN1	IGLC	DA41|DSK2|PLIC-1|UBQN|XDRP1	Two-hybrid	physical	Rual JF (2005)	16189514	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
121231	29979	60626	119007	121946	-	-	UBQLN1	RIC8A	DA41|DSK2|PLIC-1|UBQN|XDRP1	RIC8	Two-hybrid	physical	Rual JF (2005)	16189514	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
121315	5276	29979	111294	119007	-	-	SERPINI2	UBQLN1	MEPI|PANCPIN|PI14|TSA2004	DA41|DSK2|PLIC-1|UBQN|XDRP1	Two-hybrid	physical	Rual JF (2005)	16189514	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
121332	29979	30008	119007	119026	-	UNQ200/PRO226	UBQLN1	EFEMP2	DA41|DSK2|PLIC-1|UBQN|XDRP1	ARCL1B|FBLN4|MBP1|UPH1	Two-hybrid	physical	Rual JF (2005)	16189514	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
121557	29979	125170	119007	125921	-	-	UBQLN1	MIEF2	DA41|DSK2|PLIC-1|UBQN|XDRP1	MID49|SMCR7	Two-hybrid	physical	Rual JF (2005)	16189514	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
121567	6782	29979	112659	119007	-	-	HSPA13	UBQLN1	STCH	DA41|DSK2|PLIC-1|UBQN|XDRP1	Two-hybrid	physical	Rual JF (2005)	16189514	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
121568	29979	57542	119007	121601	-	-	UBQLN1	KLHL42	DA41|DSK2|PLIC-1|UBQN|XDRP1	Ctb9|KLHDC5	Two-hybrid	physical	Rual JF (2005)	16189514	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
121807	1478	29979	107860	119007	RP1-146H21.2	-	CSTF2	UBQLN1	CstF-64	DA41|DSK2|PLIC-1|UBQN|XDRP1	Two-hybrid	physical	Rual JF (2005)	16189514	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
121811	9146	29979	114593	119007	-	-	HGS	UBQLN1	HRS	DA41|DSK2|PLIC-1|UBQN|XDRP1	Two-hybrid	physical	Rual JF (2005)	16189514	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
282310	29979	2475	119007	108757	-	-	UBQLN1	MTOR	DA41|DSK2|PLIC-1|UBQN|XDRP1	FRAP|FRAP1|FRAP2|RAFT1|RAPT1	Affinity Capture-Western	physical	Wu S (2002)	11853878	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
282564	2475	29979	108757	119007	-	-	MTOR	UBQLN1	FRAP|FRAP1|FRAP2|RAFT1|RAPT1	DA41|DSK2|PLIC-1|UBQN|XDRP1	Two-hybrid	physical	Wu S (2002)	11853878	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
