#BioGRID Interaction ID	Entrez Gene Interactor A	Entrez Gene Interactor B	BioGRID ID Interactor A	BioGRID ID Interactor B	Systematic Name Interactor A	Systematic Name Interactor B	Official Symbol Interactor A	Official Symbol Interactor B	Synonyms Interactor A	Synonyms Interactor B	Experimental System	Experimental System Type	Author	Pubmed ID	Organism Interactor A	Organism Interactor B	Throughput	Score	Modification	Phenotypes	Qualifications	Tags	Source Database
243064	8428	9908	114011	115237	RP11-111L24.5	-	STK24	G3BP2	HEL-S-95|MST3|MST3B|STE20|STK3	-	Affinity Capture-MS	physical	Ewing RM (2007)	17353931	9606	9606	High Throughput	0.319	-	-	Exogenous expression of bait	-	BIOGRID
301332	4792	9908	110859	115237	-	-	NFKBIA	G3BP2	IKBA|MAD-3|NFKBI	-	Reconstituted Complex	physical	Prigent M (2000)	10969074	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
301333	4792	9908	110859	115237	-	-	NFKBIA	G3BP2	IKBA|MAD-3|NFKBI	-	Affinity Capture-Western	physical	Prigent M (2000)	10969074	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
301334	9908	4792	115237	110859	-	-	G3BP2	NFKBIA	-	IKBA|MAD-3|NFKBI	Affinity Capture-Western	physical	Prigent M (2000)	10969074	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
423012	9908	1662	115237	108027	-	-	G3BP2	DDX10	-	HRH-J8	Affinity Capture-MS	physical	Sowa ME (2009)	19615732	9606	9606	High Throughput	3.04	-	-	exogenous expression of bait	-	BIOGRID
423348	9908	6050	115237	111977	-	-	G3BP2	RNH1	-	RAI|RNH	Affinity Capture-MS	physical	Sowa ME (2009)	19615732	9606	9606	High Throughput	1.44	-	-	exogenous expression of bait	-	BIOGRID
423352	9908	6123	115237	112043	-	-	G3BP2	RPL3L	-	-	Affinity Capture-MS	physical	Sowa ME (2009)	19615732	9606	9606	High Throughput	1.18	-	-	exogenous expression of bait	-	BIOGRID
423464	9908	8021	115237	113717	-	RP11-544A12.7	G3BP2	NUP214	-	CAIN|CAN|D9S46E|N214|p250	Affinity Capture-MS	physical	Sowa ME (2009)	19615732	9606	9606	High Throughput	1.09	-	-	exogenous expression of bait	-	BIOGRID
423588	9908	9100	115237	114554	-	-	G3BP2	USP10	-	UBPO	Affinity Capture-MS	physical	Sowa ME (2009)	19615732	9606	9606	Low Throughput|High Throughput	11.36	-	-	exogenous expression of bait|reciprocal IP-MS experiment	-	BIOGRID
423687	9100	9908	114554	115237	-	-	USP10	G3BP2	UBPO	-	Affinity Capture-MS	physical	Sowa ME (2009)	19615732	9606	9606	High Throughput	1.12	-	-	exogenous expression of bait	-	BIOGRID
