#BioGRID Interaction ID	Entrez Gene Interactor A	Entrez Gene Interactor B	BioGRID ID Interactor A	BioGRID ID Interactor B	Systematic Name Interactor A	Systematic Name Interactor B	Official Symbol Interactor A	Official Symbol Interactor B	Synonyms Interactor A	Synonyms Interactor B	Experimental System	Experimental System Type	Author	Pubmed ID	Organism Interactor A	Organism Interactor B	Throughput	Score	Modification	Phenotypes	Qualifications	Tags	Source Database
264350	23112	26523	116735	117726	RP5-1042K10.7	RP4-789D17.1	TNRC6B	AGO1	-	EIF2C|EIF2C1|GERP95|Q99	Reconstituted Complex	physical	Till S (2007)	17891150	9606	9606	Low Throughput	-	-	-	Both proteins purified.	-	BIOGRID
264351	23112	27161	116735	118041	RP5-1042K10.7	-	TNRC6B	AGO2	-	EIF2C2|Q10	Reconstituted Complex	physical	Till S (2007)	17891150	9606	9606	Low Throughput	-	-	-	Both proteins purified.	-	BIOGRID
264352	23112	36544	116735	62298	RP5-1042K10.7	Dmel_CG6671	TNRC6B	AGO1	-	Ago|Ago-1|CG6671|Dm Ago1|DmAgo1|Dmel\CG6671|MRE20|ago1-1|anon-WO0257455.29|dAGO1|l(2)04845|l(2)4845|l(2)k00208|l(2)k08121	Reconstituted Complex	physical	Till S (2007)	17891150	9606	7227	Low Throughput	-	-	-	Both proteins purified.	-	BIOGRID
264353	23112	27161	116735	118041	RP5-1042K10.7	-	TNRC6B	AGO2	-	EIF2C2|Q10	Affinity Capture-Western	physical	Till S (2007)	17891150	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
452645	26058	23112	117520	116735	-	RP5-1042K10.7	GIGYF2	TNRC6B	GYF2|PARK11|PERQ2|PERQ3|TNRC15	-	Affinity Capture-MS	physical	Ash MR (2010)	20696395	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
561085	7316	23112	113164	116735	-	RP5-1042K10.7	UBC	TNRC6B	HMG20	-	Affinity Capture-MS	physical	Matsumoto M (2005)	16196087	9606	9606	High Throughput	-	-	-	#LPPI|Likely protein-protein interaction|native only	-	BIOGRID
566864	192669	23112	128177	116735	RP4-789D17.2	RP5-1042K10.7	AGO3	TNRC6B	EIF2C3	-	Affinity Capture-MS	physical	Weinmann L (2009)	19167051	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
566897	192670	23112	128178	116735	-	RP5-1042K10.7	AGO4	TNRC6B	EIF2C4	-	Affinity Capture-MS	physical	Weinmann L (2009)	19167051	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
675792	23112	26986	116735	117939	RP5-1042K10.7	-	TNRC6B	PABPC1	-	PAB1|PABP|PABP1|PABPC2|PABPL1	Affinity Capture-Western	physical	Huntzinger E (2010)	21063388	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
675794	26986	23112	117939	116735	-	RP5-1042K10.7	PABPC1	TNRC6B	PAB1|PABP|PABP1|PABPC2|PABPL1	-	Affinity Capture-Western	physical	Huntzinger E (2010)	21063388	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
686463	8452	23112	114030	116735	-	RP5-1042K10.7	CUL3	TNRC6B	CUL-3|PHA2E	-	Affinity Capture-MS	physical	Bennett EJ (2010)	21145461	9606	9606	High Throughput	-	-	-	All data was filtered to a 1% false discovery rate (peptide level) prior to analysis using CompPASS to identify high confidence candidate interacting proteins|TAP-tagged Cul3|exogenous expression of bait	-	BIOGRID
688317	8453	23112	114031	116735	RP11-297A16.3	RP5-1042K10.7	CUL2	TNRC6B	-	-	Affinity Capture-MS	physical	Bennett EJ (2010)	21145461	9606	9606	High Throughput	-	-	-	All data was filtered to a 1% false discovery rate (peptide level) prior to analysis using CompPASS to identify high confidence candidate interacting proteins|TAP-tagged Cul2|exogenous expression of bait	-	BIOGRID
689233	8454	23112	114032	116735	-	RP5-1042K10.7	CUL1	TNRC6B	-	-	Affinity Capture-MS	physical	Bennett EJ (2010)	21145461	9606	9606	High Throughput	-	-	-	All data was filtered to a 1% false discovery rate (peptide level) prior to analysis using CompPASS to identify high confidence candidate interacting proteins|TAP-tagged Cul1|exogenous expression of bait	-	BIOGRID
