#BioGRID Interaction ID	Entrez Gene Interactor A	Entrez Gene Interactor B	BioGRID ID Interactor A	BioGRID ID Interactor B	Systematic Name Interactor A	Systematic Name Interactor B	Official Symbol Interactor A	Official Symbol Interactor B	Synonyms Interactor A	Synonyms Interactor B	Experimental System	Experimental System Type	Author	Pubmed ID	Organism Interactor A	Organism Interactor B	Throughput	Score	Modification	Phenotypes	Qualifications	Tags	Source Database
26075	23524	5411	117071	111412	HSPC075	-	SRRM2	PNN	300-KD|CWF21|Cwc21|SRL300|SRm300	DRS|DRSP|SDK3|memA	Two-hybrid	physical	Zimowska G (2003)	14578391	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
241433	7532	23524	113364	117071	-	HSPC075	YWHAG	SRRM2	14-3-3GAMMA|PPP1R170	300-KD|CWF21|Cwc21|SRL300|SRm300	Affinity Capture-MS	physical	Ewing RM (2007)	17353931	9606	9606	High Throughput	0.776	-	-	Exogenous expression of bait	-	BIOGRID
241473	7529	23524	113361	117071	RP1-148E22.1	HSPC075	YWHAB	SRRM2	GW128|HEL-S-1|HS1|KCIP-1|YWHAA	300-KD|CWF21|Cwc21|SRL300|SRm300	Affinity Capture-MS	physical	Ewing RM (2007)	17353931	9606	9606	High Throughput	0.623	-	-	Exogenous expression of bait	-	BIOGRID
242058	10921	23524	116125	117071	-	HSPC075	RNPS1	SRRM2	E5.1	300-KD|CWF21|Cwc21|SRL300|SRm300	Affinity Capture-MS	physical	Ewing RM (2007)	17353931	9606	9606	High Throughput	0.398	-	-	Exogenous expression of bait	-	BIOGRID
242205	578	23524	107054	117071	-	HSPC075	BAK1	SRRM2	BAK|BAK-LIKE|BCL2L7|CDN1	300-KD|CWF21|Cwc21|SRL300|SRm300	Affinity Capture-MS	physical	Ewing RM (2007)	17353931	9606	9606	High Throughput	0.383	-	-	Exogenous expression of bait	-	BIOGRID
244972	2810	23524	109072	117071	-	HSPC075	SFN	SRRM2	YWHAS	300-KD|CWF21|Cwc21|SRL300|SRm300	Affinity Capture-MS	physical	Benzinger A (2005)	15778465	9606	9606	Low Throughput	-	-	-	Tandem affinity purification (TAP) and the multidimensional protein identification technology (MudPIT)	-	BIOGRID
253345	5411	23524	111412	117071	-	HSPC075	PNN	SRRM2	DRS|DRSP|SDK3|memA	300-KD|CWF21|Cwc21|SRL300|SRm300	Two-hybrid	physical	Zimowska G (2003)	14578391	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
253350	5411	23524	111412	117071	-	HSPC075	PNN	SRRM2	DRS|DRSP|SDK3|memA	300-KD|CWF21|Cwc21|SRL300|SRm300	Affinity Capture-Western	physical	Zimowska G (2003)	14578391	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
305250	10250	23524	115544	117071	-	HSPC075	SRRM1	SRRM2	160-KD|POP101|SRM160	300-KD|CWF21|Cwc21|SRL300|SRm300	Affinity Capture-Western	physical	Blencowe BJ (1998)	9531537	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
349571	852093	23524	32534	117071	YDR482C	HSPC075	CWC21	SRRM2	-	300-KD|CWF21|Cwc21|SRL300|SRm300	Dosage Rescue	genetic	Grainger RJ (2009)	19854871	559292	9606	Low Throughput	-	-	viability:partial rescue	Human SRRM2 can partially rescue the lethality in a CWC21/ISY1 double mutant	-	BIOGRID
349572	853509	23524	33803	117071	YJR050W	HSPC075	ISY1	SRRM2	NTC30|UTR3|L000002730	300-KD|CWF21|Cwc21|SRL300|SRm300	Dosage Rescue	genetic	Grainger RJ (2009)	19854871	559292	9606	Low Throughput	-	-	viability:partial rescue	Human SRRM2 can partially rescue the lethality in a CWC21/ISY1 double mutant	-	BIOGRID
349573	23524	856570	117071	36599	HSPC075	YHR165C	SRRM2	PRP8	300-KD|CWF21|Cwc21|SRL300|SRm300	DBF3|DNA39|RNA8|SLT21|USA2|U4/U6-U5 snRNP complex component PRP8|L000001500|L000003226	Affinity Capture-Western	physical	Grainger RJ (2009)	19854871	9606	559292	Low Throughput	-	-	-	-	-	BIOGRID
349574	23524	853681	117071	33965	HSPC075	YKL173W	SRRM2	SNU114	300-KD|CWF21|Cwc21|SRL300|SRm300	GIN10|U5 snRNP GTPase SNU114|L000003541	Affinity Capture-Western	physical	Grainger RJ (2009)	19854871	9606	559292	Low Throughput	-	-	-	-	-	BIOGRID
