#BioGRID Interaction ID	Entrez Gene Interactor A	Entrez Gene Interactor B	BioGRID ID Interactor A	BioGRID ID Interactor B	Systematic Name Interactor A	Systematic Name Interactor B	Official Symbol Interactor A	Official Symbol Interactor B	Synonyms Interactor A	Synonyms Interactor B	Experimental System	Experimental System Type	Author	Pubmed ID	Organism Interactor A	Organism Interactor B	Throughput	Score	Modification	Phenotypes	Qualifications	Tags	Source Database
38003	33940	42595	60093	67556	Dmel_CG11327	Dmel_CG6375	CG11327	pit	Dmel\CG11327	CG6375|DmRH15|Dmel\CG6375|Hel93F	Two-hybrid	physical	Giot L (2003)	14605208	7227	7227	High Throughput	-	-	-	-	-	BIOGRID
647363	42595	32568	67556	58912	Dmel_CG6375	Dmel_CG8939	pit	CG8939	CG6375|DmRH15|Dmel\CG6375|Hel93F	Dmel\CG8939	Affinity Capture-MS	physical	Guruharsha KG (2011)	22036573	7227	7227	High Throughput	-	-	-	-	-	BIOGRID
647729	42595	35963	67556	61797	Dmel_CG6375	Dmel_CG8801	pit	Non1	CG6375|DmRH15|Dmel\CG6375|Hel93F	BcDNA:LD23830|CG30341|CG8801|Dmel\CG8801|LD23830	Affinity Capture-MS	physical	Guruharsha KG (2011)	22036573	7227	7227	High Throughput	-	-	-	-	-	BIOGRID
648611	42595	35379	67556	61334	Dmel_CG6375	Dmel_CG9253	pit	CG9253	CG6375|DmRH15|Dmel\CG6375|Hel93F	DmRH24|Dmel\CG9253|anon-EST:GressD10	Affinity Capture-MS	physical	Guruharsha KG (2011)	22036573	7227	7227	High Throughput	-	-	-	-	-	BIOGRID
648671	42595	42439	67556	67417	Dmel_CG6375	Dmel_CG5434	pit	Srp72	CG6375|DmRH15|Dmel\CG6375|Hel93F	CG5434|Dmel\CG5434	Affinity Capture-MS	physical	Guruharsha KG (2011)	22036573	7227	7227	High Throughput	-	-	-	-	-	BIOGRID
650346	42595	33489	67556	59712	Dmel_CG6375	Dmel_CG31694	pit	CG31694	CG6375|DmRH15|Dmel\CG6375|Hel93F	CG15401|CG3098|Dmel\CG31694	Affinity Capture-MS	physical	Guruharsha KG (2011)	22036573	7227	7227	High Throughput	-	-	-	-	-	BIOGRID
650460	42595	35536	67556	61440	Dmel_CG6375	Dmel_CG7845	pit	CG7845	CG6375|DmRH15|Dmel\CG6375|Hel93F	Dmel\CG7845|WDR74	Affinity Capture-MS	physical	Guruharsha KG (2011)	22036573	7227	7227	High Throughput	-	-	-	-	-	BIOGRID
650678	42595	31811	67556	58270	Dmel_CG6375	Dmel_CG1994	pit	l(1)G0020	CG6375|DmRH15|Dmel\CG6375|Hel93F	CG1994|Dmel\CG1994|p110	Affinity Capture-MS	physical	Guruharsha KG (2011)	22036573	7227	7227	High Throughput	-	-	-	-	-	BIOGRID
651263	42595	33966	67556	60117	Dmel_CG6375	Dmel_CG10206	pit	nop5	CG6375|DmRH15|Dmel\CG6375|Hel93F	2/30|CG10206|DNOP5|Dmel\CG10206|FBgn0026196	Affinity Capture-MS	physical	Guruharsha KG (2011)	22036573	7227	7227	High Throughput	-	-	-	-	-	BIOGRID
651276	42595	326208	67556	77461	Dmel_CG6375	Dmel_CG32344	pit	CG32344	CG6375|DmRH15|Dmel\CG6375|Hel93F	CG6994|DmRH20|Dmel\CG32344	Affinity Capture-MS	physical	Guruharsha KG (2011)	22036573	7227	7227	High Throughput	-	-	-	-	-	BIOGRID
651350	42595	36365	67556	62142	Dmel_CG6375	Dmel_CG8545	pit	CG8545	CG6375|DmRH15|Dmel\CG6375|Hel93F	Dmel\CG8545|Nol1Nt	Affinity Capture-MS	physical	Guruharsha KG (2011)	22036573	7227	7227	High Throughput	-	-	-	-	-	BIOGRID
