#BioGRID Interaction ID	Entrez Gene Interactor A	Entrez Gene Interactor B	BioGRID ID Interactor A	BioGRID ID Interactor B	Systematic Name Interactor A	Systematic Name Interactor B	Official Symbol Interactor A	Official Symbol Interactor B	Synonyms Interactor A	Synonyms Interactor B	Experimental System	Experimental System Type	Author	Pubmed ID	Organism Interactor A	Organism Interactor B	Throughput	Score	Modification	Phenotypes	Qualifications	Tags	Source Database
31447	33934	31059	60088	57622	Dmel_CG11181	Dmel_CG32859	cup	eIF4E-7	CG11181|DmCup|Dmel\CG11181|fs(1)cup|fs(2)cup|i239	CG11392|CG11393|CG32859|CT31794|Dmel\CG32859|EG:BACR42I17.1|eIF4E	Two-hybrid	physical	Giot L (2003)	14605208	7227	7227	High Throughput	-	-	-	-	-	BIOGRID
31448	33934	34364	60088	60455	Dmel_CG11181	Dmel_CG4916	cup	me31B	CG11181|DmCup|Dmel\CG11181|fs(1)cup|fs(2)cup|i239	CG4916|DDX6|Dhh1p/Me31b|DmRH3|Dmel\CG4916|Mat31B|l(2)k06607	Two-hybrid	physical	Giot L (2003)	14605208	7227	7227	High Throughput	-	-	-	-	-	BIOGRID
35957	35098	33934	61093	60088	Dmel_CG10305	Dmel_CG11181	RpS26	cup	CG10305|Dmel\CG10305|M(2)36F|M(2)S13|M(2)m|M[[s]]|anon-EST:fe2A3|l(2)04553|l(2)36Fa|rpS31	CG11181|DmCup|Dmel\CG11181|fs(1)cup|fs(2)cup|i239	Two-hybrid	physical	Giot L (2003)	14605208	7227	7227	High Throughput	-	-	-	-	-	BIOGRID
36168	35119	33934	61114	60088	Dmel_CG10387	Dmel_CG11181	tos	cup	CG10387|DmTosca|Dmel\CG10387|Tosca	CG11181|DmCup|Dmel\CG11181|fs(1)cup|fs(2)cup|i239	Two-hybrid	physical	Giot L (2003)	14605208	7227	7227	High Throughput	-	-	-	-	-	BIOGRID
36711	42855	33934	67789	60088	Dmel_CG10694	Dmel_CG11181	CG10694	cup	Dmel\CG10694	CG11181|DmCup|Dmel\CG11181|fs(1)cup|fs(2)cup|i239	Two-hybrid	physical	Giot L (2003)	14605208	7227	7227	High Throughput	-	-	-	-	-	BIOGRID
37585	33934	40461	60088	65697	Dmel_CG11181	Dmel_CG11489	cup	srpk79D	CG11181|DmCup|Dmel\CG11181|fs(1)cup|fs(2)cup|i239	BEST:CK01209|CG11489|CG9085|CK01209|Dmel\CG11489|SRPK|SRPK1|atc	Two-hybrid	physical	Giot L (2003)	14605208	7227	7227	High Throughput	-	-	-	-	-	BIOGRID
37586	33934	43145	60088	68045	Dmel_CG11181	Dmel_CG14540	cup	CG14540	CG11181|DmCup|Dmel\CG11181|fs(1)cup|fs(2)cup|i239	Dmel\CG14540	Two-hybrid	physical	Giot L (2003)	14605208	7227	7227	High Throughput	-	-	-	-	-	BIOGRID
37587	33934	31500	60088	58000	Dmel_CG11181	Dmel_CG15771	cup	CG15771	CG11181|DmCup|Dmel\CG11181|fs(1)cup|fs(2)cup|i239	CR33074|Dmel\CG15771	Two-hybrid	physical	Giot L (2003)	14605208	7227	7227	High Throughput	-	-	-	-	-	BIOGRID
37588	33934	32125	60088	58532	Dmel_CG11181	Dmel_CG1841	cup	Tango10	CG11181|DmCup|Dmel\CG11181|fs(1)cup|fs(2)cup|i239	CG1841|Dmel\CG1841	Two-hybrid	physical	Giot L (2003)	14605208	7227	7227	High Throughput	-	-	-	-	-	BIOGRID
37589	33934	31217	60088	57754	Dmel_CG11181	Dmel_CG2865	cup	CG2865	CG11181|DmCup|Dmel\CG11181|fs(1)cup|fs(2)cup|i239	Dmel\CG2865|EG:25E8.4|anon-WO03040301.165	Two-hybrid	physical	Giot L (2003)	14605208	7227	7227	High Throughput	-	-	-	-	-	BIOGRID
