#BioGRID Interaction ID	Entrez Gene Interactor A	Entrez Gene Interactor B	BioGRID ID Interactor A	BioGRID ID Interactor B	Systematic Name Interactor A	Systematic Name Interactor B	Official Symbol Interactor A	Official Symbol Interactor B	Synonyms Interactor A	Synonyms Interactor B	Experimental System	Experimental System Type	Author	Pubmed ID	Organism Interactor A	Organism Interactor B	Throughput	Score	Modification	Phenotypes	Qualifications	Tags	Source Database
32089	40694	41113	65900	66279	Dmel_CG1250	Dmel_CG8121	Sec23	CG8121	CG1250|COPII|Dmel\CG1250|Sec23A|Sec23p|dSec23|dSec23p|dar2|hau	Dmel\CG8121|dmCG8121	Two-hybrid	physical	Giot L (2003)	14605208	7227	7227	High Throughput	-	-	-	-	-	BIOGRID
39510	40694	33135	65900	59409	Dmel_CG1250	Dmel_CG12576	Sec23	CG12576	CG1250|COPII|Dmel\CG1250|Sec23A|Sec23p|dSec23|dSec23p|dar2|hau	Dmel\CG12576|anon-WO0140519.40	Two-hybrid	physical	Giot L (2003)	14605208	7227	7227	High Throughput	-	-	-	-	-	BIOGRID
39511	40694	38800	65900	64243	Dmel_CG1250	Dmel_CG14830	Sec23	CG14830	CG1250|COPII|Dmel\CG1250|Sec23A|Sec23p|dSec23|dSec23p|dar2|hau	Dmel\CG14830	Two-hybrid	physical	Giot L (2003)	14605208	7227	7227	High Throughput	-	-	-	-	-	BIOGRID
39512	40694	35033	65900	61032	Dmel_CG1250	Dmel_CG15136	Sec23	CG15136	CG1250|COPII|Dmel\CG1250|Sec23A|Sec23p|dSec23|dSec23p|dar2|hau	Dmel\CG15136	Two-hybrid	physical	Giot L (2003)	14605208	7227	7227	High Throughput	-	-	-	-	-	BIOGRID
39514	40694	34888	65900	60906	Dmel_CG1250	Dmel_CG3647	Sec23	stc	CG1250|COPII|Dmel\CG1250|Sec23A|Sec23p|dSec23|dSec23p|dar2|hau	151662_s_at|BG:DS04929.4|BcDNA.LD22726|BcDNA:LD22726|CG3647|Cf4|Dmel\CG3647|LD22726|br33|l(2)35Cb|l(2)SH1565|l(2)SH2 1565|l(2)br33|l35Cb	Two-hybrid	physical	Giot L (2003)	14605208	7227	7227	High Throughput	-	-	-	-	-	BIOGRID
39515	40694	33575	65900	59785	Dmel_CG1250	Dmel_CG8851	Sec23	CG8851	CG1250|COPII|Dmel\CG1250|Sec23A|Sec23p|dSec23|dSec23p|dar2|hau	Dmel\CG8851	Two-hybrid	physical	Giot L (2003)	14605208	7227	7227	High Throughput	-	-	-	-	-	BIOGRID
614291	40694	37643	65900	63253	Dmel_CG1250	Dmel_CG42678	Sec23	CG42678	CG1250|COPII|Dmel\CG1250|Sec23A|Sec23p|dSec23|dSec23p|dar2|hau	BcDNA:LD42159|BcDNA:RE29641|CG30190|CG30193|CG9848|Dmel\CG42678|Dmel_CG30190|Dmel_CG30193|anon-WO0118547.113	Two-hybrid	physical	Giot L (2003)	14605208	7227	7227	High Throughput	-	-	-	-	-	BIOGRID
2312865	31903	40694	58343	65900	Dmel_CG3004	Dmel_CG1250	Lst8	Sec23	CG3004|Dmel\CG3004|Gbl|dGbetaL|dLST8	CG1250|COPII|Dmel\CG1250|Sec23A|Sec23p|dSec23|dSec23p|dar2|hau	Affinity Capture-MS	physical	Glatter T (2011)	22068330	7227	7227	High Throughput	-	-	-	SAINT score > 0.80	-	FLYBASE
2315329	34109	40694	60238	65900	Dmel_CG8552	Dmel_CG1250	CG8552	Sec23	CG14278|Dmel\CG8552|Sec23-IP	CG1250|COPII|Dmel\CG1250|Sec23A|Sec23p|dSec23|dSec23p|dar2|hau	Affinity Capture-Western	physical	Kunduri G (2014)	25002678	7227	7227	Low Throughput	-	-	-	-	-	FLYBASE
2318373	37305	40694	62960	65900	Dmel_CG13867	Dmel_CG1250	MED8	Sec23	ARC32|CG13867|CG30140|Dmel\CG13867|Med8/ARC32|dARC32	CG1250|COPII|Dmel\CG1250|Sec23A|Sec23p|dSec23|dSec23p|dar2|hau	Affinity Capture-MS	physical	Guruharsha KG (2011)	22036573	7227	7227	High Throughput	-	-	-	FDR < 0.05%	-	FLYBASE
2320073	38937	40694	64355	65900	Dmel_CG7185	Dmel_CG1250	CG7185	Sec23	CF I[[m]]68|CFlm-68k|Dmel\CG7185	CG1250|COPII|Dmel\CG1250|Sec23A|Sec23p|dSec23|dSec23p|dar2|hau	Affinity Capture-MS	physical	Guruharsha KG (2011)	22036573	7227	7227	High Throughput	-	-	-	FDR < 0.05%	-	FLYBASE
