#BioGRID Interaction ID	Entrez Gene Interactor A	Entrez Gene Interactor B	BioGRID ID Interactor A	BioGRID ID Interactor B	Systematic Name Interactor A	Systematic Name Interactor B	Official Symbol Interactor A	Official Symbol Interactor B	Synonyms Interactor A	Synonyms Interactor B	Experimental System	Experimental System Type	Author	Pubmed ID	Organism Interactor A	Organism Interactor B	Throughput	Score	Modification	Phenotypes	Qualifications	Tags	Source Database
35024	39957	32648	65245	58984	Dmel_CG6311	Dmel_CG9675	Edc3	spheroide	CG6311|DmEDC3|Dmel\CG6311|LSM16	CG9675|Dmel\CG9675|SPH114|anon-EST:ParkEST153|anon-WO0140519.154	Two-hybrid	physical	Giot L (2003)	14605208	7227	7227	High Throughput	-	-	-	-	-	BIOGRID
1504164	39957	36546	65245	62300	Dmel_CG6311	Dmel_CG6692	Edc3	Cp1	CG6311|DmEDC3|Dmel\CG6311|LSM16	CATL_DROME|CG6692|CT20780|CTSL|Cath L|CysP-1|DCP1|Dcp-1|Dmel\CG6692|fs(2)50Ca	Co-crystal Structure	physical	Fromm SA (2012)	22085934	7227	7227	Low Throughput	-	-	-	NMR	-	BIOGRID
2320954	39957	37790	65245	63383	Dmel_CG6311	Dmel_CG11183	Edc3	Dcp1	CG6311|DmEDC3|Dmel\CG6311|LSM16	CG11183|Dcp-1|Dcp1p|Dmel\CG11183|anon-WO0118547.163|dDCP1	Affinity Capture-Western	physical	Zekri L (2009)	19797087	7227	7227	Low Throughput	-	-	-	-	-	FLYBASE
2476391	34364	39957	60455	65245	Dmel_CG4916	Dmel_CG6311	me31B	Edc3	CG4916|DDX6|Dhh1p/Me31b|DmRH3|Dmel\CG4916|Mat31B|l(2)k06607	CG6311|DmEDC3|Dmel\CG6311|LSM16	Affinity Capture-Western	physical	Tritschler F (2009)	19285948	7227	7227	Low Throughput	-	-	-	-	-	FLYBASE
2477048	39957	34364	65245	60455	Dmel_CG6311	Dmel_CG4916	Edc3	me31B	CG6311|DmEDC3|Dmel\CG6311|LSM16	CG4916|DDX6|Dhh1p/Me31b|DmRH3|Dmel\CG4916|Mat31B|l(2)k06607	Affinity Capture-Western	physical	Haas G (2010)	20404111	7227	7227	Low Throughput	-	-	-	-	-	FLYBASE
2477235	34364	39957	60455	65245	Dmel_CG4916	Dmel_CG6311	me31B	Edc3	CG4916|DDX6|Dhh1p/Me31b|DmRH3|Dmel\CG4916|Mat31B|l(2)k06607	CG6311|DmEDC3|Dmel\CG6311|LSM16	Affinity Capture-Western	physical	Wang M (2017)	28875934	7227	7227	Low Throughput	-	-	-	-	-	FLYBASE
2480990	39957	34364	65245	60455	Dmel_CG6311	Dmel_CG4916	Edc3	me31B	CG6311|DmEDC3|Dmel\CG6311|LSM16	CG4916|DDX6|Dhh1p/Me31b|DmRH3|Dmel\CG4916|Mat31B|l(2)k06607	Affinity Capture-Western	physical	Tritschler F (2009)	19285948	7227	7227	Low Throughput	-	-	-	-	-	FLYBASE
2482751	34364	39957	60455	65245	Dmel_CG4916	Dmel_CG6311	me31B	Edc3	CG4916|DDX6|Dhh1p/Me31b|DmRH3|Dmel\CG4916|Mat31B|l(2)k06607	CG6311|DmEDC3|Dmel\CG6311|LSM16	Affinity Capture-Western	physical	Haas G (2010)	20404111	7227	7227	Low Throughput	-	-	-	-	-	FLYBASE
2869671	34364	39957	60455	65245	Dmel_CG4916	Dmel_CG6311	me31B	Edc3	CG4916|DDX6|Dhh1p/Me31b|DmRH3|Dmel\CG4916|Mat31B|l(2)k06607	CG6311|DmEDC3|Dmel\CG6311|LSM16	Affinity Capture-Western	physical	Tritschler F (2007)	17923697	7227	7227	Low Throughput	-	-	-	-	-	FLYBASE
2869672	34364	39957	60455	65245	Dmel_CG4916	Dmel_CG6311	me31B	Edc3	CG4916|DDX6|Dhh1p/Me31b|DmRH3|Dmel\CG4916|Mat31B|l(2)k06607	CG6311|DmEDC3|Dmel\CG6311|LSM16	Affinity Capture-Western	physical	Jinek M (2008)	18755833	7227	7227	Low Throughput	-	-	-	-	-	FLYBASE
2869673	34364	39957	60455	65245	Dmel_CG4916	Dmel_CG6311	me31B	Edc3	CG4916|DDX6|Dhh1p/Me31b|DmRH3|Dmel\CG4916|Mat31B|l(2)k06607	CG6311|DmEDC3|Dmel\CG6311|LSM16	Affinity Capture-Western	physical	Tritschler F (2008)	18765641	7227	7227	Low Throughput	-	-	-	-	-	FLYBASE
2869674	34364	39957	60455	65245	Dmel_CG4916	Dmel_CG6311	me31B	Edc3	CG4916|DDX6|Dhh1p/Me31b|DmRH3|Dmel\CG4916|Mat31B|l(2)k06607	CG6311|DmEDC3|Dmel\CG6311|LSM16	Affinity Capture-Western	physical	Peter D (2019)	31439631	7227	7227	Low Throughput	-	-	-	-	-	FLYBASE
2870483	37790	39957	63383	65245	Dmel_CG11183	Dmel_CG6311	Dcp1	Edc3	CG11183|Dcp-1|Dcp1p|Dmel\CG11183|anon-WO0118547.163|dDCP1	CG6311|DmEDC3|Dmel\CG6311|LSM16	Affinity Capture-Western	physical	Tritschler F (2007)	17923697	7227	7227	Low Throughput	-	-	-	-	-	FLYBASE
2870484	37790	39957	63383	65245	Dmel_CG11183	Dmel_CG6311	Dcp1	Edc3	CG11183|Dcp-1|Dcp1p|Dmel\CG11183|anon-WO0118547.163|dDCP1	CG6311|DmEDC3|Dmel\CG6311|LSM16	Affinity Capture-Western	physical	Tritschler F (2008)	18765641	7227	7227	Low Throughput	-	-	-	-	-	FLYBASE
2870942	39957	34364	65245	60455	Dmel_CG6311	Dmel_CG4916	Edc3	me31B	CG6311|DmEDC3|Dmel\CG6311|LSM16	CG4916|DDX6|Dhh1p/Me31b|DmRH3|Dmel\CG4916|Mat31B|l(2)k06607	Affinity Capture-Western	physical	Tritschler F (2007)	17923697	7227	7227	Low Throughput	-	-	-	-	-	FLYBASE
2870943	39957	34364	65245	60455	Dmel_CG6311	Dmel_CG4916	Edc3	me31B	CG6311|DmEDC3|Dmel\CG6311|LSM16	CG4916|DDX6|Dhh1p/Me31b|DmRH3|Dmel\CG4916|Mat31B|l(2)k06607	Affinity Capture-Western	physical	Tritschler F (2008)	18765641	7227	7227	Low Throughput	-	-	-	-	-	FLYBASE
2870944	39957	37790	65245	63383	Dmel_CG6311	Dmel_CG11183	Edc3	Dcp1	CG6311|DmEDC3|Dmel\CG6311|LSM16	CG11183|Dcp-1|Dcp1p|Dmel\CG11183|anon-WO0118547.163|dDCP1	Affinity Capture-Western	physical	Tritschler F (2007)	17923697	7227	7227	Low Throughput	-	-	-	-	-	FLYBASE
2870945	39957	37790	65245	63383	Dmel_CG6311	Dmel_CG11183	Edc3	Dcp1	CG6311|DmEDC3|Dmel\CG6311|LSM16	CG11183|Dcp-1|Dcp1p|Dmel\CG11183|anon-WO0118547.163|dDCP1	Affinity Capture-Western	physical	Tritschler F (2008)	18765641	7227	7227	Low Throughput	-	-	-	-	-	FLYBASE
2870946	39957	39722	65245	65036	Dmel_CG6311	Dmel_CG6169	Edc3	Dcp2	CG6311|DmEDC3|Dmel\CG6311|LSM16	BEST:LD07107|CG6169|DCp2p|Dmel\CG6169|LD07107|dDCP2|dDcp	Affinity Capture-Western	physical	Tritschler F (2007)	17923697	7227	7227	Low Throughput	-	-	-	-	-	FLYBASE
