#BioGRID Interaction ID	Entrez Gene Interactor A	Entrez Gene Interactor B	BioGRID ID Interactor A	BioGRID ID Interactor B	Systematic Name Interactor A	Systematic Name Interactor B	Official Symbol Interactor A	Official Symbol Interactor B	Synonyms Interactor A	Synonyms Interactor B	Experimental System	Experimental System Type	Author	Pubmed ID	Organism Interactor A	Organism Interactor B	Throughput	Score	Modification	Phenotypes	Qualifications	Tags	Source Database
31058	40087	39844	65364	65147	Dmel_CG10419	Dmel_CG16725	Gem2	Smn	CG10419|Dmel\CG10419	CG16725|DmSMN|Dmel\CG16725|dSMN|l(3)73Ao	Two-hybrid	physical	Giot L (2003)	14605208	7227	7227	High Throughput	-	-	-	-	-	BIOGRID
31059	40087	38831	65364	64269	Dmel_CG10419	Dmel_CG8556	Gem2	Rac2	CG10419|Dmel\CG10419	CG8556|D-Rac 2|D-Rac2|DRac2|DRacB|DmRAC2|Dmel\CG8556|Drac1b|P48554|Rac|Rac GTPase|Rac-2|Rac1|Rac1b|RacB	Two-hybrid	physical	Giot L (2003)	14605208	7227	7227	High Throughput	-	-	-	-	-	BIOGRID
36252	40087	34086	65364	60220	Dmel_CG10419	Dmel_CG7231	Gem2	CG7231	CG10419|Dmel\CG10419	Dmel\CG7231	Two-hybrid	physical	Giot L (2003)	14605208	7227	7227	High Throughput	-	-	-	-	-	BIOGRID
648936	39844	40087	65147	65364	Dmel_CG16725	Dmel_CG10419	Smn	Gem2	CG16725|DmSMN|Dmel\CG16725|dSMN|l(3)73Ao	CG10419|Dmel\CG10419	Affinity Capture-MS	physical	Guruharsha KG (2011)	22036573	7227	7227	High Throughput	-	-	-	-	-	BIOGRID
652548	39195	40087	64576	65364	Dmel_CG6539	Dmel_CG10419	Gem3	Gem2	BcDNA.LD05563|BcDNA:LD05563|CG6539|DHH1|DmRH22|Dmel\CG6539|dGem3|l(3)rL562	CG10419|Dmel\CG10419	Affinity Capture-MS	physical	Guruharsha KG (2011)	22036573	7227	7227	High Throughput	-	-	-	-	-	BIOGRID
652917	31348	40087	57866	65364	Dmel_CG2941	Dmel_CG10419	CG2941	Gem2	Dmel\CG2941	CG10419|Dmel\CG10419	Affinity Capture-MS	physical	Guruharsha KG (2011)	22036573	7227	7227	High Throughput	-	-	-	-	-	BIOGRID
655502	35713	40087	61587	65364	Dmel_CG1406	Dmel_CG10419	U2A	Gem2	BcDNA:RE56869|CG1406|Dmel\CG1406|U2A|U2A-prime|dU2A|l(2)43Ee	CG10419|Dmel\CG10419	Affinity Capture-MS	physical	Guruharsha KG (2011)	22036573	7227	7227	High Throughput	-	-	-	-	-	BIOGRID
2320865	39844	40087	65147	65364	Dmel_CG16725	Dmel_CG10419	Smn	Gem2	CG16725|DmSMN|Dmel\CG16725|dSMN|l(3)73Ao	CG10419|Dmel\CG10419	Affinity Capture-Western	physical	Praveen K (2014)	25144193	7227	7227	Low Throughput	-	-	-	-	-	FLYBASE
2320866	39844	40087	65147	65364	Dmel_CG16725	Dmel_CG10419	Smn	Gem2	CG16725|DmSMN|Dmel\CG16725|dSMN|l(3)73Ao	CG10419|Dmel\CG10419	Co-crystal Structure	physical	Grimm C (2013)	23333303	7227	7227	Low Throughput	-	-	-	-	-	FLYBASE
2320867	39844	40087	65147	65364	Dmel_CG16725	Dmel_CG10419	Smn	Gem2	CG16725|DmSMN|Dmel\CG16725|dSMN|l(3)73Ao	CG10419|Dmel\CG10419	Co-fractionation	physical	Chari A (2008)	18984161	7227	7227	Low Throughput	-	-	-	-	-	FLYBASE
2475049	36997	40087	62685	65364	Dmel_CG4924	Dmel_CG10419	icln	Gem2	CG4924|Dmel\CG4924|pICln	CG10419|Dmel\CG10419	Co-crystal Structure	physical	Grimm C (2013)	23333303	7227	7227	Low Throughput	-	-	-	-	-	FLYBASE
2480489	39844	40087	65147	65364	Dmel_CG16725	Dmel_CG10419	Smn	Gem2	CG16725|DmSMN|Dmel\CG16725|dSMN|l(3)73Ao	CG10419|Dmel\CG10419	Affinity Capture-MS	physical	Gray KM (2018)	29167380	7227	7227	Low Throughput	-	-	-	-	-	FLYBASE
2483294	40087	39844	65364	65147	Dmel_CG10419	Dmel_CG16725	Gem2	Smn	CG10419|Dmel\CG10419	CG16725|DmSMN|Dmel\CG16725|dSMN|l(3)73Ao	Affinity Capture-Western	physical	Gray KM (2018)	29167380	7227	7227	Low Throughput	-	-	-	-	-	FLYBASE
2870928	39844	40087	65147	65364	Dmel_CG16725	Dmel_CG10419	Smn	Gem2	CG16725|DmSMN|Dmel\CG16725|dSMN|l(3)73Ao	CG10419|Dmel\CG10419	Affinity Capture-MS	physical	Maccallini P (2020)	32453722	7227	7227	Low Throughput	-	-	-	-	-	FLYBASE
2872108	59260	40087	72856	65364	Dmel_CG44890	Dmel_CG10419	Tgs1	Gem2	0967/13|CG31241|CG44890|CG8045|CT24102|DTL|DTLd|Dmel\CG44890|Dmel_CG31241|Dromel_CG31241_FBtr0083570_dtl_mORF|dORF|l(3)S096713|tatl	CG10419|Dmel\CG10419	Affinity Capture-MS	physical	Maccallini P (2020)	32453722	7227	7227	Low Throughput	-	-	-	-	-	FLYBASE
3688871	40087	39844	65364	65147	Dmel_CG10419	Dmel_CG16725	Gem2	Smn	CG10419|Dmel\CG10419	CG16725|DmSMN|Dmel\CG16725|dSMN|l(3)73Ao	Two-hybrid	physical	Tang HW (2023)	37061542	7227	7227	High Throughput	-	-	-	interaction identified by large-scale Y2H screening and validated by pairwise testing	-	BIOGRID
