#BioGRID Interaction ID	Entrez Gene Interactor A	Entrez Gene Interactor B	BioGRID ID Interactor A	BioGRID ID Interactor B	Systematic Name Interactor A	Systematic Name Interactor B	Official Symbol Interactor A	Official Symbol Interactor B	Synonyms Interactor A	Synonyms Interactor B	Experimental System	Experimental System Type	Author	Pubmed ID	Organism Interactor A	Organism Interactor B	Throughput	Score	Modification	Phenotypes	Qualifications	Tags	Source Database
2312348	31394	32703	57911	59031	Dmel_CG3346	Dmel_CG5055	pon	baz	CG3346|Dmel\CG3346	Baz/Par-3|Baz/Par3|Bazooka|CG5055|D-Par3|Dmel\CG5055|PAR-3|PAR3|dPar-3|l(1)G0484	Affinity Capture-Western	physical	Wirtz-Peitz F (2008)	18854163	7227	7227	Low Throughput	-	-	-	-	-	FLYBASE
2312349	31394	32752	57911	59075	Dmel_CG3346	Dmel_CG5884	pon	par-6	CG3346|Dmel\CG3346	CG5884|DPar-6|DPar6|Dm-Par-6|Dm-Par6|DmPAR-6|DmPar6|Dmel\CG5884|PAR6|Par	Affinity Capture-Western	physical	Wirtz-Peitz F (2008)	18854163	7227	7227	Low Throughput	-	-	-	-	-	FLYBASE
2312350	31394	34263	57911	60366	Dmel_CG3346	Dmel_CG3779	pon	numb	CG3346|Dmel\CG3346	CG3779|Dmel\CG3779|N7-1|Nb|d-numb|dNumb|l(2)03235|l(2)3235|l(2)s2201|numbs	Affinity Capture-Western	physical	Lu B (1998)	9790529	7227	7227	Low Throughput	-	-	-	-	-	FLYBASE
2312351	31394	34263	57911	60366	Dmel_CG3346	Dmel_CG3779	pon	numb	CG3346|Dmel\CG3346	CG3779|Dmel\CG3779|N7-1|Nb|d-numb|dNumb|l(2)03235|l(2)3235|l(2)s2201|numbs	Two-hybrid	physical	Lu B (1998)	9790529	7227	7227	Low Throughput	-	-	-	-	-	FLYBASE
2312352	31394	42379	57911	67367	Dmel_CG3346	Dmel_CG12249	pon	mira	CG3346|Dmel\CG3346	CG12249|Dmel\CG12249|MIR|Miranda	Affinity Capture-Western	physical	Lu B (1998)	9790529	7227	7227	Low Throughput	-	-	-	-	-	FLYBASE
2312353	31394	47594	57911	70851	Dmel_CG3346	Dmel_CG42783	pon	aPKC	CG3346|Dmel\CG3346	CG10261|CG30475|CG42783|DaPKC|Dmel\CG42783|Dmel_CG10261|Dmel_CG30475|PKCl|PKCzeta|a-PKC|aPKC-zeta|aPKCzeta|alphaPKCzeta|i|l(2)k06403|pkc-3|psu	Affinity Capture-Western	physical	Wirtz-Peitz F (2008)	18854163	7227	7227	Low Throughput	-	-	-	-	-	FLYBASE
2315547	34263	31394	60366	57911	Dmel_CG3779	Dmel_CG3346	numb	pon	CG3779|Dmel\CG3779|N7-1|Nb|d-numb|dNumb|l(2)03235|l(2)3235|l(2)s2201|numbs	CG3346|Dmel\CG3346	Affinity Capture-Western	physical	Bhalerao S (2005)	16139215	7227	7227	Low Throughput	-	-	-	-	-	FLYBASE
2315548	34263	31394	60366	57911	Dmel_CG3779	Dmel_CG3346	numb	pon	CG3779|Dmel\CG3779|N7-1|Nb|d-numb|dNumb|l(2)03235|l(2)3235|l(2)s2201|numbs	CG3346|Dmel\CG3346	Affinity Capture-Western	physical	Ouyang Y (2011)	21558368	7227	7227	Low Throughput	-	-	-	-	-	FLYBASE
2315549	34263	31394	60366	57911	Dmel_CG3779	Dmel_CG3346	numb	pon	CG3779|Dmel\CG3779|N7-1|Nb|d-numb|dNumb|l(2)03235|l(2)3235|l(2)s2201|numbs	CG3346|Dmel\CG3346	Affinity Capture-Western	physical	Lu B (1998)	9790529	7227	7227	Low Throughput	-	-	-	-	-	FLYBASE
2315550	34263	31394	60366	57911	Dmel_CG3779	Dmel_CG3346	numb	pon	CG3779|Dmel\CG3779|N7-1|Nb|d-numb|dNumb|l(2)03235|l(2)3235|l(2)s2201|numbs	CG3346|Dmel\CG3346	Two-hybrid	physical	Lu B (1998)	9790529	7227	7227	Low Throughput	-	-	-	-	-	FLYBASE
2478677	34263	31394	60366	57911	Dmel_CG3779	Dmel_CG3346	numb	pon	CG3779|Dmel\CG3779|N7-1|Nb|d-numb|dNumb|l(2)03235|l(2)3235|l(2)s2201|numbs	CG3346|Dmel\CG3346	Co-fractionation	physical	Shan Z (2018)	29467404	7227	7227	Low Throughput	-	-	-	-	-	FLYBASE
2480887	34263	31394	60366	57911	Dmel_CG3779	Dmel_CG3346	numb	pon	CG3779|Dmel\CG3779|N7-1|Nb|d-numb|dNumb|l(2)03235|l(2)3235|l(2)s2201|numbs	CG3346|Dmel\CG3346	Reconstituted Complex	physical	Shan Z (2018)	29467404	7227	7227	Low Throughput	-	-	-	-	-	FLYBASE
