#BioGRID Interaction ID	Entrez Gene Interactor A	Entrez Gene Interactor B	BioGRID ID Interactor A	BioGRID ID Interactor B	Systematic Name Interactor A	Systematic Name Interactor B	Official Symbol Interactor A	Official Symbol Interactor B	Synonyms Interactor A	Synonyms Interactor B	Experimental System	Experimental System Type	Author	Pubmed ID	Organism Interactor A	Organism Interactor B	Throughput	Score	Modification	Phenotypes	Qualifications	Tags	Source Database
2298656	31262	35851	57793	61701	Dmel_CG2706	Dmel_CG2411	fs(1)Yb	ptc	CG2706|Dmel\CG2706|EG:95B7.8|YB|fs(1)M104|fs(1)Y[b]|nov	BcDNA:RH36596|CG2411|Conf|Dmel\CG2411|Ptc_Dm|Ptch|com4|dPtc|l(2)k02507|pat|rubr|tuf	Phenotypic Suppression	genetic	King FJ (2001)	11463375	7227	7227	Low Throughput	-	-	-	-	-	FLYBASE
2298657	31262	42737	57793	67682	Dmel_CG2706	Dmel_CG4637	fs(1)Yb	hh	CG2706|Dmel\CG2706|EG:95B7.8|YB|fs(1)M104|fs(1)Y[b]|nov	CG4637|Dmel\CG4637|Mir|Mrt|anon-WO0134654.19|anon-WO0182946.19|bar|bar-3|bar3|hg|l(3)hh|l(3)neo56|l(3)neo57	Phenotypic Suppression	genetic	King FJ (2001)	11463375	7227	7227	Low Throughput	-	-	-	-	-	FLYBASE
2312134	31262	38427	57793	63920	Dmel_CG2706	Dmel_CG11513	fs(1)Yb	armi	CG2706|Dmel\CG2706|EG:95B7.8|YB|fs(1)M104|fs(1)Y[b]|nov	APC16|CG11513|Dmel\CG11513	Affinity Capture-Western	physical	Olivieri D (2010)	20818334	7227	7227	Low Throughput	-	-	-	-	-	FLYBASE
2312135	31262	38427	57793	63920	Dmel_CG2706	Dmel_CG11513	fs(1)Yb	armi	CG2706|Dmel\CG2706|EG:95B7.8|YB|fs(1)M104|fs(1)Y[b]|nov	APC16|CG11513|Dmel\CG11513	Affinity Capture-Western	physical	Saito K (2010)	20966047	7227	7227	Low Throughput	-	-	-	-	-	FLYBASE
2319627	38427	31262	63920	57793	Dmel_CG11513	Dmel_CG2706	armi	fs(1)Yb	APC16|CG11513|Dmel\CG11513	CG2706|Dmel\CG2706|EG:95B7.8|YB|fs(1)M104|fs(1)Y[b]|nov	Affinity Capture-MS	physical	Saito K (2010)	20966047	7227	7227	High Throughput	-	-	-	-	-	FLYBASE
2319628	38427	31262	63920	57793	Dmel_CG11513	Dmel_CG2706	armi	fs(1)Yb	APC16|CG11513|Dmel\CG11513	CG2706|Dmel\CG2706|EG:95B7.8|YB|fs(1)M104|fs(1)Y[b]|nov	Affinity Capture-Western	physical	Saito K (2010)	20966047	7227	7227	Low Throughput	-	-	-	-	-	FLYBASE
2319629	38427	31262	63920	57793	Dmel_CG11513	Dmel_CG2706	armi	fs(1)Yb	APC16|CG11513|Dmel\CG11513	CG2706|Dmel\CG2706|EG:95B7.8|YB|fs(1)M104|fs(1)Y[b]|nov	Affinity Capture-Western	physical	Handler D (2011)	21863019	7227	7227	Low Throughput	-	-	-	-	-	FLYBASE
2324270	42695	31262	67644	57793	Dmel_CG4771	Dmel_CG2706	vret	fs(1)Yb	CG4771|Dmel\CG4771	CG2706|Dmel\CG2706|EG:95B7.8|YB|fs(1)M104|fs(1)Y[b]|nov	Affinity Capture-Western	physical	Handler D (2011)	21863019	7227	7227	Low Throughput	-	-	-	-	-	FLYBASE
2475112	31262	38427	57793	63920	Dmel_CG2706	Dmel_CG11513	fs(1)Yb	armi	CG2706|Dmel\CG2706|EG:95B7.8|YB|fs(1)M104|fs(1)Y[b]|nov	APC16|CG11513|Dmel\CG11513	Affinity Capture-Western	physical	Qi H (2011)	21106531	7227	7227	Low Throughput	-	-	-	-	-	FLYBASE
2480493	38427	31262	63920	57793	Dmel_CG11513	Dmel_CG2706	armi	fs(1)Yb	APC16|CG11513|Dmel\CG11513	CG2706|Dmel\CG2706|EG:95B7.8|YB|fs(1)M104|fs(1)Y[b]|nov	Affinity Capture-Western	physical	Qi H (2011)	21106531	7227	7227	Low Throughput	-	-	-	-	-	FLYBASE
2869049	31262	31262	57793	57793	Dmel_CG2706	Dmel_CG2706	fs(1)Yb	fs(1)Yb	CG2706|Dmel\CG2706|EG:95B7.8|YB|fs(1)M104|fs(1)Y[b]|nov	CG2706|Dmel\CG2706|EG:95B7.8|YB|fs(1)M104|fs(1)Y[b]|nov	Affinity Capture-Western	physical	Hirakata S (2019)	31267711	7227	7227	Low Throughput	-	-	-	-	-	FLYBASE
2869050	31262	38427	57793	63920	Dmel_CG2706	Dmel_CG11513	fs(1)Yb	armi	CG2706|Dmel\CG2706|EG:95B7.8|YB|fs(1)M104|fs(1)Y[b]|nov	APC16|CG11513|Dmel\CG11513	Affinity Capture-Western	physical	Ishizu H (2019)	31067466	7227	7227	Low Throughput	-	-	-	-	-	FLYBASE
2869051	31262	38427	57793	63920	Dmel_CG2706	Dmel_CG11513	fs(1)Yb	armi	CG2706|Dmel\CG2706|EG:95B7.8|YB|fs(1)M104|fs(1)Y[b]|nov	APC16|CG11513|Dmel\CG11513	Affinity Capture-Western	physical	Hirakata S (2019)	31267711	7227	7227	Low Throughput	-	-	-	-	-	FLYBASE
2870614	38427	31262	63920	57793	Dmel_CG11513	Dmel_CG2706	armi	fs(1)Yb	APC16|CG11513|Dmel\CG11513	CG2706|Dmel\CG2706|EG:95B7.8|YB|fs(1)M104|fs(1)Y[b]|nov	Affinity Capture-Western	physical	Hirakata S (2019)	31267711	7227	7227	Low Throughput	-	-	-	-	-	FLYBASE
