#BioGRID Interaction ID	Entrez Gene Interactor A	Entrez Gene Interactor B	BioGRID ID Interactor A	BioGRID ID Interactor B	Systematic Name Interactor A	Systematic Name Interactor B	Official Symbol Interactor A	Official Symbol Interactor B	Synonyms Interactor A	Synonyms Interactor B	Experimental System	Experimental System Type	Author	Pubmed ID	Organism Interactor A	Organism Interactor B	Throughput	Score	Modification	Phenotypes	Qualifications	Tags	Source Database
505222	7428	64344	113269	122143	-	-	VHL	HIF3A	HRCA1|RCA1|VHL1|pVHL	HIF-3A|IPAS|MOP7|PASD7|bHLHe17	Reconstituted Complex	physical	Maynard MA (2003)	12538644	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
505224	64344	7428	122143	113269	-	-	HIF3A	VHL	HIF-3A|IPAS|MOP7|PASD7|bHLHe17	HRCA1|RCA1|VHL1|pVHL	Affinity Capture-Western	physical	Maynard MA (2003)	12538644	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
683836	3320	64344	109552	122143	-	-	HSP90AA1	HIF3A	EL52|HSP86|HSP89A|HSP90A|HSP90N|HSPC1|HSPCA|HSPCAL1|HSPCAL4|HSPN|Hsp89|Hsp90|LAP-2|LAP2	HIF-3A|IPAS|MOP7|PASD7|bHLHe17	Reconstituted Complex	physical	Katschinski DM (2004)	15319539	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
1526920	64344	2034	122143	108348	-	-	HIF3A	EPAS1	HIF-3A|IPAS|MOP7|PASD7|bHLHe17	ECYT4|HIF2A|HLF|MOP2|PASD2|bHLHe73	Affinity Capture-Western	physical	Maynard MA (2007)	17998805	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
1526921	2034	64344	108348	122143	-	-	EPAS1	HIF3A	ECYT4|HIF2A|HLF|MOP2|PASD2|bHLHe73	HIF-3A|IPAS|MOP7|PASD7|bHLHe17	Affinity Capture-Western	physical	Maynard MA (2007)	17998805	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
2469025	3091	64344	109338	122143	-	-	HIF1A	HIF3A	HIF-1A|HIF-1alpha|HIF1|HIF1-ALPHA|MOP1|PASD8|bHLHe78	HIF-3A|IPAS|MOP7|PASD7|bHLHe17	Affinity Capture-Western	physical	Maynard MA (2005)	16126907	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
2469026	64344	405	122143	106898	-	-	HIF3A	ARNT	HIF-3A|IPAS|MOP7|PASD7|bHLHe17	HIF-1-beta|HIF-1beta|HIF1-beta|HIF1B|HIF1BETA|TANGO|bHLHe2	Affinity Capture-Western	physical	Maynard MA (2005)	16126907	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
2469027	405	64344	106898	122143	-	-	ARNT	HIF3A	HIF-1-beta|HIF-1beta|HIF1-beta|HIF1B|HIF1BETA|TANGO|bHLHe2	HIF-3A|IPAS|MOP7|PASD7|bHLHe17	Affinity Capture-Western	physical	Maynard MA (2005)	16126907	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
2515422	64344	405	122143	106898	-	-	HIF3A	ARNT	HIF-3A|IPAS|MOP7|PASD7|bHLHe17	HIF-1-beta|HIF-1beta|HIF1-beta|HIF1B|HIF1BETA|TANGO|bHLHe2	Affinity Capture-Western	physical	Jang MS (2005)	16182248	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
2515423	64344	3091	122143	109338	-	-	HIF3A	HIF1A	HIF-3A|IPAS|MOP7|PASD7|bHLHe17	HIF-1A|HIF-1alpha|HIF1|HIF1-ALPHA|MOP1|PASD8|bHLHe78	Affinity Capture-Western	physical	Jang MS (2005)	16182248	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
2532491	405	64344	106898	122143	-	-	ARNT	HIF3A	HIF-1-beta|HIF-1beta|HIF1-beta|HIF1B|HIF1BETA|TANGO|bHLHe2	HIF-3A|IPAS|MOP7|PASD7|bHLHe17	FRET	physical	Kim SH (2015)	26160453	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID

