#BioGRID Interaction ID	Entrez Gene Interactor A	Entrez Gene Interactor B	BioGRID ID Interactor A	BioGRID ID Interactor B	Systematic Name Interactor A	Systematic Name Interactor B	Official Symbol Interactor A	Official Symbol Interactor B	Synonyms Interactor A	Synonyms Interactor B	Experimental System	Experimental System Type	Author	Pubmed ID	Organism Interactor A	Organism Interactor B	Throughput	Score	Modification	Phenotypes	Qualifications	Tags	Source Database
566265	3396	65003	109622	122369	-	CGI-113	ICT1	MRPL11	DS-1|DS1|MRP-L58	L11MT|MRP-L11	Affinity Capture-MS	physical	Richter R (2010)	20186120	9606	9606	High Throughput	-	-	-	Exogenous expression of bait	-	BIOGRID
686491	8452	65003	114030	122369	-	CGI-113	CUL3	MRPL11	CUL-3|PHA2E	L11MT|MRP-L11	Affinity Capture-MS	physical	Bennett EJ (2010)	21145461	9606	9606	High Throughput	-	-	-	All data was filtered to a 1% false discovery rate (peptide level) prior to analysis using CompPASS to identify high confidence candidate interacting proteins|TAP-tagged Cul3|exogenous expression of bait	-	BIOGRID
688945	8454	65003	114032	122369	-	CGI-113	CUL1	MRPL11	-	L11MT|MRP-L11	Affinity Capture-MS	physical	Bennett EJ (2010)	21145461	9606	9606	High Throughput	-	-	-	All data was filtered to a 1% false discovery rate (peptide level) prior to analysis using CompPASS to identify high confidence candidate interacting proteins|TAP-tagged Cul1|exogenous expression of bait	-	BIOGRID
689647	10987	65003	116183	122369	-	CGI-113	COPS5	MRPL11	CSN5|JAB1|MOV-34|SGN5	L11MT|MRP-L11	Affinity Capture-MS	physical	Bennett EJ (2010)	21145461	9606	9606	High Throughput	-	-	-	All data was filtered to a 1% false discovery rate (peptide level) prior to analysis using CompPASS to identify high confidence candidate interacting proteins|TAP-tagged COPS5|exogenous expression of bait	-	BIOGRID
690582	55832	65003	120937	122369	-	CGI-113	CAND1	MRPL11	TIP120|TIP120A	L11MT|MRP-L11	Affinity Capture-MS	physical	Bennett EJ (2010)	21145461	9606	9606	High Throughput	-	-	-	All data was filtered to a 1% false discovery rate (peptide level) prior to analysis using CompPASS to identify high confidence candidate interacting proteins|TAP-tagged CAND1|exogenous expression of bait	-	BIOGRID
738095	65003	351	122369	106848	CGI-113	-	MRPL11	APP	L11MT|MRP-L11	AAA|ABETA|ABPP|AD1|APPI|CTFgamma|CVAP|PN-II|PN2	Reconstituted Complex	physical	Olah J (2011)	21832049	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
744796	65003	54948	122369	120287	CGI-113	PNAS-111	MRPL11	MRPL16	L11MT|MRP-L11	L16mt|MRP-L16	Co-fractionation	physical	Havugimana PC (2012)	22939629	9606	9606	High Throughput	0.865	-	-	Denoised score >= 0.75	-	BIOGRID
744849	65003	29088	122369	118857	CGI-113	HSPC145	MRPL11	MRPL15	L11MT|MRP-L11	L15mt|MRP-L15|MRP-L7|RPML7	Co-fractionation	physical	Havugimana PC (2012)	22939629	9606	9606	High Throughput	0.75	-	-	Denoised score >= 0.75	-	BIOGRID
745597	65003	54148	122369	119918	CGI-113	MSTP003	MRPL11	MRPL39	L11MT|MRP-L11	C21orf92|L39mt|MRP-L5|MRPL5|PRED22|PRED66|RPML5	Co-fractionation	physical	Havugimana PC (2012)	22939629	9606	9606	High Throughput	1.0	-	-	Denoised score >= 0.75	-	BIOGRID
745623	65003	28998	122369	118817	CGI-113	-	MRPL11	MRPL13	L11MT|MRP-L11	L13|L13A|L13mt|RPL13|RPML13	Co-fractionation	physical	Havugimana PC (2012)	22939629	9606	9606	High Throughput	0.991	-	-	Denoised score >= 0.75	-	BIOGRID
745678	51069	65003	119260	122369	CGI-22	CGI-113	MRPL2	MRPL11	MRP-L14|RPML14	L11MT|MRP-L11	Co-fractionation	physical	Havugimana PC (2012)	22939629	9606	9606	High Throughput	0.931	-	-	Denoised score >= 0.75	-	BIOGRID
745682	65003	6182	122369	112097	CGI-113	-	MRPL11	MRPL12	L11MT|MRP-L11	5c5-2|L12mt|MRP-L31/34|MRPL7|MRPL7/L12|RPML12	Co-fractionation	physical	Havugimana PC (2012)	22939629	9606	9606	High Throughput	0.922	-	-	Denoised score >= 0.75	-	BIOGRID
745809	65003	64976	122369	122364	CGI-113	-	MRPL11	MRPL40	L11MT|MRP-L11	MRP-L22|MRPL22|NLVCF|URIM	Co-fractionation	physical	Havugimana PC (2012)	22939629	9606	9606	High Throughput	0.839	-	-	Denoised score >= 0.75	-	BIOGRID
745827	65003	64983	122369	122368	CGI-113	HSPC283	MRPL11	MRPL32	L11MT|MRP-L11	L32mt|MRP-L32|bMRP-59b	Co-fractionation	physical	Havugimana PC (2012)	22939629	9606	9606	High Throughput	0.831	-	-	Denoised score >= 0.75	-	BIOGRID
745878	65008	65003	122371	122369	BM-022	CGI-113	MRPL1	MRPL11	BM022|L1MT|MRP-L1	L11MT|MRP-L11	Co-fractionation	physical	Havugimana PC (2012)	22939629	9606	9606	High Throughput	0.812	-	-	Denoised score >= 0.75	-	BIOGRID
