#BioGRID Interaction ID	Entrez Gene Interactor A	Entrez Gene Interactor B	BioGRID ID Interactor A	BioGRID ID Interactor B	Systematic Name Interactor A	Systematic Name Interactor B	Official Symbol Interactor A	Official Symbol Interactor B	Synonyms Interactor A	Synonyms Interactor B	Experimental System	Experimental System Type	Author	Pubmed ID	Organism Interactor A	Organism Interactor B	Throughput	Score	Modification	Phenotypes	Qualifications	Tags	Source Database
252018	79083	4644	122531	110728	UNQ8200	-	MLPH	MYO5A	SLAC2-A	GS1|MYH12|MYO5|MYR12	Affinity Capture-Western	physical	Passeron T (2004)	15059972	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
252470	4644	79083	110728	122531	-	UNQ8200	MYO5A	MLPH	GS1|MYH12|MYO5|MYR12	SLAC2-A	Affinity Capture-Western	physical	Fukuda M (2004)	14730011	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
252471	4644	79083	110728	122531	-	UNQ8200	MYO5A	MLPH	GS1|MYH12|MYO5|MYR12	SLAC2-A	Reconstituted Complex	physical	Fukuda M (2004)	14730011	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
277478	140735	4644	126680	110728	-	-	DYNLL2	MYO5A	DNCL1B|Dlc2|RSPH22	GS1|MYH12|MYO5|MYR12	Two-hybrid	physical	Naisbitt S (2000)	10844022	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
277482	9229	4644	114660	110728	-	-	DLGAP1	MYO5A	DAP-1|DAP-1-ALPHA|DAP-1-BETA|DAP1|DLGAP1A|DLGAP1B|GKAP|SAPAP1|hGKAP	GS1|MYH12|MYO5|MYR12	Reconstituted Complex	physical	Naisbitt S (2000)	10844022	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
277486	140735	4644	126680	110728	-	-	DYNLL2	MYO5A	DNCL1B|Dlc2|RSPH22	GS1|MYH12|MYO5|MYR12	Reconstituted Complex	physical	Naisbitt S (2000)	10844022	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
277487	8655	4644	114206	110728	-	-	DYNLL1	MYO5A	DLC1|DLC8|DNCL1|DNCLC1|LC8|LC8a|PIN|hdlc1	GS1|MYH12|MYO5|MYR12	Reconstituted Complex	physical	Naisbitt S (2000)	10844022	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
277490	4644	8655	110728	114206	-	-	MYO5A	DYNLL1	GS1|MYH12|MYO5|MYR12	DLC1|DLC8|DNCL1|DNCLC1|LC8|LC8a|PIN|hdlc1	Reconstituted Complex	physical	Naisbitt S (2000)	10844022	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
277491	4644	140735	110728	126680	-	-	MYO5A	DYNLL2	GS1|MYH12|MYO5|MYR12	DNCL1B|Dlc2|RSPH22	Reconstituted Complex	physical	Naisbitt S (2000)	10844022	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
277496	8655	4644	114206	110728	-	-	DYNLL1	MYO5A	DLC1|DLC8|DNCL1|DNCLC1|LC8|LC8a|PIN|hdlc1	GS1|MYH12|MYO5|MYR12	Affinity Capture-Western	physical	Naisbitt S (2000)	10844022	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
277500	140735	4644	126680	110728	-	-	DYNLL2	MYO5A	DNCL1B|Dlc2|RSPH22	GS1|MYH12|MYO5|MYR12	Affinity Capture-Western	physical	Naisbitt S (2000)	10844022	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
277507	22941	4644	116598	110728	-	-	SHANK2	MYO5A	AUTS17|CORTBP1|CTTNBP1|ProSAP1|SHANK|SPANK-3	GS1|MYH12|MYO5|MYR12	Affinity Capture-Western	physical	Naisbitt S (2000)	10844022	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
283029	4644	5873	110728	111811	-	-	MYO5A	RAB27A	GS1|MYH12|MYO5|MYR12	GS2|HsT18676|RAB27|RAM	Reconstituted Complex	physical	Wu X (2002)	12006666	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
286119	90427	4644	124716	110728	-	-	BMF	MYO5A	-	GS1|MYH12|MYO5|MYR12	Reconstituted Complex	physical	Puthalakath H (2001)	11546872	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
286120	4644	140735	110728	126680	-	-	MYO5A	DYNLL2	GS1|MYH12|MYO5|MYR12	DNCL1B|Dlc2|RSPH22	Affinity Capture-Western	physical	Puthalakath H (2001)	11546872	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
301010	4644	79083	110728	122531	-	UNQ8200	MYO5A	MLPH	GS1|MYH12|MYO5|MYR12	SLAC2-A	Reconstituted Complex	physical	Nagashima K (2002)	12062444	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
301011	5873	4644	111811	110728	-	-	RAB27A	MYO5A	GS2|HsT18676|RAB27|RAM	GS1|MYH12|MYO5|MYR12	Affinity Capture-Western	physical	Nagashima K (2002)	12062444	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
301013	4644	79083	110728	122531	-	UNQ8200	MYO5A	MLPH	GS1|MYH12|MYO5|MYR12	SLAC2-A	Affinity Capture-Western	physical	Nagashima K (2002)	12062444	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
615516	4644	11336	110728	116464	-	-	MYO5A	EXOC3	GS1|MYH12|MYO5|MYR12	SEC6|SEC6L1|Sec6p	Affinity Capture-Western	physical	Jin Y (2011)	22172676	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
615517	4644	60412	110728	121906	-	tcag7.1185	MYO5A	EXOC4	GS1|MYH12|MYO5|MYR12	SEC8|SEC8L1|Sec8p	Affinity Capture-Western	physical	Jin Y (2011)	22172676	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
