#BioGRID Interaction ID	Entrez Gene Interactor A	Entrez Gene Interactor B	BioGRID ID Interactor A	BioGRID ID Interactor B	Systematic Name Interactor A	Systematic Name Interactor B	Official Symbol Interactor A	Official Symbol Interactor B	Synonyms Interactor A	Synonyms Interactor B	Experimental System	Experimental System Type	Author	Pubmed ID	Organism Interactor A	Organism Interactor B	Throughput	Score	Modification	Phenotypes	Qualifications	Tags	Source Database
27012	10460	10142	115723	115445	-	-	TACC3	AKAP9	ERIC-1|ERIC1	AKAP-9|AKAP350|AKAP450|CG-NAP|HYPERION|LQT11|MU-RMS-40.16A|PPP1R45|PRKA9|YOTIAO	Two-hybrid	physical	Steadman BT (2002)	12015314	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
27518	8458	10460	114036	115723	-	-	TTF2	TACC3	HuF2|ZGRF6	ERIC-1|ERIC1	Two-hybrid	physical	Leonard D (2003)	12927788	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
428428	81565	10460	123527	115723	-	-	NDEL1	TACC3	EOPA|MITAP1|NDE1L1|NDE2|NUDEL	ERIC-1|ERIC1	Affinity Capture-Western	physical	Mori D (2007)	17060449	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
428429	10460	81565	115723	123527	-	-	TACC3	NDEL1	ERIC-1|ERIC1	EOPA|MITAP1|NDE1L1|NDE2|NUDEL	Affinity Capture-Western	physical	Mori D (2007)	17060449	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
428430	81565	10460	123527	115723	-	-	NDEL1	TACC3	EOPA|MITAP1|NDE1L1|NDE2|NUDEL	ERIC-1|ERIC1	Reconstituted Complex	physical	Mori D (2007)	17060449	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
428431	10460	81565	115723	123527	-	-	TACC3	NDEL1	ERIC-1|ERIC1	EOPA|MITAP1|NDE1L1|NDE2|NUDEL	Reconstituted Complex	physical	Mori D (2007)	17060449	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
480828	8932	10460	114445	115723	-	-	MBD2	TACC3	DMTase|NY-CO-41	ERIC-1|ERIC1	Two-hybrid	physical	Angrisano T (2006)	16410616	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
480829	10460	8932	115723	114445	-	-	TACC3	MBD2	ERIC-1|ERIC1	DMTase|NY-CO-41	Affinity Capture-Western	physical	Angrisano T (2006)	16410616	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
576355	21335	10460	203952	115723	-	-	Tacc3	TACC3	Aint|C86661|Eric1	ERIC-1|ERIC1	Affinity Capture-MS	physical	Hutchins JR (2010)	20360068	10090	9606	High Throughput	-	-	-	-	-	BIOGRID
576604	75786	10460	217741	115723	RP23-176N9.2	-	Ckap5	TACC3	3110043H24Rik|4930432B04Rik|D730027C18Rik|T25636|mKIAA0097	ERIC-1|ERIC1	Affinity Capture-MS	physical	Hutchins JR (2010)	20360068	10090	9606	High Throughput	-	-	-	-	-	BIOGRID
577242	52696	10460	206739	115723	-	-	Zwint	TACC3	2010007E07Rik|2600001N01Rik|D10Ertd749e|Zwint-1	ERIC-1|ERIC1	Affinity Capture-MS	physical	Hutchins JR (2010)	20360068	10090	9606	High Throughput	-	-	-	-	-	BIOGRID
577670	9793	10460	115137	115723	-	-	CKAP5	TACC3	CHTOG|MSPS|TOG|TOGp|ch-TOG	ERIC-1|ERIC1	Affinity Capture-MS	physical	Hutchins JR (2010)	20360068	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
645026	10460	2648	115723	108918	-	-	TACC3	KAT2A	ERIC-1|ERIC1	GCN5|GCN5L2|PCAF-b|hGCN5	Reconstituted Complex	physical	Gangisetty O (2004)	14767476	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
645032	8850	10460	114375	115723	-	-	KAT2B	TACC3	CAF|P/CAF|PCAF	ERIC-1|ERIC1	Affinity Capture-Western	physical	Gangisetty O (2004)	14767476	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
718814	8480	10460	114054	115723	RP4-800J21.2	-	RAE1	TACC3	MIG14|MRNP41|Mnrp41|dJ481F12.3|dJ800J21.1	ERIC-1|ERIC1	Affinity Capture-MS	physical	Blower MD (2005)	15851029	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
