#BioGRID Interaction ID	Entrez Gene Interactor A	Entrez Gene Interactor B	BioGRID ID Interactor A	BioGRID ID Interactor B	Systematic Name Interactor A	Systematic Name Interactor B	Official Symbol Interactor A	Official Symbol Interactor B	Synonyms Interactor A	Synonyms Interactor B	Experimental System	Experimental System Type	Author	Pubmed ID	Organism Interactor A	Organism Interactor B	Throughput	Score	Modification	Phenotypes	Qualifications	Tags	Source Database
242346	22827	10644	116502	115888	-	-	PUF60	IGF2BP2	FIR|RoBPI|SIAHBP1|VRJS	IMP-2|IMP2|VICKZ2	Affinity Capture-MS	physical	Ewing RM (2007)	17353931	9606	9606	High Throughput	0.371	-	-	Exogenous expression of bait	-	BIOGRID
424727	3178	10644	109420	115888	-	-	HNRNPA1	IGF2BP2	ALS19|ALS20|HNRPA1|HNRPA1L3|IBMPFD3|hnRNP A1|hnRNP-A1	IMP-2|IMP2|VICKZ2	Affinity Capture-MS	physical	Jeronimo C (2007)	17643375	9606	9606	High Throughput	0.999993	-	-	-	-	BIOGRID
424834	56257	10644	121122	115888	-	-	MEPCE	IGF2BP2	BCDIN3	IMP-2|IMP2|VICKZ2	Affinity Capture-MS	physical	Jeronimo C (2007)	17643375	9606	9606	High Throughput	0.997458	-	-	-	-	BIOGRID
424871	1025	10644	107459	115888	RP11-228B15.5	-	CDK9	IGF2BP2	C-2k|CDC2L4|CTK1|PITALRE|TAK	IMP-2|IMP2|VICKZ2	Affinity Capture-MS	physical	Jeronimo C (2007)	17643375	9606	9606	High Throughput	0.995557	-	-	-	-	BIOGRID
564213	4609	10644	110694	115888	-	-	MYC	IGF2BP2	MRTL|MYCC|bHLHe39|c-Myc	IMP-2|IMP2|VICKZ2	Affinity Capture-MS	physical	Koch HB (2007)	17314511	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
566249	3396	10644	109622	115888	-	-	ICT1	IGF2BP2	DS-1|DS1|MRP-L58	IMP-2|IMP2|VICKZ2	Affinity Capture-MS	physical	Richter R (2010)	20186120	9606	9606	High Throughput	-	-	-	Exogenous expression of bait	-	BIOGRID
567881	26415	10644	204968	115888	RP24-313J18.2	-	Mapk13	IGF2BP2	SAPK4|Serk4	IMP-2|IMP2|VICKZ2	Affinity Capture-MS	physical	Sumara G (2009)	19135240	10090	9606	Low Throughput	-	-	-	-	-	BIOGRID
663468	1994	10644	108309	115888	-	-	ELAVL1	IGF2BP2	ELAV1|HUR|Hua|MelG	IMP-2|IMP2|VICKZ2	Affinity Capture-RNA	physical	Abdelmohsen K (2009)	19322201	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
665631	408	10644	106901	115888	-	-	ARRB1	IGF2BP2	ARB1|ARR1	IMP-2|IMP2|VICKZ2	Affinity Capture-MS	physical	Xiao K (2007)	17620599	9606	9606	High Throughput	-	-	-	exogenous expression of bait	-	BIOGRID
667524	51547	10644	119602	115888	-	-	SIRT7	IGF2BP2	SIR2L7	IMP-2|IMP2|VICKZ2	Affinity Capture-MS	physical	Tsai YC (2012)	22586326	9606	9606	High Throughput	-	-	-	exogenous expression of bait|figure 2, table S1.	-	BIOGRID
687066	8452	10644	114030	115888	-	-	CUL3	IGF2BP2	CUL-3|PHA2E	IMP-2|IMP2|VICKZ2	Affinity Capture-MS	physical	Bennett EJ (2010)	21145461	9606	9606	High Throughput	-	-	-	All data was filtered to a 1% false discovery rate (peptide level) prior to analysis using CompPASS to identify high confidence candidate interacting proteins|TAP-tagged Cul3|exogenous expression of bait	-	BIOGRID
