#BioGRID Interaction ID	Entrez Gene Interactor A	Entrez Gene Interactor B	BioGRID ID Interactor A	BioGRID ID Interactor B	Systematic Name Interactor A	Systematic Name Interactor B	Official Symbol Interactor A	Official Symbol Interactor B	Synonyms Interactor A	Synonyms Interactor B	Experimental System	Experimental System Type	Author	Pubmed ID	Organism Interactor A	Organism Interactor B	Throughput	Score	Modification	Phenotypes	Qualifications	Tags	Source Database
274822	387	56419	106880	207965	-	-	RHOA	Diap3	ARH12|ARHA|RHO12|RHOH12	4930417P13Rik|Dia2|Diaph3|Drf3|mDia2|mKIAA4117|p134MDia2	Two-hybrid	physical	Alberts AS (1998)	9535835	9606	10090	Low Throughput	-	-	-	-	-	BIOGRID
274894	998	56419	107433	207965	RP1-224A6.5	-	CDC42	Diap3	CDC42Hs|G25K	4930417P13Rik|Dia2|Diaph3|Drf3|mDia2|mKIAA4117|p134MDia2	Two-hybrid	physical	Alberts AS (1998)	9535835	9606	10090	Low Throughput	-	-	-	-	-	BIOGRID
274899	856294	56419	36338	207965	YPR165W	-	RHO1	Diap3	Rho family GTPase RHO1|L000001630	4930417P13Rik|Dia2|Diaph3|Drf3|mDia2|mKIAA4117|p134MDia2	Two-hybrid	physical	Alberts AS (1998)	9535835	559292	10090	Low Throughput	-	-	-	-	-	BIOGRID
274909	56419	387	207965	106880	-	-	Diap3	RHOA	4930417P13Rik|Dia2|Diaph3|Drf3|mDia2|mKIAA4117|p134MDia2	ARH12|ARHA|RHO12|RHOH12	Reconstituted Complex	physical	Alberts AS (1998)	9535835	10090	9606	Low Throughput	-	-	-	-	-	BIOGRID
274910	56419	998	207965	107433	-	RP1-224A6.5	Diap3	CDC42	4930417P13Rik|Dia2|Diaph3|Drf3|mDia2|mKIAA4117|p134MDia2	CDC42Hs|G25K	Reconstituted Complex	physical	Alberts AS (1998)	9535835	10090	9606	Low Throughput	-	-	-	-	-	BIOGRID
2679672	56036	56419	207786	207965	RP23-242K15.10-002	-	Ccnl2	Diap3	1700010A01Rik|1810019L15Rik|2010319M22Rik|AA409936|AW261738|Ania-6b|HCLA-150|Pcee|SB138	4930417P13Rik|Dia2|Diaph3|Drf3|mDia2|mKIAA4117|p134MDia2	Co-fractionation	physical	Pourhaghighi R (2020)	32325033	10090	10090	High Throughput	0.878	-	-	High confidence interactions had an EPIC Score >= 0.683	-	BIOGRID
2679673	208846	56419	229018	207965	-	-	Daam1	Diap3	-	4930417P13Rik|Dia2|Diaph3|Drf3|mDia2|mKIAA4117|p134MDia2	Co-fractionation	physical	Pourhaghighi R (2020)	32325033	10090	10090	High Throughput	0.937	-	-	High confidence interactions had an EPIC Score >= 0.683	-	BIOGRID
2679674	76441	56419	218129	207965	-	-	Daam2	Diap3	2310016D11Rik|AI843643|AW557870	4930417P13Rik|Dia2|Diaph3|Drf3|mDia2|mKIAA4117|p134MDia2	Co-fractionation	physical	Pourhaghighi R (2020)	32325033	10090	10090	High Throughput	0.907	-	-	High confidence interactions had an EPIC Score >= 0.683	-	BIOGRID
2679675	13367	56419	199221	207965	-	-	Diap1	Diap3	D18Wsu154e|Dia1|Diaph1|Drf1|mKIAA4062|p140mDia	4930417P13Rik|Dia2|Diaph3|Drf3|mDia2|mKIAA4117|p134MDia2	Co-fractionation	physical	Pourhaghighi R (2020)	32325033	10090	10090	High Throughput	0.808	-	-	High confidence interactions had an EPIC Score >= 0.683	-	BIOGRID
2679676	54004	56419	207557	207965	-	-	Diap2	Diap3	Dia3|Diaph2|Drf2|E430022I22Rik	4930417P13Rik|Dia2|Diaph3|Drf3|mDia2|mKIAA4117|p134MDia2	Co-fractionation	physical	Pourhaghighi R (2020)	32325033	10090	10090	High Throughput	0.813	-	-	High confidence interactions had an EPIC Score >= 0.683	-	BIOGRID
2679677	229474	56419	230846	207965	-	-	Fhdc1	Diap3	6330505N24Rik|Gm126	4930417P13Rik|Dia2|Diaph3|Drf3|mDia2|mKIAA4117|p134MDia2	Co-fractionation	physical	Pourhaghighi R (2020)	32325033	10090	10090	High Throughput	0.855	-	-	High confidence interactions had an EPIC Score >= 0.683	-	BIOGRID
2679678	14260	56419	199711	207965	RP23-248J10.1	-	Fmn1	Diap3	Fmn|ld	4930417P13Rik|Dia2|Diaph3|Drf3|mDia2|mKIAA4117|p134MDia2	Co-fractionation	physical	Pourhaghighi R (2020)	32325033	10090	10090	High Throughput	0.816	-	-	High confidence interactions had an EPIC Score >= 0.683	-	BIOGRID
2679679	54418	56419	207654	207965	-	-	Fmn2	Diap3	AU024104	4930417P13Rik|Dia2|Diaph3|Drf3|mDia2|mKIAA4117|p134MDia2	Co-fractionation	physical	Pourhaghighi R (2020)	32325033	10090	10090	High Throughput	0.843	-	-	High confidence interactions had an EPIC Score >= 0.683	-	BIOGRID
2679680	57778	56419	208325	207965	RP23-341C5.2	-	Fmnl1	Diap3	8030453N10Rik|AI553564|Fmnl|Fnrl|Frls	4930417P13Rik|Dia2|Diaph3|Drf3|mDia2|mKIAA4117|p134MDia2	Co-fractionation	physical	Pourhaghighi R (2020)	32325033	10090	10090	High Throughput	0.966	-	-	High confidence interactions had an EPIC Score >= 0.683	-	BIOGRID
2679681	71409	56419	214689	207965	RP23-282A22.1	-	Fmnl2	Diap3	5430425K04Rik|Man	4930417P13Rik|Dia2|Diaph3|Drf3|mDia2|mKIAA4117|p134MDia2	Co-fractionation	physical	Pourhaghighi R (2020)	32325033	10090	10090	High Throughput	0.953	-	-	High confidence interactions had an EPIC Score >= 0.683	-	BIOGRID
2679682	22379	56419	204547	207965	-	-	Fmnl3	Diap3	2700073B04Rik|FBP11|Wbp3|mKIAA2014	4930417P13Rik|Dia2|Diaph3|Drf3|mDia2|mKIAA4117|p134MDia2	Co-fractionation	physical	Pourhaghighi R (2020)	32325033	10090	10090	High Throughput	0.97	-	-	High confidence interactions had an EPIC Score >= 0.683	-	BIOGRID
2679683	18587	56419	202084	207965	-	-	Pde6b	Diap3	Pdeb|r|rd|rd-1|rd1|rd10	4930417P13Rik|Dia2|Diaph3|Drf3|mDia2|mKIAA4117|p134MDia2	Co-fractionation	physical	Pourhaghighi R (2020)	32325033	10090	10090	High Throughput	0.767	-	-	High confidence interactions had an EPIC Score >= 0.683	-	BIOGRID
2679684	67229	56419	212033	207965	RP23-198D21.4	-	Prpf18	Diap3	2810441A10Rik	4930417P13Rik|Dia2|Diaph3|Drf3|mDia2|mKIAA4117|p134MDia2	Co-fractionation	physical	Pourhaghighi R (2020)	32325033	10090	10090	High Throughput	0.961	-	-	High confidence interactions had an EPIC Score >= 0.683	-	BIOGRID
3406325	72512	56419	215410	207965	-	-	Tmem173	Diap3	2610307O08Rik|ERIS|MPYS|Mita|STING	4930417P13Rik|Dia2|Diaph3|Drf3|mDia2|mKIAA4117|p134MDia2	Proximity Label-MS	physical	Motani K (2020)	32554809	10090	10090	High Throughput	-	-	-	TurboID fused-STING, peptides were filtered at a false discovery rate (FDR) of 1%.	-	BIOGRID

