#BioGRID Interaction ID	Entrez Gene Interactor A	Entrez Gene Interactor B	BioGRID ID Interactor A	BioGRID ID Interactor B	Systematic Name Interactor A	Systematic Name Interactor B	Official Symbol Interactor A	Official Symbol Interactor B	Synonyms Interactor A	Synonyms Interactor B	Experimental System	Experimental System Type	Author	Pubmed ID	Organism Interactor A	Organism Interactor B	Throughput	Score	Modification	Phenotypes	Qualifications	Tags	Source Database
23642	167227	5689	127944	111662	-	-	DCP2	PSMB1	NUDT20	HC5|PMSB1|PSC5	Two-hybrid	physical	Lehner B (2004)	15231747	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
253661	5976	167227	111908	127944	-	-	UPF1	DCP2	HUPF1|NORF1|RENT1|pNORF1|smg-2	NUDT20	Affinity Capture-Western	physical	Lejeune F (2003)	14527413	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
253669	26019	167227	117490	127944	-	-	UPF2	DCP2	HUPF2|RENT2|smg-3	NUDT20	Affinity Capture-Western	physical	Lejeune F (2003)	14527413	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
253677	65110	167227	122397	127944	RP11-569D9.1	-	UPF3A	DCP2	HUPF3A|RENT3A|UPF3	NUDT20	Affinity Capture-Western	physical	Lejeune F (2003)	14527413	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
305872	167227	55802	127944	120914	-	-	DCP2	DCP1A	NUDT20	HSA275986|Nbla00360|SMAD4IP1|SMIF	Affinity Capture-Western	physical	Lykke-Andersen J (2002)	12417715	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
305873	167227	55802	127944	120914	-	-	DCP2	DCP1A	NUDT20	HSA275986|Nbla00360|SMAD4IP1|SMIF	Reconstituted Complex	physical	Lykke-Andersen J (2002)	12417715	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
305874	55802	167227	120914	127944	-	-	DCP1A	DCP2	HSA275986|Nbla00360|SMAD4IP1|SMIF	NUDT20	Affinity Capture-Western	physical	Lykke-Andersen J (2002)	12417715	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
305876	5976	167227	111908	127944	-	-	UPF1	DCP2	HUPF1|NORF1|RENT1|pNORF1|smg-2	NUDT20	Affinity Capture-Western	physical	Lykke-Andersen J (2002)	12417715	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
305882	167227	5976	127944	111908	-	-	DCP2	UPF1	NUDT20	HUPF1|NORF1|RENT1|pNORF1|smg-2	Affinity Capture-Western	physical	Lykke-Andersen J (2002)	12417715	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
576333	234699	167227	231562	127944	-	-	Edc4	DCP2	BC022641	NUDT20	Affinity Capture-MS	physical	Hutchins JR (2010)	20360068	10090	9606	High Throughput	-	-	-	-	-	BIOGRID
590648	23644	167227	117171	127944	-	-	EDC4	DCP2	GE1|Ge-1|HEDL5|HEDLS|RCD-8|RCD8	NUDT20	Two-hybrid	physical	Bloch DB (2011)	21672539	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
590650	23644	167227	117171	127944	-	-	EDC4	DCP2	GE1|Ge-1|HEDL5|HEDLS|RCD-8|RCD8	NUDT20	Reconstituted Complex	physical	Bloch DB (2011)	21672539	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
664048	1994	167227	108309	127944	-	-	ELAVL1	DCP2	ELAV1|HUR|Hua|MelG	NUDT20	Affinity Capture-RNA	physical	Abdelmohsen K (2009)	19322201	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
719271	167227	6737	127944	112615	-	-	DCP2	TRIM21	NUDT20	RNF81|RO52|Ro/SSA|SSA|SSA1	Affinity Capture-Western	physical	Yamochi T (2008)	18361920	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
719272	167227	6737	127944	112615	-	-	DCP2	TRIM21	NUDT20	RNF81|RO52|Ro/SSA|SSA|SSA1	Reconstituted Complex	physical	Yamochi T (2008)	18361920	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
719273	6737	167227	112615	127944	-	-	TRIM21	DCP2	RNF81|RO52|Ro/SSA|SSA|SSA1	NUDT20	Affinity Capture-Western	physical	Yamochi T (2008)	18361920	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
823615	55802	167227	120914	127944	-	-	DCP1A	DCP2	HSA275986|Nbla00360|SMAD4IP1|SMIF	NUDT20	Affinity Capture-Western	physical	Fenger-Gron M (2005)	16364915	9606	9606	Low Throughput	-	-	-	figure 2.|figure S2.	-	BIOGRID
823617	23644	167227	117171	127944	-	-	EDC4	DCP2	GE1|Ge-1|HEDL5|HEDLS|RCD-8|RCD8	NUDT20	Affinity Capture-Western	physical	Fenger-Gron M (2005)	16364915	9606	9606	Low Throughput	-	-	-	figure 2.|figure S4.	-	BIOGRID
823618	7538	167227	113370	127944	-	-	ZFP36	DCP2	G0S24|GOS24|NUP475|RNF162A|TIS11|TTP|zfp-36	NUDT20	Affinity Capture-Western	physical	Fenger-Gron M (2005)	16364915	9606	9606	Low Throughput	-	-	-	figure 5.|figure 6.	-	BIOGRID
823619	5976	167227	111908	127944	-	-	UPF1	DCP2	HUPF1|NORF1|RENT1|pNORF1|smg-2	NUDT20	Affinity Capture-Western	physical	Fenger-Gron M (2005)	16364915	9606	9606	Low Throughput	-	-	-	figure 5.|figure 6.	-	BIOGRID
823629	80153	167227	123144	127944	PP844	-	EDC3	DCP2	LSM16|YJDC|YJEFN2	NUDT20	Affinity Capture-Western	physical	Fenger-Gron M (2005)	16364915	9606	9606	Low Throughput	-	-	-	figure 6.	-	BIOGRID
823630	167227	55802	127944	120914	-	-	DCP2	DCP1A	NUDT20	HSA275986|Nbla00360|SMAD4IP1|SMIF	Affinity Capture-Western	physical	Fenger-Gron M (2005)	16364915	9606	9606	Low Throughput	-	-	-	figure S2.	-	BIOGRID
823631	167227	196513	127944	128216	-	-	DCP2	DCP1B	NUDT20	DCP1|hDcp1b	Affinity Capture-Western	physical	Fenger-Gron M (2005)	16364915	9606	9606	Low Throughput	-	-	-	figure S2.	-	BIOGRID
823637	55802	167227	120914	127944	-	-	DCP1A	DCP2	HSA275986|Nbla00360|SMAD4IP1|SMIF	NUDT20	Reconstituted Complex	physical	Fenger-Gron M (2005)	16364915	9606	9606	Low Throughput	-	-	-	figure S3.	-	BIOGRID
823640	167227	23644	127944	117171	-	-	DCP2	EDC4	NUDT20	GE1|Ge-1|HEDL5|HEDLS|RCD-8|RCD8	Affinity Capture-Western	physical	Fenger-Gron M (2005)	16364915	9606	9606	Low Throughput	-	-	-	figure S4.	-	BIOGRID
823644	80153	167227	123144	127944	PP844	-	EDC3	DCP2	LSM16|YJDC|YJEFN2	NUDT20	Co-fractionation	physical	Fenger-Gron M (2005)	16364915	9606	9606	Low Throughput	-	-	-	figure S7.	-	BIOGRID
856333	64210	167227	122103	127944	RP11-452K12.5	-	MMS19	DCP2	MET18|MMS19L|hMMS19	NUDT20	Affinity Capture-MS	physical	Stehling O (2012)	22678362	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
905413	167227	23649	127944	117176	-	-	DCP2	POLA2	NUDT20	-	Two-hybrid	physical	Lehner B (2004)	15231747	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
905414	167227	55577	127944	120728	-	-	DCP2	NAGK	NUDT20	GNK|HSA242910	Two-hybrid	physical	Lehner B (2004)	15231747	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
905415	167227	23644	127944	117171	-	-	DCP2	EDC4	NUDT20	GE1|Ge-1|HEDL5|HEDLS|RCD-8|RCD8	Two-hybrid	physical	Lehner B (2004)	15231747	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
905463	196513	167227	128216	127944	-	-	DCP1B	DCP2	DCP1|hDcp1b	NUDT20	Two-hybrid	physical	Lehner B (2004)	15231747	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
905662	167227	55802	127944	120914	-	-	DCP2	DCP1A	NUDT20	HSA275986|Nbla00360|SMAD4IP1|SMIF	Two-hybrid	physical	Lehner B (2004)	15231747	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
905678	167227	196513	127944	128216	-	-	DCP2	DCP1B	NUDT20	DCP1|hDcp1b	Two-hybrid	physical	Lehner B (2004)	15231747	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
905684	26019	167227	117490	127944	-	-	UPF2	DCP2	HUPF2|RENT2|smg-3	NUDT20	Two-hybrid	physical	Lehner B (2004)	15231747	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
941606	167227	6059	127944	111986	-	OK/SW-cl.40	DCP2	ABCE1	NUDT20	ABC38|OABP|RLI|RNASEL1|RNASELI|RNS4I	Affinity Capture-MS	physical	Li S (2014)	24778252	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
941607	167227	90806	127944	124763	-	-	DCP2	ANGEL2	NUDT20	Ccr4d|KIAA0759L	Affinity Capture-MS	physical	Li S (2014)	24778252	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
941608	167227	8907	127944	114421	-	-	DCP2	AP1M1	NUDT20	AP47|CLAPM2|CLTNM|MU-1A	Affinity Capture-MS	physical	Li S (2014)	24778252	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
941609	167227	64860	127944	122333	-	RP4-769N13.3	DCP2	ARMCX5	NUDT20	GASP5	Affinity Capture-MS	physical	Li S (2014)	24778252	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
941610	167227	824	127944	107274	-	-	DCP2	CAPN2	NUDT20	CANP2|CANPL2|CANPml|mCANP	Affinity Capture-MS	physical	Li S (2014)	24778252	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
941611	167227	55157	127944	120459	-	RP3-383J4.2	DCP2	DARS2	NUDT20	ASPRS|LBSL|MT-ASPRS	Affinity Capture-MS	physical	Li S (2014)	24778252	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
941612	167227	55802	127944	120914	-	-	DCP2	DCP1A	NUDT20	HSA275986|Nbla00360|SMAD4IP1|SMIF	Affinity Capture-MS	physical	Li S (2014)	24778252	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
941613	167227	196513	127944	128216	-	-	DCP2	DCP1B	NUDT20	DCP1|hDcp1b	Affinity Capture-MS	physical	Li S (2014)	24778252	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
941614	167227	23644	127944	117171	-	-	DCP2	EDC4	NUDT20	GE1|Ge-1|HEDL5|HEDLS|RCD-8|RCD8	Affinity Capture-MS	physical	Li S (2014)	24778252	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
941615	167227	1984	127944	108299	-	-	DCP2	EIF5A	NUDT20	EIF-5A|EIF5A1|eIF5AI	Affinity Capture-MS	physical	Li S (2014)	24778252	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
941616	167227	55140	127944	120444	-	-	DCP2	ELP3	NUDT20	KAT9	Affinity Capture-MS	physical	Li S (2014)	24778252	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
941617	167227	2177	127944	108474	-	-	DCP2	FANCD2	NUDT20	FA-D2|FA4|FACD|FAD|FAD2|FANCD	Affinity Capture-MS	physical	Li S (2014)	24778252	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
941618	167227	26273	127944	117657	-	-	DCP2	FBXO3	NUDT20	FBA|FBX3	Affinity Capture-MS	physical	Li S (2014)	24778252	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
941619	167227	2617	127944	108887	-	-	DCP2	GARS	NUDT20	CMT2D|DSMAV|GlyRS|HMN5|SMAD1	Affinity Capture-MS	physical	Li S (2014)	24778252	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
941620	167227	2673	127944	108941	-	-	DCP2	GFPT1	NUDT20	CMSTA1|GFA|GFAT|GFAT 1|GFAT1|GFAT1m|GFPT|GFPT1L|MSLG	Affinity Capture-MS	physical	Li S (2014)	24778252	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
941621	167227	9945	127944	115270	-	-	DCP2	GFPT2	NUDT20	GFAT2	Affinity Capture-MS	physical	Li S (2014)	24778252	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
941622	167227	2677	127944	108945	-	-	DCP2	GGCX	NUDT20	VKCFD1	Affinity Capture-MS	physical	Li S (2014)	24778252	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
941623	167227	2686	127944	108953	-	RP1-18C9.2	DCP2	GGT7	NUDT20	D20S101|GGT4|GGTL3|GGTL5|dJ18C9.2	Affinity Capture-MS	physical	Li S (2014)	24778252	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
941624	167227	2746	127944	109008	-	-	DCP2	GLUD1	NUDT20	GDH|GDH1|GLUD	Affinity Capture-MS	physical	Li S (2014)	24778252	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
941625	167227	54676	127944	120097	-	RP11-22I24.2	DCP2	GTPBP2	NUDT20	-	Affinity Capture-MS	physical	Li S (2014)	24778252	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
941626	167227	3416	127944	109642	-	RP11-366I13.1	DCP2	IDE	NUDT20	INSULYSIN	Affinity Capture-MS	physical	Li S (2014)	24778252	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
941627	167227	8518	127944	114090	-	RP11-3J11.4	DCP2	IKBKAP	NUDT20	DYS|ELP1|FD|IKAP|IKI3|TOT1	Affinity Capture-MS	physical	Li S (2014)	24778252	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
941628	167227	25896	127944	117404	-	-	DCP2	INTS7	NUDT20	C1orf73|INT7	Affinity Capture-MS	physical	Li S (2014)	24778252	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
941629	167227	5213	127944	111234	-	-	DCP2	PFKM	NUDT20	ATP-PFK|GSD7|PFK-1|PFK1|PFKA|PFKX|PPP1R122	Affinity Capture-MS	physical	Li S (2014)	24778252	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
941630	167227	5238	127944	111257	-	-	DCP2	PGM3	NUDT20	AGM1|IMD23|PAGM|PGM 3	Affinity Capture-MS	physical	Li S (2014)	24778252	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
941631	167227	5257	127944	111275	-	-	DCP2	PHKB	NUDT20	-	Affinity Capture-MS	physical	Li S (2014)	24778252	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
941632	167227	10714	127944	115940	-	-	DCP2	POLD3	NUDT20	P66|P68|PPP1R128	Affinity Capture-MS	physical	Li S (2014)	24778252	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
