#BioGRID Interaction ID	Entrez Gene Interactor A	Entrez Gene Interactor B	BioGRID ID Interactor A	BioGRID ID Interactor B	Systematic Name Interactor A	Systematic Name Interactor B	Official Symbol Interactor A	Official Symbol Interactor B	Synonyms Interactor A	Synonyms Interactor B	Experimental System	Experimental System Type	Author	Pubmed ID	Organism Interactor A	Organism Interactor B	Throughput	Score	Modification	Phenotypes	Qualifications	Tags	Source Database
556398	7014	9665	112873	115020	-	-	TERF2	KIAA0430	TRBF2|TRF2	LKAP|MARF1|PPP1R34	Affinity Capture-MS	physical	Giannone RJ (2010)	20811636	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
662959	1994	9665	108309	115020	-	-	ELAVL1	KIAA0430	ELAV1|HUR|Hua|MelG	LKAP|MARF1|PPP1R34	Affinity Capture-RNA	physical	Abdelmohsen K (2009)	19322201	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
836788	100009298	9665	1172319	115020	-	-	PPP1CA	KIAA0430	PPP1A	LKAP|MARF1|PPP1R34	Affinity Capture-Western	physical	Hendrickx A (2009)	19389623	9986	9606	Low Throughput	-	-	-	-	-	BIOGRID
1449581	1213	9665	107623	115020	-	-	CLTC	KIAA0430	CHC|CHC17|CLH-17|CLTCL2|Hc	LKAP|MARF1|PPP1R34	Affinity Capture-MS	physical	Hein MY (2015)	26496610	9606	9606	High Throughput	-	-	-	interaction detected by quantitative BAC-GFP interactomics (QUBIC)	-	BIOGRID
1449582	1399	9665	107789	115020	-	-	CRKL	KIAA0430	-	LKAP|MARF1|PPP1R34	Affinity Capture-MS	physical	Hein MY (2015)	26496610	9606	9606	High Throughput	-	-	-	interaction detected by quantitative BAC-GFP interactomics (QUBIC)	-	BIOGRID
1449583	51512	9665	119580	115020	RP5-1163J1.2	-	GTSE1	KIAA0430	B99	LKAP|MARF1|PPP1R34	Affinity Capture-MS	physical	Hein MY (2015)	26496610	9606	9606	High Throughput	-	-	-	interaction detected by quantitative BAC-GFP interactomics (QUBIC)	-	BIOGRID
1449584	55802	9665	120914	115020	-	-	DCP1A	KIAA0430	HSA275986|Nbla00360|SMAD4IP1|SMIF	LKAP|MARF1|PPP1R34	Affinity Capture-MS	physical	Hein MY (2015)	26496610	9606	9606	High Throughput	-	-	-	interaction detected by quantitative BAC-GFP interactomics (QUBIC)	-	BIOGRID
1464286	234699	9665	231562	115020	-	-	Edc4	KIAA0430	BC022641	LKAP|MARF1|PPP1R34	Affinity Capture-MS	physical	Hein MY (2015)	26496610	10090	9606	High Throughput	-	-	-	interaction detected by quantitative BAC-GFP interactomics (QUBIC)	-	BIOGRID
2328564	9931	9665	115258	115020	-	-	HELZ	KIAA0430	DHRC|DRHC|HUMORF5	LKAP|MARF1|PPP1R34	Affinity Capture-MS	physical	Boldt K (2016)	27173435	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
2328623	9665	11188	115020	116358	-	-	KIAA0430	NISCH	LKAP|MARF1|PPP1R34	I-1|IR1|IRAS|hIRAS	Affinity Capture-MS	physical	Boldt K (2016)	27173435	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
2328784	134548	9665	126407	115020	-	-	SOWAHA	KIAA0430	ANKRD43	LKAP|MARF1|PPP1R34	Affinity Capture-MS	physical	Boldt K (2016)	27173435	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
2328850	56478	9665	121148	115020	RP11-247I13.2	-	EIF4ENIF1	KIAA0430	4E-T|Clast4	LKAP|MARF1|PPP1R34	Affinity Capture-MS	physical	Boldt K (2016)	27173435	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
2328852	9924	9665	115252	115020	-	-	PAN2	KIAA0430	USP52	LKAP|MARF1|PPP1R34	Affinity Capture-MS	physical	Boldt K (2016)	27173435	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
2328935	9665	84333	115020	124057	-	-	KIAA0430	PCGF5	LKAP|MARF1|PPP1R34	RNF159	Affinity Capture-MS	physical	Boldt K (2016)	27173435	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
2329096	9665	10336	115020	115618	-	-	KIAA0430	PCGF3	LKAP|MARF1|PPP1R34	DONG1|RNF3|RNF3A	Affinity Capture-MS	physical	Boldt K (2016)	27173435	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
2329188	1487	9665	107869	115020	-	-	CTBP1	KIAA0430	BARS	LKAP|MARF1|PPP1R34	Affinity Capture-MS	physical	Boldt K (2016)	27173435	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
2329424	1387	9665	107777	115020	-	-	CREBBP	KIAA0430	CBP|KAT3A|RSTS	LKAP|MARF1|PPP1R34	Affinity Capture-MS	physical	Boldt K (2016)	27173435	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
2330014	9665	85379	115020	124506	-	CTA-221G9.4	KIAA0430	KIAA1671	LKAP|MARF1|PPP1R34	-	Affinity Capture-MS	physical	Boldt K (2016)	27173435	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
2330036	9665	1820	115020	108154	-	-	KIAA0430	ARID3A	LKAP|MARF1|PPP1R34	BRIGHT|DRIL1|DRIL3|E2FBP1	Affinity Capture-MS	physical	Boldt K (2016)	27173435	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
2330465	100101267	9665	755836	115020	-	-	POM121C	KIAA0430	POM121-2	LKAP|MARF1|PPP1R34	Affinity Capture-MS	physical	Boldt K (2016)	27173435	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
2330643	2077	9665	108388	115020	-	-	ERF	KIAA0430	CRS4|PE-2|PE2	LKAP|MARF1|PPP1R34	Affinity Capture-MS	physical	Boldt K (2016)	27173435	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
2330696	56905	9665	121235	115020	FP6578	-	C15orf39	KIAA0430	-	LKAP|MARF1|PPP1R34	Affinity Capture-MS	physical	Boldt K (2016)	27173435	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
2330751	10762	9665	115982	115020	CTA-268H5.7	-	NUP50	KIAA0430	NPAP60|NPAP60L	LKAP|MARF1|PPP1R34	Affinity Capture-MS	physical	Boldt K (2016)	27173435	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
2330801	64319	9665	122132	115020	-	-	FBRS	KIAA0430	FBS|FBS1	LKAP|MARF1|PPP1R34	Affinity Capture-MS	physical	Boldt K (2016)	27173435	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
2330879	51295	9665	119446	115020	-	-	ECSIT	KIAA0430	SITPEC	LKAP|MARF1|PPP1R34	Affinity Capture-MS	physical	Boldt K (2016)	27173435	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
2330917	5933	9665	111868	115020	RP11-382A12.1	-	RBL1	KIAA0430	CP107|PRB1|p107	LKAP|MARF1|PPP1R34	Affinity Capture-MS	physical	Boldt K (2016)	27173435	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
2331146	9665	5925	115020	111860	-	RP11-174I10.1	KIAA0430	RB1	LKAP|MARF1|PPP1R34	OSRC|PPP1R130|RB|p105-Rb|pRb|pp110	Affinity Capture-MS	physical	Boldt K (2016)	27173435	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
2331161	9665	9883	115020	115214	-	-	KIAA0430	POM121	LKAP|MARF1|PPP1R34	P145|POM121A	Affinity Capture-MS	physical	Boldt K (2016)	27173435	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
2331293	255967	9665	129129	115020	RP11-179F17.3	-	PAN3	KIAA0430	-	LKAP|MARF1|PPP1R34	Affinity Capture-MS	physical	Boldt K (2016)	27173435	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
2331327	6045	9665	111972	115020	GS1-120K12.1	-	RNF2	KIAA0430	BAP-1|BAP1|DING|HIPI3|RING1B|RING2	LKAP|MARF1|PPP1R34	Affinity Capture-MS	physical	Boldt K (2016)	27173435	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
2331372	1488	9665	107870	115020	RP11-59C5.2	-	CTBP2	KIAA0430	-	LKAP|MARF1|PPP1R34	Affinity Capture-MS	physical	Boldt K (2016)	27173435	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
2331662	253738	9665	128985	115020	RP11-234G16.3	-	EBF3	KIAA0430	COE3|EBF-3|O/E-2|OE-2	LKAP|MARF1|PPP1R34	Affinity Capture-MS	physical	Boldt K (2016)	27173435	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
2331717	9665	10620	115020	115865	-	-	KIAA0430	ARID3B	LKAP|MARF1|PPP1R34	BDP|DRIL2	Affinity Capture-MS	physical	Boldt K (2016)	27173435	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
2331840	54620	9665	120078	115020	-	-	FBXL19	KIAA0430	CXXC11|Fbl19|JHDM1C	LKAP|MARF1|PPP1R34	Affinity Capture-MS	physical	Boldt K (2016)	27173435	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
2345795	4544	9665	110640	115020	-	-	MTNR1B	KIAA0430	FGQTL2|MEL-1B-R|MT2	LKAP|MARF1|PPP1R34	Two-hybrid	physical	Benleulmi-Chaachoua A (2016)	26514267	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
2378139	7706	9665	113500	115020	-	-	TRIM25	KIAA0430	EFP|RNF147|Z147|ZNF147	LKAP|MARF1|PPP1R34	Affinity Capture-RNA	physical	Choudhury NR (2017)	29117863	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
2565597	25962	9665	117452	115020	MSTP054	-	KIAA1429	KIAA0430	fSAP121	LKAP|MARF1|PPP1R34	Affinity Capture-RNA	physical	Yue Y (2018)	29507755	9606	9606	High Throughput	-	-	-	The RNA of the 'hit' genes was identified in an RIP-seq (RNA immunoprecipitation sequencing) experiment using the 'bait' protein, VIRMA.	-	BIOGRID
2697489	2928	9665	109183	115020	-	-	GSC2	KIAA0430	GSCL	LKAP|MARF1|PPP1R34	Two-hybrid	physical	Luck K (2020)	32296183	9606	9606	High Throughput	-	-	-	This human reference interactome (HuRI) was generated by performing nine two-hybrid screens with the high confidence interactions determined by pairwise verification by quadruplicate retesting and sequence confirmation. This HI-III-20 dataset contains over 52,000 PPIs involving more than 8,000 proteins.	-	BIOGRID
