#BioGRID Interaction ID	Entrez Gene Interactor A	Entrez Gene Interactor B	BioGRID ID Interactor A	BioGRID ID Interactor B	Systematic Name Interactor A	Systematic Name Interactor B	Official Symbol Interactor A	Official Symbol Interactor B	Synonyms Interactor A	Synonyms Interactor B	Experimental System	Experimental System Type	Author	Pubmed ID	Organism Interactor A	Organism Interactor B	Throughput	Score	Modification	Phenotypes	Qualifications	Tags	Source Database
31584	40803	36102	66001	61920	Dmel_CG1137	Dmel_CG42236	CG1137	RanBPM	Dmel\CG1137|anon-WO0118547.86	CG11763|CG42236|Dmel\CG42236|Dmel_CG11763|l(2)k05201	Two-hybrid	physical	Giot L (2003)	14605208	7227	7227	High Throughput	-	-	-	-	-	BIOGRID
31755	36102	35229	61920	61207	Dmel_CG42236	Dmel_CG13084	RanBPM	CG13084	CG11763|CG42236|Dmel\CG42236|Dmel_CG11763|l(2)k05201	Dmel\CG13084	Two-hybrid	physical	Giot L (2003)	14605208	7227	7227	High Throughput	-	-	-	-	-	BIOGRID
31756	36102	39646	61920	64968	Dmel_CG42236	Dmel_CG13458	RanBPM	CG13458	CG11763|CG42236|Dmel\CG42236|Dmel_CG11763|l(2)k05201	Dmel\CG13458	Two-hybrid	physical	Giot L (2003)	14605208	7227	7227	High Throughput	-	-	-	-	-	BIOGRID
31757	36102	31609	61920	58095	Dmel_CG42236	Dmel_CG14442	RanBPM	CG14442	CG11763|CG42236|Dmel\CG42236|Dmel_CG11763|l(2)k05201	Dmel\CG14442	Two-hybrid	physical	Giot L (2003)	14605208	7227	7227	High Throughput	-	-	-	-	-	BIOGRID
31758	36102	34075	61920	60212	Dmel_CG42236	Dmel_CG14534	RanBPM	TwdlE	CG11763|CG42236|Dmel\CG42236|Dmel_CG11763|l(2)k05201	CG14534|Dmel\CG14534	Two-hybrid	physical	Giot L (2003)	14605208	7227	7227	High Throughput	-	-	-	-	-	BIOGRID
35797	35256	36102	61232	61920	Dmel_CG10263	Dmel_CG42236	Hakai	RanBPM	CG10263|Dmel\CG10263	CG11763|CG42236|Dmel\CG42236|Dmel_CG11763|l(2)k05201	Two-hybrid	physical	Giot L (2003)	14605208	7227	7227	High Throughput	-	-	-	-	-	BIOGRID
38681	36102	38173	61920	63711	Dmel_CG42236	Dmel_CG12085	RanBPM	pUf68	CG11763|CG42236|Dmel\CG42236|Dmel_CG11763|l(2)k05201	CG12085|DPUF68|Dmel\CG12085|Fir|HFP|PUF60|anon-WO0118547.408|dFIR|pUbsf	Two-hybrid	physical	Giot L (2003)	14605208	7227	7227	High Throughput	-	-	-	-	-	BIOGRID
38682	36102	30977	61920	57550	Dmel_CG42236	Dmel_CG12470	RanBPM	CG12470	CG11763|CG42236|Dmel\CG42236|Dmel_CG11763|l(2)k05201	Dmel\CG12470|EG:BACR37P7.5|NEST:bs07e10|NEST:bs17h08	Two-hybrid	physical	Giot L (2003)	14605208	7227	7227	High Throughput	-	-	-	-	-	BIOGRID
38683	36102	31095	61920	57652	Dmel_CG42236	Dmel_CG14786	RanBPM	CG14786	CG11763|CG42236|Dmel\CG42236|Dmel_CG11763|l(2)k05201	Dmel\CG14786|EG:BACN32G11.3	Two-hybrid	physical	Giot L (2003)	14605208	7227	7227	High Throughput	-	-	-	-	-	BIOGRID
38684	36102	39373	61920	64730	Dmel_CG42236	Dmel_CG17154	RanBPM	CG17154	CG11763|CG42236|Dmel\CG42236|Dmel_CG11763|l(2)k05201	Dmel\CG17154	Two-hybrid	physical	Giot L (2003)	14605208	7227	7227	High Throughput	-	-	-	-	-	BIOGRID
