#BioGRID Interaction ID	Entrez Gene Interactor A	Entrez Gene Interactor B	BioGRID ID Interactor A	BioGRID ID Interactor B	Systematic Name Interactor A	Systematic Name Interactor B	Official Symbol Interactor A	Official Symbol Interactor B	Synonyms Interactor A	Synonyms Interactor B	Experimental System	Experimental System Type	Author	Pubmed ID	Organism Interactor A	Organism Interactor B	Throughput	Score	Modification	Phenotypes	Qualifications	Tags	Source Database
27525	8576	55577	114144	120728	-	-	STK16	NAGK	KRCT|MPSK|PKL12|TSF1	GNK|HSA242910	Two-hybrid	physical	Ligos JM (2002)	11741987	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
120398	1602	55577	107972	120728	RP11-512J14.1	-	DACH1	NAGK	DACH	GNK|HSA242910	Two-hybrid	physical	Rual JF (2005)	16189514	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
120861	55577	84708	120728	124219	-	UNQ574/PRO1136	NAGK	LNX1	GNK|HSA242910	LNX|MPDZ|PDZRN2	Two-hybrid	physical	Rual JF (2005)	16189514	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
121185	55577	55577	120728	120728	-	-	NAGK	NAGK	GNK|HSA242910	GNK|HSA242910	Two-hybrid	physical	Rual JF (2005)	16189514	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
121525	55577	339965	120728	130969	-	-	NAGK	CCDC158	GNK|HSA242910	-	Two-hybrid	physical	Rual JF (2005)	16189514	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
126312	55577	84708	120728	124219	-	UNQ574/PRO1136	NAGK	LNX1	GNK|HSA242910	LNX|MPDZ|PDZRN2	Affinity Capture-Western	physical	Rual JF (2005)	16189514	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
289170	8576	55577	114144	120728	-	-	STK16	NAGK	KRCT|MPSK|PKL12|TSF1	GNK|HSA242910	Affinity Capture-Western	physical	Ligos JM (2002)	11741987	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
289171	8576	55577	114144	120728	-	-	STK16	NAGK	KRCT|MPSK|PKL12|TSF1	GNK|HSA242910	Reconstituted Complex	physical	Ligos JM (2002)	11741987	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
602589	7138	55577	112992	120728	-	-	TNNT1	NAGK	ANM|NEM5|STNT|TNT|TNTS	GNK|HSA242910	Two-hybrid	physical	Vinayagam A (2011)	21900206	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
602767	55577	51535	120728	119596	-	HSPC206	NAGK	PPHLN1	GNK|HSA242910	HSPC232	Two-hybrid	physical	Vinayagam A (2011)	21900206	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
602768	55577	161742	120728	127800	-	-	NAGK	SPRED1	GNK|HSA242910	NFLS|PPP1R147|hSpred1|spred-1	Two-hybrid	physical	Vinayagam A (2011)	21900206	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
602769	55577	80335	120728	123245	-	UNQ9342/PRO34047	NAGK	WDR82	GNK|HSA242910	MST107|MSTP107|PRO2730|PRO34047|SWD2|TMEM113|WDR82A	Two-hybrid	physical	Vinayagam A (2011)	21900206	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
602770	55577	11116	120728	116291	-	-	NAGK	FGFR1OP	GNK|HSA242910	FOP	Two-hybrid	physical	Vinayagam A (2011)	21900206	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
602771	55577	163183	120728	127856	-	-	NAGK	SYNE4	GNK|HSA242910	C19orf46|DFNB76|Nesp4	Two-hybrid	physical	Vinayagam A (2011)	21900206	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
602772	55577	5315	120728	111332	-	-	NAGK	PKM	GNK|HSA242910	CTHBP|HEL-S-30|OIP3|PK3|PKM2|TCB|THBP1	Two-hybrid	physical	Vinayagam A (2011)	21900206	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
602773	55577	1780	120728	108118	-	-	NAGK	DYNC1I1	GNK|HSA242910	DNCI1|DNCIC1	Two-hybrid	physical	Vinayagam A (2011)	21900206	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
602774	55577	79165	120728	122582	-	XXbac-BCX105G6.2	NAGK	LENG1	GNK|HSA242910	-	Two-hybrid	physical	Vinayagam A (2011)	21900206	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
602775	55577	23450	120728	117016	-	-	NAGK	SF3B3	GNK|HSA242910	RSE1|SAP130|SF3b130|STAF130	Two-hybrid	physical	Vinayagam A (2011)	21900206	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
833891	4093	55577	110268	120728	RP11-421P11.9	-	SMAD9	NAGK	MADH6|MADH9|PPH2|SMAD8|SMAD8A|SMAD8B	GNK|HSA242910	Two-hybrid	physical	Colland F (2004)	15231748	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
834302	4087	55577	110262	120728	-	-	SMAD2	NAGK	JV18|JV18-1|MADH2|MADR2|hMAD-2|hSMAD2	GNK|HSA242910	Two-hybrid	physical	Colland F (2004)	15231748	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
892656	51110	55577	119299	120728	CGI-83	-	LACTB2	NAGK	-	GNK|HSA242910	Two-hybrid	physical	Wang J (2011)	21988832	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
895341	64841	55577	122317	120728	-	-	GNPNAT1	NAGK	GNPNAT|Gpnat1	GNK|HSA242910	Two-hybrid	physical	Wang J (2011)	21988832	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
905414	167227	55577	127944	120728	-	-	DCP2	NAGK	NUDT20	GNK|HSA242910	Two-hybrid	physical	Lehner B (2004)	15231747	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
920366	55577	56647	120728	121161	-	-	NAGK	BCCIP	GNK|HSA242910	TOK-1|TOK1	Co-fractionation	physical	Kristensen AR (2012)	22863883	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
920636	55577	26973	120728	117929	-	-	NAGK	CHORDC1	GNK|HSA242910	CHP1	Co-fractionation	physical	Kristensen AR (2012)	22863883	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
920934	55577	10212	120728	115507	-	-	NAGK	DDX39A	GNK|HSA242910	BAT1|BAT1L|DDX39|DDXL|URH49	Co-fractionation	physical	Kristensen AR (2012)	22863883	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
922104	55577	3329	120728	109561	-	-	NAGK	HSPD1	GNK|HSA242910	CPN60|GROEL|HLD4|HSP-60|HSP60|HSP65|HuCHA60|SPG13	Co-fractionation	physical	Kristensen AR (2012)	22863883	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
922480	55577	8942	120728	114454	-	-	NAGK	KYNU	GNK|HSA242910	KYNUU	Co-fractionation	physical	Kristensen AR (2012)	22863883	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
922554	55577	92483	120728	124950	-	-	NAGK	LDHAL6B	GNK|HSA242910	LDH6B|LDHAL6|LDHL	Co-fractionation	physical	Kristensen AR (2012)	22863883	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
922558	55577	3939	120728	110131	-	PIG19	NAGK	LDHA	GNK|HSA242910	GSD11|HEL-S-133P|LDH1|LDHM	Co-fractionation	physical	Kristensen AR (2012)	22863883	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
922920	2730	55577	108992	120728	RP4-561L24.2	-	GCLM	NAGK	GLCLR	GNK|HSA242910	Co-fractionation	physical	Kristensen AR (2012)	22863883	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
922921	9615	55577	114976	120728	RP11-63P12.1	-	GDA	NAGK	CYPIN|GUANASE|NEDASIN	GNK|HSA242910	Co-fractionation	physical	Kristensen AR (2012)	22863883	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
922922	2771	55577	109033	120728	-	-	GNAI2	NAGK	GIP|GNAI2B|H_LUCA15.1|H_LUCA16.1	GNK|HSA242910	Co-fractionation	physical	Kristensen AR (2012)	22863883	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
922923	9805	55577	115145	120728	-	-	SCRN1	NAGK	SES1	GNK|HSA242910	Co-fractionation	physical	Kristensen AR (2012)	22863883	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
922924	26136	55577	117572	120728	-	-	TES	NAGK	TESS|TESS-2	GNK|HSA242910	Co-fractionation	physical	Kristensen AR (2012)	22863883	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
923942	55577	11212	120728	116381	-	-	NAGK	PROSC	GNK|HSA242910	-	Co-fractionation	physical	Kristensen AR (2012)	22863883	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
925639	55577	10944	120728	116144	-	-	NAGK	C11orf58	GNK|HSA242910	IMAGE145052|SMAP	Co-fractionation	physical	Kristensen AR (2012)	22863883	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
925669	55577	6611	120728	112495	-	-	NAGK	SMS	GNK|HSA242910	MRSR|SPMSY|SRS|SpS	Co-fractionation	physical	Kristensen AR (2012)	22863883	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
925753	55577	6652	120728	112535	-	-	NAGK	SORD	GNK|HSA242910	HEL-S-95n|SORD1	Co-fractionation	physical	Kristensen AR (2012)	22863883	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
