#BioGRID Interaction ID	Entrez Gene Interactor A	Entrez Gene Interactor B	BioGRID ID Interactor A	BioGRID ID Interactor B	Systematic Name Interactor A	Systematic Name Interactor B	Official Symbol Interactor A	Official Symbol Interactor B	Synonyms Interactor A	Synonyms Interactor B	Experimental System	Experimental System Type	Author	Pubmed ID	Organism Interactor A	Organism Interactor B	Throughput	Score	Modification	Phenotypes	Qualifications	Tags	Source Database
257845	367	55269	106862	120558	RP11-383C12.1	RP11-523H24.2	AR	PSPC1	AIS|DHTR|HUMARA|HYSP1|KD|NR3C4|SBMA|SMAX1|TFM	PSP1	Affinity Capture-MS	physical	Ishitani K (2003)	12810069	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
269856	55269	55791	120558	120905	RP11-523H24.2	RP11-96K19.1	PSPC1	LRIF1	PSP1	C1orf103|RIF1	Two-hybrid	physical	Stelzl U (2005)	16169070	9606	9606	High Throughput	1.0	-	-	-	-	BIOGRID
270679	55269	4841	120558	110904	RP11-523H24.2	-	PSPC1	NONO	PSP1	NMT55|NRB54|P54|P54NRB|PPP1R114	Two-hybrid	physical	Stelzl U (2005)	16169070	9606	9606	High Throughput	2.0	-	-	-	-	BIOGRID
555465	6871	55269	112734	120558	KL04P	RP11-523H24.2	TADA2A	PSPC1	ADA2|ADA2A|TADA2L|hADA2	PSP1	Affinity Capture-MS	physical	Krebs AR (2010)	20508642	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
566872	192669	55269	128177	120558	RP4-789D17.2	RP11-523H24.2	AGO3	PSPC1	EIF2C3	PSP1	Affinity Capture-MS	physical	Weinmann L (2009)	19167051	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
632266	5885	55269	111822	120558	-	RP11-523H24.2	RAD21	PSPC1	CDLS4|HR21|HRAD21|MCD1|NXP1|SCC1|hHR21	PSP1	Affinity Capture-Western	physical	Panigrahi AK (2011)	22145905	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
676459	7181	55269	113033	120558	-	RP11-523H24.2	NR2C1	PSPC1	TR2	PSP1	Affinity Capture-MS	physical	Cui S (2011)	21670149	9606	9606	High Throughput	-	-	-	table 2.	-	BIOGRID
686630	8452	55269	114030	120558	-	RP11-523H24.2	CUL3	PSPC1	CUL-3|PHA2E	PSP1	Affinity Capture-MS	physical	Bennett EJ (2010)	21145461	9606	9606	High Throughput	-	-	-	All data was filtered to a 1% false discovery rate (peptide level) prior to analysis using CompPASS to identify high confidence candidate interacting proteins|TAP-tagged Cul3|exogenous expression of bait	-	BIOGRID
724985	4087	55269	110262	120558	-	RP11-523H24.2	SMAD2	PSPC1	JV18|JV18-1|MADH2|MADR2|hMAD-2|hSMAD2	PSP1	Affinity Capture-MS	physical	Brown KA (2008)	18729074	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
725009	4088	55269	110263	120558	-	RP11-523H24.2	SMAD3	PSPC1	HSPC193|HsT17436|JV15-2|LDS1C|LDS3|MADH3	PSP1	Affinity Capture-MS	physical	Brown KA (2008)	18729074	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
