#BioGRID Interaction ID	Entrez Gene Interactor A	Entrez Gene Interactor B	BioGRID ID Interactor A	BioGRID ID Interactor B	Systematic Name Interactor A	Systematic Name Interactor B	Official Symbol Interactor A	Official Symbol Interactor B	Synonyms Interactor A	Synonyms Interactor B	Experimental System	Experimental System Type	Author	Pubmed ID	Organism Interactor A	Organism Interactor B	Throughput	Score	Modification	Phenotypes	Qualifications	Tags	Source Database
464833	5601	23499	111587	117048	-	-	MAPK9	MACF1	JNK-55|JNK2|JNK2A|JNK2ALPHA|JNK2B|JNK2BETA|PRKM9|SAPK|SAPK1a|p54a|p54aSAPK	ABP620|ACF7|MACF|OFC4	Two-hybrid	physical	Bandyopadhyay S (2010)	20936779	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
464834	3725	23499	109928	117048	-	-	JUN	MACF1	AP-1|AP1|c-Jun	ABP620|ACF7|MACF|OFC4	Two-hybrid	physical	Bandyopadhyay S (2010)	20936779	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
464835	324	23499	106821	117048	-	-	APC	MACF1	BTPS2|DP2|DP2.5|DP3|GS|PPP1R46	ABP620|ACF7|MACF|OFC4	Two-hybrid	physical	Bandyopadhyay S (2010)	20936779	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
556347	7014	23499	112873	117048	-	-	TERF2	MACF1	TRBF2|TRF2	ABP620|ACF7|MACF|OFC4	Affinity Capture-MS	physical	Giannone RJ (2010)	20811636	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
574441	2101	23499	108405	117048	-	-	ESRRA	MACF1	ERR1|ERRa|ERRalpha|ESRL1|NR3B1	ABP620|ACF7|MACF|OFC4	Two-hybrid	physical	Albers M (2005)	15604093	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
591537	988	23499	107424	117048	RP1-319D22.1	-	CDC5L	MACF1	CDC5|CDC5-LIKE|CEF1|PCDC5RP|dJ319D22.1	ABP620|ACF7|MACF|OFC4	Two-hybrid	physical	Camargo LM (2007)	17043677	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
591576	27185	23499	118061	117048	RP4-730B13.1	-	DISC1	MACF1	C1orf136|SCZD9	ABP620|ACF7|MACF|OFC4	Two-hybrid	physical	Camargo LM (2007)	17043677	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
591674	84062	23499	123857	117048	RP1-147M19.1	-	DTNBP1	MACF1	BLOC1S8|DBND|HPS7|My031|SDY	ABP620|ACF7|MACF|OFC4	Two-hybrid	physical	Camargo LM (2007)	17043677	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
591681	80254	23499	123200	117048	-	-	CEP63	MACF1	SCKL6	ABP620|ACF7|MACF|OFC4	Two-hybrid	physical	Camargo LM (2007)	17043677	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
591712	26146	23499	117577	117048	-	-	TRAF3IP1	MACF1	IFT54|MIP-T3|MIPT3	ABP620|ACF7|MACF|OFC4	Two-hybrid	physical	Camargo LM (2007)	17043677	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
592220	55763	23499	120881	117048	BM-012	-	EXOC1	MACF1	BM-102|SEC3|SEC3L1|SEC3P	ABP620|ACF7|MACF|OFC4	Two-hybrid	physical	Camargo LM (2007)	17043677	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
592244	23043	23499	116682	117048	-	-	TNIK	MACF1	-	ABP620|ACF7|MACF|OFC4	Two-hybrid	physical	Camargo LM (2007)	17043677	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
644037	4897	23499	110953	117048	-	-	NRCAM	MACF1	-	ABP620|ACF7|MACF|OFC4	Two-hybrid	physical	Nakayama M (2002)	12421765	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
644053	9378	23499	114779	117048	-	-	NRXN1	MACF1	Hs.22998|PTHSL2|SCZD17	ABP620|ACF7|MACF|OFC4	Two-hybrid	physical	Nakayama M (2002)	12421765	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
644058	23129	23499	116747	117048	-	-	PLXND1	MACF1	PLEXD1	ABP620|ACF7|MACF|OFC4	Two-hybrid	physical	Nakayama M (2002)	12421765	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
644066	26047	23499	117510	117048	-	-	CNTNAP2	MACF1	AUTS15|CASPR2|CDFE|NRXN4|PTHSL1	ABP620|ACF7|MACF|OFC4	Two-hybrid	physical	Nakayama M (2002)	12421765	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
