#BioGRID Interaction ID	Entrez Gene Interactor A	Entrez Gene Interactor B	BioGRID ID Interactor A	BioGRID ID Interactor B	Systematic Name Interactor A	Systematic Name Interactor B	Official Symbol Interactor A	Official Symbol Interactor B	Synonyms Interactor A	Synonyms Interactor B	Experimental System	Experimental System Type	Author	Pubmed ID	Organism Interactor A	Organism Interactor B	Throughput	Score	Modification	Phenotypes	Qualifications	Tags	Source Database
20459	1027	10762	107461	115982	-	CTA-268H5.7	CDKN1B	NUP50	CDKN4|KIP1|MEN1B|MEN4|P27KIP1	NPAP60|NPAP60L	Two-hybrid	physical	Smitherman M (2000)	10891500	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
277036	9670	10762	115025	115982	RP11-7O11.4	CTA-268H5.7	IPO13	NUP50	IMP13|KAP13|LGL2|RANBP13	NPAP60|NPAP60L	Reconstituted Complex	physical	Mingot JM (2001)	11447110	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
277708	10762	3837	115982	110035	CTA-268H5.7	-	NUP50	KPNB1	NPAP60|NPAP60L	IMB1|IPO1|IPOB|Impnb|NTF97	Reconstituted Complex	physical	Lindsay ME (2002)	12176322	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
277709	10762	3838	115982	110036	CTA-268H5.7	-	NUP50	KPNA2	NPAP60|NPAP60L	IPOA1|QIP2|RCH1|SRP1alpha	Reconstituted Complex	physical	Lindsay ME (2002)	12176322	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
277710	3837	10762	110035	115982	-	CTA-268H5.7	KPNB1	NUP50	IMB1|IPO1|IPOB|Impnb|NTF97	NPAP60|NPAP60L	Affinity Capture-Western	physical	Lindsay ME (2002)	12176322	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
288311	1027	10762	107461	115982	-	CTA-268H5.7	CDKN1B	NUP50	CDKN4|KIP1|MEN1B|MEN4|P27KIP1	NPAP60|NPAP60L	Reconstituted Complex	physical	Smitherman M (2000)	10891500	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
288312	10762	9972	115982	115297	CTA-268H5.7	-	NUP50	NUP153	NPAP60|NPAP60L	HNUP153|N153	Affinity Capture-Western	physical	Smitherman M (2000)	10891500	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
424485	84464	10762	124097	115982	-	CTA-268H5.7	SLX4	NUP50	BTBD12|FANCP|MUS312	NPAP60|NPAP60L	Affinity Capture-MS	physical	Svendsen JM (2009)	19596235	9606	9606	High Throughput	2.46	-	-	-	-	BIOGRID
575885	17345	10762	201430	115982	-	CTA-268H5.7	Mki67	NUP50	D630048A14Rik|Ki-67|Ki67	NPAP60|NPAP60L	Affinity Capture-MS	physical	Hutchins JR (2010)	20360068	10090	9606	High Throughput	-	-	-	-	-	BIOGRID
577415	16580	10762	200952	115982	-	CTA-268H5.7	Kifc5b	NUP50	Hset|KNSL2|Kifc5a	NPAP60|NPAP60L	Affinity Capture-MS	physical	Hutchins JR (2010)	20360068	10090	9606	High Throughput	-	-	-	-	-	BIOGRID
