#BioGRID Interaction ID	Entrez Gene Interactor A	Entrez Gene Interactor B	BioGRID ID Interactor A	BioGRID ID Interactor B	Systematic Name Interactor A	Systematic Name Interactor B	Official Symbol Interactor A	Official Symbol Interactor B	Synonyms Interactor A	Synonyms Interactor B	Experimental System	Experimental System Type	Author	Pubmed ID	Organism Interactor A	Organism Interactor B	Throughput	Score	Modification	Phenotypes	Qualifications	Tags	Source Database
720897	6310	23264	112217	116866	-	-	ATXN1	ZC3H7B	ATX1|D6S504E|SCA1	RoXaN	Two-hybrid	physical	Lim J (2006)	16713569	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
720966	342371	23264	131172	116866	hCG_1646491	-	ATXN1L	ZC3H7B	BOAT|BOAT1	RoXaN	Two-hybrid	physical	Lim J (2006)	16713569	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
751272	23264	7791	116866	113569	-	-	ZC3H7B	ZYX	RoXaN	ESP-2|HED-2	Co-fractionation	physical	Havugimana PC (2012)	22939629	9606	9606	High Throughput	0.801	-	-	Denoised score >= 0.75	-	BIOGRID
751827	80700	23264	123263	116866	-	-	UBXN6	ZC3H7B	UBXD1|UBXDC2	RoXaN	Co-fractionation	physical	Havugimana PC (2012)	22939629	9606	9606	High Throughput	0.791	-	-	Denoised score >= 0.75	-	BIOGRID
754568	149041	23264	127186	116866	RP5-1198E17.5	-	RC3H1	ZC3H7B	RNF198|ROQUIN	RoXaN	Co-fractionation	physical	Havugimana PC (2012)	22939629	9606	9606	High Throughput	0.75	-	-	Denoised score >= 0.75	-	BIOGRID
829099	3320	23264	109552	116866	-	-	HSP90AA1	ZC3H7B	EL52|HSP86|HSP89A|HSP90A|HSP90N|HSPC1|HSPCA|HSPCAL1|HSPCAL4|HSPN|Hsp89|Hsp90|LAP-2|LAP2	RoXaN	Affinity Capture-Luminescence	physical	Taipale M (2012)	22939624	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
914906	57520	23264	121581	116866	-	-	HECW2	ZC3H7B	NEDL2	RoXaN	Affinity Capture-MS	physical	Lu L (2013)	24163370	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
1052852	4343	23264	110484	116866	RP11-426L16.2	-	MOV10	ZC3H7B	fSAP113|gb110	RoXaN	Affinity Capture-RNA	physical	Castello A (2012)	22658674	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
1053869	10482	23264	115745	116866	-	-	NXF1	ZC3H7B	MEX67|TAP	RoXaN	Affinity Capture-RNA	physical	Castello A (2012)	22658674	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
2379448	7706	23264	113500	116866	-	-	TRIM25	ZC3H7B	EFP|RNF147|Z147|ZNF147	RoXaN	Affinity Capture-RNA	physical	Choudhury NR (2017)	29117863	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
2380255	10146	23264	115448	116866	-	-	G3BP1	ZC3H7B	G3BP|HDH-VIII	RoXaN	Affinity Capture-MS	physical	Jain S (2016)	26777405	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
2565108	25962	23264	117452	116866	MSTP054	-	KIAA1429	ZC3H7B	fSAP121	RoXaN	Affinity Capture-RNA	physical	Yue Y (2018)	29507755	9606	9606	High Throughput	-	-	-	The RNA of the 'hit' genes was identified in an RIP-seq (RNA immunoprecipitation sequencing) experiment using the 'bait' protein, VIRMA.	-	BIOGRID
2596278	29066	23264	118841	116866	HSPC055	-	ZC3H7A	ZC3H7B	ZC3H7|ZC3HDC7	RoXaN	Proximity Label-MS	physical	MacLeod G (2019)	30995489	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
2690177	10155	23264	115457	116866	-	-	TRIM28	ZC3H7B	KAP1|PPP1R157|RNF96|TF1B|TIF1B	RoXaN	Affinity Capture-MS	physical	Jang SM (2018)	29955894	9606	9606	High Throughput	-	-	-	hit proteins identified by MS (mass spectrometry) in KAP1 IP (immunoprecipitation), with T test p values < 0.01	-	BIOGRID
2747184	23363	23264	116944	116866	-	-	OBSL1	ZC3H7B	-	RoXaN	Affinity Capture-MS	physical	Wang P (2019)	31343991	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
