#BioGRID Interaction ID	Entrez Gene Interactor A	Entrez Gene Interactor B	BioGRID ID Interactor A	BioGRID ID Interactor B	Systematic Name Interactor A	Systematic Name Interactor B	Official Symbol Interactor A	Official Symbol Interactor B	Synonyms Interactor A	Synonyms Interactor B	Experimental System	Experimental System Type	Author	Pubmed ID	Organism Interactor A	Organism Interactor B	Throughput	Score	Modification	Phenotypes	Qualifications	Tags	Source Database
1186089	5745	55192	111717	120489	-	-	PTH1R	DNAJC17	PFE|PTHR|PTHR1	-	Affinity Capture-MS	physical	Huttlin EL (2015)	26186194	9606	9606	High Throughput	0.999970343	-	-	BioPlex 1.0 HEK 293T cells CompPASS score = 0.999970343, threshold = 0.75. Quantitative scores calculated by CompPASS-Plus (Huttlin et al. Cell, 2015, PMID: 26186194).|See BioPlex Interactome for details (https://bioplex.hms.harvard.edu/index.php).|This data has also been reanalyzed as part of BioPlex 2.0 (PMID: 28514442) and BioPlex 3.0 (PMID: 33961781). Only scores from within BioPlex 1.0 (PMID: 26186194) should be compared directly.	-	BIOGRID
1259475	55192	54987	120489	120322	-	RP5-1024G6.3	DNAJC17	C1orf123	-	-	Co-fractionation	physical	Wan C (2015)	26344197	9606	9606	High Throughput	0.073088866	-	-	Fractionation was combined with mass spectrometry from five diverse animal species to predict co-complex protein interactions conserved across metazoa using an integrative computational scoring procedure along with an SVM approach. The significant data set of 16655 PPI, was derived from a set of more than 1M interactions by examining a ROC curve of predicted interactions against reference annotated complexes at a 67.5% cumulative precision.	-	BIOGRID
1261096	60314	55192	121897	120489	-	-	C12orf10	DNAJC17	Gamm1|MST024|MSTP024|MYG|MYG1	-	Co-fractionation	physical	Wan C (2015)	26344197	9606	9606	High Throughput	0.071743436	-	-	Fractionation was combined with mass spectrometry from five diverse animal species to predict co-complex protein interactions conserved across metazoa using an integrative computational scoring procedure along with an SVM approach. The significant data set of 16655 PPI, was derived from a set of more than 1M interactions by examining a ROC curve of predicted interactions against reference annotated complexes at a 67.5% cumulative precision.	-	BIOGRID
1261097	54505	55192	120001	120489	-	-	DHX29	DNAJC17	DDX29	-	Co-fractionation	physical	Wan C (2015)	26344197	9606	9606	High Throughput	0.128284977	-	-	Fractionation was combined with mass spectrometry from five diverse animal species to predict co-complex protein interactions conserved across metazoa using an integrative computational scoring procedure along with an SVM approach. The significant data set of 16655 PPI, was derived from a set of more than 1M interactions by examining a ROC curve of predicted interactions against reference annotated complexes at a 67.5% cumulative precision.	-	BIOGRID
1261098	60528	55192	121937	120489	-	-	ELAC2	DNAJC17	COXPD17|ELC2|HPC2	-	Co-fractionation	physical	Wan C (2015)	26344197	9606	9606	High Throughput	0.151310116	-	-	Fractionation was combined with mass spectrometry from five diverse animal species to predict co-complex protein interactions conserved across metazoa using an integrative computational scoring procedure along with an SVM approach. The significant data set of 16655 PPI, was derived from a set of more than 1M interactions by examining a ROC curve of predicted interactions against reference annotated complexes at a 67.5% cumulative precision.	-	BIOGRID
1261099	3309	55192	109541	120489	-	-	HSPA5	DNAJC17	BIP|GRP78|HEL-S-89n|MIF2	-	Co-fractionation	physical	Wan C (2015)	26344197	9606	9606	High Throughput	0.135940591	-	-	Fractionation was combined with mass spectrometry from five diverse animal species to predict co-complex protein interactions conserved across metazoa using an integrative computational scoring procedure along with an SVM approach. The significant data set of 16655 PPI, was derived from a set of more than 1M interactions by examining a ROC curve of predicted interactions against reference annotated complexes at a 67.5% cumulative precision.	-	BIOGRID
1261100	22944	55192	116600	120489	-	-	KIN	DNAJC17	BTCD|KIN17|Rts2	-	Co-fractionation	physical	Wan C (2015)	26344197	9606	9606	High Throughput	0.091608891	-	-	Fractionation was combined with mass spectrometry from five diverse animal species to predict co-complex protein interactions conserved across metazoa using an integrative computational scoring procedure along with an SVM approach. The significant data set of 16655 PPI, was derived from a set of more than 1M interactions by examining a ROC curve of predicted interactions against reference annotated complexes at a 67.5% cumulative precision.	-	BIOGRID
1261101	51605	55192	119634	120489	CGI-09	-	TRMT6	DNAJC17	GCD10|Gcd10p	-	Co-fractionation	physical	Wan C (2015)	26344197	9606	9606	High Throughput	0.116809267	-	-	Fractionation was combined with mass spectrometry from five diverse animal species to predict co-complex protein interactions conserved across metazoa using an integrative computational scoring procedure along with an SVM approach. The significant data set of 16655 PPI, was derived from a set of more than 1M interactions by examining a ROC curve of predicted interactions against reference annotated complexes at a 67.5% cumulative precision.	-	BIOGRID
1263317	55192	51182	120489	119358	-	-	DNAJC17	HSPA14	-	HSP70-4|HSP70L1	Co-fractionation	physical	Wan C (2015)	26344197	9606	9606	High Throughput	0.638803854	-	-	Fractionation was combined with mass spectrometry from five diverse animal species to predict co-complex protein interactions conserved across metazoa using an integrative computational scoring procedure along with an SVM approach. The significant data set of 16655 PPI, was derived from a set of more than 1M interactions by examining a ROC curve of predicted interactions against reference annotated complexes at a 67.5% cumulative precision.	-	BIOGRID
1263387	55192	3313	120489	109545	-	-	DNAJC17	HSPA9	-	CRP40|CSA|GRP-75|GRP75|HEL-S-124m|HSPA9B|MOT|MOT2|MTHSP75|PBP74	Co-fractionation	physical	Wan C (2015)	26344197	9606	9606	High Throughput	0.241046168	-	-	Fractionation was combined with mass spectrometry from five diverse animal species to predict co-complex protein interactions conserved across metazoa using an integrative computational scoring procedure along with an SVM approach. The significant data set of 16655 PPI, was derived from a set of more than 1M interactions by examining a ROC curve of predicted interactions against reference annotated complexes at a 67.5% cumulative precision.	-	BIOGRID
