#BioGRID Interaction ID	Entrez Gene Interactor A	Entrez Gene Interactor B	BioGRID ID Interactor A	BioGRID ID Interactor B	Systematic Name Interactor A	Systematic Name Interactor B	Official Symbol Interactor A	Official Symbol Interactor B	Synonyms Interactor A	Synonyms Interactor B	Experimental System	Experimental System Type	Author	Pubmed ID	Organism Interactor A	Organism Interactor B	Throughput	Score	Modification	Phenotypes	Qualifications	Tags	Source Database
424077	10146	54915	115448	120257	-	RP5-963E22.1	G3BP1	YTHDF1	G3BP|HDH-VIII	C20orf21	Affinity Capture-MS	physical	Sowa ME (2009)	19615732	9606	9606	High Throughput	1.44	-	-	exogenous expression of bait	-	BIOGRID
556477	25913	54915	117417	120257	-	RP5-963E22.1	POT1	YTHDF1	CMM10|HPOT1	C20orf21	Affinity Capture-MS	physical	Giannone RJ (2010)	20811636	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
593976	3656	54915	109865	120257	-	RP5-963E22.1	IRAK2	YTHDF1	IRAK-2	C20orf21	Affinity Capture-MS	physical	Li S (2011)	21903422	9606	9606	High Throughput	-	-	-	exogenous expression of bait|some interactions identified in this screen were stimulated by the addition of poly(rI:rC), poly(dA:dT), LPS, and/or CpG	-	BIOGRID
657295	50618	54915	119098	120257	-	RP5-963E22.1	ITSN2	YTHDF1	PRO2015|SH3D1B|SH3P18|SWA|SWAP	C20orf21	Two-hybrid	physical	Thalappilly S (2008)	18654987	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
663045	1994	54915	108309	120257	-	RP5-963E22.1	ELAVL1	YTHDF1	ELAV1|HUR|Hua|MelG	C20orf21	Affinity Capture-RNA	physical	Abdelmohsen K (2009)	19322201	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
686642	8452	54915	114030	120257	-	RP5-963E22.1	CUL3	YTHDF1	CUL-3|PHA2E	C20orf21	Affinity Capture-MS	physical	Bennett EJ (2010)	21145461	9606	9606	High Throughput	-	-	-	All data was filtered to a 1% false discovery rate (peptide level) prior to analysis using CompPASS to identify high confidence candidate interacting proteins|TAP-tagged Cul3|exogenous expression of bait	-	BIOGRID
748300	871	54915	107318	120257	PIG14	RP5-963E22.1	SERPINH1	YTHDF1	AsTP3|CBP1|CBP2|HSP47|OI10|PPROM|RA-A47|SERPINH2|gp46	C20orf21	Co-fractionation	physical	Havugimana PC (2012)	22939629	9606	9606	High Throughput	0.879	-	-	Denoised score >= 0.75	-	BIOGRID
749144	90678	54915	124754	120257	UNQ6496/PRO21356	RP5-963E22.1	LRSAM1	YTHDF1	CMT2P|RIFLE|TAL	C20orf21	Co-fractionation	physical	Havugimana PC (2012)	22939629	9606	9606	High Throughput	0.848	-	-	Denoised score >= 0.75	-	BIOGRID
750963	10262	54915	115554	120257	RP11-196G18.20-002	RP5-963E22.1	SF3B4	YTHDF1	AFD1|Hsh49|SAP49|SF3b49	C20orf21	Co-fractionation	physical	Havugimana PC (2012)	22939629	9606	9606	High Throughput	0.807	-	-	Denoised score >= 0.75	-	BIOGRID
752945	1728	54915	108072	120257	-	RP5-963E22.1	NQO1	YTHDF1	DHQU|DIA4|DTD|NMOR1|NMORI|QR1	C20orf21	Co-fractionation	physical	Havugimana PC (2012)	22939629	9606	9606	High Throughput	0.773	-	-	Denoised score >= 0.75	-	BIOGRID
