#BioGRID Interaction ID	Entrez Gene Interactor A	Entrez Gene Interactor B	BioGRID ID Interactor A	BioGRID ID Interactor B	Systematic Name Interactor A	Systematic Name Interactor B	Official Symbol Interactor A	Official Symbol Interactor B	Synonyms Interactor A	Synonyms Interactor B	Experimental System	Experimental System Type	Author	Pubmed ID	Organism Interactor A	Organism Interactor B	Throughput	Score	Modification	Phenotypes	Qualifications	Tags	Source Database
35271	41103	38796	66270	64239	Dmel_CG8436	Dmel_CG8612	Ibf1	mRpL50	CG8436|Dmel\CG8436	ANON-65Eb|BcDNA:GM06185|BcDNA:RE06140|CG8612|Dmel\CG8612|MRP-L50	Two-hybrid	physical	Giot L (2003)	14605208	7227	7227	High Throughput	-	-	-	-	-	BIOGRID
36725	42855	41103	67789	66270	Dmel_CG10694	Dmel_CG8436	CG10694	Ibf1	Dmel\CG10694	CG8436|Dmel\CG8436	Two-hybrid	physical	Giot L (2003)	14605208	7227	7227	High Throughput	-	-	-	-	-	BIOGRID
49857	41103	41102	66270	66269	Dmel_CG8436	Dmel_CG9740	Ibf1	Ibf2	CG8436|Dmel\CG8436	CG9740|Dmel\CG9740	Two-hybrid	physical	Giot L (2003)	14605208	7227	7227	High Throughput	-	-	-	-	-	BIOGRID
647169	41102	41103	66269	66270	Dmel_CG9740	Dmel_CG8436	Ibf2	Ibf1	CG9740|Dmel\CG9740	CG8436|Dmel\CG8436	Affinity Capture-MS	physical	Guruharsha KG (2011)	22036573	7227	7227	High Throughput	-	-	-	-	-	BIOGRID
2321370	40302	41103	65559	66270	Dmel_CG3680	Dmel_CG8436	CG3680	Ibf1	Dmel\CG3680	CG8436|Dmel\CG8436	Affinity Capture-MS	physical	Alekseyenko AA (2014)	24990964	7227	7227	High Throughput	-	-	-	-	-	FLYBASE
2322387	41103	41102	66270	66269	Dmel_CG8436	Dmel_CG9740	Ibf1	Ibf2	CG8436|Dmel\CG8436	CG9740|Dmel\CG9740	Affinity Capture-Western	physical	Cuartero S (2014)	24502977	7227	7227	Low Throughput	-	-	-	-	-	FLYBASE
2323294	41848	41103	66912	66270	Dmel_CG6384	Dmel_CG8436	Cp190	Ibf1	AbS1-4|Bx-63|Bx63|CEN190|CG6384|CP-190|CP-60|CP190_DROME|Cen185|DMAP-190|DMAP190|Dmel\CG6384|E(mod)4-1|Map190|Rb188	CG8436|Dmel\CG8436	Affinity Capture-MS	physical	Cuartero S (2014)	24502977	7227	7227	High Throughput	-	-	-	-	-	FLYBASE
2323295	41848	41103	66912	66270	Dmel_CG6384	Dmel_CG8436	Cp190	Ibf1	AbS1-4|Bx-63|Bx63|CEN190|CG6384|CP-190|CP-60|CP190_DROME|Cen185|DMAP-190|DMAP190|Dmel\CG6384|E(mod)4-1|Map190|Rb188	CG8436|Dmel\CG8436	Affinity Capture-MS	physical	Maksimenko O (2015)	25342723	7227	7227	High Throughput	-	-	-	-	-	FLYBASE
2323296	41848	41103	66912	66270	Dmel_CG6384	Dmel_CG8436	Cp190	Ibf1	AbS1-4|Bx-63|Bx63|CEN190|CG6384|CP-190|CP-60|CP190_DROME|Cen185|DMAP-190|DMAP190|Dmel\CG6384|E(mod)4-1|Map190|Rb188	CG8436|Dmel\CG8436	Affinity Capture-Western	physical	Cuartero S (2014)	24502977	7227	7227	Low Throughput	-	-	-	-	-	FLYBASE
2866822	41740	41103	66816	66270	Dmel_CG8573	Dmel_CG8436	su(Hw)	Ibf1	CG8573|Dmel\CG8573|SUHW|Su[Hw]	CG8436|Dmel\CG8436	Affinity Capture-MS	physical	Rhee DY (2014)	25242320	7227	7227	High Throughput	17.338119	-	-	High confidence interactions were identified using a HyperGeometric Spectral Counts scoring method (HGSCore) and were filtered to a false discovery rate (FDR) of 2%.	-	BIOGRID
2866931	41103	41394	66270	66522	Dmel_CG8436	Dmel_CG6808	Ibf1	CG6808	CG8436|Dmel\CG8436	CG31372|Dmel\CG6808	Affinity Capture-MS	physical	Rhee DY (2014)	25242320	7227	7227	High Throughput	15.533527	-	-	High confidence interactions were identified using a HyperGeometric Spectral Counts scoring method (HGSCore) and were filtered to a false discovery rate (FDR) of 2%.	-	BIOGRID
2867060	41103	42393	66270	67379	Dmel_CG8436	Dmel_CG4936	Ibf1	CG4936	CG8436|Dmel\CG8436	Dmel\CG4936	Affinity Capture-MS	physical	Rhee DY (2014)	25242320	7227	7227	High Throughput	13.952117	-	-	High confidence interactions were identified using a HyperGeometric Spectral Counts scoring method (HGSCore) and were filtered to a false discovery rate (FDR) of 2%.	-	BIOGRID
3689807	41103	41102	66270	66269	Dmel_CG8436	Dmel_CG9740	Ibf1	Ibf2	CG8436|Dmel\CG8436	CG9740|Dmel\CG9740	Two-hybrid	physical	Tang HW (2023)	37061542	7227	7227	High Throughput	-	-	-	MAmmalian Protein-Protein Interaction Trap (MAPPIT) assay|interaction identified by large-scale Y2H screening and validated by pairwise testing	-	BIOGRID

