#BioGRID Interaction ID	Entrez Gene Interactor A	Entrez Gene Interactor B	BioGRID ID Interactor A	BioGRID ID Interactor B	Systematic Name Interactor A	Systematic Name Interactor B	Official Symbol Interactor A	Official Symbol Interactor B	Synonyms Interactor A	Synonyms Interactor B	Experimental System	Experimental System Type	Author	Pubmed ID	Organism Interactor A	Organism Interactor B	Throughput	Score	Modification	Phenotypes	Qualifications	Tags	Source Database
424986	10856	51602	116067	119631	CGI-46	HSPC120	RUVBL2	NOP58	ECP51|INO80J|REPTIN|RVB2|TIH2|TIP48|TIP49B	NOP5|NOP5/NOP58	Affinity Capture-MS	physical	Jeronimo C (2007)	17643375	9606	9606	High Throughput	0.96636	-	-	-	-	BIOGRID
504279	155871	51602	1205541	119631	HIV1gp5	HSPC120	tat	NOP58	-	NOP5|NOP5/NOP58	Reconstituted Complex	physical	Gautier VW (2009)	19454010	11676	9606	High Throughput	-	-	-	HIV 1: Protein TAT|High Throughput: An in vitro GST-Tat pull-down assay was performed using nuclear extracts from Jurkat cells followed by mass spectrometric analysis to identify interacting proteins.	-	BIOGRID
566550	6606	51602	112490	119631	-	HSPC120	SMN1	NOP58	BCD541|GEMIN1|SMA|SMA1|SMA2|SMA3|SMA4|SMA@|SMN|SMNT|T-BCD541|TDRD16A	NOP5|NOP5/NOP58	Affinity Capture-MS	physical	Fuller HR (2010)	19928837	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
573400	10528	51602	115783	119631	RP4-686C3.1	HSPC120	NOP56	NOP58	NOL5A|SCA36	NOP5|NOP5/NOP58	Affinity Capture-MS	physical	Hayano T (2003)	12777385	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
575779	20826	51602	203509	119631	-	HSPC120	Nhp2l1	NOP58	FA-1|Fta1|Ssfa1	NOP5|NOP5/NOP58	Affinity Capture-MS	physical	Hutchins JR (2010)	20360068	10090	9606	High Throughput	-	-	-	-	-	BIOGRID
576092	22608	51602	204613	119631	RP24-363D14.2	HSPC120	Ybx1	NOP58	1700102N10Rik|C79409|EF1A|MSY1|Nsep1|YB-1|dbpB|mYB-1a	NOP5|NOP5/NOP58	Affinity Capture-MS	physical	Hutchins JR (2010)	20360068	10090	9606	High Throughput	-	-	-	-	-	BIOGRID
667357	51547	51602	119602	119631	-	HSPC120	SIRT7	NOP58	SIR2L7	NOP5|NOP5/NOP58	Affinity Capture-MS	physical	Tsai YC (2012)	22586326	9606	9606	High Throughput	-	-	-	exogenous expression of bait|figure 2, table S1.	-	BIOGRID
690657	55832	51602	120937	119631	-	HSPC120	CAND1	NOP58	TIP120|TIP120A	NOP5|NOP5/NOP58	Affinity Capture-MS	physical	Bennett EJ (2010)	21145461	9606	9606	High Throughput	-	-	-	All data was filtered to a 1% false discovery rate (peptide level) prior to analysis using CompPASS to identify high confidence candidate interacting proteins|TAP-tagged CAND1|exogenous expression of bait	-	BIOGRID
742736	10528	51602	115783	119631	RP4-686C3.1	HSPC120	NOP56	NOP58	NOL5A|SCA36	NOP5|NOP5/NOP58	Co-fractionation	physical	Havugimana PC (2012)	22939629	9606	9606	High Throughput	0.99	-	-	Denoised score >= 0.75	-	BIOGRID
743766	2091	51602	108399	119631	-	HSPC120	FBL	NOP58	FIB|FLRN|RNU3IP1	NOP5|NOP5/NOP58	Co-fractionation	physical	Havugimana PC (2012)	22939629	9606	9606	High Throughput	0.983	-	-	Denoised score >= 0.75	-	BIOGRID
743915	51602	6124	119631	112044	HSPC120	-	NOP58	RPL4	NOP5|NOP5/NOP58	L4	Co-fractionation	physical	Havugimana PC (2012)	22939629	9606	9606	High Throughput	0.914	-	-	Denoised score >= 0.75	-	BIOGRID
744427	51602	6207	119631	112121	HSPC120	-	NOP58	RPS13	NOP5|NOP5/NOP58	S13	Co-fractionation	physical	Havugimana PC (2012)	22939629	9606	9606	High Throughput	1.0	-	-	Denoised score >= 0.75	-	BIOGRID
744435	4809	51602	110874	119631	CTA-216E10.8	HSPC120	NHP2L1	NOP58	15.5K|FA-1|FA1|NHPX|OTK27|SNRNP15-5|SNU13|SPAG12|SSFA1	NOP5|NOP5/NOP58	Co-fractionation	physical	Havugimana PC (2012)	22939629	9606	9606	High Throughput	0.989	-	-	Denoised score >= 0.75	-	BIOGRID
744456	51602	6201	119631	112115	HSPC120	-	NOP58	RPS7	NOP5|NOP5/NOP58	DBA8|S7	Co-fractionation	physical	Havugimana PC (2012)	22939629	9606	9606	High Throughput	0.972	-	-	Denoised score >= 0.75	-	BIOGRID
744507	51602	6128	119631	112048	HSPC120	-	NOP58	RPL6	NOP5|NOP5/NOP58	L6|SHUJUN-2|TAXREB107|TXREB1	Co-fractionation	physical	Havugimana PC (2012)	22939629	9606	9606	High Throughput	0.916	-	-	Denoised score >= 0.75	-	BIOGRID
744508	51602	6125	119631	112045	HSPC120	MSTP030	NOP58	RPL5	NOP5|NOP5/NOP58	DBA6|L5|PPP1R135	Co-fractionation	physical	Havugimana PC (2012)	22939629	9606	9606	High Throughput	0.915	-	-	Denoised score >= 0.75	-	BIOGRID
744576	51602	6189	119631	112103	HSPC120	-	NOP58	RPS3A	NOP5|NOP5/NOP58	FTE1|MFTL|S3A	Co-fractionation	physical	Havugimana PC (2012)	22939629	9606	9606	High Throughput	0.868	-	-	Denoised score >= 0.75	-	BIOGRID
744605	51602	6202	119631	112116	HSPC120	RP11-269F19.3	NOP58	RPS8	NOP5|NOP5/NOP58	S8	Co-fractionation	physical	Havugimana PC (2012)	22939629	9606	9606	High Throughput	0.845	-	-	Denoised score >= 0.75	-	BIOGRID
744624	10969	51602	116166	119631	RP5-1034F7.2	HSPC120	EBNA1BP2	NOP58	EBP2|NOBP|P40	NOP5|NOP5/NOP58	Co-fractionation	physical	Havugimana PC (2012)	22939629	9606	9606	High Throughput	0.833	-	-	Denoised score >= 0.75	-	BIOGRID
744634	51602	6210	119631	112124	HSPC120	OK/SW-cl.82	NOP58	RPS15A	NOP5|NOP5/NOP58	S15a	Co-fractionation	physical	Havugimana PC (2012)	22939629	9606	9606	High Throughput	0.829	-	-	Denoised score >= 0.75	-	BIOGRID
744645	51602	6129	119631	112049	HSPC120	-	NOP58	RPL7	NOP5|NOP5/NOP58	L7|humL7-1	Co-fractionation	physical	Havugimana PC (2012)	22939629	9606	9606	High Throughput	0.823	-	-	Denoised score >= 0.75	-	BIOGRID
744747	51602	6191	119631	112105	HSPC120	-	NOP58	RPS4X	NOP5|NOP5/NOP58	CCG2|DXS306|RPS4|S4|SCAR|SCR10	Co-fractionation	physical	Havugimana PC (2012)	22939629	9606	9606	High Throughput	0.953	-	-	Denoised score >= 0.75	-	BIOGRID
744841	3692	51602	109898	119631	RP4-614O4.1	HSPC120	EIF6	NOP58	CAB|EIF3A|ITGB4BP|b(2)gcn|eIF-6|p27(BBP)|p27BBP	NOP5|NOP5/NOP58	Co-fractionation	physical	Havugimana PC (2012)	22939629	9606	9606	High Throughput	0.766	-	-	Denoised score >= 0.75	-	BIOGRID
745182	51602	6143	119631	112063	HSPC120	-	NOP58	RPL19	NOP5|NOP5/NOP58	L19	Co-fractionation	physical	Havugimana PC (2012)	22939629	9606	9606	High Throughput	0.959	-	-	Denoised score >= 0.75	-	BIOGRID
745200	51602	6205	119631	112119	HSPC120	-	NOP58	RPS11	NOP5|NOP5/NOP58	S11	Co-fractionation	physical	Havugimana PC (2012)	22939629	9606	9606	High Throughput	0.942	-	-	Denoised score >= 0.75	-	BIOGRID
745201	51602	6142	119631	112062	HSPC120	-	NOP58	RPL18A	NOP5|NOP5/NOP58	L18A	Co-fractionation	physical	Havugimana PC (2012)	22939629	9606	9606	High Throughput	0.942	-	-	Denoised score >= 0.75	-	BIOGRID
745235	51602	6229	119631	112143	HSPC120	RP11-6P10.1	NOP58	RPS24	NOP5|NOP5/NOP58	DBA3|S24	Co-fractionation	physical	Havugimana PC (2012)	22939629	9606	9606	High Throughput	0.92	-	-	Denoised score >= 0.75	-	BIOGRID
745255	51602	7307	119631	113157	HSPC120	-	NOP58	U2AF1	NOP5|NOP5/NOP58	FP793|RN|RNU2AF1|U2AF35|U2AFBP	Co-fractionation	physical	Havugimana PC (2012)	22939629	9606	9606	High Throughput	0.902	-	-	Denoised score >= 0.75	-	BIOGRID
745267	51602	6168	119631	112087	HSPC120	-	NOP58	RPL37A	NOP5|NOP5/NOP58	L37A	Co-fractionation	physical	Havugimana PC (2012)	22939629	9606	9606	High Throughput	0.895	-	-	Denoised score >= 0.75	-	BIOGRID
745302	51602	6194	119631	112108	HSPC120	RP11-513M16.6	NOP58	RPS6	NOP5|NOP5/NOP58	S6	Co-fractionation	physical	Havugimana PC (2012)	22939629	9606	9606	High Throughput	0.87	-	-	Denoised score >= 0.75	-	BIOGRID
