#BioGRID Interaction ID	Entrez Gene Interactor A	Entrez Gene Interactor B	BioGRID ID Interactor A	BioGRID ID Interactor B	Systematic Name Interactor A	Systematic Name Interactor B	Official Symbol Interactor A	Official Symbol Interactor B	Synonyms Interactor A	Synonyms Interactor B	Experimental System	Experimental System Type	Author	Pubmed ID	Organism Interactor A	Organism Interactor B	Throughput	Score	Modification	Phenotypes	Qualifications	Tags	Source Database
109286	853747	854354	34021	34577	YKL113C	YOR182C	RAD27	RPS30B	ERC11|FEN1|RTH1|multifunctional nuclease RAD27|L000002742|L000000565	ribosomal 40S subunit protein S30B|S30e|S30B|L000003497	Synthetic Lethality	genetic	Tong AH (2001)	11743205	559292	559292	High Throughput	-	-	inviable	-	-	BIOGRID
160721	855731	850994	35824	31553	YNL001W	YLR287C-A	DOM34	RPS30A	ribosome dissociation factor DOM34|L000000517	ribosomal 40S subunit protein S30A|S30e|S30A|L000003183	Dosage Rescue	genetic	Davis L (1998)	9584085	559292	559292	Low Throughput	-	-	cold sensitivity:wild type|metabolism and growth:wild type	-	-	BIOGRID
162474	853959	850994	34215	31553	YKR084C	YLR287C-A	HBS1	RPS30A	ribosome dissociation factor GTPase HBS1|L000000756	ribosomal 40S subunit protein S30A|S30e|S30A|L000003183	Synthetic Growth Defect	genetic	Carr-Schmid A (2002)	11909951	559292	559292	Low Throughput	-	-	vegetative growth	-	-	BIOGRID
162475	853959	854354	34215	34577	YKR084C	YOR182C	HBS1	RPS30B	ribosome dissociation factor GTPase HBS1|L000000756	ribosomal 40S subunit protein S30B|S30e|S30B|L000003497	Synthetic Growth Defect	genetic	Carr-Schmid A (2002)	11909951	559292	559292	Low Throughput	-	-	vegetative growth	-	-	BIOGRID
162477	855731	850994	35824	31553	YNL001W	YLR287C-A	DOM34	RPS30A	ribosome dissociation factor DOM34|L000000517	ribosomal 40S subunit protein S30A|S30e|S30A|L000003183	Synthetic Growth Defect	genetic	Carr-Schmid A (2002)	11909951	559292	559292	Low Throughput	-	-	vegetative growth	-	-	BIOGRID
167107	855836	850994	35923	31553	YPL240C	YLR287C-A	HSP82	RPS30A	HSP90|Hsp90 family chaperone HSP82|L000000822	ribosomal 40S subunit protein S30A|S30e|S30A|L000003183	Synthetic Lethality	genetic	Zhao R (2005)	15766533	559292	559292	High Throughput	-	-	inviable	-	-	BIOGRID
343932	850314	850994	30941	31553	YCL043C	YLR287C-A	PDI1	RPS30A	MFP1|TRG1|protein disulfide isomerase PDI1|L000001360	ribosomal 40S subunit protein S30A|S30e|S30A|L000003183	Synthetic Lethality	genetic	Kim JH (2009)	19233841	559292	559292	High Throughput	-	-	heat sensitivity|inviable	diploid synthetic lethality array method (dSLAM)	-	BIOGRID
346552	852755	850994	33129	31553	YGL122C	YLR287C-A	NAB2	RPS30A	mRNA-binding protein NAB2|L000001227	ribosomal 40S subunit protein S30A|S30e|S30A|L000003183	Affinity Capture-RNA	physical	Batisse J (2009)	19840948	559292	559292	High Throughput	-	-	-	High Throughput: The experiment involved high-throughput sequencing of the RNAs that co-precipitated with TAP-tagged Nab2 (Nab2-TAP).	-	BIOGRID
346813	852755	854354	33129	34577	YGL122C	YOR182C	NAB2	RPS30B	mRNA-binding protein NAB2|L000001227	ribosomal 40S subunit protein S30B|S30e|S30B|L000003497	Affinity Capture-RNA	physical	Batisse J (2009)	19840948	559292	559292	High Throughput	-	-	-	High Throughput: The experiment involved high-throughput sequencing of the RNAs that co-precipitated with TAP-tagged Nab2 (Nab2-TAP).	-	BIOGRID
348449	855731	850994	35824	31553	YNL001W	YLR287C-A	DOM34	RPS30A	ribosome dissociation factor DOM34|L000000517	ribosomal 40S subunit protein S30A|S30e|S30A|L000003183	Phenotypic Suppression	genetic	Passos DO (2009)	19420139	559292	559292	Low Throughput	-	-	RNA modification:wild type	Overexpression of RPS30A suppresses the No-Go Decay defect of a dom34 xrn1 double mutant.	-	BIOGRID
348450	852702	850994	33080	31553	YGL173C	YLR287C-A	XRN1	RPS30A	DST2|KEM1|RAR5|SEP1|SKI1|chromatin-binding exonuclease XRN1|L000000891|L000001902	ribosomal 40S subunit protein S30A|S30e|S30A|L000003183	Phenotypic Suppression	genetic	Passos DO (2009)	19420139	559292	559292	Low Throughput	-	-	RNA modification:wild type	Overexpression of RPS30A suppresses the No-Go Decay defect of a dom34 xrn1 double mutant.	-	BIOGRID
356290	852230	850994	32648	31553	YBL050W	YLR287C-A	SEC17	RPS30A	RNS3|L000001841	ribosomal 40S subunit protein S30A|S30e|S30A|L000003183	Negative Genetic	genetic	Costanzo M (2010)	20093466	559292	559292	High Throughput	-0.1355	-	colony size	A Synthetic Genetic Array (SGA) analysis was carried out to quantitatively score genetic interactions based on fitness defects that were estimated from the colony size of double versus single mutants. Genetic interactions were considered significant if they had an SGA score of epsilon > 0.08 for positive interactions and epsilon < -0.08 for negative interactions, and a p-value < 0.05.|YBL050W is an essential gene and therefore the temperature sensitive allele YBL050W_tsq48 was used in the experiment	-	BIOGRID
356961	852295	850994	32711	31553	YBR010W	YLR287C-A	HHT1	RPS30A	BUR5|SIN2|histone H3|L000000772	ribosomal 40S subunit protein S30A|S30e|S30A|L000003183	Negative Genetic	genetic	Costanzo M (2010)	20093466	559292	559292	High Throughput	-0.1338	-	colony size	A Synthetic Genetic Array (SGA) analysis was carried out to quantitatively score genetic interactions based on fitness defects that were estimated from the colony size of double versus single mutants. Genetic interactions were considered significant if they had an SGA score of epsilon > 0.08 for positive interactions and epsilon < -0.08 for negative interactions, and a p-value < 0.05.	-	BIOGRID
360980	2732686	854354	37085	34577	YCL005W-A	YOR182C	VMA9	RPS30B	CWH36|LDB10|H(+)-transporting V0 sector ATPase subunit e	ribosomal 40S subunit protein S30B|S30e|S30B|L000003497	Negative Genetic	genetic	Costanzo M (2010)	20093466	559292	559292	High Throughput	-0.1589	-	colony size	A Synthetic Genetic Array (SGA) analysis was carried out to quantitatively score genetic interactions based on fitness defects that were estimated from the colony size of double versus single mutants. Genetic interactions were considered significant if they had an SGA score of epsilon > 0.08 for positive interactions and epsilon < -0.08 for negative interactions, and a p-value < 0.05.	-	BIOGRID
365810	851641	850994	32124	31553	YDR069C	YLR287C-A	DOA4	RPS30A	DOS1|MUT4|NPI2|SSV7|UBP4|L000000514	ribosomal 40S subunit protein S30A|S30e|S30A|L000003183	Negative Genetic	genetic	Costanzo M (2010)	20093466	559292	559292	High Throughput	-0.1555	-	colony size	A Synthetic Genetic Array (SGA) analysis was carried out to quantitatively score genetic interactions based on fitness defects that were estimated from the colony size of double versus single mutants. Genetic interactions were considered significant if they had an SGA score of epsilon > 0.08 for positive interactions and epsilon < -0.08 for negative interactions, and a p-value < 0.05.|YDR069C is an essential gene and therefore a gene-dosage DAmP allele was used in the experiment.    The Decreased Abundance by mRNA Perturbation (DAmP) method results in destabilizing a gene's transcripts thereby decreasing the amount of protein.	-	BIOGRID
367075	851726	854354	32202	34577	YDR148C	YOR182C	KGD2	RPS30B	alpha-ketoglutarate dehydrogenase KGD2|L000000898	ribosomal 40S subunit protein S30B|S30e|S30B|L000003497	Negative Genetic	genetic	Costanzo M (2010)	20093466	559292	559292	High Throughput	-0.1888	-	colony size	A Synthetic Genetic Array (SGA) analysis was carried out to quantitatively score genetic interactions based on fitness defects that were estimated from the colony size of double versus single mutants. Genetic interactions were considered significant if they had an SGA score of epsilon > 0.08 for positive interactions and epsilon < -0.08 for negative interactions, and a p-value < 0.05.	-	BIOGRID
369729	851931	850994	32388	31553	YDR331W	YLR287C-A	GPI8	RPS30A	L000004086	ribosomal 40S subunit protein S30A|S30e|S30A|L000003183	Negative Genetic	genetic	Costanzo M (2010)	20093466	559292	559292	High Throughput	-0.1719	-	colony size	A Synthetic Genetic Array (SGA) analysis was carried out to quantitatively score genetic interactions based on fitness defects that were estimated from the colony size of double versus single mutants. Genetic interactions were considered significant if they had an SGA score of epsilon > 0.08 for positive interactions and epsilon < -0.08 for negative interactions, and a p-value < 0.05.|YDR331W is an essential gene and therefore the temperature sensitive allele YDR331W_tsq371 was used in the experiment	-	BIOGRID
369841	851934	850994	32391	31553	YDR334W	YLR287C-A	SWR1	RPS30A	chromatin-remodeling protein SWR1|S000007447	ribosomal 40S subunit protein S30A|S30e|S30A|L000003183	Positive Genetic	genetic	Costanzo M (2010)	20093466	559292	559292	High Throughput	0.1634	-	colony size	A Synthetic Genetic Array (SGA) analysis was carried out to quantitatively score genetic interactions based on fitness defects that were estimated from the colony size of double versus single mutants. Genetic interactions were considered significant if they had an SGA score of epsilon > 0.08 for positive interactions and epsilon < -0.08 for negative interactions, and a p-value < 0.05.	-	BIOGRID
370991	852068	850994	32511	31553	YDR457W	YLR287C-A	TOM1	RPS30A	E3 ubiquitin-protein ligase TOM1|L000002983	ribosomal 40S subunit protein S30A|S30e|S30A|L000003183	Negative Genetic	genetic	Costanzo M (2010)	20093466	559292	559292	High Throughput	-0.1433	-	colony size	A Synthetic Genetic Array (SGA) analysis was carried out to quantitatively score genetic interactions based on fitness defects that were estimated from the colony size of double versus single mutants. Genetic interactions were considered significant if they had an SGA score of epsilon > 0.08 for positive interactions and epsilon < -0.08 for negative interactions, and a p-value < 0.05.	-	BIOGRID
371023	852068	854354	32511	34577	YDR457W	YOR182C	TOM1	RPS30B	E3 ubiquitin-protein ligase TOM1|L000002983	ribosomal 40S subunit protein S30B|S30e|S30B|L000003497	Negative Genetic	genetic	Costanzo M (2010)	20093466	559292	559292	High Throughput	-0.1807	-	colony size	A Synthetic Genetic Array (SGA) analysis was carried out to quantitatively score genetic interactions based on fitness defects that were estimated from the colony size of double versus single mutants. Genetic interactions were considered significant if they had an SGA score of epsilon > 0.08 for positive interactions and epsilon < -0.08 for negative interactions, and a p-value < 0.05.	-	BIOGRID
371318	852099	854354	32540	34577	YDR488C	YOR182C	PAC11	RPS30B	dynein intermediate chain|L000001330	ribosomal 40S subunit protein S30B|S30e|S30B|L000003497	Negative Genetic	genetic	Costanzo M (2010)	20093466	559292	559292	High Throughput	-0.1781	-	colony size	A Synthetic Genetic Array (SGA) analysis was carried out to quantitatively score genetic interactions based on fitness defects that were estimated from the colony size of double versus single mutants. Genetic interactions were considered significant if they had an SGA score of epsilon > 0.08 for positive interactions and epsilon < -0.08 for negative interactions, and a p-value < 0.05.	-	BIOGRID
371702	852128	854354	32567	34577	YDR516C	YOR182C	EMI2	RPS30B	putative glucokinase	ribosomal 40S subunit protein S30B|S30e|S30B|L000003497	Negative Genetic	genetic	Costanzo M (2010)	20093466	559292	559292	High Throughput	-0.1253	-	colony size	A Synthetic Genetic Array (SGA) analysis was carried out to quantitatively score genetic interactions based on fitness defects that were estimated from the colony size of double versus single mutants. Genetic interactions were considered significant if they had an SGA score of epsilon > 0.08 for positive interactions and epsilon < -0.08 for negative interactions, and a p-value < 0.05.	-	BIOGRID
372201	856653	854354	36672	34577	YEL057C	YOR182C	YEL057C	RPS30B	-	ribosomal 40S subunit protein S30B|S30e|S30B|L000003497	Negative Genetic	genetic	Costanzo M (2010)	20093466	559292	559292	High Throughput	-0.137	-	colony size	A Synthetic Genetic Array (SGA) analysis was carried out to quantitatively score genetic interactions based on fitness defects that were estimated from the colony size of double versus single mutants. Genetic interactions were considered significant if they had an SGA score of epsilon > 0.08 for positive interactions and epsilon < -0.08 for negative interactions, and a p-value < 0.05.	-	BIOGRID
373899	856715	850994	36728	31553	YEL003W	YLR287C-A	GIM4	RPS30A	PFD2|L000004368	ribosomal 40S subunit protein S30A|S30e|S30A|L000003183	Positive Genetic	genetic	Costanzo M (2010)	20093466	559292	559292	High Throughput	0.164	-	colony size	A Synthetic Genetic Array (SGA) analysis was carried out to quantitatively score genetic interactions based on fitness defects that were estimated from the colony size of double versus single mutants. Genetic interactions were considered significant if they had an SGA score of epsilon > 0.08 for positive interactions and epsilon < -0.08 for negative interactions, and a p-value < 0.05.	-	BIOGRID
